Item,Group,Mean,StDev,Min,Q1,Median,Q3,Max
Births,Neonatal Female,11969232.2809332,1979152.13083858,5713419.50698772,10574360.0190952,11917678.949868,13357514.9893011,18461064.7389679
Births,Neonatal Male,11969232.2809332,1979152.13083858,5713419.50698772,10574360.0190952,11917678.949868,13357514.9893011,18461064.7389679
Births,Juvenile Female,0,0,0,0,0,0,0
Births,Juvenile Male,0,0,0,0,0,0,0
Births,Adult Female,0,0,0,0,0,0,0
Births,Adult Male,0,0,0,0,0,0,0
Births,Overall,23938464.5618663,3958304.26167715,11426839.0139754,21148720.0381904,23835357.8997361,26715029.9786023,36922129.4779358
Births,Neonatal Combined,23938464.5618663,3958304.26167715,11426839.0139754,21148720.0381904,23835357.8997361,26715029.9786023,36922129.4779358
Births,Juvenile Combined,0,0,0,0,0,0,0
Births,Adult Combined,0,0,0,0,0,0,0
Births,Female Combined,11969232.2809332,1979152.13083858,5713419.50698772,10574360.0190952,11917678.949868,13357514.9893011,18461064.7389679
Births,Male Combined,11969232.2809332,1979152.13083858,5713419.50698772,10574360.0190952,11917678.949868,13357514.9893011,18461064.7389679
Growth in,Neonatal Female,0,0,0,0,0,0,0
Growth in,Neonatal Male,0,0,0,0,0,0,0
Growth in,Juvenile Female,9112860.85744697,1056077.09286996,5743893.77702325,8370022.49897266,9088310.56387504,9855366.47450742,12547186.6467848
Growth in,Juvenile Male,8262923.72426661,1056076.95298474,4894016.93533986,7520059.69061847,8238410.20795288,9005435.81986768,11697258.8435834
Growth in,Adult Female,6719003.27990066,448274.762454848,5282721.75877784,6403996.13558633,6709245.42907536,7034536.69169043,8170720.96605424
Growth in,Adult Male,4716615.53227423,412777.204344087,3394321.43118946,4426525.4814687,4707623.36110237,5007152.79447081,6053597.98426892
Growth in,Overall,28811403.3938885,2973204.95878523,19314953.9023304,26720625.233744,28743589.5620056,30902491.7805363,38468764.4406913
Growth in,Neonatal Combined,0,0,0,0,0,0,0
Growth in,Juvenile Combined,17375784.5817136,2112154.04507543,10637910.7123631,15890098.6279085,17326720.7718279,18860802.2943751,24244445.4903681
Growth in,Adult Combined,11435618.8121749,861051.965791924,8677043.1899673,10830522.2482896,11416868.7901777,12041689.4861612,14224318.9503232
Growth in,Female Combined,15831864.1373476,1504351.29324247,11026615.5358011,14774018.634559,15797555.9929504,16889903.1661979,20717907.612839
Growth in,Male Combined,12979539.2565408,1468853.66775459,8288338.36652932,11946582.9561207,12946033.5690552,14012588.6143385,17750856.8278523
Growth out,Neonatal Female,9112860.85744697,1056077.09286996,5743893.77702325,8370022.49897266,9088310.56387504,9855366.47450742,12547186.6467848
Growth out,Neonatal Male,8262923.72426661,1056076.95298474,4894016.93533986,7520059.69061847,8238410.20795288,9005435.81986768,11697258.8435834
Growth out,Juvenile Female,6719003.27990066,448274.762454848,5282721.75877784,6403996.13558633,6709245.42907536,7034536.69169043,8170720.96605424
Growth out,Juvenile Male,4716615.53227423,412777.204344087,3394321.43118946,4426525.4814687,4707623.36110237,5007152.79447081,6053597.98426892
Growth out,Adult Female,0,0,0,0,0,0,0
Growth out,Adult Male,0,0,0,0,0,0,0
Growth out,Overall,28811403.3938885,2973204.95878523,19314953.9023304,26720625.233744,28743589.5620056,30902491.7805363,38468764.4406913
Growth out,Neonatal Combined,17375784.5817136,2112154.04507543,10637910.7123631,15890098.6279085,17326720.7718279,18860802.2943751,24244445.4903681
Growth out,Juvenile Combined,11435618.8121749,861051.965791924,8677043.1899673,10830522.2482896,11416868.7901777,12041689.4861612,14224318.9503232
Growth out,Adult Combined,0,0,0,0,0,0,0
Growth out,Female Combined,15831864.1373476,1504351.29324247,11026615.5358011,14774018.634559,15797555.9929504,16889903.1661979,20717907.612839
Growth out,Male Combined,12979539.2565408,1468853.66775459,8288338.36652932,11946582.9561207,12946033.5690552,14012588.6143385,17750856.8278523
Deaths,Neonatal Female,1921.93222626633,917.928924582735,421.311138799362,1220.79947611978,1751.43735166041,2468.1524790453,6098.78862695909
Deaths,Neonatal Male,1742.65974499189,838.869196862523,369.572702195486,1102.47364061848,1583.06389881194,2241.52299409427,5610.06170111218
Deaths,Juvenile Female,0,0,0,0,0,0,0
Deaths,Juvenile Male,0,0,0,0,0,0,0
Deaths,Adult Female,344.110470586764,197.94619009783,60.6084960071324,187.888387017372,306.115700730877,464.622728505101,1188.45230408393
Deaths,Adult Male,0,0,0,0,0,0,0
Deaths,Overall,4008.70244184498,1769.93785615124,910.374220483477,2668.29506973219,3686.79788512813,5061.65289816474,11846.2516459848
Deaths,Neonatal Combined,3664.59197125821,1756.64785040112,790.883840994848,2323.4004037554,3332.79778962118,4710.39635831719,11708.8503280713
Deaths,Juvenile Combined,0,0,0,0,0,0,0
Deaths,Adult Combined,344.110470586764,197.94619009783,60.6084960071324,187.888387017372,306.115700730877,464.622728505101,1188.45230408393
Deaths,Female Combined,2266.04269685309,941.102176785859,523.924374484792,1557.06204053851,2103.04606414506,2835.41929355746,6236.18994487261
Deaths,Male Combined,1742.65974499189,838.869196862523,369.572702195486,1102.47364061848,1583.06389881194,2241.52299409427,5610.06170111218
Offtakes,Neonatal Female,0,0,0,0,0,0,0
Offtakes,Neonatal Male,0,0,0,0,0,0,0
Offtakes,Juvenile Female,436735.213193543,29137.8595595651,343376.91432056,416259.748813112,436100.952889898,457244.884959878,531096.862793526
Offtakes,Juvenile Male,1485733.89266638,130024.819368388,1069211.25082468,1394355.52666264,1482901.35874725,1577253.1302583,1906883.36504471
Offtakes,Adult Female,2168722.30512533,12859.2207643039,2127434.80451271,2159686.86159729,2168446.57858731,2177784.22318802,2210257.50515165
Offtakes,Adult Male,3294667.43296186,53295.9234970952,3123544.87628461,3257231.40202154,3293549.01404569,3332203.22994711,3466910.90744549
Offtakes,Overall,7385858.84394711,225317.795293307,6663567.84594256,7227529.94268016,7381001.01448128,7544472.49494965,8115148.64043538
Offtakes,Neonatal Combined,0,0,0,0,0,0,0
Offtakes,Juvenile Combined,1922469.10585992,159162.678816409,1412588.16514524,1810614.76251438,1919002.31163714,2034498.01521818,2437980.22783823
Offtakes,Adult Combined,5463389.73808718,66155.14059818,5250979.68079732,5416911.15463719,5461994.95796518,5509986.72757848,5677168.41259714
Offtakes,Female Combined,2605457.51831887,41997.0727881308,2470811.71883327,2575940.55189235,2604545.65942342,2635029.87929359,2741354.36794517
Offtakes,Male Combined,4780401.32562824,183320.723825616,4192756.12710929,4651586.92868418,4776450.37279293,4909456.36020542,5373794.2724902
Culls,Neonatal Female,0,0,0,0,0,0,0
Culls,Neonatal Male,0,0,0,0,0,0,0
Culls,Juvenile Female,0,0,0,0,0,0,0
Culls,Juvenile Male,0,0,0,0,0,0,0
Culls,Adult Female,1853608.80779943,10990.7869780375,1818320.34573736,1845886.20649341,1853373.14409172,1861354.03691284,1889108.97876209
Culls,Adult Male,1307407.7114928,21149.1759909107,1239501.93503357,1292552.14365934,1306963.89446257,1322302.86902663,1375758.29660535
Culls,Overall,3161016.51929223,32139.9604115714,3057822.28077094,3138434.91852972,3160335.14166277,3183658.71071679,3264867.27536745
Culls,Neonatal Combined,0,0,0,0,0,0,0
Culls,Juvenile Combined,0,0,0,0,0,0,0
Culls,Adult Combined,3161016.51929223,32139.9604115714,3057822.28077094,3138434.91852972,3160335.14166277,3183658.71071679,3264867.27536745
Culls,Female Combined,1853608.80779943,10990.7869780375,1818320.34573736,1845886.20649341,1853373.14409172,1861354.03691284,1889108.97876209
Culls,Male Combined,1307407.7114928,21149.1759909107,1239501.93503357,1292552.14365934,1306963.89446257,1322302.86902663,1375758.29660535
Sum,Neonatal Female,21084015.0706064,3035444.78103472,11459109.6237563,18946215.8620725,21008174.2338848,23215338.9920376,31011095.5905452
Sum,Neonatal Male,20233898.6649448,3035444.82857614,10608966.9924172,18096096.2384412,20158056.9093718,22365203.449231,30160975.125132
Sum,Juvenile Female,16268599.3505412,1533489.12764103,11369992.4501216,15190278.3833721,16233656.9458403,17347148.0511577,21249004.4756325
Sum,Juvenile Male,14465273.1492072,1598878.38526169,9357549.617354,13340937.7847539,14428934.9278025,15589841.7445968,19657740.192897
Sum,Adult Female,10741678.503296,472130.669635563,9228669.22007508,10409983.0483898,10731502.1486894,11074002.9019519,12270790.209074
Sum,Adult Male,9318690.67672888,487222.272064822,7757368.24250764,8976309.02714958,9308136.26961063,9661658.89344455,10896267.1883198
Sum,Overall,92112155.4153244,10162594.2636984,59781656.1462319,84959579.5507296,91869141.0064698,99252431.1574536,125245872.781601
Sum,Neonatal Combined,41317913.7355512,6070889.60955956,22068076.6161735,37042312.1005137,41166231.1432566,45580542.4412685,61172070.7156773
Sum,Juvenile Combined,30733872.4997484,3132367.51128206,20727542.0674756,28531239.9962584,30662591.8736428,32936989.7957545,40906744.6685295
Sum,Adult Combined,20060369.1800249,959352.924023795,16986037.4625827,19386285.6597588,20039601.6876813,20735752.1377475,23167057.3973938
Sum,Female Combined,48094292.9244436,5041056.79731647,32057771.293953,44546224.7977436,47973662.2884123,51636147.5629379,64530890.2752518
Sum,Male Combined,44017862.4908809,5121537.47066242,27723884.8522789,40413354.752986,43895478.7180575,47616426.9202987,60714982.5063488
Inflow,Neonatal Female,11969232.2809332,1979152.13083858,5713419.50698772,10574360.0190952,11917678.949868,13357514.9893011,18461064.7389679
Inflow,Neonatal Male,11969232.2809332,1979152.13083858,5713419.50698772,10574360.0190952,11917678.949868,13357514.9893011,18461064.7389679
Inflow,Juvenile Female,9112860.85744697,1056077.09286996,5743893.77702325,8370022.49897266,9088310.56387504,9855366.47450742,12547186.6467848
Inflow,Juvenile Male,8262923.72426661,1056076.95298474,4894016.93533986,7520059.69061847,8238410.20795288,9005435.81986768,11697258.8435834
Inflow,Adult Female,6719003.27990066,448274.762454848,5282721.75877784,6403996.13558633,6709245.42907536,7034536.69169043,8170720.96605424
Inflow,Adult Male,4716615.53227423,412777.204344087,3394321.43118946,4426525.4814687,4707623.36110237,5007152.79447081,6053597.98426892
Inflow,Overall,52749867.9557548,6931492.22154137,30741792.9163059,47869272.1248749,52579085.52379,57617382.4971398,75390893.9186271
Inflow,Neonatal Combined,23938464.5618663,3958304.26167715,11426839.0139754,21148720.0381904,23835357.8997361,26715029.9786023,36922129.4779358
Inflow,Juvenile Combined,17375784.5817136,2112154.04507543,10637910.7123631,15890098.6279085,17326720.7718279,18860802.2943751,24244445.4903681
Inflow,Adult Combined,11435618.8121749,861051.965791924,8677043.1899673,10830522.2482896,11416868.7901777,12041689.4861612,14224318.9503232
Inflow,Female Combined,27801096.4182808,3483494.75781542,16740035.0427888,25348325.7384273,27715303.9738426,30247359.3785706,39178972.3518069
Inflow,Male Combined,24948771.537474,3447997.46638548,14001757.873517,22520946.3864476,24863781.5499475,27370023.1185692,36211921.5668202
