date,time,run_by,nruns,system,species,scenario,Item,Group,Mean,Stdev,Min,Q1,Median,Q3,Max
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Births,Neonatal Female,10783918.51,3789785.838,4189458.572,7963394.018,10103090.67,12798599.29,28774992.48
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Births,Neonatal Male,10783918.51,3789785.838,4189458.572,7963394.018,10103090.67,12798599.29,28774992.48
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Births,Juvenile Female,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Births,Juvenile Male,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Births,Adult Female,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Births,Adult Male,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Births,Overall,21567837.01,7579571.677,8378917.144,15926788.04,20206181.35,25597198.57,57549984.96
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Births,Neonatal Combined,21567837.01,7579571.677,8378917.144,15926788.04,20206181.35,25597198.57,57549984.96
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Births,Juvenile Combined,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Births,Adult Combined,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Births,Female Combined,10783918.51,3789785.838,4189458.572,7963394.018,10103090.67,12798599.29,28774992.48
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Births,Male Combined,10783918.51,3789785.838,4189458.572,7963394.018,10103090.67,12798599.29,28774992.48
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth in,Neonatal Female,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth in,Neonatal Male,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth in,Juvenile Female,7657964.47,1997659.903,4132294.433,6167526.951,7309216.911,8735545.701,16946813.39
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth in,Juvenile Male,7657964.47,1997659.903,4132294.433,6167526.951,7309216.911,8735545.701,16946813.39
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth in,Adult Female,5464725.982,855089.5851,3945229.613,4826000.271,5317572.105,5929229.748,9400056.44
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth in,Adult Male,4287498.196,787069.1984,2889244.162,3699608.219,4151973.918,4714935.689,7911238.823
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth in,Overall,25068153.12,5637467.372,15099062.64,20860662.39,24087979.85,28115256.84,51204922.04
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth in,Neonatal Combined,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth in,Juvenile Combined,15315928.94,3995319.806,8264588.865,12335053.9,14618433.82,17471091.4,33893626.77
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth in,Adult Combined,9752224.177,1642158.777,6834473.775,8525608.49,9469546.023,10644165.44,17311295.26
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth in,Female Combined,13122690.45,2852743.499,8077524.046,10993527.22,12626789.02,14664775.45,26346869.83
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth in,Male Combined,11945462.67,2784723.884,7021538.594,9867135.17,11461190.83,13450481.39,24858052.21
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth out,Neonatal Female,7657964.47,1997659.903,4132294.433,6167526.951,7309216.911,8735545.701,16946813.39
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth out,Neonatal Male,7657964.47,1997659.903,4132294.433,6167526.951,7309216.911,8735545.701,16946813.39
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth out,Juvenile Female,5464725.982,855089.5851,3945229.613,4826000.271,5317572.105,5929229.748,9400056.44
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Growth out,Juvenile Male,4287498.196,787069.1984,2889244.162,3699608.219,4151973.918,4714935.689,7911238.823
