date,time,run_by,nruns,system,species,scenario,Item,Group,Mean,StDev,Min,Q1,Median,Q3,Max
2023-08-29,14:35,AL,10000,CLM,S,Current,Births,Neonatal Female,5941725.21639496,727626.702898142,4086514.15572575,5415926.24510401,5907583.67873863,6419389.10017541,8629047.37089655
2023-08-29,14:35,AL,10000,CLM,S,Current,Births,Neonatal Male,5941725.21639496,727626.702898142,4086514.15572575,5415926.24510401,5907583.67873863,6419389.10017541,8629047.37089655
2023-08-29,14:35,AL,10000,CLM,S,Current,Births,Juvenile Female,0,0,0,0,0,0,0
2023-08-29,14:35,AL,10000,CLM,S,Current,Births,Juvenile Male,0,0,0,0,0,0,0
2023-08-29,14:35,AL,10000,CLM,S,Current,Births,Adult Female,0,0,0,0,0,0,0
2023-08-29,14:35,AL,10000,CLM,S,Current,Births,Adult Male,0,0,0,0,0,0,0
2023-08-29,14:35,AL,10000,CLM,S,Current,Births,Overall,11883450.4327899,1455253.40579628,8173028.31145149,10831852.490208,11815167.3574773,12838778.2003508,17258094.7417931
2023-08-29,14:35,AL,10000,CLM,S,Current,Births,Neonatal Combined,11883450.4327899,1455253.40579628,8173028.31145149,10831852.490208,11815167.3574773,12838778.2003508,17258094.7417931
2023-08-29,14:35,AL,10000,CLM,S,Current,Births,Juvenile Combined,0,0,0,0,0,0,0
2023-08-29,14:35,AL,10000,CLM,S,Current,Births,Adult Combined,0,0,0,0,0,0,0
2023-08-29,14:35,AL,10000,CLM,S,Current,Births,Female Combined,5941725.21639496,727626.702898142,4086514.15572575,5415926.24510401,5907583.67873863,6419389.10017541,8629047.37089655
2023-08-29,14:35,AL,10000,CLM,S,Current,Births,Male Combined,5941725.21639496,727626.702898142,4086514.15572575,5415926.24510401,5907583.67873863,6419389.10017541,8629047.37089655
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth in,Neonatal Female,0,0,0,0,0,0,0
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth in,Neonatal Male,0,0,0,0,0,0,0
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth in,Juvenile Female,4509455.60989537,387313.452813689,3296360.36602858,4238101.97566132,4493844.58996028,4765516.46635181,5897257.37788713
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth in,Juvenile Male,4509455.60989537,387313.452813689,3296360.36602858,4238101.97566132,4493844.58996028,4765516.46635181,5897257.37788713
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth in,Adult Female,4008845.04372446,192414.937764584,3291287.29701247,3873250.38974686,4005516.1609256,4139969.13061396,4723146.88910848
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth in,Adult Male,3072484.40861956,170564.014400233,2460081.22949083,2951446.51766507,3067722.74291112,3188028.87164483,3714166.1883459
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth in,Overall,16100240.6721348,1112075.124309,12529691.8653656,15306702.8032749,16056660.6494433,16840519.098026,20186026.8553032
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth in,Neonatal Combined,0,0,0,0,0,0,0
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth in,Juvenile Combined,9018911.21979075,774626.905627378,6592720.73205715,8476203.95132264,8987689.17992056,9531032.93270362,11794514.7557743
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth in,Adult Combined,7081329.45234403,362289.414486753,5751368.5265033,6825867.61731892,7072574.39078303,7327208.78445575,8437313.07745438
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth in,Female Combined,8518300.65361983,563263.788955447,6680448.96644362,8115207.05423159,8495276.26066301,8893877.99591996,10597503.7780329
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth in,Male Combined,7581940.01851494,549161.384716452,5849242.89892198,7191679.64593479,7559617.23333533,7947328.92241294,9588523.07727029
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth out,Neonatal Female,4509455.60989537,387313.452813689,3296360.36602858,4238101.97566132,4493844.58996028,4765516.46635181,5897257.37788713
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth out,Neonatal Male,4509455.60989537,387313.452813689,3296360.36602858,4238101.97566132,4493844.58996028,4765516.46635181,5897257.37788713
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth out,Juvenile Female,4008845.04372446,192414.937764584,3291287.29701247,3873250.38974686,4005516.1609256,4139969.13061396,4723146.88910848
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth out,Juvenile Male,3072484.40861956,170564.014400233,2460081.22949083,2951446.51766507,3067722.74291112,3188028.87164483,3714166.1883459
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth out,Adult Female,0,0,0,0,0,0,0
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth out,Adult Male,0,0,0,0,0,0,0
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth out,Overall,16100240.6721348,1112075.124309,12529691.8653656,15306702.8032749,16056660.6494433,16840519.098026,20186026.8553032
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth out,Neonatal Combined,9018911.21979075,774626.905627378,6592720.73205715,8476203.95132264,8987689.17992056,9531032.93270362,11794514.7557743
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth out,Juvenile Combined,7081329.45234403,362289.414486753,5751368.5265033,6825867.61731892,7072574.39078303,7327208.78445575,8437313.07745438
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth out,Adult Combined,0,0,0,0,0,0,0
2023-08-29,14:35,AL,10000,CLM,S,Current,Growth out,Female Combined,8518300.65361983,563263.788955447,6680448.96644362,8115207.05423159,8495276.26066301,8893877.99591996,10597503.7780329
