"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1171817.66916395,164.671675338117,1171212.75648741,1171713.60576235,1171815.95606945,1171923.49732245,1172392.34037202
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",80786.964573341,30.0524182868475,80688.7275727224,80767.1649844906,80787.4056894417,80808.0271695429,80877.5858519573
"Num Offtake","Juvenile Male",337061.583410529,137.01433775067,336510.196528437,336966.342621483,337061.6983895,337156.624273833,337514.109838836
"Num Offtake","Juvenile Combined",417848.54798387,140.349757533632,417333.239015193,417761.204285621,417846.543283725,417939.686890062,418335.939934719
"Num Offtake","Adult Female",190557.735291456,4.07220114713962,190545.308693823,190555.009771413,190557.689013103,190560.501096866,190570.835595584
"Num Offtake","Adult Male",563411.385888621,24.7375771792454,563315.178916329,563394.36255365,563411.504702293,563428.462064387,563493.040518042
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-586676.588903276,2401.561193826,-594450.516522788,-588224.346933246,-586671.9067486,-585124.986950601,-579326.662793651
"Cml Pop Growth","Neonatal Female",-378517.872911981,1254.22583958912,-382698.744735177,-379378.721257653,-378524.750507651,-377671.030497343,-374768.769352235
"Cml Pop Growth","Neonatal Male",-53022.039140218,982.725233638132,-56053.0419608782,-53692.9409566038,-53010.9375746142,-52355.716871174,-49501.2745249609
"Cml Pop Growth","Neonatal Combined",-431539.912052199,1600.4195245963,-436376.813704019,-432566.220590449,-431558.542497986,-430465.11685318,-427119.658442983
"Cml Pop Growth","Juvenile Female",284679.369342577,778.48005503968,282261.46737864,284133.008509847,284699.019247088,285227.719931389,287044.397429765
"Cml Pop Growth","Juvenile Male",53928.3268447443,406.723679568271,52622.3188271014,53637.5311718271,53926.8716300225,54214.0342261502,55086.4317696119
"Cml Pop Growth","Juvenile Combined",338607.696187321,884.299708833268,335614.159026625,337988.300196432,338595.888161501,339206.087077989,341262.410368704
"Cml Pop Growth","Adult Female",-102897.320575366,167.01714844653,-103444.143259935,-103008.373767191,-102896.009236444,-102781.771676766,-102397.255323307
"Cml Pop Growth","Adult Male",-390847.052463032,64.6525091058604,-391105.200997041,-390891.126596827,-390846.928982897,-390802.958549,-390638.120915747
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",585141.080260671,2484.88050751982,577249.640140867,583541.117818634,585110.684678656,586774.106023536,592744.803025221
"Total Number Increase","Neonatal Female",-378517.872911981,1254.22583958912,-382698.744735177,-379378.721257653,-378524.750507651,-377671.030497343,-374768.769352235
"Total Number Increase","Neonatal Male",-53022.039140218,982.725233638132,-56053.0419608782,-53692.9409566038,-53010.9375746142,-52355.716871174,-49501.2745249609
"Total Number Increase","Neonatal Combined",-431539.912052199,1600.4195245963,-436376.813704019,-432566.220590449,-431558.542497986,-430465.11685318,-427119.658442983
"Total Number Increase","Juvenile Female",365466.333915918,804.701129559982,362976.280200967,364898.731873682,365488.998848901,366037.035843253,367916.307353785
"Total Number Increase","Juvenile Male",390989.910255273,528.405601600358,389132.515355539,390626.788621544,390988.517024866,391354.075857479,392471.492282464
"Total Number Increase","Juvenile Combined",756456.244171191,968.408679012098,753353.379724247,755787.958061409,756444.016077133,757102.980037225,759350.769980806
"Total Number Increase","Adult Female",87660.4147160899,170.881067326714,87101.213554298,87547.2468843688,87662.1455031759,87779.9310128556,88173.3238469124
"Total Number Increase","Adult Male",172564.333425589,88.0635544180572,172209.977919288,172503.43116237,172564.387103018,172625.583537076,172854.919602296
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",609643.322177496,2385.06702302659,602791.800152858,608086.049931145,609716.205561667,611279.75128167,616658.636265843
"Total Mortality","Neonatal Female",123132.827811171,1963.18416302849,117669.269299521,121794.188147527,123085.755671884,124435.844560031,129856.239277689
"Total Mortality","Neonatal Male",85646.9104649112,1401.30323735831,81257.4112159154,84743.5490216478,85641.9285370285,86563.5634682917,89928.4645324958
"Total Mortality","Neonatal Combined",208779.738276082,2353.82221824923,201916.65301427,207249.346491479,208831.096901683,210314.347312151,215634.381329353
"Total Mortality","Juvenile Female",100958.809433422,506.586636642766,99070.0073419968,100618.002549039,100974.82843956,101293.458851651,102549.605546049
"Total Mortality","Juvenile Male",46549.0640781397,235.35730568819,45843.4071195613,46390.2256293943,46553.1524964804,46707.1878349585,47273.1037948275
"Total Mortality","Juvenile Combined",147507.873511562,565.298986410334,145485.964585702,147124.749050632,147510.208239254,147914.894782702,149188.139754355
"Total Mortality","Adult Female",204169.002097988,4.36307265764933,204155.687886239,204166.081897942,204168.952514039,204171.965460928,204183.038138125
"Total Mortality","Adult Male",49186.7082918637,2.15962975374367,49178.3092704731,49185.2221276996,49186.7186644859,49188.1990691131,49193.8368706228
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",8220549541.98033,21029889.6859612,8159510667.48061,8206236536.03674,8221118515.39285,8235069920.23675,8284116557.8889
"Value of Total Mortality","Neonatal Female",1040943006.17909,16596409.4277112,994755055.145639,1029626384.7676,1040545066.69335,1051958477.81059,1097781529.81366
"Value of Total Mortality","Neonatal Male",774336111.45935,12669221.7372626,734650526.056785,766168795.400642,774291069.710111,782623596.884595,813045761.459565
"Value of Total Mortality","Neonatal Combined",1815279117.63844,20365617.3521186,1755422787.94894,1802091817.69375,1815650491.5782,1828445121.56977,1874784288.291
"Value of Total Mortality","Juvenile Female",1185946765.64592,5950791.08616198,1163759313.71536,1181943362.43117,1186134938.31381,1189877838.1041,1204633589.66019
"Value of Total Mortality","Juvenile Male",583086898.414761,2948152.96742838,574247637.40123,581097242.548158,583138111.112952,585067601.845756,592156427.117291
"Value of Total Mortality","Juvenile Combined",1769033664.06068,6724058.88369941,1745178877.82845,1764538116.87772,1768982209.39431,1773782972.91667,1789335830.72937
"Value of Total Mortality","Adult Female",3435882572.97252,73424.4922343133,3435658513.16102,3435833430.03533,3435881738.54307,3435932442.28165,3436118780.15973
"Value of Total Mortality","Adult Male",1200354187.30869,52703.6817052352,1200149217.29045,1200317918.9053,1200354440.44253,1200390568.28997,1200528153.39953
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",513207672.227951,169325734.377374,96220030.4366144,379974734.823489,516010354.236595,648565331.455439,939215117.948297
"Population Liveweight (kg)","Neonatal Female",39655615.4266878,22433172.3307681,773186.941184543,20180823.4610341,39518057.5864591,59710001.1319558,77867628.4161453
"Population Liveweight (kg)","Neonatal Male",31335783.7063316,18630325.1147909,631728.958738679,15197787.4556327,30389200.1716211,47997045.6555669,63571625.8918245
"Population Liveweight (kg)","Juvenile Female",96214838.5044895,54973665.6369566,1066321.15098129,47995363.2431568,95990553.5136105,144110787.741245,192320391.236778
"Population Liveweight (kg)","Juvenile Male",40842223.1836025,23545712.7002941,461715.407666338,20301390.9534491,41789450.7672369,60048935.9178062,83269672.3382885
"Population Liveweight (kg)","Juvenile Combined",137057061.688092,59354380.8463151,3984158.05154378,89817253.4907418,136303962.492897,183513885.895389,274022587.929717
"Population Liveweight (kg)","Adult Female",270612346.73432,154056750.229357,2226920.4269801,140317208.363528,271713469.23768,405329836.831706,534571252.359794
"Population Liveweight (kg)","Adult Male",34546864.6725193,19298699.683158,283111.018587781,17556713.6713478,34968046.2481581,51237316.956716,67974241.8534514
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",129571758.509092,44812119.6832238,20659063.6562753,95803317.6539808,130448007.270346,164072176.673947,242035595.517225
"Offtake Liveweight (kg)","Juvenile Female",7533393.90845922,4178115.46188627,80710.9335923461,3879811.70203728,7513035.14165567,11233548.382617,14557965.4533523
