"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1222841.91844669,4735.87329349932,1211466.1417204,1219495.11988135,1222207.63256962,1225767.46855993,1241309.91082459
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",85018.5606361908,462.341228136895,83919.8020288311,84690.567670932,84958.3699898407,85313.3694925522,86849.1549228526
"Num Offtake","Juvenile Male",370950.17182403,3627.61850926412,362106.953441504,368335.922285559,370533.169451204,373233.793692803,385046.554783966
"Num Offtake","Juvenile Combined",455968.732460221,4088.51348521939,446026.755470335,453048.647660497,455506.848598042,458563.83559447,471895.709706819
"Num Offtake","Adult Female",198546.768733601,54.0485173603405,198430.426910247,198508.695149774,198540.834687851,198580.154024703,198755.618350727
"Num Offtake","Adult Male",568326.417252869,606.294901496017,567003.377516638,567896.823909518,568260.903786322,568690.952236569,570658.582767048
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",652330.508542902,82193.1455047207,423027.482671301,595991.083357713,644261.41826947,698955.240458036,921202.70796229
"Cml Pop Growth","Neonatal Female",-18248.7574473367,29352.8751624157,-93339.380017146,-39081.0995330774,-21742.1711858305,-593.129976861353,73566.8282316118
"Cml Pop Growth","Neonatal Male",307242.644597922,29253.4258118763,232306.115660254,286811.880295771,303703.728271016,325408.137183896,401145.586498868
"Cml Pop Growth","Neonatal Combined",288993.887150585,58571.1557095685,138966.735643108,247980.992491974,281492.27743313,325128.448284906,474712.41473048
"Cml Pop Growth","Juvenile Female",441810.08825884,13895.9601553072,404264.81771885,432265.205311235,440602.154749342,450130.538245848,493382.377090363
"Cml Pop Growth","Juvenile Male",184877.491575914,11324.7531909361,153845.840230116,177177.370332786,184041.727619793,191908.002228671,227263.128364677
"Cml Pop Growth","Juvenile Combined",626687.579834753,25181.7724122846,558110.657948965,609355.366041498,624667.733014758,641894.285986645,720645.50545504
"Cml Pop Growth","Adult Female",110545.091468327,2647.2505004287,104225.502615334,108670.890025472,110214.563816089,112237.064131162,121025.444334183
"Cml Pop Growth","Adult Male",-373896.049910764,1747.60667816754,-378275.413536107,-375130.810987137,-374060.356136991,-372779.035712464,-367157.881018329
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1875172.42698959,85569.9963235989,1634493.6243917,1816683.40653391,1867393.33433641,1922693.41447731,2161291.25610181
"Total Number Increase","Neonatal Female",-18248.7574473367,29352.8751624157,-93339.380017146,-39081.0995330774,-21742.1711858305,-593.129976861353,73566.8282316118
"Total Number Increase","Neonatal Male",307242.644597922,29253.4258118763,232306.115660254,286811.880295771,303703.728271016,325408.137183896,401145.586498868
"Total Number Increase","Neonatal Combined",288993.887150585,58571.1557095685,138966.735643108,247980.992491974,281492.27743313,325128.448284906,474712.41473048
"Total Number Increase","Juvenile Female",526828.64889503,14323.1716661973,488184.619747681,517057.542915021,525605.015991419,535492.785374698,579953.987358068
"Total Number Increase","Juvenile Male",555827.663399944,14674.4817897146,515952.793671619,545518.128366356,554661.976084548,564778.080991357,610783.001611413
"Total Number Increase","Juvenile Combined",1082656.31229497,28976.8070495612,1004137.4134193,1062351.81938807,1080248.4611702,1100375.89428646,1190736.98896948
"Total Number Increase","Adult Female",309091.860201928,2699.82113534311,302661.511348765,307177.969406043,308749.263630843,310819.600644498,319781.062684911
"Total Number Increase","Adult Male",194430.367342104,2334.87030809147,188727.963980531,192747.525391059,194167.250148217,195895.653777416,203500.701748719
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",465824.200451937,6329.29012561994,449269.638630185,461889.634371859,465278.933570667,469663.81042895,490388.883879175
"Total Mortality","Neonatal Female",148044.699780397,3242.31520225666,137990.031391061,145794.864097139,147866.258906692,150032.230605297,158441.193367406
"Total Mortality","Neonatal Male",110604.273835911,2861.23970638003,102197.293616834,108657.659441941,110378.701968503,112295.788046816,121091.43700556
"Total Mortality","Neonatal Combined",258648.973616308,5384.53118490304,243423.723797491,255212.339491137,258243.104517759,261716.554676098,279049.963592756
"Total Mortality","Juvenile Female",106296.361926856,784.403820984983,104199.803724975,105758.944597817,106255.25181552,106791.901019767,108910.783087696
"Total Mortality","Juvenile Male",51263.0665771732,552.932890253332,49711.4888812754,50874.0432309674,51216.4258268855,51627.7808002296,53255.6439644808
"Total Mortality","Juvenile Combined",157559.42850403,1215.26092608531,154619.682784604,156738.305656389,157459.02673718,158339.240501229,161589.082571283
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",49615.7983315997,52.9305072734618,49500.2948625636,49578.2941508309,49610.0789019805,49647.6228143036,49819.4000828375
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",5941208612.67262,65236765.9962353,5773973217.45493,5898573371.28494,5935102753.05119,5980746228.19598,6195008604.28271
"Value of Total Mortality","Neonatal Female",1347392492.72254,29509135.8828859,1255882396.61844,1326916165.54583,1345768456.91455,1365481516.62206,1442013626.95127
"Value of Total Mortality","Neonatal Male",1097820381.53571,28399691.5958539,1014375556.92285,1078498949.52793,1095581431.94585,1114609775.94143,1201912394.19348
"Value of Total Mortality","Neonatal Combined",2445212874.25825,51061126.7240375,2300650757.23611,2412657266.07995,2441494315.07729,2474065130.94173,2639533147.93075
"Value of Total Mortality","Juvenile Female",1337695426.7192,9871395.26708083,1311311115.27459,1330932253.54691,1337178073.09646,1343931579.73828,1370596827.73591
"Value of Total Mortality","Juvenile Male",810042222.368139,8737264.80188156,785524698.761356,803895002.606339,809305220.47694,815805317.311535,841528278.954809
"Value of Total Mortality","Juvenile Combined",2147737649.08734,16861677.874141,2106453885.48149,2136119976.21069,2146267803.93515,2158769290.41542,2204282309.1858
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",1348258089.32703,1438331.88225004,1345119401.81801,1347238951.93923,1348102669.73267,1349122886.78443,1353790756.68981
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1007398742.08073,121449448.805864,587404012.127076,921243457.054965,1011842034.01183,1095775792.48732,1334309101.62164
"Population Liveweight (kg)","Neonatal Female",58838086.2962934,31953594.4902957,1102334.2938814,31656673.0108314,57120224.8046646,87155420.2114315,118457373.457383
"Population Liveweight (kg)","Neonatal Male",50323153.4924102,29435288.0978942,953810.961665388,24432040.3663017,50940062.3571525,76083617.3416312,105070548.292329
"Population Liveweight (kg)","Juvenile Female",111306447.664333,63528467.2968296,1213538.00469525,57057512.4028044,115454923.221383,166732427.326796,226220946.807796
"Population Liveweight (kg)","Juvenile Male",54851912.3417306,30483656.9801734,597526.235944532,29220462.5645421,54578572.1704792,80591579.4905666,109799983.854815
"Population Liveweight (kg)","Juvenile Combined",166158360.006064,68989411.1887303,9193052.74435277,110843577.703082,168546218.304488,218083210.126976,325953246.221586
"Population Liveweight (kg)","Adult Female",696168568.025293,91824499.5626189,385784629.064828,633065951.649281,704954961.429946,769524669.645735,850914561.868692
"Population Liveweight (kg)","Adult Male",35910574.2606727,20711735.9744015,298331.778743808,18506356.4465376,35061585.2724615,53365803.8550671,72154432.781607
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",168563801.823904,45430322.2366852,55064199.1188024,133415147.610883,169701559.806892,204161170.513868,280911158.458079
"Offtake Liveweight (kg)","Juvenile Female",7782543.60871887,4384545.9815926,84185.2138452212,4067740.96414014,8000608.87964242,11447834.0628913,15347608.8733409
"Offtake Liveweight (kg)","Juvenile Male",33314233.1612169,19723636.0654166,365124.800749942,15129283.3819071,34712179.6300452,50752036.8163645,66600963.2660591
"Offtake Liveweight (kg)","Adult Female",57201779.5269111,7298002.2691376,34928208.7118093,52267409.7592853,58031990.6656976,63293815.6331615,69102037.9762141
"Offtake Liveweight (kg)","Adult Male",70265245.5270571,39625721.9146884,567220.441150515,36357309.107779,71396911.8593293,105637060.281372,136690814.969704
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",533951758.629448,47998930.3560985,380531794.021265,500802855.836459,535071149.902164,567766858.165481,699825911.837025
"Manure","Overall",3024250098.85733,102620449.217671,2714385726.99835,2949372350.07642,3022925293.75573,3093829209.89859,3346886142.97547
"Manure","Neonatal Female",266417129.457163,7830732.21294697,240565141.185456,261176895.946585,266327765.294396,271506817.311471,297030252.311227
"Manure","Neonatal Male",205319005.24279,6940260.73400159,184809634.707237,200521653.165741,205243940.415627,209606497.17796,235111123.731726
"Manure","Neonatal Combined",471736134.699953,12352468.4969795,433746518.308707,463289171.947359,471103394.229224,479383431.20175,532141376.042953
"Manure","Juvenile Female",433924918.920545,14405760.9441548,389044043.690674,424153495.717261,433684166.018535,443642317.975139,477814314.681309
"Manure","Juvenile Male",208311405.4882,7560397.91755132,183689931.861128,203437323.330341,208379486.17541,213186412.910609,232579150.401934
"Manure","Juvenile Combined",642236324.408745,16922782.9482913,584439562.327072,630332764.567805,642251913.860307,654068069.702629,690898087.943037
"Manure","Adult Female",1623550856.31181,97554423.2219778,1337127629.93994,1565126665.35225,1623273754.64662,1681012662.24912,1908667449.36917
"Manure","Adult Male",286726783.436824,17967701.5145044,240402876.459184,274899297.10655,286885698.92068,299543382.581065,347062418.348324
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",103587.613417815,630.444599892389,102081.430792492,103154.461230459,103536.234849342,103998.478037231,105687.042212242
"Hides","Juvenile Female",53148.1809634282,392.201910492492,52099.9018624873,52879.4722989085,53127.6259077599,53395.9505098836,54455.3915438479
"Hides","Juvenile Male",25631.5332885866,276.466445126666,24855.7444406377,25437.0216154837,25608.2129134427,25813.8904001148,26627.8219822404
"Hides","Juvenile Combined",78779.7142520148,607.630463042653,77309.8413923018,78369.1528281947,78729.5133685901,79169.6202506147,80794.5412856413
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",24807.8991657998,26.4652536367309,24750.1474312818,24789.1470754155,24805.0394509902,24823.8114071518,24909.7000414188
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",2079884309.65866,290298133.728387,1338573625.47163,1870438297.41962,2059901458.66799,2280996234.93157,3044680202.5809
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",9411543011.10352,305830361.103179,8476518152.36024,9211459495.54126,9408396141.19582,9615626495.45908,10315550326.9949
"Cml Dry Matter","Neonatal Female",616188816.597377,60392806.9934722,435313515.711767,576824179.637907,614596957.706105,654985123.587367,801494982.306365
"Cml Dry Matter","Neonatal Male",474531159.323703,47449109.2156739,347619456.848569,442272697.600506,472563408.127449,507701365.424834,625267544.219198
"Cml Dry Matter","Neonatal Combined",1090719975.92108,77744848.3675612,851371785.833895,1037621040.04892,1093226847.55992,1141983803.17291,1318967497.65765
"Cml Dry Matter","Juvenile Female",947628639.557671,120973565.934444,626030324.858894,865200320.590462,947404645.675159,1033754588.09881,1285412625.32649
"Cml Dry Matter","Juvenile Male",451171658.045926,61140526.5333321,263279607.635741,407899122.12596,448701660.398882,493121126.821118,636352151.79826
"Cml Dry Matter","Juvenile Combined",1398800297.6036,139801057.83042,1009496189.0186,1300026210.34143,1393339500.01666,1500297854.20091,1781416045.45353
"Cml Dry Matter","Adult Female",6394678982.69429,233611459.416894,5584251941.62507,6241642120.29998,6404816684.21241,6562521120.31997,7077593118.93076
"Cml Dry Matter","Adult Male",527343754.88455,74347579.9968506,303959387.886831,475113201.359859,525018725.757925,577037945.641476,777100637.026381
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",27703548513.9055,3157114244.16563,18369960361.0677,25454500750.7555,27760191618.218,30116923733.352,36543140666.8959
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",978971203.79777,161146066.189354,487988545.210985,866611896.63348,990672397.634213,1102966517.88361,1305814110.09004
"Value of Offtake","Juvenile Male",6522007493.32604,1571466913.36063,2250928800.48569,5356021066.6775,6616582346.53305,7766365926.93105,9731987652.70714
"Value of Offtake","Juvenile Combined",7500978697.12381,1584151419.21269,3317072757.24835,6332593289.28547,7630536754.68822,8767812954.96697,10975177210.9535
"Value of Offtake","Adult Female",3436275351.6362,540918512.91703,2057430183.52312,3047670370.10074,3418184567.03695,3856110599.50931,4777711739.52773
"Value of Offtake","Adult Male",16766294465.1455,2580917740.6506,9475058831.32403,14871219907.3216,16840578003.1498,18692558681.3988,22390206903.4114
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of draught","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",2145114803.21782,2312304403.45954,-4460013334.194,588066210.267983,2092800166.30305,3576602453.04124,10257579311.3737
"Value of Herd Increase","Neonatal Female",-149333570.871677,244510927.283227,-809899022.767105,-315260228.267382,-173657840.818202,-4866138.87019529,685673428.072946
"Value of Herd Increase","Neonatal Male",3105337991.27599,561762962.060447,1799263726.38252,2676568388.61948,3066556123.32988,3461837938.42602,5198440174.89574
