"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1189110.23565472,154.621306880094,1188646.7604663,1189003.5782494,1189109.34349009,1189209.74641099,1189601.07874656
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",83943.0354621106,25.6922332538648,83840.6907964269,83925.5818807863,83943.1040438284,83960.3457796892,84019.8680916927
"Num Offtake","Juvenile Male",348546.599882071,129.039380790285,348191.125658901,348458.008251177,348544.172097035,348631.818624142,348917.787822942
"Num Offtake","Juvenile Combined",432489.635344181,132.961406867289,432092.566100091,432397.484680473,432489.35131425,432576.815131968,432913.931424985
"Num Offtake","Adult Female",190979.642139321,3.04195902083973,190968.199060365,190977.647222551,190979.575473763,190981.732988433,190988.52789797
"Num Offtake","Adult Male",565640.958171223,21.6624547452106,565578.182880836,565626.510160866,565640.140209493,565655.267406623,565705.750049889
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-454541.254752612,2424.45830531366,-462957.842151456,-456082.181329986,-454429.457429531,-453026.581040902,-447053.110877196
"Cml Pop Growth","Neonatal Female",-377220.965697306,1254.78047411116,-381816.975069479,-378057.000273363,-377235.30477082,-376371.202545613,-373415.144033777
"Cml Pop Growth","Neonatal Male",-51786.731870376,961.675691105274,-54858.3230861662,-52425.7896854897,-51799.0959410161,-51141.044775062,-48877.0343719258
"Cml Pop Growth","Neonatal Combined",-429007.697567682,1608.48630595218,-433827.648948192,-430096.193635315,-428962.632194275,-427920.475642669,-423450.616185503
"Cml Pop Growth","Juvenile Female",363941.196987435,731.080457016736,361178.753298836,363447.757130624,363946.250194091,364411.717988393,366042.522297685
"Cml Pop Growth","Juvenile Male",81644.2764960292,395.72347867675,80325.7091671124,81378.2939322125,81642.9231946544,81907.6272750547,82832.9097598139
"Cml Pop Growth","Juvenile Combined",445585.473483464,841.532249688953,442555.390125726,445036.423988044,445593.908853623,446151.797664004,448293.335852357
"Cml Pop Growth","Adult Female",-85403.6926126582,143.804449408418,-85977.831269687,-85501.4490930104,-85403.1590679025,-85306.7585898637,-84973.5769829131
"Cml Pop Growth","Adult Male",-385715.338055736,61.9794535931234,-385896.454859274,-385758.157739204,-385716.13055197,-385674.966876602,-385533.254676795
