"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1189110.0776012,147.218995191112,1188659.26774039,1189007.2689675,1189108.97843503,1189212.47250844,1189552.9130125
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",83942.728063426,25.8550429948501,83852.3642229947,83924.2600316698,83941.9084105109,83960.5448135457,84016.3309816691
"Num Offtake","Juvenile Male",348546.843931261,124.187540702888,348157.989342391,348459.189895488,348545.557312117,348631.996595299,348957.067372653
"Num Offtake","Juvenile Combined",432489.571994687,126.462356079509,432103.033677347,432401.707669901,432489.213442903,432578.3046649,432867.640958631
"Num Offtake","Adult Female",190979.634830506,3.04961660096297,190969.257186918,190977.425197672,190979.539022592,190981.796765317,190988.211611701
"Num Offtake","Adult Male",565640.870776005,20.9991658310658,565567.115502991,565626.393724901,565640.425032116,565655.3975792,565709.427423261
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-454678.010416325,2412.47732429488,-461222.995479109,-456402.01602755,-454650.856822162,-453068.568911526,-446233.069034874
"Cml Pop Growth","Neonatal Female",-377331.235307275,1327.97271874283,-380748.942281793,-378215.293972709,-377360.035169591,-376455.628477295,-372807.208982695
"Cml Pop Growth","Neonatal Male",-51789.0305004372,949.746510611019,-54731.5678859723,-52420.9085329534,-51799.7856810245,-51156.5574085732,-48255.513555283
"Cml Pop Growth","Neonatal Combined",-429120.265807712,1616.76921719362,-433476.868499659,-430217.055859806,-429141.775112812,-427970.854406795,-422988.963172931
"Cml Pop Growth","Juvenile Female",363913.447701035,744.017562334521,361320.17811343,363378.314352473,363861.052172366,364424.730801578,366020.907422
"Cml Pop Growth","Juvenile Male",81649.3901386879,385.43524027597,80406.7073917179,81377.9222963694,81653.0452087445,81913.4654433798,82710.7081092855
"Cml Pop Growth","Juvenile Combined",445562.837839722,831.181941922539,442967.599658578,445004.026852704,445545.227209773,446095.22373035,448367.280128951
"Cml Pop Growth","Adult Female",-85405.4999762371,144.75475471017,-85911.5881500347,-85509.7330613184,-85410.1913049333,-85306.4495420699,-84993.6622687671
"Cml Pop Growth","Adult Male",-385715.082472099,59.5671707033786,-385893.577347651,-385756.73406056,-385715.520260237,-385673.423827005,-385519.74038046
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",734432.067184873,2487.56839331322,727533.190500732,732658.197450259,734456.745425051,736084.839342317,742910.848290135
"Total Number Increase","Neonatal Female",-377331.235307275,1327.97271874283,-380748.942281793,-378215.293972709,-377360.035169591,-376455.628477295,-372807.208982695
"Total Number Increase","Neonatal Male",-51789.0305004372,949.746510611019,-54731.5678859723,-52420.9085329534,-51799.7856810245,-51156.5574085732,-48255.513555283
"Total Number Increase","Neonatal Combined",-429120.265807712,1616.76921719362,-433476.868499659,-430217.055859806,-429141.775112812,-427970.854406795,-422988.963172931
"Total Number Increase","Juvenile Female",447856.175764461,768.405288116989,445172.542336425,447308.722948247,447809.152418355,448384.821755139,450036.42766015
"Total Number Increase","Juvenile Male",430196.234069949,500.656620821472,428594.360401474,429840.715295934,430184.48297577,430547.487414542,431667.775481938
"Total Number Increase","Juvenile Combined",878052.409834409,909.077532454401,875241.41114088,877437.062644936,878040.800091257,878630.786416103,881165.588444249
"Total Number Increase","Adult Female",105574.134854269,147.736959095966,105057.669036884,105467.859738509,105570.049810616,105674.885747405,105994.549342934
"Total Number Increase","Adult Male",179925.788303906,79.91056792287,179676.401868897,179868.961720535,179924.785611999,179980.610129891,180189.687042801
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",463005.996949194,2404.77883291603,455031.466851957,461443.294264916,463060.518759795,464721.051274598,469354.088493564
"Total Mortality","Neonatal Female",123266.957715697,2055.7266577937,116458.744001151,121898.331695085,123315.211157087,124700.148403133,129136.33767041
"Total Mortality","Neonatal Male",85736.6560536996,1384.9816453497,80848.3125412874,84840.9502165071,85756.8228613666,86652.4749153696,90360.444441208
"Total Mortality","Neonatal Combined",209003.613769397,2407.23886275261,201027.191738642,207438.514027499,209058.671667098,210720.508417423,215360.859141694
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
