"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1179264.71530578,89.5810819455686,1178942.46029685,1179201.42785461,1179265.59968572,1179325.95304927,1179545.6410303
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",81852.9524852685,17.5303519278903,81800.4101788118,81841.1590856554,81852.7503313316,81864.8517240383,81910.9434286414
"Num Offtake","Juvenile Male",342533.709068747,70.0383030814521,342298.637744252,342484.512195972,342534.196723053,342582.799113354,342760.137020307
"Num Offtake","Juvenile Combined",424386.661554016,74.3478066426738,424115.344579073,424333.454523356,424386.607081499,424437.571417423,424619.263911743
"Num Offtake","Adult Female",190666.03405925,2.74785216103325,190656.866710466,190664.193883378,190665.941880222,190667.947350328,190676.640841361
"Num Offtake","Adult Male",564212.019692516,15.3422881111131,564166.15571848,564200.976356231,564212.567834386,564221.870422785,564262.583969589
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-387004.008112972,789.261043980572,-389799.848354928,-387518.747328731,-386990.694125233,-386501.783944146,-384541.465911657
"Cml Pop Growth","Neonatal Female",-301115.261282419,203.667008655262,-301719.531435182,-301246.180350039,-301120.185332763,-300979.397841256,-300490.370359476
"Cml Pop Growth","Neonatal Male",2433.96271752285,203.667008655264,1829.69256475929,2303.04364990233,2429.03866717842,2569.82615868625,3058.85364046611
"Cml Pop Growth","Neonatal Combined",-298681.298564896,407.334017310526,-299889.838870423,-298943.136700137,-298691.146665585,-298409.571682569,-297431.516719009
"Cml Pop Growth","Juvenile Female",322029.717340922,432.327168757469,320430.078002391,321736.866686861,322039.222967406,322329.543206988,323206.571206409
"Cml Pop Growth","Juvenile Male",74649.0001585375,170.34150780186,74157.6241725034,74538.3046086233,74646.6087066517,74766.937333767,75148.7936603681
"Cml Pop Growth","Juvenile Combined",396678.71749946,476.922364424919,394811.710726422,396375.422622129,396690.183241208,397006.208886921,398067.137307058
"Cml Pop Growth","Adult Female",-96883.9268485626,96.5177359257971,-97169.3583715782,-96949.8012433413,-96884.4738959584,-96817.5488524967,-96571.2364546396
"Cml Pop Growth","Adult Male",-388117.500198974,30.6042547356749,-388222.284414372,-388139.103529135,-388117.797154007,-388095.644146861,-388019.451369381
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",792260.707192809,833.270476947417,789327.569736097,791716.747037451,792282.95154148,792820.372233217,794723.96055427
"Total Number Increase","Neonatal Female",-301115.261282419,203.667008655262,-301719.531435182,-301246.180350039,-301120.185332763,-300979.397841256,-300490.370359476
"Total Number Increase","Neonatal Male",2433.96271752285,203.667008655264,1829.69256475929,2303.04364990233,2429.03866717842,2569.82615868625,3058.85364046611
"Total Number Increase","Neonatal Combined",-298681.298564896,407.334017310526,-299889.838870423,-298943.136700137,-298691.146665585,-298409.571682569,-297431.516719009
"Total Number Increase","Juvenile Female",403882.669826191,445.265417864657,402232.909386285,403577.022762394,403887.228030281,404195.001328452,405086.587635156
"Total Number Increase","Juvenile Male",417182.709227285,222.276393865237,416456.261916756,417033.813276372,417185.112380783,417332.659140692,417782.496862006
"Total Number Increase","Juvenile Combined",821065.379053476,514.358451114624,819076.672188181,820745.932609595,821079.089650106,821416.848420162,822584.051466527
"Total Number Increase","Adult Female",93782.1072106869,99.0629018028154,93487.7576619133,93714.2316629581,93781.2639794955,93850.3271375797,94105.4043867218
"Total Number Increase","Adult Male",176094.519493543,44.8034242909991,175943.871304108,176062.939040265,176094.638443169,176125.937388848,176239.397030651
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",403172.293332586,561.647270305374,401228.571800023,402760.294100894,403160.475463381,403543.453057632,405234.386297445
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",102305.542232828,514.507579440673,100861.9483501,101942.576301358,102268.062715686,102650.819062897,104120.657666272
"Total Mortality","Juvenile Male",47325.1097139136,232.658724872077,46548.4886449568,47162.8177208926,47328.4335013715,47488.9640423494,47974.1880697435
"Total Mortality","Juvenile Combined",149630.651946741,563.758427657241,147678.227493926,149217.517600597,149619.531153712,150004.812045858,151698.820351352
"Total Mortality","Adult Female",204285.036492053,2.94412731539378,204275.214332643,204283.064875047,204284.937728809,204287.08644678,204296.400901459
"Total Mortality","Adult Male",49256.6048937911,1.33940610493843,49252.6008960578,49255.6407930043,49256.6527474464,49257.4648781796,49261.0192354403
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",5977354800.11726,7445238.60124406,5951126492.20878,5971934816.7745,5977093607.3539,5982288242.49789,6004278091.45968
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",1296611984.42667,6520826.52631763,1278315994.90217,1292011784.21844,1296136972.12493,1300987994.42614,1319616607.37042
"Value of Total Mortality","Juvenile Male",750373762.767797,3688971.96178484,738059875.335086,747800506.113848,750426463.816279,752971791.377079,760665368.453226
"Value of Total Mortality","Juvenile Combined",2046985747.19446,7478221.83518669,2020621881.82571,2041578528.21139,2046676542.40319,2051947782.29397,2074002707.59081
"Value of Total Mortality","Adult Female",3081056697.66118,44403.7573168682,3080908558.42124,3081026961.44611,3081055208.09953,3081087615.37718,3081228097.34035
"Value of Total Mortality","Adult Male",849312355.261616,23094.8551182112,849243315.896181,849295731.649174,849313180.383461,849327183.635761,849388470.026551
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",579211675.168187,172504502.786926,170055073.050219,439979418.688071,576860228.812154,715259489.177869,969183311.941264
"Population Liveweight (kg)","Neonatal Female",95122265.6616275,20572525.2354438,34729327.0219316,81673759.4077938,96866196.0573578,110379956.511663,135411196.035837
"Population Liveweight (kg)","Neonatal Male",34360664.1949619,19616208.000959,688299.529023917,17732396.0443164,33738708.8133331,51622771.1445533,68856087.4202459
"Population Liveweight (kg)","Juvenile Female",100459582.456134,57083033.2510042,1103895.78374519,50766516.8741364,101022177.165412,150130163.479187,198875092.794676
"Population Liveweight (kg)","Juvenile Male",42683077.9203029,25106774.7916408,482354.891476848,21229795.2205444,43433470.3976436,62762246.5062876,86914921.1085954
"Population Liveweight (kg)","Juvenile Combined",143142660.376437,62061244.870648,5931138.02684801,95506823.1304501,143369264.813298,194083220.389113,280472523.739761
"Population Liveweight (kg)","Adult Female",272258540.592863,153849965.288452,2233278.15345332,138463791.257267,271339305.106011,401994005.64277,536005531.705449
"Population Liveweight (kg)","Adult Male",34327544.3422971,20050178.6027422,285871.673004166,16295823.3602825,34732147.3566103,51241571.8512945,68613373.9383692
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",130097750.633658,45675955.3172804,18171350.9795061,95723903.914096,132054936.38322,163201726.743975,248705112.340404
"Offtake Liveweight (kg)","Juvenile Female",7524673.82594967,4176525.88369986,81852.2669707158,4092935.54320044,7528853.0414901,11134965.1122481,14736246.0017891
"Offtake Liveweight (kg)","Juvenile Male",31321398.7165986,18095786.3979338,342422.466129856,15417603.0573166,31162429.9119573,47950964.196866,61667519.8187984
"Offtake Liveweight (kg)","Adult Female",23238192.6274304,13247855.3415693,190665.527401637,11440022.3962984,22879689.7492775,34892105.6064348,45760162.5546248
"Offtake Liveweight (kg)","Adult Male",68013485.4636791,39291825.1784641,564196.777017857,34275655.2730801,67706991.3289483,102118198.266685,135417247.110265
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",423558856.158119,50635053.2509855,271071239.784689,389721520.091502,424676831.075882,458226815.9346,585888096.006689
"Manure","Overall",2818664511.8776,95714598.6871472,2495335753.18998,2752564806.40726,2821283977.22034,2885257672.14056,3082923809.68923
"Manure","Neonatal Female",226619374.039625,5572917.13777857,206860808.579776,222771265.924068,226674599.895294,230349853.650416,247772074.33854
"Manure","Neonatal Male",161324574.075456,4124221.39024351,148878676.907727,158526493.75667,161322486.229359,164185729.56828,174076676.35204
"Manure","Neonatal Combined",387943948.11508,6937621.21142516,362452724.387311,383729254.222248,388055683.410177,392792281.191915,408017646.055003
"Manure","Juvenile Female",414440751.068055,13780821.8483767,371295443.259587,404845111.711162,414590666.985919,424278853.572701,455233568.768413
"Manure","Juvenile Male",189107861.964035,6270292.20060194,168896742.587782,184752016.257494,188871991.049798,193490966.748321,207916109.547142
"Manure","Juvenile Combined",603548613.03209,15115167.0177545,561376749.931116,593055699.449406,603517834.133692,614525734.132565,657933169.389925
"Manure","Adult Female",1542557220.76829,93118070.6475966,1221322871.36756,1491891111.28061,1546668309.61644,1601737032.32917,1819035032.20544
"Manure","Adult Male",284614729.962143,17401665.3896517,238395126.27143,272312053.214901,285395795.877238,296457077.211643,336396333.881976
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",201586.146666293,280.823635152687,200614.285900012,201380.147050447,201580.237731691,201771.726528816,202617.193148723
"Hides","Juvenile Female",51152.7711164139,257.253789720337,50430.9741750499,50971.2881506792,51134.0313578431,51325.4095314484,52060.3288331362
"Hides","Juvenile Male",23662.5548569568,116.329362436039,23274.2443224784,23581.4088604463,23664.2167506858,23744.4820211747,23987.0940348718
"Hides","Juvenile Combined",74815.3259733707,281.879213828621,73839.1137469631,74608.7588002986,74809.7655768558,75002.4060229291,75849.4101756759
"Hides","Adult Female",102142.518246027,1.47206365769689,102137.607166321,102141.532437524,102142.468864404,102143.54322339,102148.200450729
"Hides","Adult Male",24628.3024468956,0.669703052469217,24626.3004480289,24627.8203965021,24628.3263737232,24628.7324390898,24630.5096177201
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",216651343.978227,35748443.0394809,108186638.578536,191453060.476839,217701117.087188,240763204.953784,320957372.247933
"Wool","Overall",0,0,0,0,0,0,0
