"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1228499.25338071,33.4100275323711,1228409.17276744,1228475.25355599,1228499.98894737,1228522.86616955,1228603.393863
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",85132.7042531916,3.2465437363439,85123.9514353294,85130.3716236533,85132.7722149945,85135.0007632011,85142.8165481824
"Num Offtake","Juvenile Male",354967.977121906,25.534931118399,354899.833931482,354949.497642356,354968.587041266,354986.219723302,355046.996164791
"Num Offtake","Juvenile Combined",440100.681375097,28.7801455183974,440023.785366812,440079.922778905,440101.352785971,440121.301637078,440189.812712973
"Num Offtake","Adult Female",198672.212233846,0.378885039564114,198671.084325794,198671.946911843,198672.228268156,198672.480924764,198673.412405954
"Num Offtake","Adult Male",589726.359771768,4.34266918917712,589713.892291233,589723.27110721,589726.529556806,589729.438291888,589740.168744071
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",17120.3364093347,568.135848905781,15364.9054842275,16722.4818541938,17135.3315061913,17512.8902269974,19115.5361909596
"Cml Pop Growth","Neonatal Female",-278796.799995209,203.17573746571,-279439.850554484,-278942.722137484,-278785.203031206,-278657.68009453,-278133.654632066
"Cml Pop Growth","Neonatal Male",24752.4240047324,203.175737465705,24109.3734454575,24606.5018624573,24764.020968736,24891.543905412,25415.5693678759
"Cml Pop Growth","Neonatal Combined",-254044.375990477,406.351474931415,-255330.477109027,-254336.220275027,-254021.18206247,-253766.136189118,-252718.08526419
"Cml Pop Growth","Juvenile Female",408279.327738006,98.3243334434716,408018.325244061,408211.345355912,408279.940020573,408348.113326898,408596.405001014
"Cml Pop Growth","Juvenile Male",108105.554194738,79.8139552541612,107892.083442232,108050.674853952,108107.291386522,108160.865069523,108361.642495243
"Cml Pop Growth","Juvenile Combined",516384.881932743,178.001194093247,515910.408686293,516262.242256413,516387.326544445,516511.311495449,516958.047496256
"Cml Pop Growth","Adult Female",110974.626342845,18.5896126887488,110924.679842785,110961.324527534,110974.891976462,110987.842841073,111032.427755892
"Cml Pop Growth","Adult Male",-356194.795875777,12.5876977478682,-356227.523410306,-356203.966767828,-356194.525891726,-356185.794833821,-356155.812012606
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1245619.58979005,591.517025645839,1243818.88288669,1245214.61126586,1245637.26998365,1246032.72600932,1247716.55209586
"Total Number Increase","Neonatal Female",-278796.799995209,203.17573746571,-279439.850554484,-278942.722137484,-278785.203031206,-278657.68009453,-278133.654632066
"Total Number Increase","Neonatal Male",24752.4240047324,203.175737465705,24109.3734454575,24606.5018624573,24764.020968736,24891.543905412,25415.5693678759
"Total Number Increase","Neonatal Combined",-254044.375990477,406.351474931415,-255330.477109027,-254336.220275027,-254021.18206247,-253766.136189118,-252718.08526419
"Total Number Increase","Juvenile Female",493412.031991197,101.348122446647,493143.257672574,493342.022457267,493411.822960468,493483.380724993,493739.003775575
"Total Number Increase","Juvenile Male",463073.531316643,103.562552979056,462798.799481005,463001.830306152,463072.644196606,463146.823277322,463407.899282028
"Total Number Increase","Juvenile Combined",956485.563307841,204.906348048068,955942.057153579,956343.286624159,956485.076382782,956630.492711181,957146.903057603
"Total Number Increase","Adult Female",309646.838576691,18.9584095288005,309595.810983447,309633.231885821,309647.187310134,309660.315835764,309705.840161846
"Total Number Increase","Adult Male",233531.563895991,16.7992967884175,233486.73284966,233519.406343655,233531.965158727,233543.565607435,233583.550108415
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",563181461.157743,192825578.659916,126894959.290379,401194263.435073,566335390.301791,719187100.819103,1012415729.12467
"Population Liveweight (kg)","Neonatal Female",43321259.0553841,25374991.9920909,875388.34394667,21017577.4997875,42039194.5109617,65912327.3927956,87601983.8788206
