"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1194909.40326884,164.93653133295,1194444.84745534,1194792.82721024,1194905.66250107,1195025.98901591,1195398.92469025
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",80783.2372067089,29.333023904209,80663.4389829091,80764.1269184509,80782.7409618401,80803.8566933747,80881.6181740277
"Num Offtake","Juvenile Male",337035.028168986,134.931448430004,336664.034775339,336939.501600576,337031.036728101,337126.981808752,337448.036802453
"Num Offtake","Juvenile Combined",417818.265375695,139.657457745967,417429.096809387,417718.04995758,417813.432374001,417916.291930593,418241.384571898
"Num Offtake","Adult Female",190557.275330846,3.98648984253602,190541.308497193,190554.45980592,190557.282391986,190560.026372674,190570.869819746
"Num Offtake","Adult Male",586533.862562301,25.7923164962234,586459.492557724,586515.523788444,586533.947116431,586551.644551989,586610.152720316
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-561018.556423513,2408.26701074722,-567571.89035392,-562674.651525837,-561047.222240482,-559392.410341993,-552128.287086339
"Cml Pop Growth","Neonatal Female",-378582.941342087,1289.57288550792,-382578.795054566,-379492.015970723,-378614.771969736,-377714.138662429,-374933.288120613
"Cml Pop Growth","Neonatal Male",-53151.1981696789,923.806670602464,-55961.2033638034,-53763.3841656899,-53137.7191414537,-52486.2144916459,-50530.5115652152
"Cml Pop Growth","Neonatal Combined",-431734.139511766,1604.67562098987,-436242.478714931,-432874.173154591,-431685.027477249,-430648.303865323,-426388.861860552
"Cml Pop Growth","Juvenile Female",284584.748163648,784.876206497806,282070.687969869,284043.575142853,284560.929224001,285128.963522493,287200.639804693
"Cml Pop Growth","Juvenile Male",53849.2245189304,382.972821841141,52533.5143483816,53592.2099250177,53844.4549174078,54104.1745827657,55186.1696109169
"Cml Pop Growth","Juvenile Combined",338433.972682578,896.375100320879,335863.506179052,337815.303035104,338421.421369499,339041.738002139,341919.424015388
"Cml Pop Growth","Adult Female",-102918.098195832,163.056566103237,-103582.268593132,-103025.017766704,-102920.303989372,-102802.720785289,-102374.143808738
"Cml Pop Growth","Adult Male",-364800.291398494,64.4524224817642,-364980.509424202,-364845.942532038,-364802.042533584,-364755.961405437,-364592.681631248
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",633890.846845329,2487.61233843406,627226.877965922,632182.90342905,633903.693361813,635620.663934151,643131.335408709
"Total Number Increase","Neonatal Female",-378582.941342087,1289.57288550792,-382578.795054566,-379492.015970723,-378614.771969736,-377714.138662429,-374933.288120613
"Total Number Increase","Neonatal Male",-53151.1981696789,923.806670602464,-55961.2033638034,-53763.3841656899,-53137.7191414537,-52486.2144916459,-50530.5115652152
"Total Number Increase","Neonatal Combined",-431734.139511766,1604.67562098987,-436242.478714931,-432874.173154591,-431685.027477249,-430648.303865323,-426388.861860552
"Total Number Increase","Juvenile Female",365367.985370357,809.931365627754,362734.126952778,364811.734231939,365346.430564668,365924.998972985,368078.64393629
"Total Number Increase","Juvenile Male",390884.252687917,499.52031307302,389211.171327046,390546.541309252,390885.385384762,391221.873480086,392633.255190661
"Total Number Increase","Juvenile Combined",756252.238058274,980.937974145548,753418.53378276,755607.601677323,756250.588475051,756874.586711724,760049.856361288
"Total Number Increase","Adult Female",87639.1771350142,166.814609569361,86959.0399040618,87530.7817875384,87636.1628659517,87757.8307975711,88196.726011008
"Total Number Increase","Adult Male",221733.571163807,88.7706897565785,221489.496562723,221670.724737222,221730.945215856,221794.066979442,222005.287370035
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",560784.751770351,2434.58277678024,552366.868933201,559106.288282173,560804.27171038,562338.483700358,568402.666996749
"Total Mortality","Neonatal Female",123208.800167421,1985.54496689554,116207.183989415,121836.264003645,123238.072892685,124549.399915608,129187.32675728
"Total Mortality","Neonatal Male",85822.3476689414,1319.36593242477,81736.4531876094,84917.4503499921,85841.7700190103,86701.7012056405,89841.0184633006
"Total Mortality","Neonatal Combined",209031.147836362,2407.13240539744,201258.079339238,207322.745954143,209022.759849935,210633.141293565,216524.257339301
"Total Mortality","Juvenile Female",101013.810692675,500.941980573202,99497.0430399544,100676.129395017,101028.099478313,101356.67553112,102423.296304791
"Total Mortality","Juvenile Male",46571.2839582652,247.415452138567,45765.591656094,46398.0559817852,46576.4050235558,46742.5392221552,47327.5525218711
"Total Mortality","Juvenile Combined",147585.09465094,556.746163252358,145377.467244106,147201.889951152,147607.56301253,147945.289343059,149320.080214758
"Total Mortality","Adult Female",204168.509283049,4.27123911700415,204151.401961279,204165.4926492,204168.516848556,204171.456827865,204183.074806871
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",6883664236.71002,20365960.7616344,6813869798.37285,6869802850.81383,6883737613.58275,6897066772.39023,6944835358.48759
"Value of Total Mortality","Neonatal Female",898197629.02325,14474711.0527921,847155535.910828,888191779.389319,898411028.491403,907970660.768179,941781353.568634
"Value of Total Mortality","Neonatal Male",828221710.252743,12732435.5331927,788791111.962716,819489070.964031,828409144.090527,836707841.311417,867003571.72181
"Value of Total Mortality","Neonatal Combined",1726419339.27599,19479560.7142871,1661048058.95399,1712898912.74305,1726245117.26034,1739827634.54895,1786759870.70712
"Value of Total Mortality","Juvenile Female",1167757864.24533,5791078.79738082,1150223456.39999,1163854140.70253,1167923048.01263,1171721511.48051,1184052051.11744
"Value of Total Mortality","Juvenile Male",843063394.290721,4478873.95732612,828478233.022007,839927509.826633,843156099.114795,846163567.440224,856753855.193632
"Value of Total Mortality","Juvenile Combined",2010821258.53605,7289608.42192822,1980539633.1673,2005905161.62987,2011029288.25161,2015488168.85692,2033644813.34011
"Value of Total Mortality","Adult Female",3146423638.89798,65823.70499897,3146159999.4082,3146377149.80871,3146423755.48937,3146469063.262,3146648106.95442
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",525004268.44488,167706710.370388,102064528.275047,394416221.867537,529115118.82014,654340261.585731,938057493.161724
"Population Liveweight (kg)","Neonatal Female",40151622.6092627,22875098.4107428,774649.477791174,19418803.0320036,40358128.0963958,60660677.5130377,77859278.639574
"Population Liveweight (kg)","Neonatal Male",31895435.5051144,18555070.4166495,631075.082341223,15830268.1255611,32234173.6412564,48160233.0329935,63424699.8877532
"Population Liveweight (kg)","Juvenile Female",97158427.6163894,57198660.0675893,1065364.92344794,47748664.5434876,98115916.6335001,148333117.341378,192257783.269607
"Population Liveweight (kg)","Juvenile Male",41381804.5506502,23231586.8490617,461076.29730124,22643019.8266816,40659027.4044383,60970145.2026628,83209005.1012444
"Population Liveweight (kg)","Juvenile Combined",138540232.16704,62748581.0426622,3836275.74680042,88865177.2780304,137039635.384649,190484438.595996,274808889.301511
"Population Liveweight (kg)","Adult Female",277358334.550216,150706975.777541,2226916.18880725,149221692.783669,282881261.78657,403117719.227212,534581733.553595
"Population Liveweight (kg)","Adult Male",37058643.6132473,21888383.8509904,309128.435137969,17541309.6501171,36791756.7312931,55964665.2785213,74236811.7448526
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",131482909.488044,46826325.37962,8323320.00196299,95291012.272749,130515929.42919,167803714.277176,246820746.686639
"Offtake Liveweight (kg)","Juvenile Female",7412613.48232966,4197876.39842096,80732.4049184047,3795678.88953796,7428691.13059928,11167680.2486881,14545382.2406626
"Offtake Liveweight (kg)","Juvenile Male",29888073.932305,17546975.5012935,336803.903031605,14739916.6091714,30005787.2449301,45155105.1043588,60352606.1826236
"Offtake Liveweight (kg)","Adult Female",22919474.5034695,12908387.168925,190552.94963836,12195553.6206861,22295433.4042602,34110133.1681009,45735424.7155064
"Offtake Liveweight (kg)","Adult Male",71262747.5699396,40884781.7042347,586537.673528926,34607311.1629563,69797529.0022435,107927562.835989,140778639.908033
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",428330593.716197,50529514.1424875,291267410.517299,394086828.644167,427800318.971111,461909579.525738,609576493.363423
"Manure","Overall",2805317580.3493,100004050.370548,2516936382.55518,2739343993.07181,2803829301.09762,2875609705.198,3085958352.96594
"Manure","Neonatal Female",214531474.406353,5428858.00997115,195014094.10323,210987129.353177,214420844.097519,217943141.348354,232408092.44003
"Manure","Neonatal Male",153471147.395088,3817691.75177627,142284091.350574,150687767.335097,153584348.586687,156072766.168946,164149790.070554
"Manure","Neonatal Combined",368002621.801441,6746310.11109452,348099532.75857,363623512.021218,367877837.650449,372218946.019812,390032467.235211
"Manure","Juvenile Female",408216603.958514,13592225.5828981,372444556.077745,398739031.331304,408246872.599498,418311669.723188,445689950.842657
"Manure","Juvenile Male",185784977.865825,6116805.16898993,169382115.123638,181477166.923933,185758748.111225,190114870.687456,207569908.321457
"Manure","Juvenile Combined",594001581.824339,14781290.8650714,551032837.820315,584129070.832007,593755194.443967,604174850.512079,636066629.598359
"Manure","Adult Female",1546069777.67606,96829711.9771123,1274968465.65415,1490974782.05684,1545800167.38725,1600966698.85487,1817721643.82598
"Manure","Adult Male",297243599.047454,18922832.4492033,243559576.28436,284355984.682339,298103334.610267,310383300.597389,352471759.451786
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",175876.801966994,277.496387832245,174776.035752107,175686.312653391,175887.324087588,176055.551947643,176742.011897671
"Hides","Juvenile Female",50506.9053463373,250.470990286601,49748.5215199772,50338.0646975083,50514.0497391564,50678.3377655598,51211.6481523957
"Hides","Juvenile Male",23285.6419791326,123.707726069283,22882.795828047,23199.0279908926,23288.2025117779,23371.2696110776,23663.7762609356
"Hides","Juvenile Combined",73792.5473254699,278.373081626179,72688.733622053,73600.9449755761,73803.7815062648,73972.6446715294,74660.040107379
"Hides","Adult Female",102084.254641525,2.13561955850207,102075.700980639,102082.7463246,102084.258424278,102085.728413933,102091.537403435
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
