"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1425564.54766179,10.24896629718,1425534.00350472,1425557.41842616,1425564.65355598,1425571.62652645,1425591.54316265
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",97939.0484668199,4.29655787036652,97926.2280687092,97936.0973401621,97939.1105430971,97942.0069682127,97950.3505917122
"Num Offtake","Juvenile Male",95338.5315619176,4.29655787036619,95325.7111638069,95335.5804352598,95338.5936381948,95341.4900633103,95349.8336868099
"Num Offtake","Juvenile Combined",193277.580028738,8.59311574073225,193251.939232516,193271.677775422,193277.704181292,193283.497031523,193300.184278522
"Num Offtake","Adult Female",341764.299921124,0.499109977743621,341762.756166737,341763.937456343,341764.315130546,341764.636587773,341765.595700131
"Num Offtake","Adult Male",91730.4848885198,1.1784456736824,91726.8416640801,91729.6315498622,91730.5227730514,91731.2809153437,91733.5446468628
"Num Offtake","Oxen",798792.182823404,0.0140674441935065,798792.138190142,798792.172950465,798792.18307593,798792.192147227,798792.221268842
"Cml Pop Growth","Overall",606043.168315319,1071.02964080781,602804.117864866,605327.681470701,606063.355236162,606780.867874363,609300.007626407
"Cml Pop Growth","Neonatal Female",23692.9014851795,358.551368681867,22633.0297858424,23442.7220958489,23709.970224655,23931.883328328,24883.0532130804
"Cml Pop Growth","Neonatal Male",70334.960171978,358.551368681868,69275.0884726406,70084.7807826475,70352.0289114538,70573.9420151267,71525.1118998788
"Cml Pop Growth","Neonatal Combined",94027.8616571575,717.102737363734,91908.118258483,93527.5028784965,94061.9991361088,94505.8253434547,96408.1651129592
"Cml Pop Growth","Juvenile Female",315349.490202723,184.837312259099,314763.575479375,315231.940988416,315348.941192668,315475.721913104,315864.041092528
"Cml Pop Growth","Juvenile Male",292978.922628346,184.837312259076,292393.007904998,292861.373414039,292978.373618291,293105.154338727,293493.473518151
"Cml Pop Growth","Juvenile Combined",608328.41283107,369.674624518175,607156.583384374,608093.314402456,608327.314810959,608580.876251831,609357.51461068
"Cml Pop Growth","Adult Female",-278.201476964219,34.6433129139313,-381.581660402939,-301.962067192188,-277.729835629463,-254.279461564729,-187.112574935891
"Cml Pop Growth","Adult Male",654758.76859277,34.0562690993955,654657.137260766,654735.391831481,654759.320718063,654782.495542351,654848.292172187
"Cml Pop Growth","Oxen",-750793.673288713,0.602762822199625,-750795.534993822,-750794.109221182,-750793.652916207,-750793.263617106,-750792.107966101
"Total Number Increase","Overall",2031607.7159771,1078.56289123925,2028338.12136958,2030887.17930791,2031624.6018655,2032347.17486181,2034877.18536453
"Total Number Increase","Neonatal Female",23692.9014851795,358.551368681867,22633.0297858424,23442.7220958489,23709.970224655,23931.883328328,24883.0532130804
"Total Number Increase","Neonatal Male",70334.960171978,358.551368681868,69275.0884726406,70084.7807826475,70352.0289114538,70573.9420151267,71525.1118998788
"Total Number Increase","Neonatal Combined",94027.8616571575,717.102737363734,91908.118258483,93527.5028784965,94061.9991361088,94505.8253434547,96408.1651129592
"Total Number Increase","Juvenile Female",413288.538669543,188.842768349357,412689.803548084,413167.351855167,413287.835550356,413417.166422172,413813.207023495
"Total Number Increase","Juvenile Male",388317.454190264,188.842768349334,387718.719068805,388196.267375889,388316.751071076,388446.081942893,388842.122544215
"Total Number Increase","Juvenile Combined",801605.992859807,377.685536698688,800408.52261689,801363.619231056,801604.586621432,801863.248365065,802655.32956771
"Total Number Increase","Adult Female",341486.09844416,35.1292009684269,341381.271367357,341462.019910613,341486.575737741,341510.32214618,341578.483125195
"Total Number Increase","Adult Male",746489.253481289,35.2035304749555,746384.204917018,746465.117670674,746489.735209358,746513.524250814,746581.836819049
