"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1439592.28800236,1513.34096421454,1436189.38234318,1438463.20169262,1439405.77536283,1440604.05959662,1444867.80927931
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",103936.716805603,632.800991031181,102492.207856497,103473.942445156,103866.66693521,104368.201949551,106151.244477416
"Num Offtake","Juvenile Male",101336.1999007,632.800991031181,99891.6909515951,100873.425540254,101266.150030307,101767.685044649,103550.727572514
"Num Offtake","Juvenile Combined",205272.916706303,1265.60198206236,202383.898808093,204347.36798541,205132.816965517,206135.886994201,209701.97204993
"Num Offtake","Adult Female",342364.025592176,74.7130159154477,342212.386580742,342308.57869644,342354.032342821,342412.836546836,342644.071681495
"Num Offtake","Adult Male",88416.5333548518,172.280076028757,88065.7852886407,88288.2517707901,88393.649752769,88529.1415978199,89060.0113622403
"Num Offtake","Oxen",803538.812349031,6.28835293986052,803527.160200799,803534.261382878,803537.769743238,803542.948743062,803564.333332792
"Cml Pop Growth","Overall",2687782.93424443,162739.56134332,2253017.35254914,2567326.87079453,2679530.10338845,2800581.54646827,3123427.03593769
"Cml Pop Growth","Neonatal Female",703443.41094705,56348.5611220473,555607.134070478,662402.709035153,700434.964191421,744797.222181376,874243.556556165
"Cml Pop Growth","Neonatal Male",750085.469633849,56348.5611220473,602249.192757277,709044.767721952,747077.022878219,791439.280868175,920885.615242963
"Cml Pop Growth","Neonatal Combined",1453528.8805809,112697.122244095,1157856.32682775,1371447.4767571,1447511.98706964,1536236.50304955,1795129.17179913
"Cml Pop Growth","Juvenile Female",627920.972207507,26960.2144689579,560866.153775122,607458.787924022,627102.266938967,646196.702354582,704396.831448927
"Cml Pop Growth","Juvenile Male",605550.40463313,26960.2144689579,538495.586200745,585088.220349645,604731.69936459,623826.134780205,682026.26387455
"Cml Pop Growth","Juvenile Combined",1233471.37684064,53920.4289379158,1099361.73997587,1192547.00827367,1231833.96630356,1270022.83713479,1386423.09532348
"Cml Pop Growth","Adult Female",48269.6900209347,5099.62607809602,36594.3641945943,44520.1984198694,47742.7987851049,51763.772243232,66127.3981855102
"Cml Pop Growth","Adult Male",617258.403768369,4842.49017231626,606122.170153336,613701.506359129,616762.2622105,620623.339977385,634227.927449937
"Cml Pop Growth","Oxen",-664745.416966415,264.243940567646,-665284.509177723,-664942.595713937,-664780.535325004,-664572.580256055,-663760.827124624
"Total Number Increase","Overall",4127375.22224679,163792.803690347,3689921.58211342,4006438.95084118,4120258.21605441,4241321.08543368,4567804.22598962
"Total Number Increase","Neonatal Female",703443.41094705,56348.5611220473,555607.134070478,662402.709035153,700434.964191421,744797.222181376,874243.556556165
"Total Number Increase","Neonatal Male",750085.469633849,56348.5611220473,602249.192757277,709044.767721952,747077.022878219,791439.280868175,920885.615242963
"Total Number Increase","Neonatal Combined",1453528.8805809,112697.122244095,1157856.32682775,1371447.4767571,1447511.98706964,1536236.50304955,1795129.17179913
"Total Number Increase","Juvenile Female",731857.68901311,27545.257031455,663358.361631619,710837.660141404,731064.631602786,750375.963663824,810548.075926343
"Total Number Increase","Juvenile Male",706886.60453383,27545.257031455,638387.27715234,685866.575662124,706093.547123506,725404.879184545,785576.991447064
"Total Number Increase","Juvenile Combined",1438744.29354694,55090.5140629101,1301745.63878396,1396704.23580353,1437158.17872629,1475780.84284837,1596125.06737341
