"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1403945.03808951,242.64526212156,1403176.28046669,1403789.14297803,1403943.72168993,1404102.41526422,1404849.28828194
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95277.8718341792,139.191247180459,94867.1053146038,95179.9011311915,95279.6382810307,95369.6685068562,95749.7445637458
"Num Offtake","Juvenile Male",92751.754273217,131.003966187408,92304.7849729994,92663.0059713714,92753.7492559035,92837.8314141334,93337.2528693977
"Num Offtake","Juvenile Combined",188029.626107396,191.093955813072,187420.081603115,187906.533587909,188030.432077603,188149.059000179,188704.677572683
"Num Offtake","Adult Female",336933.122150466,23.1116671043854,336869.935309557,336917.636637999,336933.980726267,336948.96640565,337007.453656063
"Num Offtake","Adult Male",90923.0361659014,51.5989837700801,90743.6842717963,90887.5490880654,90923.7776841428,90958.9034650415,91144.8962861075
"Num Offtake","Oxen",788059.253665749,0.852284169725818,788056.463459637,788058.680108776,788059.268943128,788059.844201661,788062.595541539
"Cml Pop Growth","Overall",-63462.8875137741,8893.71037756151,-95361.8962496519,-69248.5904556923,-63417.230131777,-57855.9207715662,-29191.8962733671
"Cml Pop Growth","Neonatal Female",-36366.4006000818,2718.53363444404,-44780.3038577943,-38266.7519209543,-36306.5344097795,-34539.8513357667,-27211.1126166217
"Cml Pop Growth","Neonatal Male",11920.3616643858,2577.43782545041,4096.74362920737,10275.5461751461,11875.6436363083,13596.0918929795,19065.8328473165
"Cml Pop Growth","Neonatal Combined",-24446.038935696,3877.86606058474,-37112.028159461,-27082.6494720102,-24438.5496990428,-21737.1351960179,-13006.8980039263
"Cml Pop Growth","Juvenile Female",215407.905417043,4221.80378277814,202794.61828999,212542.461398751,215446.643857364,218390.584719293,229039.386125793
"Cml Pop Growth","Juvenile Male",195948.972308863,4064.19611474633,181080.009356711,193280.886264269,195906.818172629,198619.207276232,209236.800532696
"Cml Pop Growth","Juvenile Combined",411356.877725907,5881.54618218479,392229.296588511,407691.845167632,411395.943534372,415317.097054005,432081.647910218
"Cml Pop Growth","Adult Female",-179380.087594296,1096.4707355973,-182642.397210167,-180148.376202845,-179369.012291112,-178638.678253586,-175662.550308522
"Cml Pop Growth","Adult Male",634432.242148129,1017.49088148782,630980.696795088,633746.528316578,634436.941242055,635101.75705286,638973.447398313
"Cml Pop Growth","Oxen",-905425.880857818,25.9941423974498,-905516.353576412,-905443.789004714,-905425.51124971,-905407.876529249,-905313.832598199
"Total Number Increase","Overall",1340482.15057574,9062.69158215623,1307814.38421704,1334489.4248623,1340559.5445116,1346283.05241489,1375529.59621808
"Total Number Increase","Neonatal Female",-36366.4006000818,2718.53363444404,-44780.3038577943,-38266.7519209543,-36306.5344097795,-34539.8513357667,-27211.1126166217
"Total Number Increase","Neonatal Male",11920.3616643858,2577.43782545041,4096.74362920737,10275.5461751461,11875.6436363083,13596.0918929795,19065.8328473165
