"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1409854.40910458,53.0587359538602,1409681.59317116,1409818.37421618,1409852.68288619,1409890.37737902,1410030.48988978
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",97496.0499763531,30.3750150451958,97398.2607196418,97474.3925465259,97495.6938155568,97516.6020855587,97586.6393911194
"Num Offtake","Juvenile Male",94915.7545885202,29.9113115313925,94828.6850412899,94896.1774457096,94915.7856373181,94935.5965779008,94998.5615491376
"Num Offtake","Juvenile Combined",192411.804564873,44.4013874172556,192266.15133948,192382.552095309,192410.54372902,192442.410835577,192558.570413927
"Num Offtake","Adult Female",338725.552048869,3.57221825827439,338715.095945039,338723.105288352,338725.617005128,338727.954492364,338735.988506513
"Num Offtake","Adult Male",90665.4064235933,8.18940144429374,90641.9009906766,90659.8697109757,90665.2682988299,90671.1183474776,90687.5255170593
"Num Offtake","Oxen",788051.646067247,0.0974557755657607,788051.373444866,788051.578892658,788051.645304655,788051.716342021,788051.900111822
"Cml Pop Growth","Overall",165879.127221721,5511.96492570312,151015.398841109,162308.915420909,165857.457242137,169295.797649706,181736.946499191
"Cml Pop Growth","Neonatal Female",-31273.9937064534,2588.61942506348,-39159.602161265,-33014.976152682,-31261.296905786,-29503.1384124157,-23573.4196732212
"Cml Pop Growth","Neonatal Male",16895.673701023,2556.62627622602,9172.64823408076,15115.2099244396,17015.0757855532,18651.1057008864,24047.2449633665
"Cml Pop Growth","Neonatal Combined",-14378.3200054304,3716.63452805775,-24994.6086851857,-16835.7849352303,-14316.6731532128,-11949.7966448773,-4100.19756061933
"Cml Pop Growth","Juvenile Female",291496.925987406,1282.2945312844,287176.143913179,290602.283388866,291475.986362231,292352.779046597,295317.416581746
"Cml Pop Growth","Juvenile Male",270049.616659591,1272.76027764338,266307.735822164,269223.515338905,270036.512036798,270875.470470899,273431.771969114
"Cml Pop Growth","Juvenile Combined",561546.542646996,1874.37222676801,555533.077393794,560275.397921604,561546.010195686,562775.912422968,567238.863517041
"Cml Pop Growth","Adult Female",-109619.141885643,243.671524216835,-110405.588520036,-109792.63585527,-109622.848383578,-109454.330120372,-108892.640452845
"Cml Pop Growth","Adult Male",633881.533697567,235.42184471274,633193.346443333,633726.308583175,633879.487629518,634035.873061814,634533.269087288
"Cml Pop Growth","Oxen",-905551.487231768,4.1689521770758,-905563.456903322,-905554.298849661,-905551.547895352,-905548.589883151,-905540.22019136
"Total Number Increase","Overall",1575733.5363263,5551.2369021791,1560773.59527851,1572139.97128776,1575731.99380135,1579156.67185414,1591694.50880063
"Total Number Increase","Neonatal Female",-31273.9937064534,2588.61942506348,-39159.602161265,-33014.976152682,-31261.296905786,-29503.1384124157,-23573.4196732212
"Total Number Increase","Neonatal Male",16895.673701023,2556.62627622602,9172.64823408076,15115.2099244396,17015.0757855532,18651.1057008864,24047.2449633665
"Total Number Increase","Neonatal Combined",-14378.3200054304,3716.63452805775,-24994.6086851857,-16835.7849352303,-14316.6731532128,-11949.7966448773,-4100.19756061933
"Total Number Increase","Juvenile Female",388992.975963759,1310.38030113924,384574.404632821,388079.042136873,388956.989119131,389873.684433413,392904.055972865
"Total Number Increase","Juvenile Male",364965.371248111,1300.6938689544,361136.420863454,364126.230357263,364952.56477556,365805.242039696,368425.025745445
"Total Number Increase","Juvenile Combined",753958.347211869,1915.87832303536,747799.228733274,752657.584363124,753951.045992302,755217.685678722,759797.433930968
"Total Number Increase","Adult Female",229106.410163225,247.141834099297,228309.507425003,228930.948401567,229102.434287706,229273.487132189,229843.348053668
"Total Number Increase","Adult Male",724546.94012116,243.404593295695,723837.170730566,724387.312062354,724545.170265541,724707.59254431,725220.794604347
"Total Number Increase","Oxen",-117499.841164521,4.26503393050603,-117512.083458456,-117502.724194584,-117499.913856179,-117496.869282394,-117488.32033824
"Total Mortality","Overall",437804.341676378,5401.27945968086,423079.834478733,434524.147070609,437783.342601046,441390.402061098,454036.438471257
"Total Mortality","Neonatal Female",71808.9514194738,3771.64446614774,58654.3398709284,69313.0496290327,71690.5245996136,74529.6848239458,83772.5141939132
"Total Mortality","Neonatal Male",69169.3502929192,3720.18384413145,58345.8063265797,66564.2292177871,69136.385036801,71585.1742587933,80817.915282657
"Total Mortality","Neonatal Combined",140978.301712393,5402.68225941504,126246.58890979,137697.592296307,140957.139013187,144564.859975758,157213.672297454
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",112908.517349623,1.19073941942483,112905.03198168,112907.701762784,112908.539001709,112909.318164121,112911.996168838
"Total Mortality","Adult Male",18976.4804142405,1.71406076741035,18971.5606724672,18975.3215674135,18976.4515044063,18977.675933193,18981.1099919426
"Total Mortality","Oxen",164941.042200122,0.0203977204673446,164940.985139623,164941.028140324,164941.042040509,164941.056908795,164941.095372242
"Value of Total Mortality","Overall",2888595169.99159,49463732.4169239,2746424710.33316,2857114260.17296,2886785572.22644,2921565419.06079,3040592878.46773
"Value of Total Mortality","Neonatal Female",569157251.797392,29894027.9265425,464893891.736659,549374751.486179,568218601.643082,590721765.924843,663980367.520524
"Value of Total Mortality","Neonatal Male",711412490.846021,38262398.6455112,600091445.610423,684618605.040144,711073440.459294,736259440.220706,831218945.569645
"Value of Total Mortality","Neonatal Combined",1280569742.64341,49490244.3637461,1138272578.26893,1249017776.40137,1278754694.18804,1313536563.91735,1432632973.28622
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",702796211.733635,7411.72741240037,702774517.148988,702791135.133977,702796346.5065,702801196.383236,702817865.555888
"Value of Total Mortality","Adult Male",482160576.4765,43551.4125743846,482035574.079969,482131132.120016,482159841.926045,482190952.610259,482278206.29009
"Value of Total Mortality","Oxen",4706904842.14535,582.087562646528,4706903213.81602,4706904440.92241,4706904837.59051,4706905261.88519,4706906359.51244
"Population Liveweight (kg)","Overall",4060091703.43057,300597896.677849,3187821851.0827,3854643454.86393,4057121395.3723,4267466805.48514,4957165053.16526
"Population Liveweight (kg)","Neonatal Female",99409282.3934239,21427362.4605587,38750899.7506134,84615163.4269038,100940589.161073,116402942.634074,141474073.132008
"Population Liveweight (kg)","Neonatal Male",105393467.366624,26606298.6168121,35057881.2303013,85714710.6686578,104717814.076422,125048303.771882,169017305.82799
"Population Liveweight (kg)","Juvenile Female",329104587.661558,68905995.4658235,176342584.770967,275462622.687561,328539810.067883,380399004.976188,514672650.967411
"Population Liveweight (kg)","Juvenile Male",317376310.235964,68602925.2189571,179367836.641696,264810087.771143,311067033.753071,365995078.933028,510553494.236906
