"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1403908.77360827,258.188835887729,1403160.1629881,1403734.531098,1403901.56020559,1404085.03865458,1404676.64173008
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95689.537170523,142.440638798349,95261.3334556366,95590.8846342231,95690.9435505607,95784.4205233348,96152.5279307594
"Num Offtake","Juvenile Male",93149.0480574288,138.168723138147,92727.8945188988,93045.0619541643,93147.9402281121,93244.6363445886,93600.0619268754
"Num Offtake","Juvenile Combined",188838.585227952,201.614145802588,188240.160782145,188701.054907535,188835.330300165,188972.34085196,189426.727701782
"Num Offtake","Adult Female",336973.946070057,24.055289945595,336898.391044973,336956.668282236,336973.985563333,336989.676971403,337055.715995397
"Num Offtake","Adult Male",90053.6143845678,54.6866230282583,89895.0784942812,90012.8951592782,90054.7520836072,90092.336008032,90235.1988053875
"Num Offtake","Oxen",788042.627925694,0.910438647331898,788039.877661894,788041.947479246,788042.648726128,788043.282320585,788045.51099403
"Cml Pop Growth","Overall",58236.1296344766,7282.45561765613,37419.4276216775,53215.0311130676,58175.1155639198,63402.8614442628,80928.3058556877
"Cml Pop Growth","Neonatal Female",10168.8349140798,359.295518320619,9003.1637296963,9937.50031655963,10161.1097040188,10413.2916615161,11438.7680617475
"Cml Pop Growth","Neonatal Male",56810.8936008782,359.295518320633,55645.2224164945,56579.5590033582,56803.1683908174,57055.3503483146,58080.8267485464
"Cml Pop Growth","Neonatal Combined",66979.728514958,718.591036641252,64648.3861461908,66517.0593199179,66964.2780948362,67468.6420098306,69519.594810294
"Cml Pop Growth","Juvenile Female",236643.650464078,4127.66638732878,225736.192460697,233720.963088401,236716.379229741,239519.530350716,249878.143221446
"Cml Pop Growth","Juvenile Male",216321.990312756,4124.02491325791,203625.80211579,213594.434677871,216272.286083033,219100.950796367,229825.31636508
"Cml Pop Growth","Juvenile Combined",452965.640776834,5866.16990729444,435922.561023388,448924.083995682,452758.99931486,457036.577393347,472285.818775435
"Cml Pop Growth","Adult Female",-176067.478892472,1120.80372639792,-179433.695731427,-176836.978681083,-176057.196078321,-175331.684560353,-172436.130417276
"Cml Pop Growth","Adult Male",620218.944548721,1061.58511446566,616978.147722192,619426.019001695,620225.914101954,620958.388815585,623662.787894472
"Cml Pop Growth","Oxen",-905860.705313565,27.5376422492267,-905940.52995854,-905881.288640802,-905860.247820148,-905841.199642462,-905769.176710892
"Total Number Increase","Overall",1462144.90324275,7494.51442906975,1440613.19513958,1456855.11383586,1462138.95313425,1467375.32726761,1485511.72318381
"Total Number Increase","Neonatal Female",10168.8349140798,359.295518320619,9003.1637296963,9937.50031655963,10161.1097040188,10413.2916615161,11438.7680617475
"Total Number Increase","Neonatal Male",56810.8936008782,359.295518320633,55645.2224164945,56579.5590033582,56803.1683908174,57055.3503483146,58080.8267485464
"Total Number Increase","Neonatal Combined",66979.728514958,718.591036641252,64648.3861461908,66517.0593199179,66964.2780948362,67468.6420098306,69519.594810294
"Total Number Increase","Juvenile Female",332333.187634601,4236.52217131568,321061.92882685,329360.558511643,332381.325068695,335312.799793765,346022.748779016
"Total Number Increase","Juvenile Male",309471.038370185,4228.78499099367,296409.527747373,306606.960024145,309459.769875143,312342.589089,323282.315238988
"Total Number Increase","Juvenile Combined",641804.226004786,6021.19061111534,624312.325628232,637668.816723479,641635.170604636,645987.46766343,661646.103164514
"Total Number Increase","Adult Female",160906.467177585,1143.67547061364,157470.276220711,160117.146736587,160916.404378405,161662.108301727,164610.269209463
"Total Number Increase","Adult Male",710272.558933289,1113.32839689942,706876.606566279,709445.99445186,710270.988905673,711045.314888279,713897.98669986
"Total Number Increase","Oxen",-117818.077387871,28.4284823990456,-117900.490452031,-117839.216219908,-117817.511264391,-117797.951522348,-117723.665716862
"Total Mortality","Overall",540938.709336825,7353.88985998712,516567.607072768,536105.174876529,540932.877533005,546015.522303629,562216.072906583
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",95636.6587576197,5189.17124838378,78341.7487948038,92001.3492598876,95635.0920485075,99366.6831235924,109941.404506314
"Total Mortality","Juvenile Male",93027.4919443547,5156.50798453137,76824.1344922026,89424.9182726842,92851.399699308,96717.1150084994,109039.33351246
"Total Mortality","Juvenile Combined",188664.150701974,7366.1974118336,164250.46071043,183819.075173657,188663.670302632,193747.93732708,209966.926035718
"Total Mortality","Adult Female",168486.973035028,12.0276449727975,168449.195522486,168478.334141118,168486.992781667,168494.838485702,168527.857997699
