"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1406346.46531551,265.81849172857,1405565.91103707,1406163.42919671,1406344.25384301,1406522.90170405,1407060.73739587
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94794.0217379022,149.846505787647,94309.3291332517,94693.3435592889,94795.3030004946,94892.6835446879,95262.4590163909
"Num Offtake","Juvenile Male",92300.507828539,150.954134770894,91880.2968776921,92198.1706666664,92298.7562962071,92404.2302243876,92772.3248046264
"Num Offtake","Juvenile Combined",187094.529566441,210.246612985623,186462.056935351,186947.025481318,187095.701205657,187230.360313555,187686.431518238
"Num Offtake","Adult Female",341362.168972091,23.7768551606371,341291.66428054,341346.79639874,341362.241465131,341377.892320811,341435.596471685
"Num Offtake","Adult Male",89849.3197088339,55.8219025762293,89676.2598998962,89811.789207602,89849.1739211381,89886.312159018,90034.5372323137
"Num Offtake","Oxen",788040.447068144,0.892918387838542,788037.825479062,788039.838524184,788040.441941705,788041.076000006,788043.270683641
"Cml Pop Growth","Overall",-66098.1094333692,14686.7137454818,-114843.705906719,-75272.5456884699,-65900.4575501811,-56278.4316388536,-21328.5601053983
"Cml Pop Growth","Neonatal Female",-81978.7817392707,6304.59691991128,-100486.080035556,-86358.2411021814,-81764.8578452937,-77571.3925320372,-65737.2020655086
"Cml Pop Growth","Neonatal Male",-31699.1252289272,6076.4352842,-49894.52692902,-35828.0701210464,-31402.6918972052,-27505.3450334216,-14038.7000595054
"Cml Pop Growth","Neonatal Combined",-113677.906968198,8838.50901001222,-141164.744393582,-119809.683282994,-113245.809196544,-107743.925848371,-87045.4525306486
"Cml Pop Growth","Juvenile Female",191736.532242099,4975.51542487541,174432.261433652,188510.068721457,191808.301137242,195040.848460958,208288.231701766
"Cml Pop Growth","Juvenile Male",173832.614684336,5046.66324079478,156485.773654818,170328.322619679,173949.957528903,177253.027731763,188991.681768053
"Cml Pop Growth","Juvenile Combined",365569.146926435,7005.47039523119,344487.431918143,360874.972123156,365535.441063079,370537.613136611,385892.270350689
"Cml Pop Growth","Adult Female",-25526.1113952555,1195.21044266634,-29412.8412534157,-26321.9338938356,-25504.0610017818,-24747.1206497254,-21788.5602159277
"Cml Pop Growth","Adult Male",613501.728377946,1166.66987924424,610221.02947011,612697.439162042,613486.758837075,614300.58951271,617112.636384118
"Cml Pop Growth","Oxen",-905964.966374297,28.1584145607798,-906052.350631708,-905983.901626822,-905964.915961531,-905946.316930839,-905871.464833073
"Total Number Increase","Overall",1340248.35588214,14852.1353853581,1290757.93691028,1330776.26079938,1340454.53408402,1350232.66479177,1385590.16347241
"Total Number Increase","Neonatal Female",-81978.7817392707,6304.59691991128,-100486.080035556,-86358.2411021814,-81764.8578452937,-77571.3925320372,-65737.2020655086
"Total Number Increase","Neonatal Male",-31699.1252289272,6076.4352842,-49894.52692902,-35828.0701210464,-31402.6918972052,-27505.3450334216,-14038.7000595054
"Total Number Increase","Neonatal Combined",-113677.906968198,8838.50901001222,-141164.744393582,-119809.683282994,-113245.809196544,-107743.925848371,-87045.4525306486
"Total Number Increase","Juvenile Female",286530.553980001,5092.80395305105,268786.554988024,283221.26537629,286615.160694641,289919.175309835,303522.954319036
"Total Number Increase","Juvenile Male",266133.122512875,5167.52686171595,248490.799439579,262527.809751126,266305.873538862,269645.821695597,281610.852612677
"Total Number Increase","Juvenile Combined",552663.676492876,7169.20630919715,530981.716526068,547866.57910772,552640.697984074,557791.997286464,573453.106884733
"Total Number Increase","Adult Female",315836.057576836,1217.57389237121,311885.542759358,315018.997556882,315853.286871059,316638.442769641,319639.815127379
"Total Number Increase","Adult Male",703351.04808678,1219.25347493448,699942.758069103,702519.002238939,703340.317166744,704189.191456356,707147.173616432
