"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",156892.426090144,13.4391543490881,156851.821551708,156883.159767623,156892.100495383,156901.8142201,156943.910400996
"Num Offtake","Neonatal Female",8331.05566679239,1.83275378171683,8325.4980511731,8329.79611625309,8331.02523237001,8332.33485800281,8338.08394834176
"Num Offtake","Neonatal Male",44512.1914015351,10.0579055509145,44481.5532933101,44505.2174517249,44512.2173603983,44519.3728277144,44551.3513187263
"Num Offtake","Neonatal Combined",52843.2470683275,11.8888491092453,52807.0513444832,52835.0162151443,52843.3202708633,52851.684358532,52889.4352670681
"Num Offtake","Juvenile Female",32597.2788079461,1.38655561241208,32593.4089584147,32596.3260292194,32597.2388712275,32598.2519326384,32601.8182897431
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",32597.2788079461,1.38655561241208,32593.4089584147,32596.3260292194,32597.2388712275,32598.2519326384,32601.8182897431
"Num Offtake","Adult Female",63844.592098846,0.172689922995735,63844.1177111645,63844.4758093737,63844.5869100041,63844.7095651218,63845.073665263
"Num Offtake","Adult Male",7607.30811502489,0.0986061653150952,7607.03724198748,7607.24169097135,7607.30515895657,7607.37517180264,7607.58317892165
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3625.79082274878,69.5015419550921,-3833.92039674649,-3672.05404333974,-3625.88577053894,-3580.90817012099,-3360.35828106978
"Cml Pop Growth","Neonatal Female",9817.87301698391,25.7671779263758,9738.51765407495,9800.63784443531,9817.81809289446,9834.78433620206,9914.93788663259
"Cml Pop Growth","Neonatal Male",-12406.5653797115,21.783319339441,-12471.8198418353,-12421.2611175215,-12406.9038227222,-12391.6218169878,-12321.4540841739
"Cml Pop Growth","Neonatal Combined",-2588.69236272757,47.380413836347,-2733.30218776036,-2620.83429148248,-2588.22607181973,-2556.71582725004,-2406.51619754133
"Cml Pop Growth","Juvenile Female",-20801.2252331124,12.8032008377167,-20840.4751097164,-20810.0809222004,-20801.0885162574,-20792.1356234109,-20750.7756144189
"Cml Pop Growth","Juvenile Male",33516.4267355349,11.7843525081663,33480.3634541272,33508.2130055473,33516.5124975,33524.7760089075,33563.1370970513
"Cml Pop Growth","Juvenile Combined",12715.2015024226,24.5855333835987,12639.8883444108,12698.0515509647,12715.6602560221,12732.6142566432,12812.3614826324
"Cml Pop Growth","Adult Female",-33333.1650735513,2.4136716368171,-33339.9753918775,-33334.8294493525,-33333.2321724601,-33331.4663882538,-33325.159561468
"Cml Pop Growth","Adult Male",19580.8651111075,2.39857212261735,19574.1077528761,19579.2138310176,19580.8002562382,19582.558844182,19588.8177023662
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",153266.635267396,81.0360944817343,153030.471638095,153211.641234214,153267.444501905,153318.485046248,153583.552119926
"Total Number Increase","Neonatal Female",18148.9286837763,27.0246384546636,18065.7370297976,18130.8407618311,18148.9576241065,18166.682280599,18248.77872339
"Total Number Increase","Neonatal Male",32105.6260218236,28.6613274931445,32018.332106127,32086.4106586316,32105.8223203644,32124.2093330614,32209.5525310491
"Total Number Increase","Neonatal Combined",50254.5547055999,55.6403233606551,50084.0691359246,50216.7103766298,50254.9401928726,50291.2758487262,50456.2013805608
"Total Number Increase","Juvenile Female",11796.0535748337,14.0902929494078,11752.9969262092,11786.3313025456,11796.0494735972,11806.0868434799,11851.0426753242
