"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",179647.480256438,5363.2374508786,163695.009368408,175901.837155453,179598.975884609,183210.631157419,196284.361321713
"Num Offtake","Neonatal Female",11316.4957780443,732.321213584245,9137.10890801169,10809.1220899247,11310.3244191556,11805.7289801967,13589.1262174367
"Num Offtake","Neonatal Male",61060.5503903547,4020.61146510191,48879.3983230895,58320.6920157711,61022.9818340407,63698.3316857162,73752.7949323469
"Num Offtake","Neonatal Combined",72377.046168399,4752.24892232216,58016.5072311012,69138.4306587443,72333.4626364485,75507.4881246176,87341.9211497836
"Num Offtake","Juvenile Female",34584.7784347538,544.535379039697,33219.9463626731,34190.4677327874,34591.157587768,34967.9898430181,36016.8749636485
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",34584.7784347538,544.535379039697,33219.9463626731,34190.4677327874,34591.157587768,34967.9898430181,36016.8749636485
"Num Offtake","Adult Female",64869.3303407136,67.6022353914797,64724.7656845828,64819.4664477164,64870.0644382321,64920.573363907,65022.0504453035
"Num Offtake","Adult Male",7816.32531257155,38.584346849984,7733.79009005114,7787.88218804355,7816.74872119286,7845.57820854377,7903.51476297752
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",140411.003820302,28888.07792395,57666.3427385866,124050.482694548,141577.774671149,159084.451369582,225124.709469676
"Cml Pop Growth","Neonatal Female",58706.4107915936,10772.6551132858,27614.5449311563,51249.9690898057,58607.2584201331,65889.269249332,88045.2833263689
"Cml Pop Growth","Neonatal Male",25838.8153274582,9087.0501816745,418.961214450654,19414.5745865396,25887.4227322325,32027.7772487796,49453.7995835763
"Cml Pop Growth","Neonatal Combined",84545.2261190518,19794.7048202124,28033.506145607,70632.039866361,84800.607827119,97983.1227258553,136708.486119576
"Cml Pop Growth","Juvenile Female",1783.26661350025,5155.03960387643,-14039.8321621129,-1691.34407199571,1762.27836456029,5115.85824231924,18257.4150200182
"Cml Pop Growth","Juvenile Male",53920.0382923859,4741.54540640985,39250.8724592288,50710.8065012764,53874.2767321411,56963.9668146698,69187.2669928091
"Cml Pop Growth","Juvenile Combined",55703.3049058862,9895.78591332701,25211.0402971159,49010.1204715796,55651.3417054663,62060.8068554581,87444.6820128273
"Cml Pop Growth","Adult Female",-24101.9387973615,955.206057922385,-26524.6842758885,-24773.2899759754,-24091.8100144773,-23441.8013434574,-21561.2303317226
"Cml Pop Growth","Adult Male",24264.4115927252,948.418314406642,21859.560440987,23598.0000236677,24274.5128407441,24917.738521533,26786.3942052653
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",320058.48407674,33540.1673056116,223838.366133022,301197.817516262,321400.133185492,341387.470508226,420297.867143275
"Total Number Increase","Neonatal Female",70022.906569638,11294.878426683,37329.1602169223,62356.3502979182,69954.1160719018,77591.028411802,101390.410229867
"Total Number Increase","Neonatal Male",86899.3657178129,11933.8392015761,52412.9186572305,79103.3392893399,87068.0373268541,95033.5229804747,120928.141667673
"Total Number Increase","Neonatal Combined",156922.272287451,23214.4154116635,89742.0788741529,141251.06879937,156910.628928677,172620.4310874,222318.55189754
"Total Number Increase","Juvenile Female",36368.0450482541,5663.54030975561,19180.1142005602,32534.7917439606,36325.4525186089,40082.0782078792,54274.2899836666
"Total Number Increase","Juvenile Male",53920.0382923859,4741.54540640985,39250.8724592288,50710.8065012764,53874.2767321411,56963.9668146698,69187.2669928091
"Total Number Increase","Juvenile Combined",90288.08334064,10400.2605574608,58430.986659789,83299.2422362695,90196.5255574333,97049.4277833297,123461.556976476
"Total Number Increase","Adult Female",40767.3915433521,1021.00798160253,38200.0814086944,40036.7394064589,40776.9969028858,41480.6768857297,43460.8201135809
"Total Number Increase","Adult Male",32080.7369052968,985.959353545205,29593.3505310381,31382.4291916314,32088.6423017316,32765.6970128409,34689.9089682428
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",251312901.855427,17355438.9881944,194426426.155357,240754170.256774,252130551.942551,262810940.692254,303130808.16495
"Population Liveweight (kg)","Neonatal Female",18701283.8600086,4111669.20742888,7679187.64691304,15865896.274972,19009713.8811538,21658022.993472,29915815.6139426
"Population Liveweight (kg)","Neonatal Male",14091996.5379029,3489378.67971788,4690930.21802693,11737067.8440379,14183135.1992311,16638059.9887861,25078913.4897269
"Population Liveweight (kg)","Juvenile Female",38121912.2478511,6453994.18494687,24508302.3874646,33208028.6038155,37235511.2270301,42609884.0597124,62826615.5895193
"Population Liveweight (kg)","Juvenile Male",35438852.9487351,5543829.58285462,20247992.5226336,31657036.1760711,35691303.7417563,39428765.8926331,50176866.6290997
"Population Liveweight (kg)","Juvenile Combined",73560765.1965862,8673055.58378544,48522300.1377804,67441551.5842601,73444561.9160285,79319889.0451778,103954967.907948
"Population Liveweight (kg)","Adult Female",111904440.824948,12628118.1527737,67156420.6469055,104086044.42961,113796515.130832,121949344.134496,132778426.488723
"Population Liveweight (kg)","Adult Male",33054415.4359821,4429575.13854076,19876772.149397,30137146.1411083,33462191.3424875,36490316.1462218,41293703.6142964
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",46496224.8674548,4033147.28032468,33039161.198141,43836429.8348851,47077119.9557526,49532434.9239113,55628620.4455076
"Offtake Liveweight (kg)","Juvenile Female",9337142.31997608,1549744.28332893,6557825.0023543,8108976.81593077,9165645.67582971,10372758.2680171,14354977.5800883
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
