"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",337314.85035916,36355.6722030224,230444.256298744,312674.556745212,335850.008055019,361876.26562904,461784.936029357
"Num Offtake","Neonatal Female",32840.2140446419,4956.90783791528,18260.7910845904,29507.5709189439,32612.7124629179,36210.8029423971,49817.0635610356
"Num Offtake","Neonatal Male",181800.183353654,27318.949595119,100813.670990263,163783.433275963,180970.532069228,200674.985677365,275975.487830929
"Num Offtake","Neonatal Combined",214640.397398296,32270.986951173,119168.294096038,193344.662693303,213512.511770725,236750.292686407,325792.551391965
"Num Offtake","Juvenile Female",47878.2064950801,3662.16338905749,38007.0669251742,45274.6473306123,47919.9748875776,50395.0812928042,59223.2621495803
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",47878.2064950801,3662.16338905749,38007.0669251742,45274.6473306123,47919.9748875776,50395.0812928042,59223.2621495803
"Num Offtake","Adult Female",66269.7583213887,456.611939392427,65117.527602943,65940.4780724996,66271.8199743762,66584.6115567418,67534.9278228819
"Num Offtake","Adult Male",8526.48814439599,259.500227529053,7871.62186208933,8338.98445333093,8527.80446380689,8705.36828108268,9245.76609388855
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1116023.30941274,204035.568134364,523053.010833108,975190.297755766,1112048.24675752,1246658.72426242,1774334.90282336
"Cml Pop Growth","Neonatal Female",409222.428192737,77732.1431012969,190121.322923366,356149.777588041,409738.722819889,460567.020921597,629283.008120522
"Cml Pop Growth","Neonatal Male",305727.619306126,66548.1436785269,124568.255859001,261164.738162967,305347.477909098,348294.870418677,484174.79395683
"Cml Pop Growth","Neonatal Combined",714950.047498863,143870.98005001,314689.578782368,616049.594744589,714197.560171729,809948.311157868,1111743.86115976
"Cml Pop Growth","Juvenile Female",156754.250401175,34893.6545857794,52262.7893314045,134284.259696381,155625.816384182,180417.492625925,277490.427335657
"Cml Pop Growth","Juvenile Male",198447.083788338,32198.5255481493,101450.950134254,177431.8761762,197484.984337776,220302.713725911,310018.863546897
"Cml Pop Growth","Juvenile Combined",355201.334189513,67086.7336523278,153713.739465658,311056.657626124,353275.018823912,400622.352557357,587509.290882554
"Cml Pop Growth","Adult Female",-493.807435796601,6422.34477248399,-17953.6210490159,-5002.15447037226,-460.579792866512,3950.69401720319,19566.8339548227
"Cml Pop Growth","Adult Male",46365.7351601567,6338.60281161235,29134.1963779223,41916.8801918382,46397.3414789266,50758.0561379687,66173.743382078
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1453338.1597719,234996.311913281,762435.290236545,1298655.1776311,1442194.70648079,1607248.35922121,2236119.83885272
"Total Number Increase","Neonatal Female",442062.642237379,81167.0482762739,212814.784001757,386070.129254446,442350.957299023,495581.11005082,679100.071681557
"Total Number Increase","Neonatal Male",487527.802659779,85473.0843207689,245772.394112925,428198.872194192,487166.83388834,543438.96001587,747777.514314315
"Total Number Increase","Neonatal Combined",929590.444897158,166532.926723232,460632.663094685,814859.561686228,929515.39068956,1038714.05572128,1426877.58599587
"Total Number Increase","Juvenile Female",204632.456896255,38285.891634717,90958.0223021628,179609.296565027,203669.886480109,231110.379351677,336713.689485238
"Total Number Increase","Juvenile Male",198447.083788338,32198.5255481493,101450.950134254,177431.8761762,197484.984337776,220302.713725911,310018.863546897
"Total Number Increase","Juvenile Combined",403079.540684593,70449.8557626687,192408.972436417,357225.45837487,400685.692016242,450965.137467328,646732.553032135
"Total Number Increase","Adult Female",65775.9508855921,6866.08017676332,47225.7024180237,60950.5827911242,65808.4018347842,70495.7174566868,87094.2822735195
"Total Number Increase","Adult Male",54892.2233045527,6590.6274356929,37040.5983935571,50224.2511581768,54937.9567897671,59438.5373462496,75415.4175511935
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",43381.0384279423,6147.75514512366,25291.4828168825,39245.7147841838,43102.5671755305,47570.1481135715,64452.0254948679
"Total Mortality","Neonatal Female",20898.3180284085,3154.39589685518,11620.5034174666,18777.545130237,20753.5442945841,23043.2382360709,31701.767720659
"Total Mortality","Neonatal Male",17923.9617390926,2693.41756571596,9939.37601312455,16147.6624356583,17842.1651335859,19784.8577428388,27208.8509129085
"Total Mortality","Neonatal Combined",38822.2797675011,5846.12678868553,21587.1894687925,34979.9852257734,38592.3155330137,42759.1597761431,58910.6186335675
"Total Mortality","Juvenile Female",1841.46948058,140.852438040673,1461.81026635285,1741.33258963893,1843.07595721452,1938.27235741555,2277.81777498386
"Total Mortality","Juvenile Male",1129.59828400812,132.752395679231,770.256499515575,1035.73445947457,1130.56556522882,1220.89162534758,1542.72562034333
"Total Mortality","Juvenile Combined",2971.06776458812,273.600747632571,2232.06676586843,2778.42726904886,2972.28537465461,3159.08427121593,3820.54339532719
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",1587.69089585305,48.3207320226512,1465.75027776836,1552.77641544783,1587.93600360542,1620.99961096022,1721.62541058614
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",519392083.555835,67353503.6429849,321747264.050858,474115926.253436,517389116.095833,565123079.7163,749464927.228424
"Value of Total Mortality","Neonatal Female",232305703.203789,35064264.7894422,129173515.988559,208731191.667715,230696398.378597,256148636.232164,352396849.982845
"Value of Total Mortality","Neonatal Male",171729477.422246,25805633.6971246,95229161.5817463,154710753.796042,170945784.144886,189558722.034139,260688000.596576
"Value of Total Mortality","Neonatal Combined",404035180.626035,60852640.8878755,224664335.046312,363912874.730922,401648343.143798,445204960.669431,613084850.579422
"Value of Total Mortality","Juvenile Female",31190810.0620641,2385758.59553291,24760142.2914846,29494691.4033043,31218020.5632996,32830457.1899045,38581677.4726766
"Value of Total Mortality","Juvenile Male",23319426.9750635,2740540.45640204,15901175.1759995,21381702.1813931,23339395.5285837,25204086.7136754,31848027.7063678
"Value of Total Mortality","Juvenile Combined",54510237.0371277,5126222.79428128,40661317.4674841,50904788.5494773,54531017.1750116,58034590.5530238,70429705.1790444
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",60846665.8926721,1851843.73403608,56173413.6451945,59508603.3456226,60856059.4021741,62123189.0904396,65979572.2353034
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",313011018.535048,61197119.042148,147617304.162655,270763222.83398,309623879.057526,352886896.841664,498965981.916003
"Population Liveweight (kg)","Neonatal Female",36772349.7652122,21652231.8502534,394935.677666152,18932668.1092679,35099951.8038214,53065377.5588501,92193411.3810187
"Population Liveweight (kg)","Neonatal Male",27782996.2485426,16639597.1765034,337993.120344423,14346748.1576277,26360677.6824816,40273181.3270762,73266341.0722449
"Population Liveweight (kg)","Juvenile Female",56515628.0170416,33634853.6660572,276899.453290344,27321512.524499,56024080.422835,83576877.3252641,153817352.792764
"Population Liveweight (kg)","Juvenile Male",43987794.3401616,26872329.5078955,221318.452384417,19782834.3890841,42613662.9355593,65497191.422681,113527353.999878
"Population Liveweight (kg)","Juvenile Combined",100503422.357203,44203999.544843,2730403.43701543,68296486.4995146,97501386.0222258,130542405.463909,228581660.080866
"Population Liveweight (kg)","Adult Female",123785788.11272,15044143.0281999,67924214.2345859,114190653.07376,126136771.171902,135226338.177678,154068712.618034
"Population Liveweight (kg)","Adult Male",24166462.0513692,13940970.608268,83430.6239242719,12872042.8887968,24258165.4880704,35834740.0193951,53586565.995322
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",44853468.5396683,6630693.52043063,26235197.0087212,40136943.5933078,44951782.8815248,49778979.2541659,62116219.9081296
"Offtake Liveweight (kg)","Juvenile Female",8829832.50982278,5231095.06475194,47313.5883625562,4400414.06299822,8865940.43710762,13256522.1395049,21123156.121496
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",33719615.2707459,3854309.83128288,20111757.2103214,31369686.9462842,34370042.9564137,36699844.9522465,39973132.8860719
"Offtake Liveweight (kg)","Adult Male",2304020.75909955,1349828.2370348,8348.20376612315,1155570.76679811,2281845.99123392,3461546.93955742,4855180.85131909
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",141982628.71322,6843281.16517155,122060845.548033,137152235.137816,141950569.420656,146470936.722548,165918784.645726
"Manure","Overall",480065180.377194,38469692.1410773,367868255.879291,452571140.39114,478477417.439606,506652961.80055,603428343.503348
"Manure","Neonatal Female",77866168.7797822,11788720.3572339,42136399.8238699,69899475.9861553,77412182.5990839,86206564.094264,115977012.182499
"Manure","Neonatal Male",66101608.7130799,9994806.07697927,34892934.2223021,59561399.8151614,65731095.2422291,73027788.2974266,103679764.410636
"Manure","Neonatal Combined",143967777.492862,21603437.9926607,77582091.242789,129609220.631558,143288285.166866,158917464.923851,216329624.664762
"Manure","Juvenile Female",81616017.6498433,7520430.49298499,60066133.0699892,76266645.7415889,81460373.1360214,86805848.467077,103466686.597328
"Manure","Juvenile Male",53517992.5613021,6643532.03252786,34738937.2802046,48729703.442236,53417967.7182626,58175062.5672518,76974524.3178477
"Manure","Juvenile Combined",135134010.211145,13748329.1592393,95633518.9505306,125459212.130098,134915730.56546,144578869.268536,177966651.695112
"Manure","Adult Female",161952092.49982,9892219.88280344,133522141.457638,155454010.895199,162009641.041928,168538561.435671,196379904.607512
"Manure","Adult Male",39011300.1733666,2808349.61348361,31148716.5477683,37099518.378816,38989709.5339515,40873147.1536216,47432837.0290302
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",2279.37933022058,160.425785032094,1852.14667404504,2164.946660409,2282.22493924475,2389.34492261881,2770.70343065021
"Hides","Juvenile Female",920.734740290002,70.4262190203363,730.905133176426,870.666294819467,921.537978607261,969.136178707773,1138.90888749193
"Hides","Juvenile Male",564.799142004058,66.3761978396153,385.128249757788,517.867229737286,565.282782614409,610.445812673789,771.362810171667
"Hides","Juvenile Combined",1485.53388229406,136.800373816286,1116.03338293421,1389.21363452443,1486.14268732731,1579.54213560796,1910.2716976636
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",793.845447926523,24.1603660113256,732.875138884179,776.388207723914,793.96800180271,810.499805480112,860.812705293072
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",6067958629.76009,1414369839.87113,2546971775.32283,5086382341.3988,5972163658.27435,6923479527.6575,10241460852.0251
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2258442574.19155,165514257.280019,1807825550.58042,2144525720.83812,2251567318.77351,2374779645.11048,2754676014.50132
"Cml Dry Matter","Neonatal Female",239745975.384199,47040112.6004251,115402667.004311,207343137.541476,235420135.144827,270496762.595299,400876804.420902
"Cml Dry Matter","Neonatal Male",201911586.324679,38766221.8276897,87578307.638546,174395396.942509,198816075.671351,229231042.669225,331856972.088205
"Cml Dry Matter","Neonatal Combined",441657561.708878,76905575.9416407,228274640.680549,387215499.794349,437646788.290251,491839241.626559,681639531.340415
"Cml Dry Matter","Juvenile Female",356922840.899471,64456256.2150199,137717268.762917,311161462.54049,353377583.658186,400640908.443238,539173423.44755
"Cml Dry Matter","Juvenile Male",232902470.855849,47242414.602214,105874572.715366,200033253.797246,230544529.883632,265619716.589342,388916007.580997
"Cml Dry Matter","Juvenile Combined",589825311.75532,90110522.6639409,352497630.776975,524593435.207833,586608393.851709,651402195.744212,915325505.536666
"Cml Dry Matter","Adult Female",1084070502.99401,37024769.5101365,952666901.146011,1060887521.9362,1084210080.49948,1109963565.33199,1186513250.02607
"Cml Dry Matter","Adult Male",142889197.733344,23912845.5638617,67626913.0389113,125885266.23742,142300153.237212,159662896.015286,226455919.097652
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",2688177458.94671,82270849.8484802,2471704102.26065,2629001761.16763,2689503880.42417,2744249236.69489,2937173716.011
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",810961061.613667,62029723.4838557,643763699.5786,766861976.485911,811668534.645789,853591886.937518,1003123614.28959
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
