"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",305210.509463676,31001.966473208,201902.487584535,284454.586504359,305210.679843925,325757.890852489,414578.641596824
"Num Offtake","Neonatal Female",28543.1572535218,4226.6717267823,14463.7833351816,25727.0207445132,28531.714550742,31318.7490178526,43469.7219515693
"Num Offtake","Neonatal Male",157570.897964636,23299.4193681426,79461.8448000134,141758.027848962,157671.896149964,172893.120284673,240717.727495217
"Num Offtake","Neonatal Combined",186114.055218158,27522.2960280498,93925.628135195,167385.287877736,186266.563130809,204227.318113492,284187.449446786
"Num Offtake","Juvenile Female",45487.6391656629,3111.02077013289,36034.4449993035,43334.5953052536,45448.1832982675,47575.7459689817,55595.1706367494
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",45487.6391656629,3111.02077013289,36034.4449993035,43334.5953052536,45448.1832982675,47575.7459689817,55595.1706367494
"Num Offtake","Adult Female",65221.4974054293,383.547596884942,64160.8484868017,64938.3497035152,65220.3874643615,65490.2143393244,66360.6155903154
"Num Offtake","Adult Male",8387.3176744259,219.021903482996,7781.5659632345,8225.54495058729,8386.73251043939,8540.72566078931,9037.83296274656
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",909779.18379076,170194.662930663,393606.715338791,796940.09957673,904244.485922495,1024211.9381265,1426504.33334926
"Cml Pop Growth","Neonatal Female",335369.77770154,63383.2193464826,146296.010303261,292795.730571363,333175.659690168,380142.262988797,524389.739040195
"Cml Pop Growth","Neonatal Male",246523.110934893,53439.2551785192,88043.6952684989,209491.176277266,244942.066284562,285780.9078138,411593.878729155
"Cml Pop Growth","Neonatal Combined",581892.888636433,116489.820099043,240353.882849696,501198.237082892,578521.484134244,664554.284973256,935983.61776935
"Cml Pop Growth","Juvenile Female",126519.37942889,29857.7960095164,26157.4847973933,105911.730558587,127005.873267295,146596.670589028,233924.939027913
"Cml Pop Growth","Juvenile Male",169945.428731856,27554.4735278001,77131.6625113974,150751.656769157,170186.505475965,188895.019120545,269403.116735938
"Cml Pop Growth","Juvenile Combined",296464.808160746,57408.1384252853,103289.147308791,256593.004617136,297100.718048577,335580.826373248,503328.055763851
"Cml Pop Growth","Adult Female",-10614.832409302,5421.55125886328,-27198.8696577716,-14336.7610015493,-10631.9782769602,-7022.16801523801,7109.53052443144
"Cml Pop Growth","Adult Male",42036.3194028822,5388.26349469408,25555.8815446662,38338.2624043682,42017.5443275492,45623.9682077355,59640.1317458642
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1214989.69325444,197355.69770812,618343.327982988,1082239.30292749,1204241.25737139,1349840.14566362,1841082.97494609
"Total Number Increase","Neonatal Female",363912.934955062,66484.9463251266,164152.471496092,319523.220917527,361332.715788708,410417.070355772,558288.047021596
