"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",320877.911672736,33336.3757701173,219882.213019814,297284.697864187,320725.909765112,344058.230841392,414261.010111166
"Num Offtake","Neonatal Female",30680.1505439536,4545.03097570825,16919.6256533957,27489.9531081652,30641.1888777311,33824.785254879,43423.0447459045
"Num Offtake","Neonatal Male",169555.922517367,25003.0235341697,94181.1736456658,152242.968765877,169390.137469619,186673.989042168,238340.833203138
"Num Offtake","Neonatal Combined",200236.073061321,29543.5558630606,111100.799299061,179742.254544107,199912.150736278,220492.706890249,281763.877949043
"Num Offtake","Juvenile Female",46812.4499907462,3399.63620683397,36784.4580534224,44451.4857928429,46864.1484055166,49160.9861722172,56851.416841871
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",46812.4499907462,3399.63620683397,36784.4580534224,44451.4857928429,46864.1484055166,49160.9861722172,56851.416841871
"Num Offtake","Adult Female",65361.8812131107,421.00530794054,64195.5047719514,65055.716791648,65381.3616191934,65667.1590800754,66517.9919372817
"Num Offtake","Adult Male",8467.5074075579,240.406261814874,7801.45089537909,8292.70727818099,8478.51960274099,8641.86686718829,9127.7233829706
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1010387.97534639,187903.513638429,367289.709282414,872568.975475768,1004582.22841117,1141490.52177331,1542217.43921698
"Cml Pop Growth","Neonatal Female",371897.368653056,70952.776254231,123396.870391318,320369.347942457,370827.332706257,423910.743957788,571413.139524763
"Cml Pop Growth","Neonatal Male",275927.848766037,60360.6280811989,67569.512230249,231106.072569018,275423.465298655,321968.219696964,440296.264632979
"Cml Pop Growth","Neonatal Combined",647825.217419093,130974.308721123,190966.382621567,552156.574578549,646611.670628917,745725.972883841,1011709.40415774
"Cml Pop Growth","Juvenile Female",142074.067209845,31992.5991760632,46290.9782033837,118910.369090934,141760.420391822,164672.157732678,228573.887620796
"Cml Pop Growth","Juvenile Male",184408.910183252,29495.9836746177,96457.085139962,163159.692385704,184146.710353255,205310.054813402,263060.972132236
"Cml Pop Growth","Juvenile Combined",326482.977393097,61483.586668468,142748.063343346,282084.387609681,325957.241927185,369920.803480955,491634.859753031
"Cml Pop Growth","Adult Female",-8278.25207426597,5921.33191963686,-25808.6588140545,-12390.6412349545,-8215.06406275813,-4181.27320367507,9288.699581441
"Cml Pop Growth","Adult Male",44358.0326084652,5884.61448172652,26938.3203508378,40265.4431485164,44409.6646872746,48439.8881936828,61802.9738116855
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1331265.88701912,216786.242131515,605313.948641375,1171179.44738933,1323496.20052613,1486295.50549932,1938331.31346994
"Total Number Increase","Neonatal Female",402577.51919701,74229.6216068253,142757.377084598,348654.380023466,402234.052223475,456093.312476689,612377.875768004
"Total Number Increase","Neonatal Male",445483.771283404,78431.3967474506,172678.54787892,388764.769767738,444049.104066649,501824.55786773,667877.898716921
"Total Number Increase","Neonatal Combined",848061.290480414,152566.384659201,315435.924963518,736239.853541767,846718.359352659,957945.677580928,1280255.77448492
