"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",292193.527003349,28995.6785467414,211195.018616646,272790.366243722,290717.011632657,311060.584143921,382448.043391561
"Num Offtake","Neonatal Female",26839.6106511529,3961.56987107522,15772.9191708924,24185.5657456554,26637.2849792072,29406.602265026,39170.5874051396
"Num Offtake","Neonatal Male",147820.711323271,21800.3426830552,86122.153988039,132897.333300727,146477.360842308,162127.934806626,215036.04329288
"Num Offtake","Neonatal Combined",174660.321974424,25758.6060357729,101895.073158931,157109.926427513,173146.396735101,191526.35941026,254077.764649549
"Num Offtake","Juvenile Female",44163.1571422218,2882.98500819248,36749.9690118474,42155.609197557,44146.6566978299,45914.1994051095,53339.3339444877
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",44163.1571422218,2882.98500819248,36749.9690118474,42155.609197557,44146.6566978299,45914.1994051095,53339.3339444877
"Num Offtake","Adult Female",65066.0153738151,350.700496292737,64150.5399730054,64815.8694329262,65073.7221862935,65301.8748829694,66123.4225303406
"Num Offtake","Adult Male",8304.0325128877,200.135091326754,7781.66016536093,8161.37055735933,8308.42248238329,8438.60459460251,8907.52226718426
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",836695.152787255,158465.67582517,326614.43218445,724639.740257695,833297.204418955,949615.962481652,1343408.73493866
"Cml Pop Growth","Neonatal Female",312122.89026248,58828.238580228,127762.249526963,269824.644240504,311183.978346646,352588.716998315,488841.974254634
"Cml Pop Growth","Neonatal Male",226940.065093034,49236.5448780312,79504.3805567998,191092.835839491,226858.372858589,258883.179459507,366216.059397104
"Cml Pop Growth","Neonatal Combined",539062.955355514,107744.49752672,207266.630083763,461222.599795521,539686.248854765,612041.217648351,851580.156910406
"Cml Pop Growth","Juvenile Female",113205.572005369,27921.6758468856,33474.1223784345,93520.526729504,111498.315976452,131377.542439121,200581.507102159
"Cml Pop Growth","Juvenile Male",157545.713446189,25699.5645566745,83737.6330429846,139404.049492459,155823.735484206,174350.393781808,238636.009159664
