"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",367040.505899266,41613.6515884363,217122.159714366,338579.817044259,365439.937507448,394159.268219996,507899.061955719
"Num Offtake","Neonatal Female",37003.6117789042,5675.11115385671,16555.4537687241,33113.2852454819,36789.7542172578,40717.8997501754,56239.9606533491
"Num Offtake","Neonatal Male",204991.552546951,31299.9400122934,90852.3377790958,183439.466997082,203349.379290094,225851.372900028,312228.135942711
"Num Offtake","Neonatal Combined",241995.164325855,36968.8808599577,107407.79154782,216380.120787846,240231.830075642,266483.337836824,368468.09659606
"Num Offtake","Juvenile Female",50592.0487033768,4199.69449356621,37290.5435468926,47850.2096978778,50304.2058237158,53351.1695024511,63809.6112338941
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",50592.0487033768,4199.69449356621,37290.5435468926,47850.2096978778,50304.2058237158,53351.1695024511,63809.6112338941
"Num Offtake","Adult Female",65754.9327320154,525.971058093041,64143.2996420973,65397.1138423841,65724.2721415287,66130.1730379368,67332.2098173065
"Num Offtake","Adult Male",8698.36013801908,300.332334186638,7778.15233576925,8493.95563329363,8680.81666953003,8912.75875667483,9599.00145823886
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1295774.41564322,233657.771536105,523507.107233509,1143421.8038686,1287115.88736352,1454510.48931081,2116085.83989534
"Cml Pop Growth","Neonatal Female",475304.891176412,88374.1419732356,199041.355545869,418182.744664545,472592.47694236,535665.940322437,791808.71330092
"Cml Pop Growth","Neonatal Male",358330.242772736,75105.3371980567,114172.656251074,309301.129355646,357463.025960192,408861.686933967,622924.829057036
"Cml Pop Growth","Neonatal Combined",833635.133949148,163033.306942731,313214.011796943,727616.016484417,831808.334744946,944561.360249105,1414733.54235796
"Cml Pop Growth","Juvenile Female",186566.172634233,40026.1786564186,39474.4485801733,158660.711003624,184789.056019442,213203.438553352,324855.938879337
"Cml Pop Growth","Juvenile Male",226071.959730615,36952.573830226,89663.1530529688,200352.09244731,224241.671729474,250692.006606729,354114.232190101
"Cml Pop Growth","Juvenile Combined",412638.132364848,76972.0896657341,129137.601633142,359306.368861156,408926.087840913,464240.226440735,678970.171069438
"Cml Pop Growth","Adult Female",-1600.93001812159,7310.3483291571,-24756.9026224633,-6455.00592368199,-2080.71855194448,3188.25258574299,21445.2847996531
"Cml Pop Growth","Adult Male",51102.0793473428,7265.19034642697,28095.7619760486,46292.0581318494,50636.6396070384,55844.4300661953,73994.1788560635
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1662814.92154248,269576.897226914,740629.266947875,1485559.83098181,1653081.43072802,1848491.78006871,2589520.04531012
"Total Number Increase","Neonatal Female",512308.502955316,92432.8881850184,225659.250229832,451973.364755395,508706.562907912,575587.070931319,843361.367895691
"Total Number Increase","Neonatal Male",563321.795319687,97520.0321991442,257619.95415363,498444.519703762,558943.881757982,629183.155135429,910875.009746243
"Total Number Increase","Neonatal Combined",1075630.298275,189833.540510143,483279.204383462,949232.523485483,1069124.98545934,1202525.41962513,1754236.37764193
"Total Number Increase","Juvenile Female",237158.22133761,43878.1952346865,76964.9887274615,206921.597305091,234775.515454429,266566.177836399,387801.746647008
"Total Number Increase","Juvenile Male",226071.959730615,36952.573830226,89663.1530529688,200352.09244731,224241.671729474,250692.006606729,354114.232190101
"Total Number Increase","Juvenile Combined",463230.181068224,80787.2236752552,166628.14178043,406746.410295804,459538.144606813,517106.842630647,741915.978837109
"Total Number Increase","Adult Female",64154.0027138938,7819.10327332508,39386.397019634,59023.6670954098,63632.0544022844,69280.3437362629,88777.4946169596
"Total Number Increase","Adult Male",59800.4394853618,7555.55315441955,35873.9143118178,54833.5551949352,59285.5925751741,64718.607777044,83593.1803143024
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",55597.3044285841,7086.44174130679,30047.3618963566,50736.0783943353,55319.5976810119,60227.0141817314,79613.3695270725
"Total Mortality","Neonatal Female",23547.7529502117,3611.43437063609,10535.2887619154,21072.0906107612,23411.6617746186,25911.3907501116,35789.0658703131
"Total Mortality","Neonatal Male",20210.4347581501,3085.90957867681,8957.27273878409,18085.5812532335,20048.5303525444,22267.0367647915,30783.0556563236
"Total Mortality","Neonatal Combined",43758.1877083618,6695.2065236917,19492.5615006995,39204.809274874,43446.1076708641,48242.9749157291,66572.1215266367
"Total Mortality","Juvenile Female",1945.84802705295,161.526711291008,1434.25167488049,1840.39268068761,1934.77714706599,2051.96805778658,2454.21581668823
"Total Mortality","Juvenile Male",1228.40268263503,152.194123576262,746.445198383359,1128.67879756231,1217.92465628571,1327.86586612248,1707.61161171673
"Total Mortality","Juvenile Combined",3174.25070968798,313.715362672767,2180.69687326384,2968.73853906261,3153.06496455974,3380.26276111754,4161.82742840496
"Total Mortality","Adult Female",7045.17136414451,56.3540419385401,6872.49639022471,7006.83362596973,7041.88630087807,7085.37568263608,7214.16533756855
"Total Mortality","Adult Male",1619.69464638976,55.9239518830291,1448.34560735014,1581.63311792364,1616.42793156766,1659.61714779462,1787.40027153413
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",740612922.938696,78225435.0097611,460417358.974787,688359570.83309,737834464.851949,792064550.787594,1003852624.20376
"Value of Total Mortality","Neonatal Female",261756821.794554,40144704.4639908,117110269.877451,234237359.229221,260244032.286661,288031019.578241,397831256.2144
"Value of Total Mortality","Neonatal Male",193636175.417836,29566099.6733025,85819630.1102904,173277953.98723,192084969.307728,213340479.243467,294932456.243237
"Value of Total Mortality","Neonatal Combined",455392997.21239,69688933.9892382,202929899.987742,407947529.382488,452056814.871265,501940963.170446,692763712.457637
"Value of Total Mortality","Juvenile Female",32958773.8822229,2735939.4358471,24293354.8691257,31172571.2254867,32771255.3170038,34756234.9627891,41569507.5030653
"Value of Total Mortality","Juvenile Male",25359144.9803176,3141895.48710835,15409614.6754261,23300445.0968763,25142836.6043623,27412462.9402325,35251934.1122802
"Value of Total Mortality","Juvenile Combined",58317918.8625405,5877732.7952753,39702969.5445517,54467005.1484291,57922401.5006643,62177882.4849775,76821441.6153455
"Value of Total Mortality","Adult Female",164828829.235525,1318459.16519408,160788925.545697,163931879.513188,164751971.895343,165769449.470954,168782612.237754
"Value of Total Mortality","Adult Male",62073177.6282412,2143229.53196521,55506397.0560866,60614507.6113056,61947984.049399,63603167.5720811,68500328.0062741
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",276616586.921854,78570351.6625317,39358657.8484549,221656875.152983,276629723.244221,327068861.997101,540607989.848019
"Population Liveweight (kg)","Neonatal Female",40764300.503656,24662687.4582218,420337.216806196,20496313.6908134,39196069.546768,58932937.2359785,109213345.712613
"Population Liveweight (kg)","Neonatal Male",32266495.4772284,19919649.344063,246554.271368995,14742931.2813939,31338620.8392495,48214506.7341579,87830264.9518137
"Population Liveweight (kg)","Juvenile Female",59510612.6832916,36146352.2737015,226554.821228786,28714509.6215702,58447328.5151239,89340173.1604583,154380064.383266
"Population Liveweight (kg)","Juvenile Male",51648033.4052752,30136689.9392831,259464.646961146,26081164.7263856,49450782.9316836,76085268.9879094,128780101.921755
"Population Liveweight (kg)","Juvenile Combined",111158646.088567,50364968.8370415,5168601.08990373,72650104.3320118,111034283.9617,145653101.776771,269191677.271376
"Population Liveweight (kg)","Adult Female",67575656.299789,38730673.3116217,231809.216761573,34731658.871468,68010620.0705388,101716612.81993,140007783.457313
"Population Liveweight (kg)","Adult Male",24851488.552614,14924127.7617196,89693.7358900357,11614321.1912118,25193304.6122166,37412162.1543498,57565226.2412982
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",29767777.8101421,12043177.6757605,1146350.24467851,20136938.8576806,29543183.5520668,38862186.286553,57196941.752538
"Offtake Liveweight (kg)","Juvenile Female",9385002.00613122,5539318.52105114,47421.6654812545,4476627.25199781,9263066.13939877,14019499.7128179,21922902.2272968
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",18065817.1831373,10553966.2300021,64997.5992277419,8809962.41604064,18031484.6297846,27235152.0972375,36528668.0062002
"Offtake Liveweight (kg)","Adult Male",2316958.62087356,1370800.66793954,8287.06606796036,1182625.87946143,2304931.83730217,3497091.48589773,5084706.36469612
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",91897918.4781429,12618694.0284066,45742093.3118024,82905954.2593509,91481594.2418301,100427559.504294,130458704.070218
"Manure","Overall",507389192.004097,43996358.1876156,348934964.141884,478485268.866513,504872931.963555,535364586.913515,646887395.698171
"Manure","Neonatal Female",87934159.1549035,13649765.7656541,40547545.9806507,78499513.9081289,87362759.8725971,96911378.8288977,130233582.73321
"Manure","Neonatal Male",74387521.4852658,11437991.1308888,33243347.0147845,66577738.2047007,73983341.0537204,82001324.0184706,109451680.554226
"Manure","Neonatal Combined",162321680.640169,24902306.0063055,73790892.9954352,145365107.657627,161277051.153731,178944102.651896,236735056.768948
"Manure","Juvenile Female",87021898.5423686,8382017.94742674,60695823.6309138,80993569.4003246,86849801.5702756,92767908.0120972,115289637.529761
"Manure","Juvenile Male",58749898.125198,7792297.58968034,33743980.1640991,53281408.216959,58518470.2860776,63880438.3016461,84229542.9699863
"Manure","Juvenile Combined",145771796.667567,15742126.8258181,95469738.5812128,134462912.598505,145335439.628653,156255733.260455,195302828.163794
