"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",163696.868211736,15.3631551122423,163645.166334952,163687.24517166,163696.765886277,163707.024829791,163744.847732373
"Num Offtake","Neonatal Female",9137.39571855879,2.09786029293358,9130.33462644935,9136.08240329689,9137.37461672111,9138.78293973314,9143.96558278925
"Num Offtake","Neonatal Male",48881.7952830246,11.509899084201,48843.0509632704,48874.7418801517,48881.7503347156,48889.5365638467,48917.9155216613
"Num Offtake","Neonatal Combined",58019.1910015834,13.605234449956,57973.3855897197,58010.7594491891,58019.0476664045,58028.2940985011,58061.8811044506
"Num Offtake","Juvenile Female",33219.3891143179,1.58681652705078,33214.3850724066,33218.2816602629,33219.4568874953,33220.4182915208,33223.9330926133
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",33219.3891143179,1.58681652705078,33214.3850724066,33218.2816602629,33219.4568874953,33220.4182915208,33223.9330926133
"Num Offtake","Adult Female",64724.5952241023,0.200228594193343,64723.9745808345,64724.4537746089,64724.6005841665,64724.7309818338,64725.1828271747
"Num Offtake","Adult Male",7733.69287173272,0.114276412522153,7733.33872029891,7733.61215313674,7733.69588990517,7733.77039216138,7734.02823567149
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",41769.3907089777,83.0024263596851,41508.287609983,41715.0957673932,41773.3432755647,41825.2058543997,42061.6760540649
"Cml Pop Growth","Neonatal Female",23370.6815288021,31.175330836321,23277.9966453702,23350.3662385267,23373.1079478869,23391.2848572152,23484.8843316641
"Cml Pop Growth","Neonatal Male",-2154.08322075927,26.3558051389727,-2234.90552249165,-2171.58128993773,-2152.78317132909,-2136.89020985791,-2058.49977374935
"Cml Pop Growth","Neonatal Combined",21216.5983080428,57.3451363115135,21043.8534787174,21179.0728925583,21220.1644853388,21254.6553392626,21426.3845579148
"Cml Pop Growth","Juvenile Female",-14035.5959136955,14.7587167790629,-14085.1604607118,-14044.6380033387,-14035.919436251,-14025.5674186773,-13989.1522733311
"Cml Pop Growth","Juvenile Male",39255.1841476695,13.5767105715763,39209.7039917201,39246.8204500845,39254.8605100196,39264.2650091189,39297.7753888445
"Cml Pop Growth","Juvenile Combined",25219.588233974,28.3324739932888,25124.5435310083,25202.0598557609,25218.8406601465,25238.7694889031,25308.6231155135
"Cml Pop Growth","Adult Female",-26525.5178038123,2.77995753270036,-26534.347364247,-26527.4390130083,-26525.3843222792,-26523.7210138073,-26517.4422182695
"Cml Pop Growth","Adult Male",21858.7219707732,2.76021732698693,21849.95694192,21856.8125342397,21858.8542456862,21860.5097873379,21866.7333947382
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",205466.258920714,96.1782385179432,205161.942130616,205405.253580182,205470.230475884,205534.23503855,205794.810310685
"Total Number Increase","Neonatal Female",32508.0772473609,32.6340938252384,32409.4903888631,32486.6159417215,32510.4352456294,32529.6336218425,32627.2461141798
"Total Number Increase","Neonatal Male",46727.7120622653,34.3626719694196,46621.7056839819,46705.1867286294,46730.2099515284,46750.2609698668,46851.8331312661
"Total Number Increase","Neonatal Combined",79235.7893096262,66.9514251645932,79031.196072845,79191.5834007371,79240.1670436921,79280.2027743362,79479.079245446
"Total Number Increase","Juvenile Female",19183.7932006224,16.2139093512648,19129.2246116948,19173.9382988212,19183.6277073852,19194.7298734891,19234.7808192823
"Total Number Increase","Juvenile Male",39255.1841476695,13.5767105715763,39209.7039917201,39246.8204500845,39254.8605100196,39264.2650091189,39297.7753888445
"Total Number Increase","Juvenile Combined",58438.9773482919,29.7727860088368,58338.9286034149,58420.8392111231,58438.4695437341,58459.1468491269,58532.5562081268
"Total Number Increase","Adult Female",38199.07742029,2.97425540154678,38189.679716486,38196.996482774,38199.215921924,38200.9928287542,38207.6275349024
