"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",240379.510000042,18519.4983699875,186822.061267482,227095.413846037,240568.140117241,253649.097369824,288605.052951212
"Num Offtake","Neonatal Female",19708.9953093263,2525.25984473509,12411.5734356167,17896.2177317183,19740.7953505569,21526.130899605,26268.9523878933
"Num Offtake","Neonatal Male",108150.42255468,13869.0716117751,67913.3865541994,98195.7045762514,107991.473610303,118147.68177936,143853.517612832
"Num Offtake","Neonatal Combined",127859.417864006,16392.2731650499,80324.9599898161,116019.063706623,127726.504630135,139657.153898454,170122.470000725
"Num Offtake","Juvenile Female",39773.484320206,1885.45897243807,34674.5570387547,38418.7596824827,39775.9909419528,41128.3829229832,44770.0401631959
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",39773.484320206,1885.45897243807,34674.5570387547,38418.7596824827,39775.9909419528,41128.3829229832,44770.0401631959
"Num Offtake","Adult Female",64608.3797616514,231.858855510539,63997.6869772552,64437.3713930592,64602.7924930776,64776.5768109466,65222.1990282928
"Num Offtake","Adult Male",8138.22805417774,133.032665624511,7787.89710943199,8040.14532685353,8135.07326961161,8234.81178271864,8490.34375899839
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",508758.919085827,95730.5069644673,216865.523060758,443640.139335867,510351.426092279,573059.40626328,777546.310400205
"Cml Pop Growth","Neonatal Female",192209.906580846,35215.6141128998,88953.5063729161,168668.059786994,191500.499290224,215957.895393568,295838.517198212
"Cml Pop Growth","Neonatal Male",132495.995363781,29664.9172015535,48613.5109120488,113068.001119739,131963.378137374,152170.5090089,219221.307506958
"Cml Pop Growth","Neonatal Combined",324705.901944627,64648.8814936398,140242.250652743,282508.704737127,323873.200177834,368962.683991748,515059.82470517
"Cml Pop Growth","Juvenile Female",61381.9810665521,17656.1311854827,10142.451471252,48868.3405713157,61179.4367141458,74147.6771755551,106934.816811545
"Cml Pop Growth","Juvenile Male",109801.125119943,16253.7200749756,62577.9155619928,98471.2224586488,109628.185365955,121596.035537666,151859.537275897
"Cml Pop Growth","Juvenile Combined",171183.106186495,33907.530155841,72720.3670332448,147334.039640295,170805.185951993,195945.329822985,258794.354087442
"Cml Pop Growth","Adult Female",-20681.4822552987,3285.44001481273,-29603.9554646034,-23025.4590908992,-20692.1922621072,-18317.6759529364,-11995.8857094824
"Cml Pop Growth","Adult Male",33551.3932100047,3288.23242377979,24624.8354346117,31202.7633773497,33555.4169765922,35908.918006546,42246.2169653667
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",749138.429085869,111825.158212519,408643.221948463,672949.870655123,749738.088270704,826729.978454109,1053100.00089939
"Total Number Increase","Neonatal Female",211918.901890172,37000.5461622168,102025.517311873,186967.067380277,210934.052310932,237153.11754748,320338.340676414
"Total Number Increase","Neonatal Male",240646.417918461,39379.4503334444,122245.581277416,214387.965744096,240851.574976772,267049.003988284,354613.320719034
"Total Number Increase","Neonatal Combined",452565.319808633,76322.7294125239,224271.098589289,401470.669396063,452034.988066718,505142.696997889,674951.661395448
"Total Number Increase","Juvenile Female",101155.465386758,19428.2771025993,44817.0085100067,87225.2059455005,100954.130621339,115219.493317758,151126.659364144
"Total Number Increase","Juvenile Male",109801.125119943,16253.7200749756,62577.9155619928,98471.2224586488,109628.185365955,121596.035537666,151859.537275897
"Total Number Increase","Juvenile Combined",210956.590506701,35667.2063170467,107394.924072,185441.769274482,210564.594019708,236665.892324555,302986.19664004
"Total Number Increase","Adult Female",43926.8975063527,3511.62221476728,34417.2069965688,41428.6826109286,43945.7817483806,46448.4948999975,53226.3133188103
"Total Number Increase","Adult Male",41689.6212641824,3417.98932802287,32426.2172123509,39259.0065878155,41704.35263531,44146.0603987721,50736.5607243651
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",32490.6738660241,3130.83040821557,23435.5314199116,30241.6663481218,32524.7355139437,34761.6575342062,40624.0958272991
"Total Mortality","Neonatal Female",12542.0879241167,1606.9835375587,7898.27400448333,11388.5021929116,12562.3243139907,13698.4469361123,16716.606065023
"Total Mortality","Neonatal Male",10662.7177166586,1367.37325749895,6695.68599830135,9681.26664836281,10647.0466939736,11648.3629923313,14182.7411730961
