"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",208782.480590205,11311.2423583622,172012.538914229,201516.433075972,209386.074636869,215855.872633146,244643.816928789
"Num Offtake","Neonatal Female",15389.4517478764,1542.33297791634,10375.0290942183,14399.2420223799,15469.8928618248,16356.2839670778,20299.8072971422
"Num Offtake","Neonatal Male",83989.6223323936,8489.76904336572,56555.0991251389,78536.392062454,84346.9681252622,89300.9933488382,111673.48219232
"Num Offtake","Neonatal Combined",99379.0740802701,10030.5086050305,66930.1282193572,92973.0109245203,99862.2964709498,105629.895724815,131973.289489463
"Num Offtake","Juvenile Female",37183.1119984191,1152.35194680042,33517.8778141921,36444.5134500028,37247.8172365965,37958.0916863978,40484.54409131
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",37183.1119984191,1152.35194680042,33517.8778141921,36444.5134500028,37247.8172365965,37958.0916863978,40484.54409131
"Num Offtake","Adult Female",64337.7315112103,143.3674282076,63920.3369561462,64240.7866118617,64348.0087275994,64431.3476531035,64714.2185132483
"Num Offtake","Adult Male",7882.56300030538,81.8675880975537,7644.19592453359,7827.20876157895,7888.41919457547,7935.99774438601,8097.55196491344
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",314114.765929661,61543.8254948876,138336.094440413,273090.844668943,312510.965459817,351330.700895206,510323.979423374
"Cml Pop Growth","Neonatal Female",122344.73537405,23033.2371567359,56054.6210533361,106262.295230317,121430.635397519,137929.951999448,192757.958603539
"Cml Pop Growth","Neonatal Male",76866.0493521317,19508.0158610737,20732.8196618953,63098.339709546,75725.9573361312,90459.5414855242,134178.620935195
"Cml Pop Growth","Neonatal Combined",199210.784726182,42413.0380287725,76787.4407152314,169285.335824377,197116.789888745,229024.605168232,326345.691635653
"Cml Pop Growth","Juvenile Female",31215.0101881129,10872.0366759989,-3656.88883810109,24345.8485307352,31822.9928367952,38072.5671708222,67478.8471183299
"Cml Pop Growth","Juvenile Male",81453.1594380239,10026.8581863867,49436.9773295358,75057.8813520046,81967.3198443567,87836.1885597391,115185.756508371
"Cml Pop Growth","Juvenile Combined",112668.169626137,20897.1592662384,45817.2891919034,99322.476198419,113786.521120728,125944.596999377,182664.603626701
"Cml Pop Growth","Adult Female",-25255.9211128488,2006.72085815496,-31676.7002300127,-26536.2141326352,-25133.617176847,-23895.373002574,-19469.4148473177
"Cml Pop Growth","Adult Male",27491.7326901916,1994.39160346487,21113.2932360576,26219.9799219243,27608.3721395846,28840.9588693597,33240.3003509088
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",522897.246519866,71322.9726162111,311498.667716109,478217.361862823,522519.839506339,563068.651338033,750625.992594204
"Total Number Increase","Neonatal Female",137734.187121926,24127.7004833463,68833.3530903827,121181.515224694,136495.152774271,153526.24867394,212444.06373622
"Total Number Increase","Neonatal Male",160855.671684525,25526.9548849884,89500.2067370187,143544.857312763,159602.272859433,176992.023906012,241423.348442171
"Total Number Increase","Neonatal Combined",298589.858806452,49620.5370652999,158333.559827401,264807.645778665,295851.459603918,331028.69592392,453867.412178391
"Total Number Increase","Juvenile Female",68398.122186532,11935.9204413831,29860.988976091,60721.5397577053,68939.2981984107,75885.9752408326,107527.35034408
"Total Number Increase","Juvenile Male",81453.1594380239,10026.8581863867,49436.9773295358,75057.8813520046,81967.3198443567,87836.1885597391,115185.756508371
"Total Number Increase","Juvenile Combined",149851.281624556,21951.5150652381,79335.1670060956,135923.90866099,150956.832449556,163650.335538962,222713.106852451
"Total Number Increase","Adult Female",39081.8103983615,2145.77447183113,32243.6367261334,37708.4137482219,39209.7119200884,40530.5213654882,45242.2617946685
"Total Number Increase","Adult Male",35374.295690497,2073.76168304542,28757.4891605912,34046.4724895171,35495.1719239065,36770.8054352646,41336.4273998057
"Total Number Increase","Oxen",0,0,0,0,0,0,0
