"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",256056.430933472,21623.3806694691,198411.218111796,240599.33752925,255223.709994814,270879.706818351,318413.204839119
"Num Offtake","Neonatal Female",21860.939866122,2949.12503123549,14002.455239631,19756.0504111377,21736.3464862335,23880.8678011103,30349.5228776529
"Num Offtake","Neonatal Male",120168.684340953,16211.0270861831,76893.0630069289,108524.587240043,119754.648899672,131255.989830672,166444.114226207
"Num Offtake","Neonatal Combined",142029.624207075,19157.5624920548,90895.5182465599,128210.917493433,141441.641501773,155132.160698976,196738.465080816
"Num Offtake","Juvenile Female",41144.5699296347,2196.79558193399,35573.0552312474,39478.4607432604,41071.4357798783,42695.0694645507,47650.3089150033
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",41144.5699296347,2196.79558193399,35573.0552312474,39478.4607432604,41071.4357798783,42695.0694645507,47650.3089150033
"Num Offtake","Adult Female",64754.9803452668,269.941979116,64063.0421888874,64555.8737726276,64755.7088352898,64951.7116936788,65542.5845352075
"Num Offtake","Adult Male",8127.25645149631,154.140193833853,7732.17642946935,8013.51299185847,8127.66524073452,8239.65841264941,8576.95616378649
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",600026.710417684,115549.687504508,280358.494590024,520743.765957564,593738.893448925,681189.793537008,915421.329184022
"Cml Pop Growth","Neonatal Female",224719.906706952,42933.4179686476,107053.930579484,196575.231368377,223560.813909299,252825.594034018,352197.684500357
"Cml Pop Growth","Neonatal Male",157960.201532541,36269.7827537778,58697.2439231982,134544.381686132,157820.606157445,181983.850396607,268428.501732941
"Cml Pop Growth","Neonatal Combined",382680.108239492,78954.2935984042,165751.174502682,330979.095714683,381527.783294404,436694.502828396,620626.186233299
"Cml Pop Growth","Juvenile Female",76884.5906346733,20661.3708532725,21185.5963749571,62175.9670495898,76353.4909286332,91210.6053749582,135946.545586294
"Cml Pop Growth","Juvenile Male",124178.525705009,19029.9099805169,72496.5877643596,110645.077921306,123596.895274599,137378.821826213,178433.891960427
"Cml Pop Growth","Juvenile Combined",201063.116339682,39688.3714947848,93682.1841393168,172856.965459326,199959.613044036,228661.523951505,314380.43754672
"Cml Pop Growth","Adult Female",-18265.2617840143,3828.82940013721,-27939.0601061628,-21160.702047983,-18442.9621854959,-15602.6946554402,-6938.75697205332
"Cml Pop Growth","Adult Male",34548.747622524,3804.67737708734,24933.5800847986,31670.1701806369,34367.3154795148,37193.3913618859,45801.1043352658
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",856083.141351156,134338.175435852,478769.712701821,764564.013005592,847237.370636426,946846.4233008,1232973.29887613
"Total Number Increase","Neonatal Female",246580.846573074,45041.2766229531,122999.643165637,217110.208121612,244469.732361954,276053.636332756,378758.435124752
"Total Number Increase","Neonatal Male",278128.885873493,47806.1754779133,146214.992812551,246607.217648583,275694.474649625,310315.625404286,415491.678685203
"Total Number Increase","Neonatal Combined",524709.732446567,92783.2086679263,269214.635978188,464029.092609664,520081.084405981,586434.733112086,794250.113809955
"Total Number Increase","Juvenile Female",118029.160564308,22715.3767411544,57341.8455146646,101726.067417302,117535.988731852,133547.954416889,182950.309435275
"Total Number Increase","Juvenile Male",124178.525705009,19029.9099805169,72496.5877643596,110645.077921306,123596.895274599,137378.821826213,178433.891960427
"Total Number Increase","Juvenile Combined",242207.686269317,41726.7408595836,129838.433279024,212642.646551075,240908.948159967,270973.926062147,361384.201395702
"Total Number Increase","Adult Female",46489.7185612525,4091.76208647356,36123.9820827246,43384.5606777187,46325.1732448621,49353.4804500588,58603.8275631542
"Total Number Increase","Adult Male",42676.0040740203,3954.76074762496,32665.7565142679,39674.1437749367,42506.9066746651,45433.0157239892,54378.0604990523
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",36676.7793276149,3681.76495984565,26861.7895265397,34057.1599008585,36526.0205705933,39194.8379340377,47280.2146373436
"Total Mortality","Neonatal Female",13911.5071875322,1876.71592896804,8910.65333431061,12572.0320798149,13832.2204912395,15196.9158734338,19313.3327403246
"Total Mortality","Neonatal Male",11847.6167660094,1598.27027610256,7581.00621195074,10699.6071926803,11806.7963703902,12940.7313917564,16409.9830927246
"Total Mortality","Neonatal Combined",25759.1239535416,3474.09031547965,16491.6595462613,23257.2037671599,25646.9243432962,28106.9353058825,35708.4993097933
"Total Mortality","Juvenile Female",1582.48345883211,84.492137766692,1368.19443197105,1518.40233627925,1579.67060691839,1642.11805632887,1832.70418903859
"Total Mortality","Juvenile Male",883.787105506669,79.6548305962824,682.110821815796,823.323769460191,880.445518938486,939.390388591687,1119.50297776342
"Total Mortality","Juvenile Combined",2466.27056433877,164.144787992837,2050.30525378685,2341.51995228819,2460.06814427746,2581.27143533626,2952.20716680201
"Total Mortality","Adult Female",6938.03360842145,28.9223549052857,6863.89737738079,6916.70076135295,6938.1116609239,6959.11196717988,7022.41977162937
"Total Mortality","Adult Male",1513.35120131311,28.7019671276829,1439.78457652188,1492.17138469089,1513.4273206885,1534.28122166575,1597.08838911886
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",533521241.705273,40692839.6561294,425167868.379618,504342744.559984,532134725.874111,561493305.836483,651425809.072044
"Value of Total Mortality","Neonatal Female",154640313.896608,20861574.2664087,99050822.4641967,139750708.599222,153758962.980618,168928916.849091,214687006.741448
"Value of Total Mortality","Neonatal Male",113512016.235136,15313027.5153386,72633620.5167,102512936.51307,113120916.024708,123985147.464418,157224048.011394
"Value of Total Mortality","Neonatal Combined",268152330.131744,36165436.1536635,171684442.980897,242140339.92629,266945924.041211,292669967.441602,371769097.643528
"Value of Total Mortality","Juvenile Female",26804104.8256982,1431127.82949223,23174477.2887257,25718698.7718979,26756460.7399838,27814195.6380985,31042343.5539356
"Value of Total Mortality","Juvenile Male",18244901.0060797,1644394.32282965,14081495.8055653,16996695.8967362,18175917.2929661,19392775.1820868,23111019.4729481
"Value of Total Mortality","Juvenile Combined",45049005.8317779,3075481.46114982,37255973.094291,42711006.1588774,44931387.5012242,47201214.8830871,54153363.0268837
"Value of Total Mortality","Adult Female",162322234.302628,676667.415364065,160587743.041201,161823131.012614,162324060.418976,162815383.58414,164296532.977041
