"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18711.0270760022,6.78510412126416,18688.8155180804,18706.729331987,18710.972441036,18715.7264344632,18730.0990464157
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2289.76165177678,2.36743098746523,-2298.28724522992,-2291.40460817973,-2289.86533978787,-2288.09044717409,-2281.47697981596
"Num Offtake","Juvenile Male",4604.69446993096,4.87849242831364,4586.30968027142,4601.47793631008,4604.67782767684,4608.04613223123,4618.17062419
"Num Offtake","Juvenile Combined",2314.93281815417,5.41155438721645,2297.27687458562,2311.35174046065,2314.90420686871,2318.66574750085,2329.77835525505
"Num Offtake","Adult Female",-6845.74330938557,0.339562322538782,-6846.87297505588,-6845.98472906435,-6845.75947677773,-6845.51034942267,-6844.59229144841
"Num Offtake","Adult Male",4809.2516354955,1.39100662944916,4803.76823352665,4808.3357307384,4809.28199401662,4810.20838752345,4813.17858444285
"Num Offtake","Oxen",18432.5859317381,0.0207662917208573,18432.5082861022,18432.572073942,18432.5866626419,18432.5999675844,18432.6459548324
"Cml Pop Growth","Overall",44871.3814709724,555.398976603218,42937.9671533417,44528.8439670369,44884.8563842138,45239.8019474392,46442.2614467654
"Cml Pop Growth","Neonatal Female",-8182.56468226189,278.52885791383,-9140.94026585266,-8352.64142949874,-8174.65988152941,-7983.40216809409,-7480.3896581652
"Cml Pop Growth","Neonatal Male",3953.95493373511,238.459447327837,3003.75365262579,3801.07704844137,3962.92121349945,4114.54854427642,4619.10061813624
"Cml Pop Growth","Neonatal Combined",-4228.60974852678,353.544775559674,-5609.17516286932,-4458.35229013235,-4207.97178977232,-3999.36006462605,-3182.14951428379
"Cml Pop Growth","Juvenile Female",15203.7786958018,180.738751246914,14642.3373209257,15082.4605409485,15209.377383985,15327.7966413343,15895.71123746
"Cml Pop Growth","Juvenile Male",8353.02430527661,136.913732573119,7961.9461385427,8261.29104227709,8355.41458477986,8444.91397828803,8722.45855219289
"Cml Pop Growth","Juvenile Combined",23556.8030010784,229.045658761901,22889.0960465068,23401.1671673765,23557.1801572965,23720.8448389757,24398.2529391928
"Cml Pop Growth","Adult Female",21428.6549955594,38.673926591163,21293.2123484075,21401.1975504837,21430.5155441466,21455.6247423412,21567.9868148064
