"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",19084.9939599455,26.9201728268329,19024.8880226152,19064.6287511508,19082.6994356504,19102.6681325194,19187.6251089963
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2482.7045478417,12.8483087358887,-2531.49973433452,-2491.01195557004,-2481.68929763159,-2473.07872882622,-2453.67734449856
"Num Offtake","Juvenile Male",5051.89556581664,33.4657347784508,4976.19801398221,5026.79733557519,5049.39361738194,5073.53951069273,5178.91507822689
"Num Offtake","Juvenile Combined",2569.19101797494,20.6177228841474,2522.52066948365,2553.67803886056,2567.69419744539,2582.6230916555,2647.41534389237
"Num Offtake","Adult Female",-6928.51496829017,1.50997113407118,-6934.22928827473,-6929.52126737645,-6928.35212600929,-6927.40856422745,-6925.37159976542
"Num Offtake","Adult Male",4926.93437817836,7.85538508516396,4910.53712142127,4921.17953842013,4926.12982300645,4932.13569961856,4956.71916920147
"Num Offtake","Oxen",18517.3835320824,0.0939824385199014,18517.2016997169,18517.3153385295,18517.3672564305,18517.4432039609,18517.7198841772
"Cml Pop Growth","Overall",147945.59335775,6716.06125630487,128685.340953372,143276.241044859,147407.621609967,152518.270883626,171118.594572703
"Cml Pop Growth","Neonatal Female",20960.6171647678,2313.90994726294,14567.7346308042,19344.4916127915,20776.3628080757,22436.1385883214,28406.2961920983
"Cml Pop Growth","Neonatal Male",32287.7335870806,2313.90994726294,25894.8510531171,30671.6080351044,32103.4792303886,33763.2550106342,39733.4126144112
"Cml Pop Growth","Neonatal Combined",53248.3507518484,4627.81989452589,40462.5856839213,50016.0996478959,52879.8420384643,56199.3935989556,68139.7088065094
"Cml Pop Growth","Juvenile Female",33281.9093671853,1126.47729591886,30401.9144609041,32483.7580759407,33168.2388229525,34065.9605927494,37011.6564412374
"Cml Pop Growth","Juvenile Male",24224.2546755551,1087.88285625406,21425.3828390036,23460.0533419684,24115.0001129901,24973.7227495378,27856.7303415018
"Cml Pop Growth","Juvenile Combined",57506.1640427404,2214.31034985389,51827.2972999077,55946.2019873615,57282.581881505,59036.3138736906,64868.3867827392
"Cml Pop Growth","Adult Female",29061.049187068,211.527667748964,28582.850675393,28902.6324312104,29044.9226789068,29198.0647264359,29864.143504198
"Cml Pop Growth","Adult Male",24385.0450814611,198.021446733373,23935.8619918455,24235.3417982105,24370.6958744358,24516.670479918,25135.4555532465
"Cml Pop Growth","Oxen",-16255.0157053678,3.51448357119997,-16262.3633573538,-16257.5958203541,-16255.3681004987,-16252.6987998247,-16241.6753677071
"Total Number Increase","Overall",167030.587317696,6735.14722684471,147720.874159688,162343.801863702,166497.525727075,171609.859603665,190261.981352511
"Total Number Increase","Neonatal Female",20960.6171647678,2313.90994726294,14567.7346308042,19344.4916127915,20776.3628080757,22436.1385883214,28406.2961920983
"Total Number Increase","Neonatal Male",32287.7335870806,2313.90994726294,25894.8510531171,30671.6080351044,32103.4792303886,33763.2550106342,39733.4126144112
"Total Number Increase","Neonatal Combined",53248.3507518484,4627.81989452589,40462.5856839213,50016.0996478959,52879.8420384643,56199.3935989556,68139.7088065094
"Total Number Increase","Juvenile Female",30799.2048193436,1114.59343290135,27943.7924839686,30010.862178009,30686.8901559467,31570.9097926941,34499.6540625906
"Total Number Increase","Juvenile Male",29276.1502413718,1118.82683234789,26412.9680580716,28485.2345651133,29164.4562857712,30051.8995444174,32985.3529083371
"Total Number Increase","Juvenile Combined",60075.3550607154,2233.41844511929,54356.7605420402,58493.2813226845,59850.2081613714,61619.1658320632,67485.0069709277
"Total Number Increase","Adult Female",22132.5342187779,210.059901583824,21657.4790756276,21975.1058321951,22116.8049629995,22268.4265799263,22929.9142159232
"Total Number Increase","Adult Male",29311.9794596394,205.651609726778,28846.3991132668,29157.1392828976,29297.2004906989,29446.1945030152,30092.174722448
"Total Number Increase","Oxen",2262.36782671453,3.60706457992232,2254.83847412197,2259.72529825414,2261.99838811518,2264.75618860035,2276.04451647003
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",157107216.368536,13187937.34055,117844963.823634,147856304.410398,157247434.969821,166247543.243278,213452335.42121
"Population Liveweight (kg)","Neonatal Female",8561404.31140431,1889812.61953877,2896623.03105664,7213203.93256488,8679337.65686887,10032920.7101496,12738012.7176926
"Population Liveweight (kg)","Neonatal Male",8681524.7715726,2250616.47482701,2548357.58625559,6972315.36225513,8884860.03454424,10401675.0951147,13847845.7045865
"Population Liveweight (kg)","Juvenile Female",18750159.4065448,4084352.70492618,9579453.58285247,15592171.3383136,18590294.5798701,21847880.5437607,29208152.4659971
"Population Liveweight (kg)","Juvenile Male",15787113.1728217,3665703.4166256,8073467.23265501,13060520.2869866,15628250.6863767,18203359.3894881,25683876.8206855
"Population Liveweight (kg)","Juvenile Combined",34537272.5793665,5524752.46587775,20769761.4809503,30350640.0227052,34525489.8099015,38322322.412606,50971127.9800999
"Population Liveweight (kg)","Adult Female",60043194.9890754,9778717.91302883,38737929.509046,52484790.9696657,59869800.2337867,67313778.3641742,84713139.3899195
"Population Liveweight (kg)","Adult Male",13307602.7270692,2387417.78407586,7924665.057927,11539760.9385365,13289149.8772252,15104964.0542602,19196911.509935
"Population Liveweight (kg)","Oxen",31976216.9900478,5577312.08313104,18360208.9811613,27817438.637777,31992088.3720949,36184500.1533286,44969197.5161686
