"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18855.219766209,26.7182970471068,18783.5827984241,18835.0428470056,18853.6899037646,18872.7499716775,18959.187651059
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2390.40883913601,12.5192874443073,-2437.47851361183,-2398.66861376946,-2389.4451726134,-2380.89279619957,-2360.91061632675
"Num Offtake","Juvenile Male",4867.08329047732,32.3505774888768,4785.16175764898,4842.3432979378,4864.57100534332,4888.97169236273,4993.22247816495
"Num Offtake","Juvenile Combined",2476.67445134131,20.4759054664065,2420.74144350219,2461.53735663083,2475.38993837292,2489.93003611051,2555.74396455311
"Num Offtake","Adult Female",-6916.6937781941,1.50303210373442,-6922.59340750583,-6917.69644252353,-6916.53400747551,-6915.53583243543,-6913.33537057094
"Num Offtake","Adult Male",4860.34637601096,7.7332458523293,4841.08530872516,4854.34756299472,4859.63004701196,4865.41085875869,4890.78519017552
"Num Offtake","Oxen",18434.8927170508,0.094382918036271,18434.6609059203,18434.8209479044,18434.8807392117,18434.9517090046,18435.2519038362
"Cml Pop Growth","Overall",119729.989095169,6326.36820535276,102946.971179344,115548.578593299,119373.78517507,123390.040135549,141395.803590127
"Cml Pop Growth","Neonatal Female",15001.6696290787,2214.88337442712,9479.5707061547,13486.824483467,14852.8597310253,16344.5032906518,22584.5671327281
"Cml Pop Growth","Neonatal Male",27134.3855672439,2219.1845093918,20769.7445005266,25639.6626500786,26995.5906353121,28480.1829508199,34601.8106948479
"Cml Pop Growth","Neonatal Combined",42136.0551963226,4408.36986350828,30527.2468822291,39129.6769579401,41809.663775706,44689.2464868508,57182.102739221
"Cml Pop Growth","Juvenile Female",25766.5564310339,1075.97369889787,23055.4795301065,25011.3203395619,25662.6771650084,26430.4794415455,29368.5334900469
"Cml Pop Growth","Juvenile Male",18585.7822991716,1029.01290071591,15938.5862771594,17875.530874938,18480.5173139278,19273.3749538701,21927.166384278
"Cml Pop Growth","Juvenile Combined",44352.3387302055,2089.6623797826,38994.0658072659,42870.2001441896,44117.969114188,45727.833001922,51232.9387255511
"Cml Pop Growth","Adult Female",27543.8028243662,206.063879864635,27057.7812347492,27387.0688790241,27527.8034840646,27679.6812180676,28317.8091690757
"Cml Pop Growth","Adult Male",23029.5602590992,190.793345248038,22546.8353628566,22887.0127399561,23014.8185304382,23159.7661880306,23771.650760611
"Cml Pop Growth","Oxen",-17331.7679148244,3.4525430035742,-17340.3662788069,-17334.4374067645,-17332.0831151122,-17329.5108356226,-17318.1720861334
"Total Number Increase","Overall",138585.208861378,6343.47335979852,121755.268314643,134401.886474433,138234.822043573,142239.913022533,160305.837335013
"Total Number Increase","Neonatal Female",15001.6696290787,2214.88337442712,9479.5707061547,13486.824483467,14852.8597310253,16344.5032906518,22584.5671327281
"Total Number Increase","Neonatal Male",27134.3855672439,2219.1845093918,20769.7445005266,25639.6626500786,26995.5906353121,28480.1829508199,34601.8106948479
"Total Number Increase","Neonatal Combined",42136.0551963226,4408.36986350828,30527.2468822291,39129.6769579401,41809.663775706,44689.2464868508,57182.102739221
"Total Number Increase","Juvenile Female",23376.1475918979,1064.56906665019,20694.5689137797,22626.1501113498,23275.903492205,24030.7111070267,26937.9241886276
"Total Number Increase","Juvenile Male",23452.8655896489,1058.521719447,20723.7480348084,22729.7491425572,23344.9614711762,24162.4087711615,26920.388862443
"Total Number Increase","Juvenile Combined",46829.0131815468,2107.55075955963,41418.3169485881,45329.7635633777,46594.1396085793,48214.1009058659,53775.9154890231
"Total Number Increase","Adult Female",20627.1090461721,204.607409755211,20144.2461512325,20471.600451942,20611.4542394258,20761.983649142,21395.2157615698
"Total Number Increase","Adult Male",27889.9066351102,198.285130074059,27387.9206715818,27739.3275943825,27874.9623344166,28024.6986305223,28662.4359507865
"Total Number Increase","Oxen",1103.12480222641,3.54529854165681,1094.29462711337,1100.37505651919,1102.79583921525,1105.44736649025,1117.07981770282
"Total Mortality","Overall",28321.0785507582,794.627576867319,25702.4166567422,27797.1260717574,28288.0971936598,28822.01144259,30885.5784678287
"Total Mortality","Neonatal Female",8866.85161153453,552.130864172829,7391.38696073167,8498.67636978686,8850.34757835821,9230.74591969491,10829.886814741
