"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18729.5259152265,6.5469614368077,18707.4860161621,18725.4149520155,18729.7193276638,18733.9020697435,18749.786724345
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2289.72736206917,2.42556118794341,-2296.7315339222,-2291.47474448211,-2289.63889320138,-2288.05907633063,-2280.92847990345
"Num Offtake","Juvenile Male",4604.77256841979,4.59960376803505,4590.41997530836,4601.60153868643,4604.77565126416,4607.93409727326,4619.47264812335
"Num Offtake","Juvenile Combined",2315.04520635062,5.24017289033618,2297.28084523162,2311.64311853884,2315.18290728941,2318.62942363126,2330.77637082391
"Num Offtake","Adult Female",-6845.73692704338,0.348311817909807,-6846.77894463467,-6845.98729591168,-6845.72650013737,-6845.5055432468,-6844.49131270209
"Num Offtake","Adult Male",4825.39151209349,1.32706377822091,4821.652625828,4824.47388188987,4825.40127741332,4826.23830843348,4829.95919594162
"Num Offtake","Oxen",18434.8261238257,0.0200365426134567,18434.7651626942,18434.8124070393,18434.8256671734,18434.839240563,18434.8964319006
"Cml Pop Growth","Overall",45114.3324425547,564.838653420592,43404.3054986056,44744.8937838285,45106.986326544,45480.8238609356,46786.1194235345
"Cml Pop Growth","Neonatal Female",-8198.98313652254,276.022719193443,-9244.3010904469,-8373.18621117961,-8190.14860735329,-8018.48514133693,-7423.40271423983
"Cml Pop Growth","Neonatal Male",3942.30837475585,233.742837439868,3049.60112443907,3792.1492233703,3947.64023225738,4115.44017525054,4547.43794124985
"Cml Pop Growth","Neonatal Combined",-4256.67476176669,372.131913410005,-5426.18082729671,-4496.31462909308,-4273.39711244006,-4010.74196124178,-3141.69711835979
"Cml Pop Growth","Juvenile Female",15198.0706867926,177.822894467179,14580.0524713336,15081.3607321626,15204.5237890291,15322.8800719473,15666.0933449189
"Cml Pop Growth","Juvenile Male",8353.88932301857,129.793418838927,7919.18894213991,8267.06145842659,8352.05720717634,8438.05462159293,8743.15121288893
"Cml Pop Growth","Juvenile Combined",23551.9600098112,217.639995566983,22783.2555973391,23405.5014797722,23560.0257764288,23701.3128318271,24166.5088785675
"Cml Pop Growth","Adult Female",21428.0991017134,39.6171040500223,21284.4959006745,21400.7888093117,21426.7154159619,21456.7792359943,21542.2881451519
"Cml Pop Growth","Adult Male",21738.6960400791,26.9260651067342,21654.006517074,21720.265913225,21738.8044827355,21757.2594835726,21823.9064485296
"Cml Pop Growth","Oxen",-17347.7479472823,0.588811763798536,-17349.4124552595,-17348.153867798,-17347.7491902403,-17347.3720229693,-17345.7251540846
"Total Number Increase","Overall",63843.8583577812,565.8741839702,62123.6713165035,63473.0835356744,63834.7828939514,64215.7025677054,65513.8382330192
"Total Number Increase","Neonatal Female",-8198.98313652254,276.022719193443,-9244.3010904469,-8373.18621117961,-8190.14860735329,-8018.48514133693,-7423.40271423983
"Total Number Increase","Neonatal Male",3942.30837475585,233.742837439868,3049.60112443907,3792.1492233703,3947.64023225738,4115.44017525054,4547.43794124985
"Total Number Increase","Neonatal Combined",-4256.67476176669,372.131913410005,-5426.18082729671,-4496.31462909308,-4273.39711244006,-4010.74196124178,-3141.69711835979
"Total Number Increase","Juvenile Female",12908.3433247235,175.720451069816,12296.8291652683,12792.7219667122,12913.5902102328,13032.5030877882,13370.884172921
"Total Number Increase","Juvenile Male",12958.6618914384,133.66272231338,12511.4113016368,12868.6662202205,12957.7450135034,13044.7590261229,13359.9185442662
"Total Number Increase","Juvenile Combined",25867.0052161618,218.279694836983,25090.5163947528,25721.8860112801,25874.5011483983,26016.0750378893,26485.3028346535
