"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18738.7355957463,4.70330872461314,18723.663678713,18735.6348344437,18738.8347923575,18742.0305177177,18751.8629830192
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2311.55898496443,1.60357459330387,-2316.51799748993,-2312.63259870943,-2311.59291040828,-2310.44765427169,-2306.4934643521
"Num Offtake","Juvenile Male",4647.72033773158,3.25687553282976,4637.27399150774,4645.5172466189,4647.82499595741,4650.01382823418,4657.8895891046
"Num Offtake","Juvenile Combined",2336.16135276715,3.63072460960371,2324.56373028539,2333.73048963833,2336.24453884201,2338.70614529222,2346.33703450508
"Num Offtake","Adult Female",-6847.96291888552,0.265753563062771,-6848.86836282309,-6848.14224040403,-6847.96485782887,-6847.77495217875,-6847.12321669039
"Num Offtake","Adult Male",4816.69362758001,1.0848230691285,4813.13160067262,4815.95784220353,4816.69871884804,4817.50201901827,4819.92819217691
"Num Offtake","Oxen",18433.8435342847,0.0178265765723023,18433.7888935774,18433.831602635,18433.8435086929,18433.8565883938,18433.8927585514
"Cml Pop Growth","Overall",57949.9133003254,162.026781673569,57407.392417762,57831.4606600306,57950.0755428011,58064.4922357114,58447.0294182946
"Cml Pop Growth","Neonatal Female",-3507.26896680979,16.593912840013,-3563.68223968796,-3518.53547595287,-3507.06892522379,-3496.49805505267,-3460.9441949197
"Cml Pop Growth","Neonatal Male",7819.84745550309,16.5939128400125,7763.43418262493,7808.58094636001,7820.0474970891,7830.61836726021,7866.17222739317
"Cml Pop Growth","Neonatal Combined",4312.5784886933,33.1878256800255,4199.75194293697,4290.04547040715,4312.9785718653,4334.12031220755,4405.22803247347
"Cml Pop Growth","Juvenile Female",17432.7717925662,101.800365531407,17086.1563831494,17368.0321551165,17437.0325383867,17500.1629573348,17699.151246966
"Cml Pop Growth","Juvenile Male",10043.8321754152,72.6602852146518,9839.10542920253,9992.2259391201,10045.3513531687,10092.8528689874,10261.7887642862
"Cml Pop Growth","Juvenile Combined",27476.6039679814,126.838328422649,27031.3872344418,27388.3766138187,27480.4525619683,27564.263764173,27878.6148990736
"Cml Pop Growth","Adult Female",21786.5181699092,26.1128631905792,21704.1454317362,21768.4682965094,21787.0358400435,21804.1147005475,21867.270958844
"Cml Pop Growth","Adult Male",21724.9117995017,18.7970178150343,21664.05808073,21712.3084807704,21725.5391535409,21737.8944598126,21783.5517621654
"Cml Pop Growth","Oxen",-17350.6991257603,0.47968189489725,-17352.2767643039,-17351.0232228195,-17350.6966535256,-17350.34629516,-17349.2661045039
"Total Number Increase","Overall",76688.6488960717,162.927116003515,76135.9997939966,76567.7790325371,76687.5467789245,76805.1275863354,77193.9230281387
"Total Number Increase","Neonatal Female",-3507.26896680979,16.593912840013,-3563.68223968796,-3518.53547595287,-3507.06892522379,-3496.49805505267,-3460.9441949197
"Total Number Increase","Neonatal Male",7819.84745550309,16.5939128400125,7763.43418262493,7808.58094636001,7820.0474970891,7830.61836726021,7866.17222739317
"Total Number Increase","Neonatal Combined",4312.5784886933,33.1878256800255,4199.75194293697,4290.04547040715,4312.9785718653,4334.12031220755,4405.22803247347
"Total Number Increase","Juvenile Female",15121.2128076018,100.610154088573,14778.4631690886,15057.1225669291,15125.1024139124,15188.385186968,15382.923482974
"Total Number Increase","Juvenile Male",14691.5525131468,75.1389121691029,14477.6116684688,14638.0714624143,14693.3473322922,14742.7203965323,14919.0709316776
"Total Number Increase","Juvenile Combined",29812.7653207485,127.39404334701,29360.2468796049,29723.5195455211,29816.7719212913,29901.3014453916,30212.5113149221
"Total Number Increase","Adult Female",14938.5552510237,25.8624450927192,14857.0222150458,14920.7090877688,14939.1011786841,14955.9954912744,15018.5318227579
"Total Number Increase","Adult Male",26541.6054270818,19.8203851523059,26477.8341068169,26528.1065347309,26542.3895380273,26555.4659875576,26603.4799543423
"Total Number Increase","Oxen",1083.14440852442,0.497067598673441,1081.51212927348,1082.80703470238,1083.14684835553,1083.51462099852,1084.6266540475
"Total Mortality","Overall",16140.6948483879,152.137503495701,15698.8031690545,16033.8126413065,16140.5496051633,16243.6151708055,16680.8916450872
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
