"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18738.9310018455,4.56448222225421,18724.0042266753,18735.8800823219,18738.970135309,18741.7813908519,18753.5284298204
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2311.6536895163,1.58241864587249,-2316.2158967559,-2312.74758732362,-2311.64923591292,-2310.62938683628,-2306.83658311286
"Num Offtake","Juvenile Male",4647.9587081815,3.1115598997105,4639.3508570969,4645.93249381022,4647.91814638081,4650.04774939074,4657.59005692998
"Num Offtake","Juvenile Combined",2336.30501866519,3.51127158034198,2325.02228223883,2334.01172043005,2336.34557619939,2338.47418720424,2347.37496016911
"Num Offtake","Adult Female",-6847.9807749776,0.265065542784453,-6848.75261331827,-6848.16688462759,-6847.991845329,-6847.79478919332,-6847.20814506847
"Num Offtake","Adult Male",4816.6163261005,1.06900405573963,4813.37847079732,4815.85584998711,4816.67153686285,4817.34283346615,4820.43012594199
"Num Offtake","Oxen",18433.9904320574,0.0179243934049977,18433.9392595934,18433.9778686741,18433.9909038072,18434.0035139569,18434.0553982686
"Cml Pop Growth","Overall",57959.8070175203,160.964598771673,57454.0372437359,57849.8035818417,57963.2924154673,58073.1412038657,58467.5737395898
"Cml Pop Growth","Neonatal Female",-3508.72794804533,16.9913975350739,-3567.27626057734,-3520.26709059578,-3509.01996768354,-3497.16716031935,-3458.57333061899
"Cml Pop Growth","Neonatal Male",7818.38847426755,16.9913975350741,7759.84016173556,7806.84933171709,7818.09645462934,7829.94926199354,7868.5430916939
"Cml Pop Growth","Neonatal Combined",4309.66052622222,33.982795070148,4192.56390115822,4286.58224112131,4309.0764869458,4332.78210167419,4409.96976107491
"Cml Pop Growth","Juvenile Female",17437.3214557194,102.59328365764,17128.239843642,17369.601693588,17439.0746178935,17507.1051760056,17763.0696677424
"Cml Pop Growth","Juvenile Male",10049.1434729341,71.9248778142307,9843.88464496079,9999.57190179249,10051.2762738065,10098.2846132248,10295.9746742448
