"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18651.1251333347,6.46681018231222,18631.3454024911,18646.7497062092,18650.7306823773,18655.4309775809,18670.3207480325
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2290.48955169535,2.47381273284653,-2296.96892662793,-2292.18414923874,-2290.46360110021,-2288.9551559332,-2280.96374035908
"Num Offtake","Juvenile Male",4606.1840238071,4.56172483070105,4592.300870487,4602.96308732198,4606.01752657987,4609.18563289992,4620.17017222262
"Num Offtake","Juvenile Combined",2315.69447211175,5.17607879723379,2300.23125160361,2312.26574768182,2315.4191134863,2319.16641582207,2331.37474891753
"Num Offtake","Adult Female",-6906.60206568137,0.354306588016653,-6907.58379192606,-6906.83808505314,-6906.59392559451,-6906.39201101753,-6905.12619525221
"Num Offtake","Adult Male",4808.71581662514,1.31487002290635,4804.72395736684,4807.80996452321,4808.67406840029,4809.58781857083,4812.81213642672
"Num Offtake","Oxen",18433.3169102792,0.0200065432802385,18433.2566377207,18433.3030180952,18433.3165915165,18433.3307255666,18433.3760374686
"Cml Pop Growth","Overall",50245.4248229504,581.252060278835,48207.4569189176,49870.3333585374,50272.8946266467,50655.0544455144,51747.740192666
"Cml Pop Growth","Neonatal Female",-7836.73954902824,290.054332125323,-9095.28786418584,-8014.50501614026,-7829.82311792921,-7636.36391044867,-7058.1269372221
"Cml Pop Growth","Neonatal Male",4306.52171775851,243.398776056093,3334.41822522174,4138.45103893008,4315.87453606015,4484.64498948202,4947.39976967371
"Cml Pop Growth","Neonatal Combined",-3530.21783126973,383.323695666324,-5086.11723000438,-3784.63989515462,-3508.66790976279,-3262.04258824239,-2591.08989568118
"Cml Pop Growth","Juvenile Female",15307.4989650761,181.158472901309,14629.6570692442,15190.602109639,15304.1783004643,15432.9269786486,15787.204974381
"Cml Pop Growth","Juvenile Male",8448.08567351192,128.599892353501,8051.9385646518,8367.14949868304,8443.72597168965,8534.66033530502,8810.70089978709
"Cml Pop Growth","Juvenile Combined",23755.584638588,223.045728630322,22981.701046559,23604.4318632985,23752.550399921,23909.4703624944,24351.68429226
"Cml Pop Growth","Adult Female",25896.4221892668,40.6320232639938,25740.2824366474,25871.0313918657,25895.9703290722,25924.3528242531,26002.6664803748
"Cml Pop Growth","Adult Male",21477.4393663745,26.6401150496787,21396.427414659,21458.9688726201,21476.3570955593,21494.5621641265,21559.627645839
"Cml Pop Growth","Oxen",-17353.8035400093,0.583300751840234,-17355.5786129123,-17354.2050600205,-17353.8212832892,-17353.4166504208,-17351.9853240565
"Total Number Increase","Overall",68896.5499562851,581.796579710692,66862.953398875,68520.6000382938,68925.6827934832,69301.7076009378,70393.4157057554
"Total Number Increase","Neonatal Female",-7836.73954902824,290.054332125323,-9095.28786418584,-8014.50501614026,-7829.82311792921,-7636.36391044867,-7058.1269372221
"Total Number Increase","Neonatal Male",4306.52171775851,243.398776056093,3334.41822522174,4138.45103893008,4315.87453606015,4484.64498948202,4947.39976967371
"Total Number Increase","Neonatal Combined",-3530.21783126973,383.323695666324,-5086.11723000438,-3784.63989515462,-3508.66790976279,-3262.04258824239,-2591.08989568118
"Total Number Increase","Juvenile Female",13017.0094133808,179.022389487087,12348.1600358227,12900.8856823204,13013.1535474283,13140.5436575748,13494.0029986741
"Total Number Increase","Juvenile Male",13054.269697319,132.393510634271,12648.1689641644,12971.2044221856,13050.3146788442,13143.1612299174,13426.5479551082
"Total Number Increase","Juvenile Combined",26071.2791106998,223.492096383111,25289.701277368,25920.7423715248,26069.7819144594,26223.6946355497,26676.0543240648
"Total Number Increase","Adult Female",18989.8201235854,40.2959663937025,18835.1562413952,18964.5298536237,18989.3492572916,19017.6127551116,19095.0826884487
"Total Number Increase","Adult Male",26286.1551829997,27.8684773872489,26201.3562504758,26266.5361932064,26285.2118309498,26304.3272322366,26371.7801370748
"Total Number Increase","Oxen",1079.51337026995,0.602584671432544,1077.6837154234,1079.09801152227,1079.49423572853,1079.91297723783,1081.39071341214
"Total Mortality","Overall",24723.0446674897,577.337615727943,23225.4943287491,24319.1467836356,24705.2496292992,25102.6260234637,26684.9747653864
"Total Mortality","Neonatal Female",7323.31192414551,434.363288736612,6072.12291590707,7027.79451743019,7316.0780159302,7582.89949148015,9194.35950256079
"Total Mortality","Neonatal Male",5934.29671966054,348.399538742369,4972.08196861991,5685.89194980005,5925.48292679776,6168.19248355727,7218.07844840243
"Total Mortality","Neonatal Combined",13257.6086438061,558.746530183896,11681.3194930596,12866.9369858107,13236.2413298762,13608.5276692493,15195.0385110727
"Total Mortality","Juvenile Female",5723.89253080205,121.622824750653,5395.36250290258,5641.4454940693,5726.22542998212,5804.22388917856,6120.95737769973
"Total Mortality","Juvenile Male",4318.56189735687,90.6247269183453,4053.60157171432,4257.58472506799,4321.47072416227,4379.74706676712,4572.28775296183
"Total Mortality","Juvenile Combined",10042.4544281589,151.969278139284,9535.92383532038,9943.06147096419,10047.2053971843,10147.1110505261,10485.0160408611
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",294.411172446437,0.0805022463003905,294.166772900011,294.355712113666,294.408616432671,294.464560320663,294.66196753633
"Total Mortality","Oxen",1128.57042307832,0.00122489040491604,1128.56673292167,1128.56957253644,1128.57040356223,1128.57126891224,1128.57404311033
"Value of Total Mortality","Overall",250707470.279853,4464170.03707619,238794089.067432,247540979.766477,250738937.192825,253616938.218681,264952821.210697
"Value of Total Mortality","Neonatal Female",52909657.2316387,3138199.35011753,43870033.8694788,50774595.2737097,52857393.5006818,54785132.3379204,66427651.1479761
"Value of Total Mortality","Neonatal Male",36852239.5047411,2163576.21662867,30876844.2497541,35309635.1313044,36797505.4695439,38304742.3230969,44824579.6108005
"Value of Total Mortality","Neonatal Combined",89761896.7363798,3824336.54934834,79057334.7549323,87188305.7607765,89546568.7769483,92182207.0946486,103230040.562419
"Value of Total Mortality","Juvenile Female",94084647.775362,1999136.17639261,88684540.8040629,92729451.0505144,94122994.0574543,95405068.7157446,100611273.854261
"Value of Total Mortality","Juvenile Male",57934811.7181534,1215758.07313004,54380288.9525362,57116784.5416009,57973834.507984,58755629.2388877,61338620.6762922
"Value of Total Mortality","Juvenile Combined",152019459.493515,2344012.54731089,144340914.856208,150479024.527131,152072738.742967,153590942.336671,159113911.359332
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",5625448.42008806,1538.19310082894,5620778.56659408,5624388.71423935,5625399.58116838,5626468.52652702,5630240.47614516
"Value of Total Mortality","Oxen",36882738.1069535,40.030565297808,36882617.5091792,36882710.3104485,36882737.4691496,36882765.7495981,36882856.4129889
"Population Liveweight (kg)","Overall",132010681.582167,10811277.4885156,102611282.486197,124555555.62392,131925442.120599,139808342.614104,162476841.913232
"Population Liveweight (kg)","Neonatal Female",4506409.21846659,958726.601363952,1404196.22961157,3830153.58555724,4619942.26980305,5244023.49752314,6391615.08508222
"Population Liveweight (kg)","Neonatal Male",4311505.53826475,1183917.28109447,1482466.04397561,3414289.9234926,4312448.419068,5226081.6249773,7177626.09985718
"Population Liveweight (kg)","Juvenile Female",14033348.7505998,3013495.1246971,7728942.79578115,11763358.8603598,13726774.7159196,16354346.268679,21900964.9481871
"Population Liveweight (kg)","Juvenile Male",11522542.7785965,2398941.15329791,6823642.60468767,9692165.06346276,11383358.2549874,13237456.8505408,18528546.0366836
"Population Liveweight (kg)","Juvenile Combined",25555891.5291963,3758688.37008866,15118420.3996296,22765400.9636065,25441762.183394,28105588.7607391,37664209.4421789
"Population Liveweight (kg)","Adult Female",59072753.2347292,8704777.20387462,39373905.7928645,52770995.6439327,58723388.9780599,65665179.6668077,79999177.0383441
"Population Liveweight (kg)","Adult Male",10821925.3041038,1791815.50838136,7206430.99954626,9427689.25210193,10697917.4731574,12040929.6427037,16097227.2549268
"Population Liveweight (kg)","Oxen",27742196.7574063,4454645.61673403,17982753.3985717,24343069.5611795,27652773.2260319,30993550.4448594,39873764.6027258
"Offtake Liveweight (kg)","Overall",4961363.33132872,888019.394007035,2748358.52730775,4311679.06995842,4906222.31426213,5592319.28861093,7565272.1114399
