"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18739.0058336513,4.6917212226697,18726.0853981904,18735.6962903513,18738.990341128,18742.0939484472,18752.2429087256
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2311.71221124853,1.68808034224292,-2316.45540804301,-2312.9113832749,-2311.72042030319,-2310.55651499691,-2307.33125941949
"Num Offtake","Juvenile Male",4648.06736222545,3.20144002355436,4638.32065714017,4645.87027151048,4648.07517671375,4650.15955318876,4659.41345326985
"Num Offtake","Juvenile Combined",2336.35515097692,3.63349296163908,2325.49597588662,2333.7770652457,2336.3525828139,2338.87388940382,2346.78626688561
"Num Offtake","Adult Female",-6847.98546037208,0.284153554307964,-6848.82838054891,-6848.18402304543,-6847.98797172703,-6847.78729988221,-6847.21692678422
"Num Offtake","Adult Male",4817.5210649156,1.07650950090004,4814.19621025876,4816.80890102879,4817.52629456735,4818.23330020073,4820.53697493389
"Num Offtake","Oxen",18433.1150781308,0.0180209977335082,18433.0609060956,18433.1029368111,18433.1148486161,18433.1273175812,18433.1664373461
"Cml Pop Growth","Overall",57973.5659432739,161.485566847681,57471.2917918946,57872.621061874,57968.9427421073,58083.6415705051,58420.6350398242
"Cml Pop Growth","Neonatal Female",-3506.60260772617,16.3071845317216,-3556.08127113818,-3517.55717368189,-3505.93145972086,-3495.55729784253,-3456.09044756483
"Cml Pop Growth","Neonatal Male",7820.51381458671,16.3071845317211,7771.03515117469,7809.55924863099,7821.18496259202,7831.55912447035,7871.02597474807
"Cml Pop Growth","Neonatal Combined",4313.91120686055,32.6143690634427,4214.95388003651,4292.0020749491,4315.25350287116,4336.00182662782,4414.93552718324
"Cml Pop Growth","Juvenile Female",17442.8240306777,103.919293372281,17120.4769028091,17373.5679865372,17442.4021593891,17511.5938434582,17728.6083998695
"Cml Pop Growth","Juvenile Male",10051.5373302625,73.8980880980397,9825.89728305404,10001.6801980571,10051.2540665731,10099.0763722161,10330.9452573058
"Cml Pop Growth","Juvenile Combined",27494.3613609401,124.749180748959,27102.6921124248,27414.4803755322,27490.7358837858,27580.6175921968,27882.0381817962
"Cml Pop Growth","Adult Female",21789.0168398992,27.4766189194358,21717.5016101049,21770.1350336798,21789.1791999697,21808.6530939189,21866.3803357805
"Cml Pop Growth","Adult Male",21725.8226601088,18.4669330778013,21669.8908907433,21713.0985471628,21725.9275782197,21737.9737971681,21792.1503149248
"Cml Pop Growth","Oxen",-17349.5461245348,0.475669255213856,-17351.0153548194,-17349.8599453336,-17349.545248535,-17349.2313080742,-17348.2045478198
"Total Number Increase","Overall",76712.5717769252,162.181643596885,76209.086274128,76611.4731609009,76707.9928144293,76822.8474492812,77172.094679369
"Total Number Increase","Neonatal Female",-3506.60260772617,16.3071845317216,-3556.08127113818,-3517.55717368189,-3505.93145972086,-3495.55729784253,-3456.09044756483
"Total Number Increase","Neonatal Male",7820.51381458671,16.3071845317211,7771.03515117469,7809.55924863099,7821.18496259202,7831.55912447035,7871.02597474807
"Total Number Increase","Neonatal Combined",4313.91120686055,32.6143690634427,4214.95388003651,4292.0020749491,4315.25350287116,4336.00182662782,4414.93552718324
"Total Number Increase","Juvenile Female",15131.1118194291,102.648228809761,14812.158919753,15062.6928746317,15131.2704550656,15198.6717431408,15412.1529918265
"Total Number Increase","Juvenile Male",14699.6046924879,76.2838878203527,14466.4181218825,14648.973336644,14699.889358925,14748.5166400722,14989.7498860584
"Total Number Increase","Juvenile Combined",29830.7165119171,125.135942753378,29438.7914351382,29751.0211407371,29826.0211462657,29915.5417559528,30228.1037844307
"Total Number Increase","Adult Female",14941.0313795271,27.2079388843638,14870.1300454695,14922.3344417773,14941.0915176754,14960.5515797549,15017.7036001248
"Total Number Increase","Adult Male",26543.3437250244,19.479439696412,26484.1570997465,26529.935481437,26543.4576461532,26556.1020105595,26612.6872898587
"Total Number Increase","Oxen",1083.56895359607,0.493238842285623,1082.04555127619,1083.24270071438,1083.57134444612,1083.8953761916,1084.9513133183
"Total Mortality","Overall",16118.9718627189,150.011074398427,15619.5150476989,16017.7714347027,16119.613163679,16215.8367496897,16603.0908543483
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",5773.81667116046,124.277332742647,5409.40572395975,5684.48791133223,5776.44602567931,5856.22956017246,6149.90607099539
"Total Mortality","Juvenile Male",4356.32321602184,91.3741759863549,3990.01192286904,4295.04801597981,4357.09757263862,4417.21028003626,4622.80363641645
"Total Mortality","Juvenile Combined",10130.1398871823,150.1415519459,9630.41475013836,10028.8019724364,10130.7636196455,10226.9567684168,10614.764229507
"Total Mortality","Adult Female",4565.32364024805,0.189435702871997,4564.81128452281,4565.19153325481,4565.32531448469,4565.45601536362,4565.88558703261
"Total Mortality","Adult Male",294.950269280547,0.0659087449530622,294.746706750536,294.906667409926,294.950589463307,294.993875522494,295.134916832687
"Total Mortality","Oxen",1128.55806600801,0.00110332639185365,1128.55474935279,1128.55732266191,1128.55805195609,1128.55881536212,1128.56121044976
"Value of Total Mortality","Overall",246640599.985203,2072801.61601891,238841458.991081,245328217.168624,246651009.043914,248043584.608732,253221239.825706
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",67943730.0070341,1462440.88144275,63655502.5799523,66892548.5294601,67974671.0922289,68913528.5647368,72369384.3179038
"Value of Total Mortality","Juvenile Male",74171185.5992031,1555745.66669715,67934333.6568141,73127908.0438945,74184369.8707769,75207854.7125037,78708307.3276711
"Value of Total Mortality","Juvenile Combined",142114915.606237,2075647.09136204,134308108.345763,140799819.997595,142119063.901414,143525157.389151,148706931.716074
"Value of Total Mortality","Adult Female",91626730.7396132,3802.00299196731,91616447.6833002,91624079.3324288,91626764.3417938,91629387.5280529,91638009.0959304
"Value of Total Mortality","Adult Male",9865813.00794899,2204.58640326595,9859004.03007822,9864354.56580757,9865823.71776541,9867271.59630721,9871989.29734935
"Value of Total Mortality","Oxen",33893512.7967487,33.1357404706104,33893413.1890284,33893490.4721458,33893512.3747332,33893535.3017874,33893607.2324538
"Population Liveweight (kg)","Overall",132462869.507928,10838113.1600439,95992487.5435122,124377336.058052,132430986.673086,140495080.594719,168262329.483142
"Population Liveweight (kg)","Neonatal Female",4831033.4205228,1029417.22316139,1638019.55430545,4121422.60646902,4936180.8032719,5620420.63891293,6941252.60799342
"Population Liveweight (kg)","Neonatal Male",4704900.40271946,1246022.63652211,1426608.66134367,3777367.31849332,4729424.78306143,5646608.10736841,7496016.64320749
