"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",31615.2117710587,62.5844201388443,31469.5051270426,31570.1391391668,31607.7436417525,31653.0791351619,31866.8542584135
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2908.04370477465,12.0823756074823,2879.3016751745,2899.44448301185,2906.46735862173,2915.32766432336,2955.76978384672
"Num Offtake","Juvenile Male",4904.98548632969,33.1991433702788,4825.8998189193,4881.31451404305,4900.76876245869,4925.18616628142,5035.93533151996
"Num Offtake","Juvenile Combined",7813.02919110434,45.2814342262611,7705.20149409381,7780.68042931003,7807.18683130183,7840.51529418127,7991.70511536668
"Num Offtake","Adult Female",5268.94268255417,1.38946778237083,5265.97714577528,5267.94457883069,5268.71108314292,5269.79474924528,5274.70180622701
"Num Offtake","Adult Male",18533.2398974002,16.243080159797,18498.3264871735,18521.4870708524,18530.7288698514,18543.1817061491,18600.4473368198
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",72995.5498326238,3887.65461417573,63446.6066856549,70212.4852350881,72804.8083345094,75499.9707492145,85759.8894125241
"Cml Pop Growth","Neonatal Female",-143.450987501462,1370.27357422433,-3320.34436293853,-1119.92014168429,-234.145454868962,782.538478720082,4746.90190571088
"Cml Pop Growth","Neonatal Male",14390.6390717695,1370.27357422433,11213.7456963324,13414.1699175866,14299.9446044019,15316.628537991,19280.9919649818
"Cml Pop Growth","Neonatal Combined",14247.188084268,2740.54714844867,7893.40133339384,12294.2497759023,14065.799149533,16099.1670167111,24027.8938706927
"Cml Pop Growth","Juvenile Female",24851.1366056167,638.095649625822,23225.6319890385,24373.7733694438,24796.3436833335,25242.1470423087,26957.8186756033
"Cml Pop Growth","Juvenile Male",19882.7365042169,620.527072035692,18300.803506299,19417.8829105663,19831.0262319142,20262.7557162732,21915.7775802694
"Cml Pop Growth","Juvenile Combined",44733.8731098336,1258.60385854831,41528.2360306659,43793.8538002664,44626.7893258384,45505.9916812814,48873.5962558726
"Cml Pop Growth","Adult Female",15029.923227602,117.227165770352,14750.4110296776,14946.7579515167,15015.6578726972,15101.2138563591,15491.8263551952
"Cml Pop Growth","Adult Male",-1015.43458907985,102.811178790652,-1262.9699910331,-1087.97651322403,-1026.97852553943,-952.99985331326,-614.964009962845
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",104610.761603683,3930.02745845044,94916.1118126974,101791.248296841,104414.223489247,107110.604072561,117414.641417761
"Total Number Increase","Neonatal Female",-143.450987501462,1370.27357422433,-3320.34436293853,-1119.92014168429,-234.145454868962,782.538478720082,4746.90190571088
"Total Number Increase","Neonatal Male",14390.6390717695,1370.27357422433,11213.7456963324,13414.1699175866,14299.9446044019,15316.628537991,19280.9919649818
"Total Number Increase","Neonatal Combined",14247.188084268,2740.54714844867,7893.40133339384,12294.2497759023,14065.799149533,16099.1670167111,24027.8938706927
"Total Number Increase","Juvenile Female",27759.1803103914,649.250072909318,26104.933664213,27272.3819381297,27704.2385066217,28152.1406259873,29913.58845945
"Total Number Increase","Juvenile Male",24787.7219905466,651.168215991894,23128.5038605467,24300.2564356862,24732.9465491716,25182.9027707508,26951.7129117893
"Total Number Increase","Juvenile Combined",52546.902300938,1300.41764233345,49233.4375247597,51572.6383738159,52438.5914083548,53333.4210314709,56865.3013712393
"Total Number Increase","Adult Female",20298.8659101562,118.575103025075,20016.3881754529,20214.3459019491,20283.8539285975,20371.0384315554,20766.5281614222
"Total Number Increase","Adult Male",17517.8053083203,118.568369179567,17235.3564961404,17433.2661215823,17502.7455802096,17589.9505938622,17985.483326857
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",81717669.7434588,5861603.60483334,62737059.9570516,77776816.4663315,81955152.2667538,85956878.1246823,97596890.6418273
"Population Liveweight (kg)","Neonatal Female",6346472.79721479,1427407.22748475,2450257.19486506,5346782.87861216,6425801.73789952,7457496.25869283,9579756.44806633
"Population Liveweight (kg)","Neonatal Male",5860290.43472976,1329055.7997282,1680263.71189903,4993033.38337925,6013965.62937654,6856267.92856827,8596523.23267165
"Population Liveweight (kg)","Juvenile Female",15065551.9619768,2617046.29021689,7639912.63345937,13134351.7871809,15205395.5157772,17043719.3805526,20436954.4066823
"Population Liveweight (kg)","Juvenile Male",10686921.6477573,1877503.13230727,5773359.30791897,9254667.15528883,10751021.750188,12187704.8367473,14387635.469299
"Population Liveweight (kg)","Juvenile Combined",25752473.6097341,3196810.33243261,16146245.3495943,23427490.4781574,25823998.577491,28105847.7065384,33006319.4185048
"Population Liveweight (kg)","Adult Female",32803523.7466454,4166082.08058724,18302877.3767576,30203564.79058,33281073.0557008,36061132.8581281,39914654.3062817
"Population Liveweight (kg)","Adult Male",10954909.1551348,1861888.56849095,5362229.02615086,9684831.32717548,11110412.0904505,12417768.4003384,14556984.1281695
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",10195052.5305401,1218228.82445497,6425331.99574972,9304698.73395283,10332139.5927863,11156487.0358428,12858336.6530276
"Offtake Liveweight (kg)","Juvenile Female",615203.473385765,108675.404706701,336734.202027666,535981.23731563,616324.910099076,699858.855395429,852895.350058301
"Offtake Liveweight (kg)","Juvenile Male",1136635.35961651,186686.993768948,627992.899578613,1002300.98644115,1146157.40073752,1275207.64889884,1551208.37217078
"Offtake Liveweight (kg)","Adult Female",1523148.07587155,183683.715411605,842643.665310992,1398467.93194136,1543368.05518089,1672102.03237124,1839484.26170416
"Offtake Liveweight (kg)","Adult Male",6920065.62166629,1179123.64284368,3705481.12449099,6064205.20035709,7082557.32082914,7843679.64044161,9158312.76454672
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",31245627.5490872,1251013.91825589,27016197.1182431,30373356.6873012,31328670.1607975,32137083.3592431,34784671.4944015
"Manure","Overall",156197756.921736,4760224.33063519,141678955.900635,152947904.027479,156209961.889685,159529446.812843,172683444.88957
"Manure","Neonatal Female",13303519.6301749,376297.832038786,12192937.8716784,13053839.3926418,13296428.5225473,13545974.9157177,14428807.4847566
