"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",29834.8196159405,2.08908962047233,29828.2241333409,29833.4574152061,29834.7648882949,29836.1071005674,29841.0278867459
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2737.09177750266,0.719640397930881,2734.95509366042,2736.59265323325,2737.04768818118,2737.57613201027,2739.15042222642
"Num Offtake","Juvenile Male",4465.16835290128,1.29124072820199,4460.86849023727,4464.27810193331,4465.11194395737,4465.99442460507,4468.98201133611
"Num Offtake","Juvenile Combined",7202.26013040395,1.4833272401655,7197.50529831096,7201.22447783816,7202.20760121101,7203.17560333018,7206.77380954551
"Num Offtake","Adult Female",5052.76699594101,0.0847245648522271,5052.518580742,5052.70723791357,5052.76513845009,5052.8263002849,5053.02649403044
"Num Offtake","Adult Male",17579.7924895956,0.641335129435074,17577.6652057713,17579.3546682799,17579.7640961578,17580.2066291362,17581.5671662324
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-8532.04082350554,114.603635008835,-8907.37818560784,-8612.06385926902,-8536.30895216789,-8451.59505501347,-8187.29530017998
"Cml Pop Growth","Neonatal Female",-24117.7128922303,59.7734789903399,-24280.5877489925,-24161.7255922186,-24117.6265080095,-24077.5446863522,-23948.9322575464
"Cml Pop Growth","Neonatal Male",-8532.12668683117,41.577299343354,-8662.26080027076,-8560.02863714752,-8532.30397292025,-8503.10802389442,-8408.35631579307
"Cml Pop Growth","Neonatal Combined",-32649.8395790615,73.1347529940562,-32906.4239451526,-32701.1835032019,-32650.0950001308,-32599.1481373764,-32443.2343399558
"Cml Pop Growth","Juvenile Female",14031.8225343164,35.1024898191626,13926.7863833674,14008.44707725,14029.6310528116,14054.8197292667,14135.0226637764
"Cml Pop Growth","Juvenile Male",9938.37385337065,22.2404783851391,9871.3820180875,9923.0667496095,9937.20760025257,9953.09131323819,10008.8250913515
"Cml Pop Growth","Juvenile Combined",23970.196387687,41.9126204989199,23851.5791579106,23940.8725491852,23969.8146709231,23998.5446830594,24097.9971171853
"Cml Pop Growth","Adult Female",4801.89185982343,6.82626812760655,4781.63460928992,4797.19659188498,4801.44034966404,4806.42875096248,4821.32280311725
"Cml Pop Growth","Adult Male",-4654.2894919545,3.87738841813338,-4667.15323359444,-4656.95595738141,-4654.47945523953,-4651.80231707216,-4642.74380544349
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",21302.778792435,115.939198077155,20926.194827164,21221.464084095,21298.3073379055,21383.8532505559,21650.4064508678
"Total Number Increase","Neonatal Female",-24117.7128922303,59.7734789903399,-24280.5877489925,-24161.7255922186,-24117.6265080095,-24077.5446863522,-23948.9322575464
"Total Number Increase","Neonatal Male",-8532.12668683117,41.577299343354,-8662.26080027076,-8560.02863714752,-8532.30397292025,-8503.10802389442,-8408.35631579307
"Total Number Increase","Neonatal Combined",-32649.8395790615,73.1347529940562,-32906.4239451526,-32701.1835032019,-32650.0950001308,-32599.1481373764,-32443.2343399558
"Total Number Increase","Juvenile Female",16768.914311819,35.783204128585,16662.0424685204,16745.148738473,16766.6685001583,16792.4540688233,16874.1570337633
