"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",29452.6923425347,2.76044269051565,29443.2615928785,29450.8916169831,29452.6850112835,29454.5336951347,29461.5756344696
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2631.21157167689,0.923097409700129,2628.31620697839,2630.60338174102,2631.25348635247,2631.84290982259,2634.06966841991
"Num Offtake","Juvenile Male",4297.90484164991,1.58887811921154,4292.91569133714,4296.86642052405,4297.92083046487,4298.98205450592,4302.6348739886
"Num Offtake","Juvenile Combined",6929.1164133268,1.90735476746056,6922.40884423727,6927.87451682342,6929.16760175475,6930.34415634724,6935.33931676198
"Num Offtake","Adult Female",5038.37421127486,0.126552150036867,5038.03004506604,5038.29186215845,5038.38294291688,5038.46185305296,5038.80940339041
"Num Offtake","Adult Male",17485.2017179331,0.904973250096088,17482.6088763917,17484.6228360791,17485.2038308199,17485.8042568828,17487.9599144724
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-16974.6902894678,119.059484601259,-17353.7533029446,-17057.7180013588,-16976.0756624448,-16892.9184851169,-16556.2040581044
"Cml Pop Growth","Neonatal Female",-24174.9957037266,58.47790673112,-24339.0326942694,-24214.3133464123,-24176.1660432091,-24134.5108827846,-23999.2837292787
"Cml Pop Growth","Neonatal Male",-8591.15331075683,42.447961423686,-8718.16102779358,-8621.7792380079,-8590.89830629145,-8561.21098611273,-8458.21133448795
"Cml Pop Growth","Neonatal Combined",-32766.1490144835,73.2645836769711,-32972.3542735438,-32816.4175380348,-32764.9985073601,-32718.2968398117,-32532.4270646755
"Cml Pop Growth","Juvenile Female",9656.52918956656,40.3724148560985,9521.54423177982,9629.94612238709,9658.02762373875,9684.32405213577,9797.11615178408
"Cml Pop Growth","Juvenile Male",7468.3625768277,25.0072440156609,7391.49465081971,7451.80062098035,7468.95666611729,7485.63266121791,7541.3641451717
"Cml Pop Growth","Juvenile Combined",17124.8917663943,48.8898714832263,16957.6172527155,17093.0654530905,17123.8563476474,17158.9663711248,17300.6218273605
"Cml Pop Growth","Adult Female",3807.37757307454,8.69399694268318,3779.94057691742,3801.70651317731,3807.73718604594,3813.20816191584,3834.11912278629
"Cml Pop Growth","Adult Male",-5140.81061445313,4.67045032147165,-5155.71033376151,-5143.88038563796,-5140.83799011164,-5137.62434321359,-5126.93059092338
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",12478.0020530669,120.710411288153,12093.5733883086,12393.8518714019,12476.2422341232,12561.0377879575,12902.6201902986
"Total Number Increase","Neonatal Female",-24174.9957037266,58.47790673112,-24339.0326942694,-24214.3133464123,-24176.1660432091,-24134.5108827846,-23999.2837292787
"Total Number Increase","Neonatal Male",-8591.15331075683,42.447961423686,-8718.16102779358,-8621.7792380079,-8590.89830629145,-8561.21098611273,-8458.21133448795
"Total Number Increase","Neonatal Combined",-32766.1490144835,73.2645836769711,-32972.3542735438,-32816.4175380348,-32764.9985073601,-32718.2968398117,-32532.4270646755
"Total Number Increase","Juvenile Female",12287.7407612435,41.1768595410142,12150.3885651897,12260.4969436694,12289.0577754496,12316.1200132233,12431.0470727801
"Total Number Increase","Juvenile Male",11766.2674184776,26.3829364646891,11684.4103421568,11748.5869695618,11767.0095094468,11784.5458001712,11843.0375522103
"Total Number Increase","Juvenile Combined",24054.0081797211,50.3989708989281,23881.5746458828,24022.2420203797,24052.3603596174,24089.1992637431,24234.4878664666
"Total Number Increase","Adult Female",8845.7517843494,8.81390835675493,8817.97523949947,8840.03625361046,8846.09324361151,8851.69066462948,8872.82408577904
"Total Number Increase","Adult Male",12344.3911034799,5.52597607278742,12327.0007817901,12340.7505298034,12344.4543656788,12348.1662409217,12360.8421769155
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",30515.0385428246,119.196096369351,30116.49341118,30432.0979336497,30515.6879137703,30598.2677162651,30888.9126159436
"Total Mortality","Neonatal Female",5742.32489030709,93.7027206993801,5455.4246168377,5679.51381056881,5739.61719592805,5807.40410783483,6013.80282008539
"Total Mortality","Neonatal Male",3945.93669910714,64.3634399420367,3734.10064339026,3899.38020794387,3946.59128813205,3992.37546283348,4134.23300741714
"Total Mortality","Neonatal Combined",9688.26158941423,115.501321470235,9317.07990921644,9606.37962054057,9689.04013403174,9765.69765935511,10015.1202253505
"Total Mortality","Juvenile Female",5527.97980941533,28.1164026579078,5422.782554087,5508.20398113978,5528.43502803254,5546.95959458833,5607.28722578423
"Total Mortality","Juvenile Male",3224.45451843058,16.716410378365,3165.74331564075,3213.57239992617,3224.13098230227,3236.17761915758,3274.34452752578
"Total Mortality","Juvenile Combined",8752.43432784591,33.5724355321079,8625.3650009532,8730.17796577816,8752.70051234388,8774.55254289285,8855.97673760841
"Total Mortality","Adult Female",9069.07358029474,0.227793870066344,9068.45408111887,9068.9253518852,9069.08929725039,9069.23133549533,9069.85692610273
"Total Mortality","Adult Male",3005.26904526974,0.155542277360292,3004.82340062983,3005.16954995109,3005.26940842217,3005.37260665173,3005.74311029994
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",494932966.516119,1103574.01229091,491275928.823304,494164307.070406,494924556.953011,495682661.599234,498408779.235676
"Value of Total Mortality","Neonatal Female",49796953.8969735,812582.038080831,47308979.0846985,49252261.5464543,49773473.0012151,50361315.3458268,52151187.4541927
"Value of Total Mortality","Neonatal Male",36053610.3168212,588082.0092338,34118086.4637404,35628228.5334543,36059591.2281792,36477916.4369278,37774053.9634313
"Value of Total Mortality","Neonatal Combined",85850564.2137948,1019424.5709679,82582702.5277795,85130617.8756433,85862509.7194736,86536103.7737221,88735223.038603
"Value of Total Mortality","Juvenile Female",65895920.422557,335159.732124639,64641923.4463052,65660183.9598231,65901346.8261996,66122167.7057447,66841299.2730843
"Value of Total Mortality","Juvenile Male",58081833.0552495,301111.320172011,57024273.0061248,57885814.3529704,58076005.2256789,58293000.3008793,58980497.6705603
"Value of Total Mortality","Juvenile Combined",123977753.477806,463970.728957518,122329776.682049,123670240.836914,123979155.453191,124272683.311054,125410031.528401
"Value of Total Mortality","Adult Female",184767343.609623,4640.92256944115,184754722.340638,184764323.701444,184767663.816545,184770557.61038,184783302.982186
"Value of Total Mortality","Adult Male",100337305.214896,5193.1100750813,100322426.419826,100333983.351859,100337317.339512,100340762.832113,100353132.885201
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",26184099.9711374,8415390.37293638,6317598.24695633,19665104.4797091,26255579.2110763,32690894.8914016,47765939.4790452
"Population Liveweight (kg)","Neonatal Female",1738439.63484354,975367.611842739,33395.2536134884,903384.536527216,1770427.27024086,2606208.7308295,3352375.69367448
"Population Liveweight (kg)","Neonatal Male",1339291.7321954,762989.96253715,26496.0741855304,691419.599855277,1355508.29915171,1967318.82001973,2667102.71383763
"Population Liveweight (kg)","Juvenile Female",4954076.35145323,2816192.60630125,55220.2012755952,2430689.32943565,5027671.35522873,7304260.43633871,9955056.51543849
"Population Liveweight (kg)","Juvenile Male",3015619.55907337,1739768.56213625,33506.3696056045,1600477.67161857,2917443.29626794,4531962.51934154,6042345.35816318
"Population Liveweight (kg)","Juvenile Combined",7969695.91052661,3370903.21822777,434344.796650826,5352249.91216047,7840705.06206834,10651269.7090397,15659670.9872002
"Population Liveweight (kg)","Adult Female",12062477.9457647,7263906.90986391,103158.425012786,5571929.18816191,11967170.9969425,18261658.7456446,24765649.7508538
"Population Liveweight (kg)","Adult Male",3074194.74780715,1735296.8508458,25178.4811651068,1636814.3090975,3097181.47190441,4533946.14589362,6043787.11294377
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",3345747.90962614,1288565.24098721,294047.533720451,2328693.39443031,3373169.73077913,4408149.31993048,6426182.30822761
"Offtake Liveweight (kg)","Juvenile Female",233695.000194273,137592.740878497,2629.36065172095,112448.639858461,234240.694815977,348057.236083498,474132.540315583
"Offtake Liveweight (kg)","Juvenile Male",384138.687623231,230780.87848454,4295.6439208835,167613.16633931,374050.028935455,589044.055213159,773893.965850655
"Offtake Liveweight (kg)","Adult Female",613029.370385089,356866.842588099,5038.19590891167,307344.605392664,619734.943236975,933392.748664691,1209257.78166728
"Offtake Liveweight (kg)","Adult Male",2114884.85142354,1215261.99140892,17483.8146773979,1031642.89184027,2150533.67501008,3199592.45769922,4196878.16773063
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",10449198.0440722,1283293.21952421,6423147.96906677,9577204.1768198,10494438.1728758,11376291.0431291,14378636.2336489
"Manure","Overall",139593080.011644,4494822.58116605,124930058.460808,136774934.113702,139721910.64643,142752134.844871,153180243.894438
"Manure","Neonatal Female",9859915.25626363,251580.511787395,8994826.35366951,9690820.86365333,9870922.62671007,10028093.0325547,10568915.5926834
"Manure","Neonatal Male",6924288.49623851,176071.234904639,6322636.81755255,6804646.91154344,6920993.7321975,7041074.9211653,7439921.81387248
"Manure","Neonatal Combined",16784203.7525021,309307.875054777,15703554.985532,16569992.3781443,16773444.9311269,16999669.9136939,17728222.6181712
"Manure","Juvenile Female",22112954.2984369,745103.681091798,19712810.0086171,21570759.0267216,22109185.3327763,22606201.6331147,24465133.8017003
"Manure","Juvenile Male",12954945.9661487,422022.998258033,11418966.7243801,12668023.5654993,12965394.2021221,13223107.4085227,14222227.6532394
"Manure","Juvenile Combined",35067900.2645856,846194.445077052,32432092.0888596,34505465.0103671,35074086.774038,35632037.3769486,37525034.4680619
"Manure","Adult Female",69267314.3601843,4249666.38509919,54586077.3944034,66696346.3027063,69152852.5255783,71606334.2456658,81276694.9108271
"Manure","Adult Male",18473661.6343716,1083175.87507775,14521468.9203872,17734672.8035369,18418016.560361,19077564.8329068,22265732.0883911
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",10413.3884767052,16.7194951789013,10350.1556516761,10402.2862622351,10413.4694671909,10424.4206544978,10464.9670293064
"Hides","Juvenile Female",2763.98990470767,14.0582013289539,2711.3912770435,2754.10199056989,2764.21751401627,2773.47979729417,2803.64361289211
"Hides","Juvenile Male",1612.22725921529,8.35820518918251,1582.87165782037,1606.78619996308,1612.06549115114,1618.08880957879,1637.17226376289
"Hides","Juvenile Combined",4376.21716392296,16.7862177660539,4312.6825004766,4365.08898288908,4376.35025617194,4387.27627144643,4427.9883688042
"Hides","Adult Female",4534.53679014737,0.113896935033172,4534.22704055943,4534.4626759426,4534.54464862519,4534.61566774766,4534.92846305136
"Hides","Adult Male",1502.63452263487,0.0777711386801462,1502.41170031491,1502.58477497555,1502.63470421108,1502.68630332586,1502.87155514997
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",8910863.26192355,1505502.61116516,4642994.286852,7894855.21247744,8848488.768929,9909447.1313892,14346429.6926832
"Wool","Overall",0,0,0,0,0,0,0
