"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",30926.5916590568,0.367936351856195,30925.5433700322,30926.3342742322,30926.5892879648,30926.8513228287,30927.5313024733
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2770.84855157859,0.0707612618454595,2770.64506315112,2770.79970037479,2770.84884647131,2770.89978427618,2771.03362493484
"Num Offtake","Juvenile Male",4527.219857813,0.194378816652092,4526.66058535468,4527.08538290194,4527.22079355471,4527.36082349583,4527.72904685849
"Num Offtake","Juvenile Combined",7298.06840939158,0.265139583685552,7297.3056485058,7297.88514399475,7298.06973803531,7298.26066993155,7298.76267179333
"Num Offtake","Adult Female",5255.3751257782,0.00825824292666439,5255.35200894169,5255.36937223748,5255.37496421117,5255.38098871093,5255.39634035758
"Num Offtake","Adult Male",18373.148123887,0.0964284403716622,18372.8802562755,18373.0798068304,18373.145854978,18373.2161808357,18373.393588906
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",13919.7607406776,22.4815542623712,13825.1124636301,13904.864061554,13920.4622381011,13935.2790152405,13985.795169404
"Cml Pop Growth","Neonatal Female",-19774.1390324308,7.82675338836371,-19807.1170335864,-19779.3067839829,-19773.9499334405,-19768.8875246124,-19749.2235183936
"Cml Pop Growth","Neonatal Male",-5240.04897315983,7.82675338836387,-5273.02697431547,-5245.21672471197,-5239.85987416962,-5234.79746534151,-5215.13345912271
"Cml Pop Growth","Neonatal Combined",-25014.1880055906,15.6535067767276,-25080.1440079019,-25024.5235086949,-25013.8098076102,-25003.6849899539,-24964.3569775163
"Cml Pop Growth","Juvenile Female",16097.4604364153,3.68390029782281,16084.6147909638,16095.0342956724,16097.57710066,16099.9030469794,16109.2980828062
"Cml Pop Growth","Juvenile Male",11346.8422373637,3.58143735632028,11334.2813165145,11344.4934592216,11346.9682078761,11349.2240055969,11358.4187787403
"Cml Pop Growth","Juvenile Combined",27444.3026737791,7.26522328241748,27418.8961074783,27439.5237553764,27444.5394158456,27449.121434747,27467.7168615465
"Cml Pop Growth","Adult Female",13694.151847044,0.686213712513861,13692.1767387243,13693.6758117135,13694.1544532713,13694.6502007561,13695.9514437767
"Cml Pop Growth","Adult Male",-2204.50577455489,0.600586928459861,-2206.240064036,-2204.9224888994,-2204.5087897533,-2204.06786181961,-2202.91344695309
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",44846.3523997344,22.7363460680915,44750.8370628756,44831.0738061493,44847.0927340532,44861.9961279326,44913.1657917619
"Total Number Increase","Neonatal Female",-19774.1390324308,7.82675338836371,-19807.1170335864,-19779.3067839829,-19773.9499334405,-19768.8875246124,-19749.2235183936
"Total Number Increase","Neonatal Male",-5240.04897315983,7.82675338836387,-5273.02697431547,-5245.21672471197,-5239.85987416962,-5234.79746534151,-5215.13345912271
"Total Number Increase","Neonatal Combined",-25014.1880055906,15.6535067767276,-25080.1440079019,-25024.5235086949,-25013.8098076102,-25003.6849899539,-24964.3569775163
"Total Number Increase","Juvenile Female",18868.3089879939,3.74908554251145,18855.2863395277,18865.8360973449,18868.4190911468,18870.8024683356,18880.3078096007
"Total Number Increase","Juvenile Male",15874.0620951767,3.76044688261007,15861.0129773166,15871.583373617,15874.1720441363,15876.5607844187,15886.0835811385
"Total Number Increase","Juvenile Combined",34742.3710831706,7.50952843555341,34716.2993168444,34737.4194709619,34742.5911352831,34747.3649095838,34766.3913907392
"Total Number Increase","Adult Female",18949.5269728222,0.694233735427851,18947.5294485194,18949.046486419,18949.530289005,18950.0304660875,18951.3457458661
"Total Number Increase","Adult Male",16168.6423493321,0.694210059471656,16166.6449476953,16168.1620817926,16168.6456912668,16169.1457981994,16170.4608816375
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",29608184.0707017,9058028.20727334,7121591.67230321,22886519.4894307,29539362.0456769,36414671.3001076,51390946.464877
"Population Liveweight (kg)","Neonatal Female",1943081.69386621,1070202.17385614,37834.2836122665,1059492.66532416,1968361.07842798,2876100.28533222,3785234.69975526
"Population Liveweight (kg)","Neonatal Male",1484012.19345877,874507.102866183,29936.2809722811,718955.828037961,1466921.60466616,2276973.14667584,2995402.6247214
"Population Liveweight (kg)","Juvenile Female",5636161.88090459,3113847.05190074,61682.0501067406,3022635.09707254,5737529.22729945,8266576.30553388,11104747.5979777
"Population Liveweight (kg)","Juvenile Male",3426339.98875502,1951933.28659923,37410.3475643719,1721043.67001238,3367176.17291055,5135009.71496875,6735254.11004238
"Population Liveweight (kg)","Juvenile Combined",9062501.86965961,3807671.83818331,645230.781501237,6236446.71016121,9058626.55619065,11903491.5236432,17615358.0692511
"Population Liveweight (kg)","Adult Female",13745087.0953393,7921079.99452089,113062.157684757,6783774.83117417,13793707.4357029,20718928.9691498,27135325.5068499
"Population Liveweight (kg)","Adult Male",3373501.21837786,1984151.455615,28115.4394534964,1574532.12426542,3430219.20225252,5117216.07897278,6748072.9548358
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",3519616.15509458,1374298.7390667,496346.466745772,2366357.38284561,3552875.82913852,4644268.19662596,6464742.13575533
"Offtake Liveweight (kg)","Juvenile Female",251626.146920817,142911.24448249,2770.8027681427,121920.441915817,254914.190089735,374769.754646942,498775.381792588
"Offtake Liveweight (kg)","Juvenile Male",417663.049130879,236684.107911185,4526.97411833015,203718.978267099,441414.12017963,620242.940774348,814973.536337748
"Offtake Liveweight (kg)","Adult Female",636105.348873383,370484.527646451,5255.36455447406,324519.235942225,643783.08664795,961731.45104668,1261290.52577978
"Offtake Liveweight (kg)","Adult Male",2214221.6101695,1290793.63552879,18372.9680088761,1084011.9682722,2213970.96772051,3362308.04919162,4409564.28923975
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
