"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",29661.757882215,2.60039425326405,29653.4726685491,29660.0839665483,29661.7848627683,29663.557978401,29670.4746127575
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2633.51640047718,0.94243371417535,2630.54616600582,2632.88543826181,2633.51155110532,2634.1838304696,2636.35564843071
"Num Offtake","Juvenile Male",4303.76459996859,1.56210495174007,4298.94730266093,4302.71473341328,4303.76610265572,4304.80860454577,4308.05969064434
"Num Offtake","Juvenile Combined",6937.28100044577,1.77959746001331,6931.27358435941,6936.07433433153,6937.36565319065,6938.49528895473,6943.59258748207
"Num Offtake","Adult Female",5237.48820685115,0.13208680005799,5237.05200629914,5237.39918923372,5237.48238212546,5237.58005053551,5237.88032314122
"Num Offtake","Adult Male",17486.9886749181,0.892825520646386,17484.3307845245,17486.4124357838,17486.9715548986,17487.6030839484,17489.6014854417
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-6471.47983660911,115.059426868131,-6810.52019932371,-6549.10760276949,-6471.16653627093,-6391.17939085551,-6043.35688085551
"Cml Pop Growth","Neonatal Female",-23418.3754467911,59.1139633539485,-23617.4569077274,-23457.319608009,-23419.7825771819,-23376.0349612497,-23260.6945848031
"Cml Pop Growth","Neonatal Male",-7837.46443772666,41.0619048774467,-7966.37026208707,-7865.67761496358,-7837.29029099446,-7808.63345767438,-7686.6403701119
"Cml Pop Growth","Neonatal Combined",-31255.8398845178,71.3606678201511,-31442.5093913928,-31301.7447837707,-31258.9070998371,-31206.5970282809,-31031.3911739766
"Cml Pop Growth","Juvenile Female",9868.47966404046,40.9242392465413,9749.95359852952,9839.64475155317,9869.63846634657,9896.41454873806,9996.73442701524
"Cml Pop Growth","Juvenile Male",7669.32859375512,24.6038505185654,7587.02751204457,7652.01732746988,7669.87016471932,7686.6613940847,7733.64695158003
"Cml Pop Growth","Juvenile Combined",17537.8082577956,47.4411535342064,17396.9285487692,17507.6258601918,17537.4376548141,17568.0989132995,17710.9328628231
"Cml Pop Growth","Adult Female",12368.528786502,9.08960870425731,12339.9896432604,12362.4663860362,12368.4694467644,12374.8273479889,12395.929540015
"Cml Pop Growth","Adult Male",-5121.97699638894,4.58713665296698,-5136.61586473491,-5125.14117055008,-5121.93286917826,-5118.76717508047,-5109.18269290528
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",23190.2780456059,116.540399665098,22845.7053098147,23111.8708611872,23189.9310244649,23270.6884173512,23624.1518860977
"Total Number Increase","Neonatal Female",-23418.3754467911,59.1139633539485,-23617.4569077274,-23457.319608009,-23419.7825771819,-23376.0349612497,-23260.6945848031
"Total Number Increase","Neonatal Male",-7837.46443772666,41.0619048774467,-7966.37026208707,-7865.67761496358,-7837.29029099446,-7808.63345767438,-7686.6403701119
"Total Number Increase","Neonatal Combined",-31255.8398845178,71.3606678201511,-31442.5093913928,-31301.7447837707,-31258.9070998371,-31206.5970282809,-31031.3911739766
"Total Number Increase","Juvenile Female",12501.9960645176,41.7402025974529,12381.7685475432,12472.484517036,12503.1983874984,12530.4157561286,12632.6899615323
"Total Number Increase","Juvenile Male",11973.0931937237,25.9509708160546,11885.9846673156,11954.4256683209,11973.5787396088,11991.4193116417,12040.3208141063
"Total Number Increase","Juvenile Combined",24475.0892582413,48.8062685659266,24331.2196898804,24444.1234211201,24475.0401106423,24506.2582997663,24652.8653550177
"Total Number Increase","Adult Female",17606.0169933532,9.21497896111344,17577.0416495596,17599.8788127841,17605.9533205864,17612.4557513628,17633.7896441246
"Total Number Increase","Adult Male",12365.0116785291,5.43220212568954,12348.2051045772,12361.3607979073,12365.0355511653,12368.6440826781,12379.9141200417
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",21502.559729094,113.347966615193,21066.2664674704,21420.7573502752,21503.5107434956,21575.0228512002,21819.1082943901
"Total Mortality","Neonatal Female",5763.91416542341,94.6441953257711,5515.42032477616,5695.97784588169,5761.25509563874,5828.89312648933,6074.47809835597
"Total Mortality","Neonatal Male",3977.64705585645,62.4913250436194,3761.46233378409,3934.18500341354,3977.29797063862,4019.51667175636,4166.06923229964
"Total Mortality","Neonatal Combined",9741.56122127986,110.87079027481,9356.14108873536,9663.81363358561,9744.9926774086,9813.56706151816,10023.7438883844
"Total Mortality","Juvenile Female",5528.29360513756,28.1317188929,5447.43386865654,5509.41858163166,5528.15669495994,5548.90833100031,5608.88688781044
"Total Mortality","Juvenile Male",3227.12872417507,15.626283184414,3178.526247317,3215.99786087054,3226.76180670217,3238.04786352064,3287.45727478634
"Total Mortality","Juvenile Combined",8755.42232931263,31.8165805634795,8666.95994415306,8732.77733805462,8754.66785089834,8777.11567350396,8861.00236688905
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",3005.57617850155,0.153454386361079,3005.11935359016,3005.47713740033,3005.5732359982,3005.68178005364,3006.02525531029
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",318339353.640043,1086807.67676024,314080272.429109,317590045.6252,318351333.647031,319083523.842357,321709201.630267
"Value of Total Mortality","Neonatal Female",51384358.6642671,843737.630113221,49169076.4329188,50778717.4091278,51360653.4889977,51963635.5489008,54152985.687501
"Value of Total Mortality","Neonatal Male",36800181.8727197,578153.892182693,34800095.6462022,36398081.985022,36796952.2248085,37187548.9413461,38543416.0673559
"Value of Total Mortality","Neonatal Combined",88184540.5369868,999556.545908792,84694233.6180209,87482662.5523985,88207888.3369852,88835075.2626933,90701402.3399335
"Value of Total Mortality","Juvenile Female",77133798.6181287,392509.243331472,76005599.0188445,76870443.8895261,77131888.3718894,77421426.6326372,78258280.5070586
"Value of Total Mortality","Juvenile Male",63704524.3972403,308467.688599608,62745096.3925322,63484797.6947898,63697281.3322429,63920071.6029113,64895428.7437187
"Value of Total Mortality","Juvenile Combined",140838323.015369,492751.450793568,139468317.47695,140491174.73162,140807103.766348,141171484.386136,142555080.801179
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",89316490.0876876,4560.19290955532,89302914.6548099,89313546.8904404,89316402.6455282,89319628.2413794,89329835.2707588
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",28056929.8328212,8777313.21059524,7133856.26143287,21393232.0497546,28237602.6766688,35187190.0781763,50636193.2373123
"Population Liveweight (kg)","Neonatal Female",1781152.69687413,989820.537096689,34062.3906280244,925129.709597308,1844619.38607973,2631003.32380912,3428174.68428803
"Population Liveweight (kg)","Neonatal Male",1373127.46142265,807222.133759752,27304.9124363028,683697.502626842,1338662.46902111,2081023.77950838,2740065.89810397
"Population Liveweight (kg)","Juvenile Female",4890455.7333105,2888664.95213709,55427.3145583172,2425811.30539706,4715573.795894,7324483.45310451,9993702.83453496
"Population Liveweight (kg)","Juvenile Male",3014280.1663578,1716157.6383817,33655.0275120446,1518413.86205896,2986454.74485423,4485886.35863804,6076215.36062559
"Population Liveweight (kg)","Juvenile Combined",7904735.8996683,3335791.75618893,311243.394240731,5372832.05144709,7896311.84340965,10478682.7477438,15703208.1521837
"Population Liveweight (kg)","Adult Female",13963168.3668642,7712948.32605814,111725.660208595,7039259.78500868,14302965.2285595,20672551.8323783,26818583.9925552
"Population Liveweight (kg)","Adult Male",3034745.407992,1750783.27876684,25195.6471875183,1487059.18949107,3048870.83303251,4560852.71064245,6049251.24865855
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",3378457.69043059,1296523.03114701,460526.474801237,2337214.88369697,3359395.36301443,4442744.88950594,6225326.76500302
"Offtake Liveweight (kg)","Juvenile Female",234434.651497917,138862.000917663,2631.65073487767,113295.055722099,229021.522783073,353636.314969023,473917.567014021
"Offtake Liveweight (kg)","Juvenile Male",389445.386922044,229023.521684052,4299.98621134248,189355.738943494,391658.807480913,589801.43900645,774867.164921927
"Offtake Liveweight (kg)","Adult Female",624240.29858692,371636.705876,5237.24953080221,303776.620504594,628516.943927828,953239.686293878,1257018.4210633
"Offtake Liveweight (kg)","Adult Male",2130337.35342371,1198603.18451238,17486.9515106855,1066767.01648635,2185894.32933104,3165036.49513483,4197086.85115482
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",10465804.8045307,1359080.66732056,6770302.41459148,9619320.43229903,10474734.7135692,11377876.3841385,15211199.6513225
"Manure","Overall",142375364.069999,4626191.93701469,127964090.035706,139268925.251145,142196457.242787,145645688.095388,155312295.447688
"Manure","Neonatal Female",9921661.30947935,246843.357881202,9034968.75756083,9756207.78166495,9924412.50610619,10081494.4534824,10739164.8406955
"Manure","Neonatal Male",6997663.84321125,176253.21018981,6519277.59247821,6878067.8759922,6999334.66598308,7114799.56138338,7559152.40300635
"Manure","Neonatal Combined",16919325.1526906,306204.714490219,15891209.0917628,16717253.2311721,16924476.916221,17113332.6727869,18217444.3554922
"Manure","Juvenile Female",22142599.9517751,770038.844517522,19435706.8032754,21631486.6932532,22113494.418425,22647956.9152114,24853292.0072536
"Manure","Juvenile Male",12953638.3655412,430079.250178426,11692118.3780487,12676188.3259685,12954304.0803984,13240996.2058325,14568330.8727526
"Manure","Juvenile Combined",35096238.3173163,890294.433363615,31852985.8164538,34468635.120928,35059614.7346305,35707636.4739372,38279734.3098232
"Manure","Adult Female",71943787.5771731,4343522.65967694,59529564.3489894,69674902.8413381,72269027.469147,74880096.2313648,84987289.676152
"Manure","Adult Male",18416013.0228191,1101034.71591987,14523569.059066,17717993.8716848,18402540.195931,19073917.8932784,21626528.6843117
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",5880.49925390709,15.8933410174883,5836.36362271738,5869.20370647579,5880.20726854182,5891.3557857278,5933.20842755446
"Hides","Juvenile Female",2764.14680256878,14.06585944645,2723.71693432827,2754.70929081583,2764.07834747997,2774.45416550016,2804.44344390522
"Hides","Juvenile Male",1613.56436208754,7.813141592207,1589.2631236585,1607.99893043527,1613.38090335109,1619.02393176032,1643.72863739317
"Hides","Juvenile Combined",4377.71116465631,15.9082902817397,4333.47997207653,4366.38866902731,4377.33392544917,4388.55783675198,4430.50118344452
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",1502.78808925077,0.0767271931805395,1502.55967679508,1502.73856870017,1502.7866179991,1502.84089002682,1503.01262765514
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",9332037.53945398,1605712.89396089,3739301.69572388,8294838.0960337,9339967.48935378,10460420.3932396,14182731.9026508
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",283168677.160218,20927888.4906868,221878106.164958,268503638.115044,282850054.859741,296772259.938343,352552699.246231
"Cml Dry Matter","Neonatal Female",22944276.3366232,2153992.47036343,16334365.8386602,21505153.9054287,22890407.01845,24332975.3370396,29489403.0507035
"Cml Dry Matter","Neonatal Male",16087134.0860087,1524951.71572744,10766552.8181156,15192718.1309777,16120316.1471231,17083969.5525886,20512975.6484492
"Cml Dry Matter","Neonatal Combined",39031410.4226318,2600273.58142855,31420347.3604139,37301561.3387226,39098557.3011769,40759847.696608,47192954.1734484
"Cml Dry Matter","Juvenile Female",48536461.7877776,6461192.13026405,27169040.2709249,43750905.6610119,48252874.3569886,52865387.6328684,72386361.4068239
"Cml Dry Matter","Juvenile Male",28260901.3651894,3708430.34461116,17641281.8524454,25663253.7371202,28235763.7550877,31000063.6431316,39578408.3650053
"Cml Dry Matter","Juvenile Combined",76797363.152967,7527160.17169261,51788090.2205982,71727432.325284,76753268.7491454,82179279.6808947,101805557.429985
"Cml Dry Matter","Adult Female",133439170.103056,19023531.4382388,72330361.223717,120546431.270185,133631113.877607,145833146.475325,199345272.336386
"Cml Dry Matter","Adult Male",33900733.4815631,4932016.24466308,19035621.0936794,30639096.4189097,33878057.2199175,37262176.1763731,50598714.3211821
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",699795393.254393,83842892.9393162,476303370.003866,637818579.468564,700508051.92257,763111674.998711,922817147.739269
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",30264778.6817471,4982067.56438166,16322243.687792,26830150.9980148,30691650.9008554,34087292.3693725,40459820.3165961
"Value of Offtake","Juvenile Male",74878954.8012077,17859832.655113,27708016.1960578,61685941.6468168,75804058.2395286,88679791.8064553,112529860.730723
"Value of Offtake","Juvenile Combined",105143733.482955,18712041.3924899,52189620.3872971,91470847.7081033,105893678.228292,119530728.478235,148342795.917046
"Value of Offtake","Adult Female",81901971.6599634,13400249.0216716,51563017.8225507,71584271.896161,81579767.8416122,92347218.3814206,113738910.077956
"Value of Offtake","Adult Male",512749688.111474,80374119.4178314,295658795.350519,449265171.341766,515979213.006505,570676717.576267,696677746.060604
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of draught","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",19620165.9906922,61601055.1349373,-156278189.022258,-24639380.7178751,17847019.3652658,64250801.7375526,195832022.601993
"Value of Herd Increase","Neonatal Female",-191966343.069887,25463049.7488074,-269439889.568267,-210683005.09087,-189012370.116002,-172630010.68007,-143440966.431576
"Value of Herd Increase","Neonatal Male",-79656045.0922832,12005560.0335604,-110920775.128265,-88654975.6801211,-78817090.7427617,-70780340.4965716,-50804935.7399448
"Value of Herd Increase","Neonatal Combined",-271622388.162171,28367438.0176148,-361017915.583504,-290287457.787272,-270428004.052557,-251760204.238266,-203222935.559994
"Value of Herd Increase","Juvenile Female",113314942.409656,19596411.4581523,58052524.7848416,99671761.9170187,114688809.606239,127956009.373933,153477494.345042
"Value of Herd Increase","Juvenile Male",134457207.738742,32345119.4562569,42596972.3653224,111140051.22315,137755769.23884,159783776.137149,201492710.848766
"Value of Herd Increase","Juvenile Combined",247772150.148398,37484815.8569263,130893399.895465,222157706.140483,249755438.750725,273579062.229224,346778811.309796
"Value of Herd Increase","Adult Female",194120247.516259,30153489.6187477,124488779.222288,171806074.264345,193423868.118912,216018977.503049,269818399.113759
"Value of Herd Increase","Adult Male",-150649843.511794,23484450.210663,-203299784.339225,-168497701.91398,-150446319.325926,-134460704.531623,-89999903.630592
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",719415559.245085,106562323.162357,432358846.683455,641446017.677145,717979937.38503,792761122.290179,1034294755.16624
"Value of Herd Increase plus Offtake","Neonatal Female",-191966343.069887,25463049.7488074,-269439889.568267,-210683005.09087,-189012370.116002,-172630010.68007,-143440966.431576
"Value of Herd Increase plus Offtake","Neonatal Male",-79656045.0922832,12005560.0335604,-110920775.128265,-88654975.6801211,-78817090.7427617,-70780340.4965716,-50804935.7399448
"Value of Herd Increase plus Offtake","Neonatal Combined",-271622388.162171,28367438.0176148,-361017915.583504,-290287457.787272,-270428004.052557,-251760204.238266,-203222935.559994
"Value of Herd Increase plus Offtake","Juvenile Female",143579721.091403,20507156.7334596,80797101.3399676,129464111.018294,145236045.672694,159162619.285761,186337208.080611
"Value of Herd Increase plus Offtake","Juvenile Male",209336162.53995,37155349.1134797,93312931.797847,183285554.428472,211803658.476123,236794345.670486,300488569.737626
"Value of Herd Increase plus Offtake","Juvenile Combined",352915883.631353,42161046.7242734,218084375.611777,324261000.846996,354362652.629912,382602905.300809,468812730.137321
"Value of Herd Increase plus Offtake","Adult Female",276022219.176223,32623817.7738845,192954391.34204,252219368.125444,274229759.149133,300815634.22781,362742128.873991
"Value of Herd Increase plus Offtake","Adult Male",362099844.59968,84692394.9522685,134392931.679008,295612069.090019,363691703.478645,425168755.577626,590459466.520241
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",71187682.0349996,2313095.96850735,63982045.0178529,69634462.6255726,71098228.6213935,72822844.0476938,77656147.7238438
"Value of Manure","Neonatal Female",4960830.65473967,123421.678940601,4517484.37878041,4878103.89083248,4962206.2530531,5040747.22674121,5369582.42034775
"Value of Manure","Neonatal Male",3498831.92160562,88126.6050949051,3259638.79623911,3439033.9379961,3499667.33299154,3557399.78069169,3779576.20150317
"Value of Manure","Neonatal Combined",8459662.5763453,153102.35724511,7945604.5458814,8358626.61558607,8462238.45811049,8556666.33639343,9108722.17774609
"Value of Manure","Juvenile Female",11071299.9758876,385019.422258761,9717853.4016377,10815743.3466266,11056747.2092125,11323978.4576057,12426646.0036268
"Value of Manure","Juvenile Male",6476819.18277059,215039.625089213,5846059.18902436,6338094.16298423,6477152.04019922,6620498.10291624,7284165.43637628
"Value of Manure","Juvenile Combined",17548119.1586582,445147.216681807,15926492.9082269,17234317.560464,17529807.3673152,17853818.2369686,19139867.1549116
"Value of Manure","Adult Female",35971893.7885866,2171761.32983847,29764782.1744947,34837451.420669,36134513.7345735,37440048.1156824,42493644.838076
"Value of Manure","Adult Male",9208006.51140955,550517.357959935,7261784.52953298,8858996.93584242,9201270.09796552,9536958.94663918,10813264.3421559
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",560876.178213476,1352.17620373586,557094.47087298,559909.935674232,560856.376507309,561797.063212417,565284.903943699
"Value of Hides","Juvenile Female",240053.399509874,1221.55501075793,236542.251945695,239233.795146927,240047.454501176,240948.546435268,243552.976931975
"Value of Hides","Juvenile Male",127448.004351814,617.124006356132,125528.561648549,127008.416583205,127433.513792658,127879.230571087,129830.541287278
"Value of Hides","Juvenile Combined",367501.403861688,1353.9265470122,363707.399935682,366532.391338372,367477.388322114,368416.108162128,371920.532529608
"Value of Hides","Adult Female",0,0,0,0,0,0,0
"Value of Hides","Adult Male",136774.898039586,6.98325605532594,136754.109286626,136770.390971485,136774.764134946,136779.703654437,136795.33419927
"Value of Hides","Oxen",56599.8763122027,2.88979509144644,56591.2735578737,56598.011207562,56599.8209000901,56601.8649607785,56608.3331571868
"Value of Milk","Overall",289293163.723073,49777099.7127875,115918352.56744,257139980.977045,289538992.169967,324273032.190427,439664688.982174
"Value of Milk","Adult Female",289293163.723073,49777099.7127875,115918352.56744,257139980.977045,289538992.169967,324273032.190427,439664688.982174
"Total Production Value","Overall",1080457281.18137,119609360.835561,680833746.013179,994095041.781852,1076586823.81641,1161323838.45956,1480246397.9071
"Total Production Value","Neonatal Female",-187005512.415148,25466938.4413019,-264735965.977476,-205719037.093003,-183935383.526742,-167613665.058598,-138488521.278471
"Total Production Value","Neonatal Male",-76157213.1706776,12004102.3655971,-107382773.554746,-85218747.7521227,-75271793.1596844,-67310012.0904272,-47351478.1397758
"Total Production Value","Neonatal Combined",-263162725.585825,28374206.0702136,-352485422.445049,-281913686.669078,-261797434.380655,-243274930.233063,-194707878.893974
"Total Production Value","Juvenile Female",154891074.4668,20513009.1314024,92311667.9423286,140692567.278893,156343786.828177,170422995.684326,198466564.126723
"Total Production Value","Juvenile Male",215940429.727072,37156606.8548796,99748366.1934455,189841157.459519,218376183.921263,243434911.505523,306962462.150205
