"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",30218.1136093677,2.58738347213002,30210.0095680675,30216.3896310893,30218.1036030582,30219.865093086,30228.2990284924
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2631.3454804603,0.950031308757971,2628.39405510744,2630.68121123937,2631.36470725532,2632.00241324255,2634.79738899029
"Num Offtake","Juvenile Male",4297.9549068779,1.51806980671035,4293.76361639488,4296.91934497811,4297.96366397764,4298.97085507854,4302.95407174797
"Num Offtake","Juvenile Combined",6929.3003873382,1.7859707344921,6923.44211825482,6928.13938274685,6929.26587191757,6930.52153327724,6936.13345211293
"Num Offtake","Adult Female",5038.39131588842,0.131231313697848,5038.00561481511,5038.30223311061,5038.39142496038,5038.48559412741,5038.8556382197
"Num Offtake","Adult Male",18250.4219061411,0.874191653390733,18247.9211620769,18249.8129100806,18250.4189238662,18251.0122490037,18253.5071081718
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-14722.3855901714,114.133537848222,-15077.9992995662,-14798.3126745354,-14719.9806787412,-14639.9715600234,-14376.0624324423
"Cml Pop Growth","Neonatal Female",-24173.6644509946,56.8772969268534,-24339.830095423,-24210.8897554244,-24171.9858827834,-24133.6924567764,-23998.388814809
"Cml Pop Growth","Neonatal Male",-8588.69164313682,42.3501906223235,-8713.6576521817,-8617.89947103344,-8589.34567287876,-8559.06607377554,-8467.35781492753
"Cml Pop Growth","Neonatal Combined",-32762.3560941315,70.6324831160627,-32973.9798574339,-32810.0055108193,-32762.4841235142,-32712.874071085,-32568.1070438925
"Cml Pop Growth","Juvenile Female",9662.45388533192,40.7697055992032,9535.30606272537,9634.95586340264,9662.40398024688,9689.46219237922,9822.87140661021
"Cml Pop Growth","Juvenile Male",7469.45931133252,24.5261257850139,7399.49483323313,7451.61258960006,7470.15800567323,7485.85113067112,7539.85219286192
"Cml Pop Growth","Juvenile Combined",17131.9131966644,47.5656368882391,16976.9678657776,17100.4953022307,17131.6268972935,17164.1284768218,17295.5315736506
"Cml Pop Growth","Adult Female",3808.64026030136,8.94116928471743,3780.84880490026,3802.45371876908,3808.81864685916,3814.83129349215,3841.08537252159
"Cml Pop Growth","Adult Male",-2900.58295300571,4.59452978563071,-2913.50171348858,-2903.73090636817,-2900.51077976187,-2897.55885320522,-2885.81399478617
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",15495.7280191963,115.637965102381,15132.0102685014,15417.9013935405,15498.5239456334,15578.0558638315,15848.4452926701
"Total Number Increase","Neonatal Female",-24173.6644509946,56.8772969268534,-24339.830095423,-24210.8897554244,-24171.9858827834,-24133.6924567764,-23998.388814809
"Total Number Increase","Neonatal Male",-8588.69164313682,42.3501906223235,-8713.6576521817,-8617.89947103344,-8589.34567287876,-8559.06607377554,-8467.35781492753
"Total Number Increase","Neonatal Combined",-32762.3560941315,70.6324831160627,-32973.9798574339,-32810.0055108193,-32762.4841235142,-32712.874071085,-32568.1070438925
"Total Number Increase","Juvenile Female",12293.7993657922,41.6104794346295,12164.0909850395,12265.7752594003,12293.81485015,12321.4413275176,12457.6687956005
"Total Number Increase","Juvenile Male",11767.4142182104,25.8308235259012,11693.3894020537,11748.3312122708,11768.0064643218,11784.9447138332,11841.0274742364
"Total Number Increase","Juvenile Combined",24061.2135840026,48.9636481082373,23900.4099840324,24028.2621092216,24060.747818878,24094.3964000835,24228.7362119521
"Total Number Increase","Adult Female",8847.03157618978,9.06605415301148,8818.85441971537,8840.74323259802,8847.19680619819,8853.30518387549,8879.94101074129
"Total Number Increase","Adult Male",15349.8389531354,5.4216778811085,15334.8700585532,15346.140517779,15349.8702284916,15353.4673395662,15367.6931133856
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",27497.5533281007,112.96391702701,27163.9464456448,27418.913152253,27496.7298245482,27573.550352274,27837.9213275334
"Total Mortality","Neonatal Female",5737.38505872092,90.7765306604592,5455.17445275485,5675.79844383411,5731.05334538002,5791.70339023793,6036.12859815108
"Total Mortality","Neonatal Male",3942.75055261666,63.6464024398249,3737.65978768727,3900.68198122905,3940.75785613224,3986.19101180551,4120.70363139145
"Total Mortality","Neonatal Combined",9680.13561133758,109.232415455942,9355.96666531123,9608.06015638375,9678.15229598146,9752.5364698319,10020.9124509337
"Total Mortality","Juvenile Female",5524.32532543405,28.7927508767499,5429.39943496944,5504.53190988631,5524.39016333473,5544.20679771519,5619.40313085407
