"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",29565.3493700969,1.80115773721536,29559.6688547657,29564.1496923662,29565.3030882245,29566.5715041727,29570.698218532
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2662.19120446808,0.641003993230729,2660.1185642122,2661.75690322672,2662.19754636847,2662.6142719364,2664.39956773677
"Num Offtake","Juvenile Male",4352.6989022284,0.967473491723737,4349.67418021965,4352.07050058774,4352.69246788398,4353.3359929674,4355.74899017632
"Num Offtake","Juvenile Combined",7014.89010669648,1.21074375623143,7010.81849268672,7014.08326243616,7014.87620920015,7015.72830185152,7018.69964206176
"Num Offtake","Adult Female",5041.56633472096,0.101554421914957,5041.22168521206,5041.49929846523,5041.56818310447,5041.63354178333,5041.88867503811
"Num Offtake","Adult Male",17508.8929286794,0.628992331703385,17506.854446128,17508.4530848078,17508.9017149812,17509.3138768868,17510.7145244245
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-7487.21389044366,40.9721548646184,-7612.12653977645,-7513.74488837863,-7487.75418510486,-7460.56016755401,-7353.79507829982
"Cml Pop Growth","Neonatal Female",-20615.8844595615,7.66735569935151,-20642.623103592,-20621.3109328803,-20615.8219917543,-20610.6351396038,-20592.5633497532
"Cml Pop Growth","Neonatal Male",-6081.79440029057,7.66735569935133,-6108.53304432108,-6087.22087360937,-6081.73193248337,-6076.54508033292,-6058.47329048231
"Cml Pop Growth","Neonatal Combined",-26697.6788598521,15.3347113987028,-26751.1561479131,-26708.5318064897,-26697.5539242376,-26687.1802199368,-26651.0366402356
"Cml Pop Growth","Juvenile Female",11451.5505983814,24.1495394951179,11374.4068760758,11435.5112484745,11451.0338875793,11467.4626565907,11531.4933008834
"Cml Pop Growth","Juvenile Male",8628.87929998498,13.5969594072453,8579.73619821645,8619.81905381739,8629.22472018201,8638.35998831143,8667.86866655554
"Cml Pop Growth","Juvenile Combined",20080.4298983664,28.7196840133859,19993.2279179633,20061.6612189885,20079.9923971077,20099.9999859898,20177.5092819504
"Cml Pop Growth","Adult Female",4102.91574959391,5.98143440952377,4083.72878150812,4098.90519534152,4102.99707090446,4106.87948473061,4123.55959553082
"Cml Pop Growth","Adult Male",-4972.88067855192,2.76919501169356,-4981.53066958614,-4974.67198136075,-4972.90798041466,-4971.02295518719,-4964.12218982309
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",22078.1354796532,42.1196063395558,21949.1788750682,22050.7663594474,22077.8520102921,22105.5928734104,22216.9031402322
"Total Number Increase","Neonatal Female",-20615.8844595615,7.66735569935151,-20642.623103592,-20621.3109328803,-20615.8219917543,-20610.6351396038,-20592.5633497532
"Total Number Increase","Neonatal Male",-6081.79440029057,7.66735569935133,-6108.53304432108,-6087.22087360937,-6081.73193248337,-6076.54508033292,-6058.47329048231
"Total Number Increase","Neonatal Combined",-26697.6788598521,15.3347113987028,-26751.1561479131,-26708.5318064897,-26697.5539242376,-26687.1802199368,-26651.0366402356
"Total Number Increase","Juvenile Female",14113.7418028495,24.6503432702439,14034.6959395465,14097.3101770948,14113.1719663593,14129.8177618575,14194.9441134503
"Total Number Increase","Juvenile Male",12981.5782022134,14.3268531159898,12930.0853440159,12971.9898098033,12981.9308505551,12991.4595701816,13023.6176567319
"Total Number Increase","Juvenile Combined",27095.3200050629,29.5624465998451,27006.3994460866,27076.0709052652,27094.9340532597,27115.5103110836,27196.2089240121
"Total Number Increase","Adult Female",9144.48208431487,6.07707551672937,9124.95046672018,9140.37708818007,9144.57694731378,9148.52190352988,9165.44827056893
"Total Number Increase","Adult Male",12536.0122501275,3.35328415152203,12525.5600357133,12533.8344305022,12535.9844318167,12538.2430448791,12546.5923346014
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",20940.529533379,33.6612109187063,20825.2255691908,20919.1099717503,20940.1239631014,20962.4541717661,21048.2813378347
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",5590.86839748134,29.1882171701958,5506.89757936411,5571.78762348392,5590.99763603206,5609.83503296896,5687.92077658223
"Total Mortality","Juvenile Male",3265.50076128314,16.4269190550096,3218.59085639536,3254.53803051784,3265.36861940591,3276.78631725708,3325.69335112154
