"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",29452.7857219101,2.67672649363525,29443.9241833151,29451.0852232049,29452.8099546597,29454.5779174036,29461.4175263174
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2631.32205608986,0.937846943690048,2627.48398727999,2630.68032914842,2631.3350440883,2631.97569746338,2634.52592467221
"Num Offtake","Juvenile Male",4297.88155860538,1.58999348001398,4293.14570019013,4296.87004443991,4297.89412365881,4298.91208724176,4302.7689103142
"Num Offtake","Juvenile Combined",6929.20361469523,1.8347527834873,6923.24187489452,6928.01184470106,6929.22935469575,6930.41889395241,6935.34274556859
"Num Offtake","Adult Female",5038.38830322443,0.130666778530699,5037.850050474,5038.29649014239,5038.38605942752,5038.48264351618,5038.79232433445
"Num Offtake","Adult Male",17485.1938039904,0.905286202152166,17482.3081478215,17484.6027207089,17485.1897752338,17485.757218332,17488.1785707503
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-16961.4180095007,114.096220674387,-17285.4520022395,-17043.3932290515,-16961.0137769325,-16880.8893676886,-16636.8531367168
"Cml Pop Growth","Neonatal Female",-24167.3046269091,57.1360089825543,-24333.5370756105,-24205.2668359644,-24165.0293303496,-24128.2843282648,-23989.2813547158
"Cml Pop Growth","Neonatal Male",-8591.10744140526,40.5524407902364,-8718.70308906398,-8619.16053615277,-8591.9555432002,-8564.24600792582,-8467.98920499479
"Cml Pop Growth","Neonatal Combined",-32758.4120683143,70.6628729675819,-32951.3892082493,-32808.5889916895,-32756.7120738951,-32709.4985872798,-32551.4204812098
"Cml Pop Growth","Juvenile Female",9661.21952496142,40.4993858564985,9545.53114551103,9633.44185213718,9661.11694439517,9689.97184837765,9815.03591924834
"Cml Pop Growth","Juvenile Male",7468.2395547215,24.7585067688769,7394.54652204089,7451.95079450056,7468.59525716002,7484.58905240317,7547.716238298
"Cml Pop Growth","Juvenile Combined",17129.4590796829,46.5173691355318,16969.4408612465,17096.7659350693,17129.9538330684,17160.9996325274,17274.5389741945
"Cml Pop Growth","Adult Female",3808.41947316275,8.8257023280589,3772.4429806827,3802.29743135161,3808.51873051348,3814.61581405604,3838.65353136159
"Cml Pop Growth","Adult Male",-5140.88449403206,4.67171275026697,-5154.66340879413,-5143.78335123107,-5140.91589928433,-5137.92174974865,-5126.27926236052
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
