"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",2070802.76691499,195115.367950073,1556866.71622018,1934243.56212348,2066369.6173078,2200375.7549459,2664043.63490797
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",203448.36039037,39901.3451615206,96905.2470711263,175530.602260308,203143.776573786,230986.038211251,325980.831025723
"Num Offtake","Juvenile Male",580478.964727548,118695.041799468,263337.309839662,497483.133527627,579679.804150051,662529.3087096,945127.551624052
"Num Offtake","Juvenile Combined",783927.325117918,158596.340901429,360242.556910788,672981.084193662,782828.202905844,893505.000313787,1271108.38264978
"Num Offtake","Adult Female",178302.117299997,4604.76374545283,166747.63827111,175043.58966603,178179.199359311,181558.786228709,192482.026526476
"Num Offtake","Adult Male",194686.670125047,32225.1823798253,113743.205973131,171937.954597573,193804.553272518,217490.224942473,293899.498135603
"Num Offtake","Oxen",913886.654372029,381.785683479831,912981.469686416,913604.430340634,913876.969286138,914147.128268017,915057.297367869
"Cml Pop Growth","Overall",171946396.822843,35218163.5977593,62927791.1179939,147393382.640912,170263707.761889,196503993.381022,298297821.630253
"Cml Pop Growth","Neonatal Female",57174250.7480755,12592091.1374431,18707492.8008721,48207409.2539349,56574238.7355143,65348258.3525712,101816080.729922
"Cml Pop Growth","Neonatal Male",57269988.2100015,12592091.1374431,18803230.262798,48303146.7158608,56669976.1974403,65443995.8144971,101911818.191848
"Cml Pop Growth","Neonatal Combined",114444238.958077,25184182.2748861,37510723.0636701,96510555.9697957,113244214.932955,130792254.167068,203727898.92177
"Cml Pop Growth","Juvenile Female",24916154.4210291,5365032.88736411,8733889.3403377,21053087.3746183,24765448.3571502,28544272.5169311,41740622.1619804
"Cml Pop Growth","Juvenile Male",24692270.6584623,5298717.18651684,8699873.4104242,20866436.7875518,24548109.2292925,28258480.775258,41299195.8248988
"Cml Pop Growth","Juvenile Combined",49608425.0794914,10663723.8223005,17433762.7507619,41915633.0480372,49320803.560172,56792036.6131884,83039817.9868791
"Cml Pop Growth","Adult Female",4164981.40370927,974298.618834197,1558565.36186754,3486348.74702009,4157943.88263286,4837712.13221763,7160521.59185489
"Cml Pop Growth","Adult Male",4540767.10389568,941197.3194799,2016050.03662011,3888744.68918172,4536514.4264272,5195460.48976899,7439458.83213368
"Cml Pop Growth","Oxen",-812015.722329852,16485.4866934664,-853464.675863266,-823635.695186645,-812464.62933395,-800352.908036258,-761272.676250404
"Total Number Increase","Overall",174017199.589758,35361131.443175,64607923.8092501,149312386.207266,172259345.256605,198519839.327449,300840920.546275
"Total Number Increase","Neonatal Female",57174250.7480755,12592091.1374431,18707492.8008721,48207409.2539349,56574238.7355143,65348258.3525712,101816080.729922
"Total Number Increase","Neonatal Male",57269988.2100015,12592091.1374431,18803230.262798,48303146.7158608,56669976.1974403,65443995.8144971,101911818.191848
"Total Number Increase","Neonatal Combined",114444238.958077,25184182.2748861,37510723.0636701,96510555.9697957,113244214.932955,130792254.167068,203727898.92177
"Total Number Increase","Juvenile Female",25119602.7814194,5402356.84890196,8830794.58740882,21238231.1397288,24958479.7582066,28786605.4502433,42066602.9930061
"Total Number Increase","Juvenile Male",25272749.6231898,5409729.68132621,8963210.72026386,21386114.1334915,25113567.3197371,28946296.4124683,42244323.3765228
"Total Number Increase","Juvenile Combined",50392352.4046093,10812085.6338135,17794005.3076727,42626011.0485938,50072047.0779437,57733816.6308421,84310926.3695289
"Total Number Increase","Adult Female",4343283.52100927,978793.631786677,1725803.90668895,3660537.19038565,4337012.85058418,5020167.3916654,7351940.78871712
"Total Number Increase","Adult Male",4735453.77402072,972648.484985118,2133185.67709666,4058229.34649544,4728221.85077347,5406804.15930258,7726084.42323093
"Total Number Increase","Oxen",101870.932042176,16862.014035955,59516.7938231496,89967.5343824507,101409.359270505,113803.024679202,153784.621117466
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",25364796899.5551,4717449029.98884,12609806668.1762,21922822210.7137,25215502618.4183,28475036775.868,40794457652.1715
"Population Liveweight (kg)","Neonatal Female",4966649636.20258,1496891810.22488,1314717681.15001,3956481444.38601,4811993120.95901,5920589114.2778,9033349341.73099
"Population Liveweight (kg)","Neonatal Male",5227913511.08688,1837656869.09234,1471822041.53718,3906293057.67142,4993409184.83188,6320337625.56615,11156899747.182
"Population Liveweight (kg)","Juvenile Female",4569937857.89766,1325113374.13195,1530508745.52301,3584659245.64624,4397680458.35523,5375425024.01895,10202344307.3787
"Population Liveweight (kg)","Juvenile Male",4824588088.49513,1412342871.02481,1490462641.46491,3818205245.62011,4638439503.53047,5777888689.82635,10015815937.8693
"Population Liveweight (kg)","Juvenile Combined",9394525946.39279,2338882362.0869,3116981779.08746,7597986484.44922,9227492760.07924,10870126364.7933,17862434637.6341
"Population Liveweight (kg)","Adult Female",2942242454.28157,499650008.183883,1741392752.763,2568733542.56797,2911382861.79801,3296654110.51525,4488367295.12391
"Population Liveweight (kg)","Adult Male",1255654477.82252,331922958.95334,490312743.629205,1006048491.13241,1226342792.81958,1461953018.75927,2618272041.91745
