"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1363371.05141793,1452.61704951588,1360121.81440025,1362338.33202829,1363247.59797996,1364296.18653583,1369084.23030341
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",55411.0177828287,296.446307977737,54745.0826875511,55198.2964518064,55385.4997567516,55604.8324441155,56581.1433341552
"Num Offtake","Juvenile Male",139672.053633149,881.763515511003,137690.996538768,139038.232664964,139596.283552195,140252.030882955,143152.911929655
"Num Offtake","Juvenile Combined",195083.071415977,1178.20943383441,192436.079226319,194236.570146753,194981.161547677,195856.925660754,199734.055263811
"Num Offtake","Adult Female",163641.952614676,34.6753361286322,163566.232337947,163618.082299182,163637.89764679,163660.771751284,163773.331569113
"Num Offtake","Adult Male",91832.8863773489,242.614632016451,91302.7057172076,91666.3195186208,91804.678988137,91963.6687199539,92753.5679759848
"Num Offtake","Oxen",912813.141009927,2.90314846907553,912807.078623337,912811.078834203,912812.771898443,912814.692361035,912824.827321429
"Cml Pop Growth","Overall",4540219.50189732,234160.620048016,3996543.49207425,4379085.62085244,4528340.99744136,4688285.99413313,5287330.17080114
"Cml Pop Growth","Neonatal Female",883509.167538552,81726.026980839,689039.20247295,823395.095779646,880640.935801103,931740.809186883,1164078.60974441
"Cml Pop Growth","Neonatal Male",979246.629464488,81726.026980839,784776.664398884,919132.557705582,976378.397727038,1027478.27111282,1259816.07167034
"Cml Pop Growth","Neonatal Combined",1862755.79700304,163452.053961678,1473815.86687183,1742527.65348523,1857019.33352814,1959219.0802997,2423894.68141475
"Cml Pop Growth","Juvenile Female",968520.381379437,38447.2464646013,879553.581615424,941153.769517979,965995.740418702,994284.876922332,1102873.99061784
"Cml Pop Growth","Juvenile Male",1009863.54789766,37960.370894831,921923.61149696,982695.271256908,1007355.83585167,1035446.60931476,1142152.41070316
"Cml Pop Growth","Juvenile Combined",1978383.9292771,76407.3827218611,1801477.19311238,1923972.2638288,1973272.61918612,2029679.9786566,2245026.401321
"Cml Pop Growth","Adult Female",539792.022728223,7236.66129076529,523528.458462514,534584.753450714,539187.970986416,544580.719040507,568366.370246796
"Cml Pop Growth","Adult Male",1024048.80218981,6988.17461243026,1008335.27350685,1019039.29544632,1023484.6434749,1028662.03910432,1051653.52106278
"Cml Pop Growth","Oxen",-864761.049300849,124.089334008974,-865032.407027124,-864846.006886322,-864775.463733511,-864693.730811661,-864289.43178614
"Total Number Increase","Overall",5903590.55331525,235156.47358977,5357303.68735722,5741698.19913062,5891272.85816768,6052751.8504104,6654668.75400098
"Total Number Increase","Neonatal Female",883509.167538552,81726.026980839,689039.20247295,823395.095779646,880640.935801103,931740.809186883,1164078.60974441
"Total Number Increase","Neonatal Male",979246.629464488,81726.026980839,784776.664398884,919132.557705582,976378.397727038,1027478.27111282,1259816.07167034
"Total Number Increase","Neonatal Combined",1862755.79700304,163452.053961678,1473815.86687183,1742527.65348523,1857019.33352814,1959219.0802997,2423894.68141475
"Total Number Increase","Juvenile Female",1023931.39916227,38721.1881075781,934389.340930016,996335.937071123,1021311.83546567,1049933.93020858,1159455.133952
"Total Number Increase","Juvenile Male",1149535.60153081,38775.064381904,1059883.13832252,1121900.43469935,1146882.25479197,1175617.66646022,1285305.32263282
"Total Number Increase","Juvenile Combined",2173467.00069307,77496.2442708148,1994272.47925254,2118229.39538602,2168194.09025765,2225551.5966688,2444760.45658481
"Total Number Increase","Adult Female",703433.975342899,7270.41710062405,687095.93111921,698206.867215936,702827.388182097,708237.439495965,732139.701815909
"Total Number Increase","Adult Male",1115881.68856716,7224.30455374962,1099646.06738365,1110682.63380376,1115278.02811542,1120663.9508508,1144407.08903876
"Total Number Increase","Oxen",48052.0917090776,126.949516752804,47774.6715962121,47964.9346318331,48037.3320286754,48120.5243302094,48533.8437083635
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",6018457172.16796,510068836.871374,4446571771.89241,5664884811.4477,6008124633.03126,6358223051.25593,7490202547.84743
"Population Liveweight (kg)","Neonatal Female",287698221.422026,65427374.9763972,95409673.7316861,243712450.188358,293644210.752034,336330394.233301,428533830.422399
"Population Liveweight (kg)","Neonatal Male",317436688.332205,85763876.5580571,71403382.974208,254192380.195573,321094795.434457,384373254.611855,515255075.948851
