"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1337454.89984685,181.236541947759,1336780.55074763,1337334.86514149,1337459.01612152,1337575.88867864,1338036.59013058
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",51010.1255843717,51.4739719819751,50807.7466879205,50974.7571139615,51013.1276846875,51046.0758725017,51182.3033187276
"Num Offtake","Juvenile Male",127439.316116287,128.231602934473,126961.608883126,127357.707725589,127442.528098287,127525.50781198,127838.406573275
"Num Offtake","Juvenile Combined",178449.441700659,140.168649818181,177924.721730372,178357.966546103,178453.199781587,178544.704590094,178895.024661661
"Num Offtake","Adult Female",161711.090582148,7.49388103514802,161687.788280115,161706.005275538,161711.225288571,161716.436234118,161732.767204034
"Num Offtake","Adult Male",88625.382203234,42.1023665534436,88471.3729864878,88596.4055994276,88626.9299583031,88652.5501024779,88774.3179531623
"Num Offtake","Oxen",908668.985360804,0.627081604545467,908667.05090812,908668.531508233,908669.003201729,908669.399831302,908671.19462471
"Cml Pop Growth","Overall",906717.911737945,20237.9095818905,843102.951435886,892727.616829636,907339.86984776,921293.087079507,969283.324772283
"Cml Pop Growth","Neonatal Female",-129706.878681433,9250.94046554268,-160800.732385105,-135896.583649683,-129249.618547995,-123086.630738091,-98954.1373602129
"Cml Pop Growth","Neonatal Male",-28058.3065925411,9132.14585638078,-54229.4151946323,-34347.6448863499,-27902.2356616363,-21190.329281672,2122.68257838371
"Cml Pop Growth","Neonatal Combined",-157765.185273974,13498.1499286257,-200483.856111256,-166457.993196163,-157151.268381492,-148095.540556738,-116219.024241194
"Cml Pop Growth","Juvenile Female",353827.757481483,5621.10691571299,333629.847892945,350083.24007726,354048.438442601,357638.573255079,369841.189328287
"Cml Pop Growth","Juvenile Male",431316.169045935,4990.69874494731,413049.051919101,428038.931893399,431274.966638619,434827.683573216,445246.654130844
"Cml Pop Growth","Juvenile Combined",785143.926527417,7637.0117704298,756594.015824011,780113.912628642,785394.446667377,790558.29080024,805346.795998724
"Cml Pop Growth","Adult Female",278034.747686047,1243.35523834669,273114.945003992,277188.482923949,278105.049503122,278892.323984028,282205.51854332
"Cml Pop Growth","Adult Male",926995.172264134,1008.62780488226,923248.874089272,926347.811133193,927019.001774544,927678.317052298,930094.058825378
"Cml Pop Growth","Oxen",-925690.74946568,21.3838131015512,-925769.266269248,-925705.526091784,-925690.095098675,-925676.845981887,-925615.181367221
"Total Number Increase","Overall",2244172.81158479,20342.3283891567,2179919.49585413,2230117.46252591,2244854.93479612,2258789.00608617,2307010.01029947
"Total Number Increase","Neonatal Female",-129706.878681433,9250.94046554268,-160800.732385105,-135896.583649683,-129249.618547995,-123086.630738091,-98954.1373602129
"Total Number Increase","Neonatal Male",-28058.3065925411,9132.14585638078,-54229.4151946323,-34347.6448863499,-27902.2356616363,-21190.329281672,2122.68257838371
"Total Number Increase","Neonatal Combined",-157765.185273974,13498.1499286257,-200483.856111256,-166457.993196163,-157151.268381492,-148095.540556738,-116219.024241194
"Total Number Increase","Juvenile Female",404837.883065854,5664.15338869582,384437.594580865,401076.580155324,405079.612889653,408664.827895904,421023.492647015
"Total Number Increase","Juvenile Male",558755.485162222,5098.77594419394,540070.717198116,555376.845081404,558740.411265616,562346.417232109,572997.410193315
"Total Number Increase","Juvenile Combined",963593.368228076,7745.02177309368,934518.737554383,958442.945014199,963804.975094436,969093.725642564,984155.803835891
"Total Number Increase","Adult Female",439745.838268195,1250.39508181201,434803.386440861,438896.928532942,439818.535486208,440608.370470816,443938.285747354
"Total Number Increase","Adult Male",1015620.55446737,1047.9410944521,1011720.24707576,1014952.96099365,1015645.17455985,1016325.62338147,1018868.37677854
"Total Number Increase","Oxen",-17021.7641048757,21.9881009208795,-17102.2153611279,-17036.8900931509,-17020.9537100377,-17007.5801930116,-16943.9867425115
"Total Mortality","Overall",1043859.41935017,20140.435913619,978639.499292051,1029510.82627714,1043419.24564424,1057922.6934854,1108080.52653033
"Total Mortality","Neonatal Female",239214.828721107,13639.6715557373,192529.086319731,230066.026697581,238486.970639274,247892.25559773,289561.795444453
"Total Mortality","Neonatal Male",228788.957150675,13467.2217291661,181653.727294782,219658.039696415,228044.900357934,238039.442459848,279525.304592576
"Total Mortality","Neonatal Combined",468003.785871782,19792.9439408672,407188.304083747,454168.608636586,467457.038064171,480813.388140817,533838.306712566
"Total Mortality","Juvenile Female",191315.248132135,4115.1994727884,176844.820143578,188440.60265376,191490.659382251,194102.630762563,206015.261117042
"Total Mortality","Juvenile Male",159433.784157541,3260.16364877279,149921.273320759,157155.235448607,159442.596232648,161649.181538917,168800.429159732
"Total Mortality","Juvenile Combined",350749.032289676,5343.6925919122,333939.89408921,346956.580278818,350839.264617869,354217.557072343,370744.602137603
"Total Mortality","Adult Female",161711.090582148,7.49388103514802,161687.788280115,161706.005275538,161711.225288571,161716.436234118,161732.767204034
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",63395.5106065677,0.0437498793869334,63395.3756447526,63395.4789424348,63395.5118512834,63395.5395231141,63395.6647412588
"Value of Total Mortality","Overall",12403584658.5393,235138910.414439,11673090144.2116,12238859437.8492,12393403432.8395,12567922534.003,13163264311.215
"Value of Total Mortality","Neonatal Female",2000706954.24045,114077316.531805,1610244164.01263,1924189658.34665,1994619410.53002,2073281837.61949,2421790910.3933
"Value of Total Mortality","Neonatal Male",3244759448.43247,190996521.39709,2576272278.71203,3115261805.48873,3234206992.84858,3375952841.60729,3964318839.72181
"Value of Total Mortality","Neonatal Combined",5245466402.67291,228871291.290182,4524575408.75243,5090467471.97921,5230201519.45119,5401970890.29238,6053609963.57856
