"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1343723.07419722,138.704068518916,1343177.43143186,1343633.26408635,1343728.60793376,1343822.74971404,1344125.81195235
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",52498.3578618861,36.8469933378983,52339.5475504247,52473.2841787862,52498.9023378139,52525.1144672593,52592.9757955216
"Num Offtake","Juvenile Male",131091.28156098,103.991261714811,130733.137012601,131023.696563517,131095.122521047,131164.728885005,131350.851527859
"Num Offtake","Juvenile Combined",183589.639422866,110.83841646423,183162.439867439,183516.779567872,183594.735654962,183668.350711051,183918.635197299
"Num Offtake","Adult Female",161918.842418697,4.36703739099473,161899.766803003,161915.807157099,161918.935468766,161922.025893233,161929.158181132
"Num Offtake","Adult Male",89533.893657321,28.1413715010776,89425.4242648014,89516.2637760473,89535.6922654772,89553.452172141,89597.2779456031
"Num Offtake","Oxen",908680.698698333,0.332919135046471,908679.339541419,908680.489584086,908680.733303098,908680.932464414,908681.413599772
"Cml Pop Growth","Overall",1248682.30199369,18966.8426570598,1182451.56219243,1235814.18224044,1248644.40481301,1261727.98781206,1304150.24377997
"Cml Pop Growth","Neonatal Female",-128382.170496018,9405.60585616356,-165007.570249637,-134322.850449202,-128034.48125007,-122046.156369269,-102603.183260309
"Cml Pop Growth","Neonatal Male",-25721.4463324624,8869.63474299895,-57899.742245642,-31542.3321068974,-25352.5666610434,-19199.9449296209,-3678.59856420103
"Cml Pop Growth","Neonatal Combined",-154103.616828481,12830.0708043286,-202043.667324799,-162585.071272407,-153785.301841279,-145363.618037635,-117317.875799144
"Cml Pop Growth","Juvenile Female",506749.097143258,4687.63929520924,487197.544018769,503646.034566853,506643.34478571,509988.964063327,519328.214547834
"Cml Pop Growth","Juvenile Male",557507.527930986,4541.0933130504,542507.917571264,554567.851906494,557601.026892362,560676.295639449,569408.56384489
"Cml Pop Growth","Juvenile Combined",1064256.62507424,6563.19252746779,1043290.09988316,1059919.47264496,1064411.40049716,1068374.17463936,1086573.56728726
"Cml Pop Growth","Adult Female",313959.418298523,895.027508663651,310106.793475439,313356.332229665,313969.596517975,314613.841397352,316261.252771061
"Cml Pop Growth","Adult Male",949797.771561811,822.984646253122,946975.46288416,949269.001654914,949824.574853933,950379.862974076,951859.881973856
"Cml Pop Growth","Oxen",-925227.896112412,14.3748394075898,-925283.199370869,-925236.942137287,-925227.028424362,-925217.921995247,-925195.425124438
"Total Number Increase","Overall",2592405.3761909,19053.1127209733,2526039.55912667,2579509.22200141,2592334.82590064,2605559.34616916,2648110.66072603
"Total Number Increase","Neonatal Female",-128382.170496018,9405.60585616356,-165007.570249637,-134322.850449202,-128034.48125007,-122046.156369269,-102603.183260309
"Total Number Increase","Neonatal Male",-25721.4463324624,8869.63474299895,-57899.742245642,-31542.3321068974,-25352.5666610434,-19199.9449296209,-3678.59856420103
"Total Number Increase","Neonatal Combined",-154103.616828481,12830.0708043286,-202043.667324799,-162585.071272407,-153785.301841279,-145363.618037635,-117317.875799144
"Total Number Increase","Juvenile Female",559247.455005145,4721.62293747974,539541.298003129,556122.387645697,559142.831470748,562525.6693465,571921.190343356
"Total Number Increase","Juvenile Male",688598.809491965,4638.00510376104,673242.433872967,685567.167503846,688699.316535367,691801.323102427,700725.602645885
"Total Number Increase","Juvenile Combined",1247846.26449711,6655.26178182585,1226748.32631098,1243480.36184541,1248041.75707241,1252052.69287013,1270492.20248456
"Total Number Increase","Adult Female",475878.26071722,899.26447691597,472006.560278441,475271.134920686,475889.971743333,476536.485885674,478190.410952193
"Total Number Increase","Adult Male",1039331.66521913,850.344932099676,1036411.45218828,1038782.8907321,1039360.44441728,1039932.62430283,1041457.15991946
"Total Number Increase","Oxen",-16547.1974140789,14.7022822371799,-16603.8598294494,-16556.4055856289,-16546.2615782064,-16536.9797348623,-16514.0765564666
"Total Mortality","Overall",699980.865326158,18943.4971774702,644732.784275939,687110.930991649,699820.174420794,712543.479997904,767685.415884723
"Total Mortality","Neonatal Female",240199.81140787,13799.4506232923,202948.771943889,230946.964741021,239882.777402697,249215.638914289,289087.994143564
"Total Mortality","Neonatal Male",228219.33296315,13252.9946820978,195861.033594738,218844.664204029,227776.597508737,237216.054831076,270336.538767383
"Total Mortality","Neonatal Combined",468419.14437102,18946.2880457538,413156.322473371,455544.134398154,468255.237749607,480984.034289369,536127.069859122
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",161918.842418697,4.36703739099473,161899.766803003,161915.807157099,161918.935468766,161922.025893233,161929.158181132
"Total Mortality","Adult Male",6246.55072027821,1.96335150007515,6238.98308824196,6245.32072856144,6246.67620456818,6247.91526782379,6250.9728799258
"Total Mortality","Oxen",63396.3278161628,0.0232269163982108,63396.2329912618,63396.3132267967,63396.3302304487,63396.3441254242,63396.3776930073
"Value of Total Mortality","Overall",8473160165.79473,173237590.274726,8000495122.99334,8357812963.58399,8469783390.75166,8594725975.07043,9050797183.04388
"Value of Total Mortality","Neonatal Female",1235490611.857,70978788.8422266,1043886341.77074,1187897713.58268,1233859917.25015,1281864379.50076,1486951636.93722
"Value of Total Mortality","Neonatal Male",2746300684.76914,159481266.981723,2356913779.81406,2633489649.44455,2740972982.39687,2854563657.5233,3253122388.42999
"Value of Total Mortality","Neonatal Combined",3981791296.62614,173298874.189437,3508832592.94202,3866390875.36137,3978493543.02032,4103384325.3471,4559667122.9379
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",4108694119.55978,110813.668009557,4108210075.4,4108617099.73126,4108696480.70727,4108774900.29481,4108955882.25411
"Value of Total Mortality","Adult Male",182694398.398686,57422.6220539532,182473066.011569,182658424.529779,182698068.46844,182734307.654864,182823734.384675
"Value of Total Mortality","Oxen",2243420518.22467,821.936263789744,2243417162.63397,2243420001.9474,2243420603.65957,2243421095.36428,2243422283.22811
"Population Liveweight (kg)","Overall",5145166634.54354,426496968.705819,3920739472.28787,4835040283.20928,5154104977.80083,5428003280.63594,6367010293.10848
"Population Liveweight (kg)","Neonatal Female",152929734.508199,32414876.8469123,60618152.1051487,130628225.920176,154709608.205597,178742731.463134,215441150.164488
"Population Liveweight (kg)","Neonatal Male",157745765.194703,43233400.5843791,52336459.0705399,126294743.219305,156986076.57004,191346265.683854,257869824.731254
"Population Liveweight (kg)","Juvenile Female",529388488.509909,112645999.689998,283947952.441918,443032310.972926,524658369.960737,606196742.691392,827277517.054528
"Population Liveweight (kg)","Juvenile Male",450029878.420424,97984387.8074831,251186031.2371,376824027.597671,443591704.021429,514741436.096804,766813392.594504
