"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1343722.3921707,140.901815322667,1343253.34400459,1343627.28303404,1343728.65566889,1343819.08354825,1344065.57973032
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",52498.809441787,37.9533508808031,52378.1095249495,52474.1206027054,52501.9332409689,52526.3104074471,52589.6091162901
"Num Offtake","Juvenile Male",131090.304670225,106.432683943726,130735.436095761,131021.008704929,131093.672505233,131166.664706072,131338.695661553
"Num Offtake","Juvenile Combined",183589.114112012,111.944253378607,183218.435937026,183517.390181304,183592.933597337,183667.07125465,183870.094778453
"Num Offtake","Adult Female",161918.904032582,4.47595529152084,161903.246048884,161916.002456705,161919.266323875,161922.254962113,161929.388391542
"Num Offtake","Adult Male",89533.5470249053,29.4195277048027,89433.7105419007,89515.0693062603,89535.6037310277,89554.2321625945,89597.0255529102
"Num Offtake","Oxen",908680.8270012,0.353089432024634,908679.602771935,908680.617250226,908680.854747246,908681.084935948,908681.543795964
"Cml Pop Growth","Overall",1249522.68119246,19727.8617122893,1177250.03576221,1236767.57718111,1249843.78369089,1263394.2765868,1303515.77837986
"Cml Pop Growth","Neonatal Female",-128093.842940533,9510.94600225538,-167738.160260398,-133731.464561308,-127385.883576002,-121763.640180044,-100865.318195349
"Cml Pop Growth","Neonatal Male",-25197.9057395901,8973.55386079601,-60198.0431729157,-31219.3834792369,-24281.8588592072,-18642.0479317323,-1730.26291988674
"Cml Pop Growth","Neonatal Combined",-153291.748680123,13406.3415763397,-208162.232318889,-162386.789053061,-151916.267239098,-144269.658301773,-115620.826604797
"Cml Pop Growth","Juvenile Female",506789.361179029,4830.15163334222,490401.095741258,503758.316857811,507111.583134102,510337.118330165,518396.721681451
"Cml Pop Growth","Juvenile Male",557492.772594846,4535.10251751644,541856.610529946,554357.309328438,557730.963855036,560628.827655741,568290.55614378
"Cml Pop Growth","Juvenile Combined",1064282.13377388,6566.64679231628,1037463.89823949,1059815.63180856,1064222.88978672,1069073.17185383,1082214.93070786
"Cml Pop Growth","Adult Female",313970.327843754,921.943939380112,311033.613220564,313371.928872772,314047.396182725,314641.654040674,316175.666159417
"Cml Pop Growth","Adult Male",949790.182999025,841.30989673015,946991.68419949,949245.299295869,949811.908118568,950399.576383096,951762.070648252
"Cml Pop Growth","Oxen",-925228.214744066,15.0217754789046,-925279.194424698,-925237.677002478,-925227.215167117,-925217.68352706,-925195.766038929
"Total Number Increase","Overall",2593245.07336316,19813.9221354508,2520832.79151855,2580510.09005369,2593618.23083946,2607168.73127361,2647500.28016767
"Total Number Increase","Neonatal Female",-128093.842940533,9510.94600225538,-167738.160260398,-133731.464561308,-127385.883576002,-121763.640180044,-100865.318195349
"Total Number Increase","Neonatal Male",-25197.9057395901,8973.55386079601,-60198.0431729157,-31219.3834792369,-24281.8588592072,-18642.0479317323,-1730.26291988674
"Total Number Increase","Neonatal Combined",-153291.748680123,13406.3415763397,-208162.232318889,-162386.789053061,-151916.267239098,-144269.658301773,-115620.826604797
"Total Number Increase","Juvenile Female",559288.170620816,4865.56721282802,542797.02062336,556229.538682437,559614.309067272,562867.609766569,570979.601085452
"Total Number Increase","Juvenile Male",688583.077265071,4633.90001656483,672593.341283466,685359.966425955,688830.869595868,691767.808566443,699618.320850178
"Total Number Increase","Juvenile Combined",1247871.24788589,6658.04967920248,1220686.42877428,1243336.97988178,1247781.45871611,1252723.74307741,1266085.02548631
"Total Number Increase","Adult Female",475889.231876336,926.301607864614,472939.417258916,475287.288866908,475966.401883079,476563.693764787,478105.054550959
"Total Number Increase","Adult Male",1039323.73002393,869.937638700286,1036425.69725959,1038756.51303899,1039351.71044815,1039947.82068432,1041357.15932244
"Total Number Increase","Oxen",-16547.3877428663,15.3696591176647,-16599.5455669861,-16557.0428612302,-16546.3171120768,-16536.5843323194,-16514.2222429648
"Total Mortality","Overall",699059.863354423,19847.9175149336,643986.481646698,684883.874710339,698521.892046592,712019.731949181,769779.187023969
"Total Mortality","Neonatal Female",239818.954701714,14226.5766507325,198464.498573623,229840.103868515,238563.379597751,249177.517957825,293765.562647935
"Total Mortality","Neonatal Male",227679.14131598,13401.317978603,192354.083818131,218393.351687022,226715.532933317,237239.845289095,276740.249642167
"Total Mortality","Neonatal Combined",467498.096017694,19850.8668851085,412418.956049419,453317.879233273,466959.484206594,480456.88732081,538226.261880133
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",161918.904032582,4.47595529152084,161903.246048884,161916.002456705,161919.266323875,161922.254962113,161929.388391542
"Total Mortality","Adult Male",6246.5265366213,2.05252518870714,6239.56120059772,6245.23739346002,6246.67002774612,6247.96968576241,6250.95527113327
"Total Mortality","Oxen",63396.3367675256,0.0246341464207415,63396.2513561815,63396.3221337367,63396.3387032962,63396.3547629731,63396.3867764626
"Value of Total Mortality","Overall",9302839979.93767,222754807.51572,8650793926.39291,9150274250.74389,9289353696.64955,9452686567.88132,10049744697.0671
"Value of Total Mortality","Neonatal Female",1966350812.8517,116648163.178175,1627272658.98494,1884531085.66795,1956055958.84675,2043084607.67899,2408675968.16556
"Value of Total Mortality","Neonatal Male",3163322875.8382,186194903.420084,2672524457.38246,3034308199.3785,3149934717.29804,3296157150.47779,3844966900.78127
"Value of Total Mortality","Neonatal Combined",5129673688.6899,222822575.685662,4477473402.88923,4977012403.98138,5116115740.32477,5279584020.7417,5876787986.11791
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",3821209353.11006,105630.42237872,3820839832.1198,3821140877.29528,3821217903.01276,3821288433.45798,3821456779.00981
"Value of Total Mortality","Adult Male",185633562.400018,60996.7092049794,185426567.339357,185595251.790743,185637826.652882,185676449.741418,185765175.026581
"Value of Total Mortality","Oxen",1865849665.7045,725.020028093483,1865847151.92001,1865849235.01005,1865849722.67714,1865850195.33762,1865851137.54283
"Population Liveweight (kg)","Overall",5151417545.05325,424829925.334756,3941423264.29187,4853511657.05459,5137223708.37285,5470577696.78674,6389212720.98902
"Population Liveweight (kg)","Neonatal Female",150669020.772027,33155193.2410456,54049308.6122697,126469685.529734,154084651.25503,176201835.283651,217787861.478042
"Population Liveweight (kg)","Neonatal Male",157527773.580306,41346196.3124479,47866378.8321088,127579353.667355,156981372.40302,188896908.392298,253297320.701745
"Population Liveweight (kg)","Juvenile Female",485459152.167338,102230767.720296,263211417.621538,408043288.444089,477843228.64918,553645343.042033,769379033.518117
"Population Liveweight (kg)","Juvenile Male",496745812.28479,116529787.249218,263789589.391622,409407846.878645,495632952.642611,579895981.93428,803035306.276504
"Population Liveweight (kg)","Juvenile Combined",982204964.452128,155957576.69224,589265959.109031,870750080.282982,975726657.939575,1087840803.9917,1460064972.54428
