"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1339289.89595841,129.62037983135,1338788.3182146,1339200.22422939,1339287.94948738,1339375.58746879,1339718.36634441
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",51473.4307172826,35.8279412493635,51338.4863772366,51448.2249796885,51473.6301068969,51498.5129408569,51583.4302332374
"Num Offtake","Juvenile Male",128739.015872067,90.3133962308684,128480.98399908,128676.458693748,128734.970680277,128799.376858557,129034.998086812
"Num Offtake","Juvenile Combined",180212.44658935,96.0911679956689,179844.828263765,180145.533837181,180213.132926526,180274.417753656,180516.067089281
"Num Offtake","Adult Female",161757.741334073,5.93192865323158,161736.908607752,161753.578572258,161757.666888084,161762.089991748,161775.59348637
"Num Offtake","Adult Male",88652.8458190741,34.6818838139104,88541.6541641223,88629.4260602398,88651.4686625914,88676.8809325124,88773.3221597306
"Num Offtake","Oxen",908666.862215918,0.567148550168595,908664.927178963,908666.476289315,908666.840969925,908667.26391222,908668.754613864
"Cml Pop Growth","Overall",1364381.16925901,5636.85935287778,1343307.50153487,1360598.19980961,1364591.41360198,1368031.64473059,1379890.14533249
"Cml Pop Growth","Neonatal Female",24769.2496708531,582.485091129113,23039.7380284308,24369.5611203334,24765.9741310086,25165.8300445295,26775.8611524156
"Cml Pop Growth","Neonatal Male",120506.711596788,582.485091129136,118777.199954366,120107.023046269,120503.436056944,120903.291970465,122513.323078352
"Cml Pop Growth","Neonatal Combined",145275.961267642,1164.97018225825,141816.937982796,144476.584166603,145269.410187953,146069.122014994,149289.184230767
"Cml Pop Growth","Juvenile Female",425368.143707004,3350.79155876932,414002.371076434,423041.66049893,425473.097081142,427722.237396644,436011.904148754
"Cml Pop Growth","Juvenile Male",498482.388426806,2839.70511946043,488808.24137307,496661.260705426,498464.418339948,500383.630884607,507143.449907159
"Cml Pop Growth","Juvenile Combined",923850.53213381,4427.33306523512,909078.286825066,920938.841812529,923871.742061158,926746.422166162,937027.072194754
"Cml Pop Growth","Adult Female",289329.696371949,861.245684542858,286084.556349779,288729.659281439,289329.674867276,289934.420037423,291969.595998325
"Cml Pop Growth","Adult Male",931599.087183354,700.638574279536,929578.171280775,931120.64998847,931559.904356692,932066.788209207,933876.506950594
"Cml Pop Growth","Oxen",-925674.107697745,17.5575657665493,-925730.219338128,-925685.945702166,-925674.809118916,-925662.078006581,-925613.092177764
"Total Number Increase","Overall",2703671.06521742,5722.6635749572,2682095.81974947,2699807.61857479,2703857.78408727,2707396.08610401,2719380.8319854
"Total Number Increase","Neonatal Female",24769.2496708531,582.485091129113,23039.7380284308,24369.5611203334,24765.9741310086,25165.8300445295,26775.8611524156
"Total Number Increase","Neonatal Male",120506.711596788,582.485091129136,118777.199954366,120107.023046269,120503.436056944,120903.291970465,122513.323078352
"Total Number Increase","Neonatal Combined",145275.961267642,1164.97018225825,141816.937982796,144476.584166603,145269.410187953,146069.122014994,149289.184230767
"Total Number Increase","Juvenile Female",476841.574424287,3377.95513442527,465375.126241351,474525.086540523,476944.831258299,479213.322334254,487574.191917215
"Total Number Increase","Juvenile Male",627221.404298873,2908.68842207958,617344.185396887,625319.706137208,627185.273567816,629182.141949062,636127.698147061
"Total Number Increase","Juvenile Combined",1104062.97872316,4490.20493661283,1088923.11508883,1101101.30371516,1104050.60553673,1106935.93699094,1117336.3358857
"Total Number Increase","Adult Female",451087.437706022,866.820789895912,447821.464957532,450483.477604745,451088.945122745,451696.054245033,453745.189484695
"Total Number Increase","Adult Male",1020251.93300243,733.208026216318,1018149.8194744,1019743.29190084,1020215.62273654,1020742.67708378,1022647.00618685
"Total Number Increase","Oxen",-17007.2454818265,18.1089897355911,-17065.2921591656,-17019.4689234782,-17007.9700389666,-16994.6984196111,-16944.3375638993
"Total Mortality","Overall",585461.020926515,5339.53061303527,569603.634580138,581744.431172384,585510.415194277,589122.007591262,605765.549237574
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",193114.74549075,4072.82971035601,180067.765586464,190371.232464186,192975.882968346,196002.532509685,207519.561514805
"Total Mortality","Juvenile Male",161008.089355065,3503.73433438788,150194.570377149,158727.346682609,161103.666922718,163336.476499586,172126.132893929
"Total Mortality","Juvenile Combined",354122.834845815,5343.5867049137,338248.697816458,350402.635609954,354168.245272272,357785.154799321,374456.088443095
"Total Mortality","Adult Female",161757.741334073,5.93192865323158,161736.908607752,161753.578572258,161757.666888084,161762.089991748,161775.59348637
"Total Mortality","Adult Male",6185.08226644703,2.41966631259839,6177.32470912481,6183.44832978417,6184.98618576219,6186.75913482645,6193.48759253934
"Total Mortality","Oxen",63395.3624801803,0.0395685035005189,63395.2274776021,63395.3355550684,63395.3609979017,63395.3905055037,63395.494507944
"Value of Total Mortality","Overall",9699186494.91804,76862680.0339055,9473464602.58047,9645213527.8423,9699915362.44206,9753982306.40657,9995859649.82444
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
