"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1341285.94319987,186.445102146011,1340630.27154328,1341166.77189594,1341285.50409967,1341416.55633664,1341831.52860668
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",51009.8524701602,51.2340802695089,50824.785455777,50976.2162046273,51012.1552953513,51045.9124039668,51193.6453804793
"Num Offtake","Juvenile Male",127446.248297838,135.260764776216,126982.357258381,127361.100951734,127451.119193541,127540.796633846,127812.039167091
"Num Offtake","Juvenile Combined",178456.100767999,143.093590041814,177942.679521602,178366.371899735,178454.382989808,178554.605772304,178869.856713871
"Num Offtake","Adult Female",161710.925701999,7.33648984990583,161683.400287925,161705.75400419,161711.285840587,161716.272082314,161735.435456595
"Num Offtake","Adult Male",88347.7812393629,45.1380440228428,88178.184866495,88317.9160629667,88348.8864902674,88379.4435128066,88477.9678076627
"Num Offtake","Oxen",912771.135490506,0.673652632022491,912768.601993656,912770.679905658,912771.148067583,912771.601430581,912773.183864906
"Cml Pop Growth","Overall",959845.2192486,19614.0805546008,900248.437955823,947453.616230316,960027.894111652,973201.885558126,1016073.85240232
"Cml Pop Growth","Neonatal Female",-130433.670625256,9730.70596293676,-157820.80324977,-136615.65043159,-129861.778037551,-123509.938733344,-106357.540209641
"Cml Pop Growth","Neonatal Male",-27741.2926243305,8828.57222559562,-60792.0708217314,-33799.6103383036,-27362.1609746583,-21576.3148024668,-5337.30313094822
"Cml Pop Growth","Neonatal Combined",-158174.963249586,13043.6505380127,-200209.40614232,-166584.455786441,-157957.208480844,-149110.472809658,-124139.894344975
"Cml Pop Growth","Juvenile Female",353767.201951935,5841.68106606591,330729.568764418,349863.481555928,354000.145900919,357769.599033493,372404.391471676
"Cml Pop Growth","Juvenile Male",431454.690226907,5104.61147754621,413960.955631561,428172.853018834,431738.945964464,434913.482715573,445647.598721735
"Cml Pop Growth","Juvenile Combined",785221.892178841,7662.40046233833,763237.578380827,780274.349923575,785357.783361981,790456.069777029,809461.58088962
"Cml Pop Growth","Adult Female",278028.936591679,1238.36244939809,273572.001285557,277210.548122712,278081.001069579,278899.167107559,282472.615862977
"Cml Pop Growth","Adult Male",921311.999034784,1059.42772464052,917658.583163841,920636.832293182,921355.796821683,922034.477592044,924152.866047663
"Cml Pop Growth","Oxen",-866542.645307118,22.9658705455094,-866628.854098396,-866557.764984088,-866542.06742499,-866526.559650981,-866476.349353412
"Total Number Increase","Overall",2301131.16244847,19710.1970704217,2241100.58363363,2288736.917404,2301361.64321057,2314532.8487174,2357612.01787488
"Total Number Increase","Neonatal Female",-130433.670625256,9730.70596293676,-157820.80324977,-136615.65043159,-129861.778037551,-123509.938733344,-106357.540209641
