"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",409092.211850155,590.924949799746,407760.484189519,408669.300017268,409030.83854512,409434.010023139,411393.547687488
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",18314.5471257554,113.696042726088,18054.1891831812,18233.3407162271,18303.0082298844,18380.6654364686,18750.4976034208
"Num Offtake","Juvenile Male",39635.5824520623,312.326859440538,38919.6413925557,39412.2701301918,39604.2503176559,39817.0927271882,40831.6302490977
"Num Offtake","Juvenile Combined",57950.1295778176,426.022147208196,56973.830575737,57645.489647779,57907.3062827746,58198.1363247131,59582.1278525184
"Num Offtake","Adult Female",45970.9235728358,13.2369215657919,45943.1129798587,45961.2768521025,45969.173862701,45978.5275373417,46023.7640347294
"Num Offtake","Adult Male",305171.158699501,154.555536913608,304843.540633924,305058.611047709,305150.800600525,305258.430769964,305787.65580024
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",499837.49972483,34587.5881951893,402943.862671562,475634.815134178,498353.268472765,522938.712431596,637458.992842394
"Cml Pop Growth","Neonatal Female",107794.621870119,11823.0314293633,76485.3292325268,99636.9663999536,107353.560981513,115675.644568835,158056.557278392
"Cml Pop Growth","Neonatal Male",155941.346708668,11823.0314293633,124632.054071076,147783.691238503,155500.285820063,163822.369407384,206203.282116942
"Cml Pop Growth","Neonatal Combined",263735.968578787,23646.0628587265,201117.383303603,247420.657638457,262853.846801576,279498.013976219,364259.839395334
"Cml Pop Growth","Juvenile Female",183519.318511428,5888.33064541337,168439.021641001,179411.938436869,183044.30298658,187205.219337108,203226.434274193
"Cml Pop Growth","Juvenile Male",155641.377989617,5721.99030073053,140949.253586323,151626.702026617,155205.518652113,159282.740452173,174984.838211139
"Cml Pop Growth","Juvenile Combined",339160.696501044,11610.1600555863,309388.275227325,331042.363534711,338266.348547346,346481.684617068,378211.272485333
"Cml Pop Growth","Adult Female",60556.3417299917,1102.61859282918,58026.9238855225,59769.4582007645,60447.2361146664,61195.3926675288,64774.9386082632
"Cml Pop Growth","Adult Male",-163615.507084993,965.181065554279,-165844.821374796,-164301.203191235,-163708.63871909,-163071.728846407,-159960.404910606
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",908929.711574985,35007.9427426359,810803.495898767,884432.682453262,907650.867406697,931997.250255056,1047714.02689977
"Total Number Increase","Neonatal Female",107794.621870119,11823.0314293633,76485.3292325268,99636.9663999536,107353.560981513,115675.644568835,158056.557278392
"Total Number Increase","Neonatal Male",155941.346708668,11823.0314293633,124632.054071076,147783.691238503,155500.285820063,163822.369407384,206203.282116942
"Total Number Increase","Neonatal Combined",263735.968578787,23646.0628587265,201117.383303603,247420.657638457,262853.846801576,279498.013976219,364259.839395334
"Total Number Increase","Juvenile Female",201833.865637183,5994.20556080036,186508.663637188,197668.24952789,201333.84379014,205588.111372848,221757.866682141
"Total Number Increase","Juvenile Male",195276.960441679,6012.779310375,179910.620343175,191098.963370605,194765.466106901,199035.170357488,215221.850523124
"Total Number Increase","Juvenile Combined",397110.826078862,12006.9790180897,366419.283980363,388774.068426752,396102.827880617,404620.116602095,436979.717205265
"Total Number Increase","Adult Female",106527.265302828,1115.48978206703,103970.036865381,105729.87047662,106415.351597052,107175.03944628,110798.702642993
"Total Number Increase","Adult Male",141555.651614508,1115.45306943049,138998.719259127,140758.107607828,141443.751134485,142203.902597101,145827.250889634
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",709065070.478697,51174474.5812508,565310204.517403,674950357.091177,712222484.476841,745518946.649599,837998921.553555
"Population Liveweight (kg)","Neonatal Female",48269051.4811027,11038059.8739485,15197974.5730813,39984442.306042,49107338.5336043,56786661.5231059,70780842.6788738
"Population Liveweight (kg)","Neonatal Male",49183360.2103298,11060378.6904287,17217894.1519982,41991792.7243608,50807697.4912254,57519585.5702418,73372855.7298516
"Population Liveweight (kg)","Juvenile Female",99168619.2167834,17049537.7539814,52263464.8649088,86427996.2484233,100397657.812629,111885481.613979,140785666.757425
"Population Liveweight (kg)","Juvenile Male",84827801.8582695,15006602.6536343,44348452.8673347,73996041.76293,85280152.9065711,96029618.8070528,118255555.957336
"Population Liveweight (kg)","Juvenile Combined",183996421.075053,22855351.2343631,113366250.787269,168327790.463781,184134148.218344,200207323.042463,251405871.219527
"Population Liveweight (kg)","Adult Female",276015966.123953,34203409.6809395,174528794.707545,252963638.435306,281936554.979914,303448511.541139,333903104.865612
"Population Liveweight (kg)","Adult Male",151600271.588258,25648105.9598317,77400222.1092175,133392121.373889,154373712.572802,171617381.474332,200597784.74908
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",140918958.840613,19514103.1040227,80137057.230327,127772999.103215,142998962.705878,155742397.466416,178568580.805232
"Offtake Liveweight (kg)","Juvenile Female",3933867.17516477,671799.384127142,2053003.90700608,3435509.70672646,3963236.90967701,4420092.51778239,5461878.81270831
"Offtake Liveweight (kg)","Juvenile Male",9194677.01510989,1495731.78488086,4713402.64117432,8177147.13583766,9295137.58546775,10275173.1079142,12482952.4791225
"Offtake Liveweight (kg)","Adult Female",13196018.9595694,1655903.59884707,8335897.95852973,12001637.6882791,13385438.3180389,14536504.0078981,16088001.5180531
"Offtake Liveweight (kg)","Adult Male",114594395.690769,19265658.9623676,54223363.3262395,101307463.27425,117436096.815474,129907115.858973,152194262.43629
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",451024127.441044,19960065.416792,379761642.552258,437870301.492796,451717150.566686,464637570.095628,510155032.966815
"Manure","Overall",1403432252.49279,44820580.5139176,1241249269.88296,1374089984.5886,1404575630.38342,1434575839.09033,1556896189.22346
"Manure","Neonatal Female",92218295.7493584,2930716.24252655,83794794.8071287,90212858.9441625,92173527.1111774,94227298.0475872,101136904.241297
"Manure","Neonatal Male",81742666.4763977,2695240.04155845,73312532.0805991,79889194.6136735,81770260.7482991,83577830.6389429,91264043.098776
"Manure","Neonatal Combined",173960962.225756,4766300.34752578,160564176.66319,170661415.441603,173861765.718265,177184815.800107,189312373.983865
"Manure","Juvenile Female",157959909.992114,5303524.29209454,142718947.818085,154077930.793233,157936488.982264,161434964.770822,174090238.820447
"Manure","Juvenile Male",122363246.242428,4273743.18567063,109246168.832785,119400492.098118,122431654.895048,125244586.078917,136509943.002694
"Manure","Juvenile Combined",280323156.234543,7007234.42895801,256568267.03536,275692643.432553,280074810.955628,284990636.810538,302883604.198886
"Manure","Adult Female",631348708.12398,38994802.2871313,499240200.567834,609382110.856824,632318466.40202,654975275.819228,765342459.965354
"Manure","Adult Male",317799425.908511,19408720.6489336,250193771.897746,305365334.426841,317170367.851979,329430633.387271,374064484.132114
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",252229706.792033,53800814.3405487,101235342.596602,213451912.456424,248814815.540208,286807232.617235,457561110.159345
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",6317997599.98775,137146750.259003,5914247831.84453,6225966864.21594,6320722032.243,6410378558.69643,6733001843.48367
"Cml Dry Matter","Neonatal Female",409148010.853839,27881803.4699237,326161834.346644,389636151.689286,410696851.522356,428781047.26024,499501786.098492
"Cml Dry Matter","Neonatal Male",390572213.500071,27537739.7301896,304318914.740925,372207040.854226,390842864.719725,409360405.031912,469598852.602988
"Cml Dry Matter","Neonatal Combined",799720224.353909,40277621.6304694,655947155.098971,773225472.342273,799224207.90878,825902923.932273,929649476.603087
"Cml Dry Matter","Juvenile Female",761379861.156086,39068909.4922163,620191841.917212,734135699.135338,761424778.114232,788357861.049928,873917392.207679
"Cml Dry Matter","Juvenile Male",641285244.815459,31304409.3075282,520019774.034515,619848784.982324,639962301.762024,663273378.443748,732829653.351856
"Cml Dry Matter","Juvenile Combined",1402665105.97154,51270526.1983639,1208089821.28075,1367913127.37162,1404077135.7551,1437629444.77364,1567090347.90978
"Cml Dry Matter","Adult Female",2490708546.06125,90375693.2461396,2197058879.99378,2429314041.63499,2492778975.86929,2550626832.11099,2759784072.89445
"Cml Dry Matter","Adult Male",1624903723.60105,79846457.0172137,1353700178.8147,1569412914.19944,1623643522.28806,1680896510.9084,1840355048.20953
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
