"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",397633.290616133,19.4286601783241,397564.822486218,397619.218800852,397633.185358598,397646.846852049,397696.539616946
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16277.2598151344,5.62230063498598,16259.7121993134,16273.583855785,16277.260940611,16280.8494854898,16294.2854194096
"Num Offtake","Juvenile Male",34568.1586434512,11.4985415053412,34529.0562877941,34560.2775208132,34568.5152882991,34576.3888862003,34609.9479720913
"Num Offtake","Juvenile Combined",50845.4184585856,13.092171466599,50797.2172888681,50836.841471656,50845.3424140416,50854.5501519948,50884.4685264705
"Num Offtake","Adult Female",43982.2816491289,0.785993548912151,43979.7188862923,43981.7819272536,43982.3120937827,43982.7570736712,43984.8574000368
"Num Offtake","Adult Male",302805.590508419,6.7060979531501,302786.480616005,302801.104853794,302805.787599057,302810.184626912,302831.907104045
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-211457.932390232,807.969258513451,-214245.463318885,-212033.442538303,-211478.949182344,-210908.938158419,-208904.878546841
"Cml Pop Growth","Neonatal Female",-85766.7553179037,395.806971446352,-86955.315487228,-86032.9431705663,-85751.1350251702,-85491.4057538883,-84671.1424749533
"Cml Pop Growth","Neonatal Male",-34165.8318851324,339.537898269904,-35183.7514218468,-34380.7915048985,-34172.5111799577,-33935.6430683596,-33107.0540191164
"Cml Pop Growth","Neonatal Combined",-119932.587203036,527.098357150567,-121882.695316047,-120289.483563025,-119935.979689582,-119573.533148038,-118175.064922751
"Cml Pop Growth","Juvenile Female",68967.6224289424,248.632387253054,68153.6250404448,68802.7845269721,68970.3960714742,69138.5557382153,69744.6565383836
"Cml Pop Growth","Juvenile Male",52536.5066661487,191.844836919697,51830.7859877548,52406.1519886619,52535.4910963058,52673.0005441315,53151.1487812509
"Cml Pop Growth","Juvenile Combined",121504.129095091,320.18612865151,120356.763699536,121289.337716073,121502.410395229,121715.304661304,122432.496283307
"Cml Pop Growth","Adult Female",-33681.5932147652,52.8999535370942,-33848.0069061128,-33716.8014143116,-33681.8218262621,-33648.0217367084,-33522.6118432431
"Cml Pop Growth","Adult Male",-179347.881067522,34.7863321978335,-179468.422445312,-179371.989794507,-179346.736024923,-179323.271203643,-179224.950060862
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",186175.358225901,818.405375244826,183319.359167333,185594.232015638,186160.997024187,186720.712027913,188749.732179348
"Total Number Increase","Neonatal Female",-85766.7553179037,395.806971446352,-86955.315487228,-86032.9431705663,-85751.1350251702,-85491.4057538883,-84671.1424749533
"Total Number Increase","Neonatal Male",-34165.8318851324,339.537898269904,-35183.7514218468,-34380.7915048985,-34172.5111799577,-33935.6430683596,-33107.0540191164
"Total Number Increase","Neonatal Combined",-119932.587203036,527.098357150567,-121882.695316047,-120289.483563025,-119935.979689582,-119573.533148038,-118175.064922751
"Total Number Increase","Juvenile Female",85244.8822440768,253.475022534683,84413.3372397583,85076.2365098349,85246.8217988261,85417.4546537457,86037.2881771002
"Total Number Increase","Juvenile Male",87104.6653095999,201.556500214337,86359.8422755489,86968.5803332857,87105.1057973169,87247.4693012439,87751.0071003589
"Total Number Increase","Juvenile Combined",172349.547553677,330.261107803527,171153.980988404,172127.702098476,172351.08631263,172569.137144264,173299.707225884
"Total Number Increase","Adult Female",10300.6884343637,53.6418429295504,10132.2458325246,10264.8993724334,10300.5173545854,10334.8960366147,10462.193986012
"Total Number Increase","Adult Male",123457.709440897,41.066219661927,123318.058170693,123429.562574333,123458.983172497,123487.103165001,123606.957043183
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",206721.021927449,781.561700812215,204380.305617737,206175.243486067,206717.199995444,207252.236726984,209391.1732432
"Total Mortality","Neonatal Female",36674.6098336959,595.230785899199,35055.0779951533,36282.0212801844,36654.2483333825,37075.9970881416,38630.4401821554
"Total Mortality","Neonatal Male",30771.7170231665,501.350349527994,29234.3954769336,30422.3711716643,30771.2555618527,31094.6100467189,32475.636148675
"Total Mortality","Neonatal Combined",67446.3268568624,766.140769855156,65093.6197442739,66936.2362201938,67456.6753337265,67984.5983668949,70421.0777332631
"Total Mortality","Juvenile Female",34174.7565397364,173.109262784429,33673.3364967356,34056.2323813563,34172.2772538007,34291.3763104803,34710.7694344801
"Total Mortality","Juvenile Male",25931.8315624179,123.422430617865,25494.5345328123,25849.8957951868,25932.5845446658,26016.6227037841,26309.0183024698
"Total Mortality","Juvenile Combined",60106.5881021543,214.834254297626,59399.4587248618,59957.2677321755,60111.7341092129,60256.9710662934,60749.4732273033
"Total Mortality","Adult Female",79168.106968432,1.41478838804219,79163.4939953261,79167.2074690564,79168.1617688088,79168.9627326082,79172.7433200662
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2680039897.33923,7094668.65538673,2659474527.47514,2675171444.52693,2680063949.13007,2684679095.87653,2704344356.16435
"Value of Total Mortality","Neonatal Female",321593648.724388,5219481.30159882,307392239.205814,318151103.979026,321415102.062024,325113347.837589,338744004.812677
"Value of Total Mortality","Neonatal Male",271570137.649641,4424575.44145199,258002788.6581,268487049.99131,271566065.107559,274419770.732716,286607762.982989
"Value of Total Mortality","Neonatal Combined",593163786.374028,6736040.04930535,572465984.980484,588673069.320024,593265427.967911,597877291.302421,619337362.956718
"Value of Total Mortality","Juvenile Female",420494486.672884,2129978.32210516,414324892.945305,419036136.704,420463980.93788,421929404.594768,427089719.231841
"Value of Total Mortality","Juvenile Male",357424318.711467,1701159.36744078,351396954.523746,356294979.439376,357434697.236652,358593014.253184,362623169.138424
"Value of Total Mortality","Juvenile Combined",777918805.384352,2755451.91264477,768870901.764956,776031254.723005,778018209.751683,779890069.601699,786110672.034296
"Value of Total Mortality","Adult Female",1308957305.58085,23391.9651144038,1308881035.15986,1308942433.35106,1308958211.64462,1308971454.69737,1309033962.54001
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",331388367.824493,68279217.8731246,132488419.43673,279301689.149405,328719619.221684,385878446.689344,499655569.461222
"Population Liveweight (kg)","Neonatal Female",12490752.4436987,7171040.19949261,242746.409065871,6327915.50268192,12634848.6459108,18756363.6274273,24401512.6077056
"Population Liveweight (kg)","Neonatal Male",11275823.1341479,6387173.06812835,219872.814619731,5948345.59655323,11366497.2289841,16979300.4180343,22104500.1661646
"Population Liveweight (kg)","Juvenile Female",32161311.3169092,18444000.8037097,351386.663055243,16180876.1608048,32729561.2619021,47840440.5338766,63356657.6048494
"Population Liveweight (kg)","Juvenile Male",24114982.3939312,13713946.3478683,268934.706923757,12391063.7199011,24463973.1598132,35490621.7657678,48395135.5642756
"Population Liveweight (kg)","Juvenile Combined",56276293.7108404,22903315.7536923,1944785.68779679,40488520.8548094,57298349.1503321,73417510.0117375,109908739.830801
"Population Liveweight (kg)","Adult Female",104826927.94373,59463355.0277441,864920.794521095,52761906.409891,105960881.54301,155054062.452522,207608923.965687
"Population Liveweight (kg)","Adult Male",146518570.592076,23676346.5486672,68490076.9866459,130187445.35762,148962919.892321,164670602.304457,193016575.195287
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",122361889.131534,19219022.1814176,66202537.4946792,108605210.034172,123542785.901337,137503379.703446,162250534.425124
"Offtake Liveweight (kg)","Juvenile Female",1499152.04102314,870795.57584912,16274.183542182,748650.200748563,1531081.80027552,2246214.48220032,2931164.20836559
"Offtake Liveweight (kg)","Juvenile Male",3110642.30018866,1790098.52991832,34553.6138758091,1521419.53492241,3147021.84326025,4608094.04332735,6226695.66285001
"Offtake Liveweight (kg)","Adult Female",5185245.67253478,3065751.071387,43982.2999885552,2419031.05126215,5101891.94269654,7828731.53833291,10556299.4660094
"Offtake Liveweight (kg)","Adult Male",112566849.117788,18964628.4818895,54612652.3043224,98771460.0846074,114046819.502802,127521918.92912,149036625.667805
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",401298159.526842,19350773.7355206,318876104.271181,388507432.505734,401612483.072508,414342319.056986,453323925.258071
"Manure","Overall",1273878307.27425,41727440.4930159,1135427641.01729,1244498097.58541,1276849711.26926,1301539320.33006,1397364670.18502
"Manure","Neonatal Female",64370737.4833233,1590455.03345241,59458612.4676734,63305963.3662927,64363002.8972438,65433297.6581825,68844094.5141479
"Manure","Neonatal Male",54711176.6505442,1397296.36451378,50148029.0250953,53774705.880622,54665107.3644005,55696076.4683705,59280689.434941
"Manure","Neonatal Combined",119081914.133868,2141292.43358317,112135968.611235,117517629.913707,119118755.649745,120574561.487829,125853549.432795
"Manure","Juvenile Female",137600771.510511,4632353.83686609,123394378.820499,134489523.64143,137287049.487232,140683461.870425,153049975.233959
"Manure","Juvenile Male",104391200.96297,3426893.92260686,93361387.9020433,102168868.322927,104392540.661178,106629462.17289,114024494.474475
"Manure","Juvenile Combined",241991972.473481,5788600.83647436,226937897.989359,237791431.976155,241920994.792936,245879281.76325,260593101.301746
"Manure","Adult Female",599004766.926689,36983333.003986,494239400.293406,578530953.692304,599825936.403759,620991465.901666,705147505.160857
"Manure","Adult Male",313799653.740215,19487116.9295101,256729972.07142,300705954.169141,313866001.195548,325904231.122884,379386550.683189
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",69637.3475352932,107.116210970111,69283.8845332956,69563.3007078032,69639.8008203486,69712.1877662675,69957.166939362
"Hides","Juvenile Female",17087.3782698682,86.5546313922145,16836.6682483678,17028.1161906782,17086.1386269004,17145.6881552401,17355.38471724
"Hides","Juvenile Male",12965.915781209,61.7112153089326,12747.2672664061,12924.9478975934,12966.2922723329,13008.311351892,13154.5091512349
"Hides","Juvenile Combined",30053.2940510772,107.417127148813,29699.7293624309,29978.6338660878,30055.8670546064,30128.4855331467,30374.7366136517
"Hides","Adult Female",39584.053484216,0.707394194021094,39581.746997663,39583.6037345282,39584.0808844044,39584.4813663041,39586.3716600331
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",88544919.4445457,15270042.8076673,37361551.7944265,77929318.5651053,89071607.8986389,99089529.1614708,136234546.274203
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",3513676215.29908,184808225.514229,2877333056.34811,3385708401.5694,3515804520.38875,3643871144.20587,4045878213.10871
