"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",387228.816093313,15.4505062958712,387178.239502293,387218.662447133,387228.658788241,387239.333936105,387278.303160467
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16928.5707286778,4.32020105491742,16915.2285401531,16925.5943589004,16928.5628730594,16931.6431603972,16942.3040742797
"Num Offtake","Juvenile Male",35922.3218589243,9.69381394833788,35894.3472298745,35915.7096752089,35922.4355253394,35929.0584184833,35952.4515807064
"Num Offtake","Juvenile Combined",52850.8925876021,10.8052752808072,52813.2457972132,52843.3558191631,52850.6729080368,52858.0922264946,52885.1537282884
"Num Offtake","Adult Female",44070.7135289699,0.507164160749202,44069.302333153,44070.3638993239,44070.7206510827,44071.063018509,44072.2732680189
"Num Offtake","Adult Male",290307.209976741,4.81043653599966,290292.869535519,290303.943626655,290307.214681655,290310.554684019,290321.913757557
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-190068.866801432,776.887391345987,-192971.753457314,-190590.09755781,-190047.346509999,-189521.013155749,-187731.807633429
"Cml Pop Growth","Neonatal Female",-85359.4123530384,394.690118377272,-86879.5438945526,-85600.9805733614,-85348.0660936162,-85092.6469908651,-84205.7463506148
"Cml Pop Growth","Neonatal Male",-33705.6971307137,329.574376756302,-34849.3187870462,-33943.3906772146,-33689.8078075488,-33497.0588406356,-32638.1795267495
"Cml Pop Growth","Neonatal Combined",-119065.109483752,514.47159311151,-121125.506662735,-119385.454040479,-119040.655899164,-118719.386355926,-117554.469214118
"Cml Pop Growth","Juvenile Female",96070.9313454051,214.00610780071,95382.2999097032,95917.4402913927,96070.927673123,96229.0962652248,96780.323704919
"Cml Pop Growth","Juvenile Male",72398.5461986818,170.203685127641,71907.9441235508,72281.836939496,72401.2517162045,72515.8729259113,72992.6704243746
"Cml Pop Growth","Juvenile Combined",168469.477544087,275.992966608949,167368.784145361,168284.160588727,168470.954779686,168656.904737803,169282.56797983
"Cml Pop Growth","Adult Female",-27563.4798092879,40.9912590698383,-27690.6765260564,-27591.7994238037,-27563.5735871337,-27534.2652306102,-27432.8223632699
"Cml Pop Growth","Adult Male",-211909.755052478,29.1323067713476,-211993.1770825,-211929.36241727,-211909.284158581,-211889.646141694,-211819.3798964
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",197159.949291882,786.306012812492,194231.595954042,196630.022654266,197182.98182345,197722.308197794,199535.532978743
"Total Number Increase","Neonatal Female",-85359.4123530384,394.690118377272,-86879.5438945526,-85600.9805733614,-85348.0660936162,-85092.6469908651,-84205.7463506148
"Total Number Increase","Neonatal Male",-33705.6971307137,329.574376756302,-34849.3187870462,-33943.3906772146,-33689.8078075488,-33497.0588406356,-32638.1795267495
"Total Number Increase","Neonatal Combined",-119065.109483752,514.47159311151,-121125.506662735,-119385.454040479,-119040.655899164,-118719.386355926,-117554.469214118
"Total Number Increase","Juvenile Female",112999.502074083,218.054283983358,112297.528449856,112841.884856457,113000.175829593,113160.866005203,113722.627779199
"Total Number Increase","Juvenile Male",108320.868057606,179.222100506194,107803.075257585,108197.131750117,108322.997044749,108443.533566922,108943.474588162
"Total Number Increase","Juvenile Combined",221320.370131689,285.084957869271,220182.029942574,221128.78806599,221322.141146093,221513.213557104,222155.418051322
"Total Number Increase","Adult Female",16507.233719682,41.4856917962686,16378.6433084781,16478.7016000812,16507.1653830307,16536.7765170811,16639.3857948049
"Total Number Increase","Adult Male",78397.454924263,33.8127271887406,78300.0102981347,78374.3623308843,78397.9343677371,78421.0894012387,78502.5338611568
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",196527.632362235,771.137235596526,194180.796530398,195997.535856849,196514.99349774,197023.257051858,199148.263363493
"Total Mortality","Neonatal Female",36643.5884267112,601.25908077993,34938.2646684773,36240.7742092354,36618.2962521225,37022.129524436,38564.3905086738
"Total Mortality","Neonatal Male",30660.2078686254,496.310278115284,29024.6110645653,30321.0854727852,30637.877928677,30970.4130007927,32005.4237988337
"Total Mortality","Neonatal Combined",67303.7962953366,771.956874120758,64953.7101686507,66774.0899047006,67290.9056379548,67800.6237580422,69926.3449148263
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",79327.2843521458,0.912895489348865,79324.7441996754,79326.655018783,79327.2971719488,79327.9134333162,79330.091882434
"Total Mortality","Adult Male",49896.5517147524,0.826793779624957,49894.0869514173,49895.9903108313,49896.5525234094,49897.1265863158,49899.0789270801
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",3486082029.04989,7345070.30772107,3465274080.01011,3481029310.82111,3485823155.26716,3490871230.59372,3511881216.56223
"Value of Total Mortality","Neonatal Female",396768987.038815,6510305.53151406,378304103.844284,392407400.308511,396495128.748118,400867749.58761,417567023.723641
"Value of Total Mortality","Neonatal Male",220505573.523901,3569420.7616122,208742502.220584,218066634.469411,220344978.519582,222736542.109362,230180250.599642
"Value of Total Mortality","Neonatal Combined",617274560.562716,7361839.6741934,596402089.867249,612236299.879979,617027079.135326,622087871.301468,643119497.887904
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",1211378348.57117,13940.4977661474,1211339558.81895,1211368738.24837,1211378544.33776,1211387955.04284,1211421221.35362
"Value of Total Mortality","Adult Male",1657429119.916,27463.8635220692,1657347247.11348,1657410471.58912,1657429146.77741,1657448215.60171,1657513067.10594
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",278430969.80502,68955359.5257745,112451044.901781,228421950.888469,277263912.153744,331479184.613069,444073810.27541
"Population Liveweight (kg)","Neonatal Female",12089199.2926384,6854244.58365296,243176.223481226,6086709.26096459,12302467.7452615,17784678.4702971,24426175.4513946
