"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",387227.437656028,15.4203966514857,387173.193720538,387217.207818907,387227.26667351,387238.148840001,387272.643378737
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16928.6147702771,4.37941253820317,16913.0161812825,16925.5408548631,16928.3902974167,16931.6003250054,16941.8423098891
"Num Offtake","Juvenile Male",35921.3334075327,9.76553144424617,35887.1393971297,35915.3479894637,35921.4760715511,35928.2934553177,35948.5924879823
"Num Offtake","Juvenile Combined",52849.9481778098,10.8137825526217,52812.864399092,52842.8659303098,52849.9238863632,52857.6311179081,52881.6885299968
"Num Offtake","Adult Female",44070.7263411584,0.514835333041691,44069.0942551383,44070.3631209006,44070.7200841327,44071.0982503456,44072.2419934305
"Num Offtake","Adult Male",290306.76313706,4.78074840715462,290289.790946141,290303.868820841,290306.755846736,290310.028593599,290321.427850406
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-190137.946792167,822.540941349058,-193269.399072471,-190693.551843203,-190132.409404599,-189578.872906115,-187636.680767745
"Cml Pop Growth","Neonatal Female",-85368.1106781685,407.625296811884,-86718.0144264052,-85660.0435926831,-85367.0741279409,-85080.7053397174,-84111.7704693543
"Cml Pop Growth","Neonatal Male",-33742.1691554288,344.115481336837,-34773.3567584897,-33963.8391665487,-33743.242499189,-33499.9670451964,-32625.4751055976
"Cml Pop Growth","Neonatal Combined",-119110.279833597,547.971625437199,-121229.524263619,-119484.23344783,-119090.322140107,-118728.970420506,-117303.246778143
"Cml Pop Growth","Juvenile Female",96068.4157516652,217.272285300047,95205.8436059103,95913.1351451525,96067.7393002942,96217.2121031746,96731.5667207685
"Cml Pop Growth","Juvenile Male",72379.775506603,175.840818091182,71822.3908475047,72272.7191760816,72380.7922744011,72495.2795660789,72876.3054026013
"Cml Pop Growth","Juvenile Combined",168448.191258268,282.835127484787,167492.390120759,168267.21670481,168432.60310507,168642.879562532,169294.07300177
"Cml Pop Growth","Adult Female",-27563.0966210704,41.5485106989301,-27711.7925267922,-27592.1160108493,-27565.3073670217,-27534.5717016635,-27437.4078105565
"Cml Pop Growth","Adult Male",-211912.761595768,29.4025318599991,-212014.99377526,-211930.387945114,-211912.248668149,-211891.602868048,-211830.791749198
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",197089.490863861,832.550530313783,193933.369496897,196535.407724224,197088.118958799,197654.217779065,199615.15608244
"Total Number Increase","Neonatal Female",-85368.1106781685,407.625296811884,-86718.0144264052,-85660.0435926831,-85367.0741279409,-85080.7053397174,-84111.7704693543
"Total Number Increase","Neonatal Male",-33742.1691554288,344.115481336837,-34773.3567584897,-33963.8391665487,-33743.242499189,-33499.9670451964,-32625.4751055976
"Total Number Increase","Neonatal Combined",-119110.279833597,547.971625437199,-121229.524263619,-119484.23344783,-119090.322140107,-118728.970420506,-117303.246778143
"Total Number Increase","Juvenile Female",112997.030521942,221.384739265265,112118.859787193,112839.306848849,112995.842633614,113149.302437573,113672.636405075
"Total Number Increase","Juvenile Male",108301.108914136,185.030990552745,107709.530244634,108190.011002243,108302.524754687,108424.666361409,108818.720077695
"Total Number Increase","Juvenile Combined",221298.139436078,292.039618438512,220314.395064951,221108.111538537,221280.441113056,221500.697806827,222165.940803489
"Total Number Increase","Adult Female",16507.6297200881,42.0507533214297,16357.3017283462,16478.2961079306,16505.4021189161,16536.4777525966,16634.7931393199
"Total Number Increase","Adult Male",78394.0015412918,34.0713855025722,78274.7971708809,78373.2351339307,78394.6428595851,78418.2419440312,78489.0990782544
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",196608.773634755,802.409788181866,194164.010337433,196047.296436168,196613.30249325,197095.232431456,199606.885517252
"Total Mortality","Neonatal Female",36659.669987062,614.858563863705,34936.9630056656,36220.0253460453,36655.2910742032,37116.2821345157,39128.3455217856
"Total Mortality","Neonatal Male",30725.3213194254,510.947767330943,29112.8933916566,30395.2009589844,30704.8243816579,31048.9248247393,32385.5674338697
"Total Mortality","Neonatal Combined",67384.9913064874,803.251858558862,64938.5818260974,66822.4304816036,67389.8184307311,67872.042648996,70386.316801411
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",79327.3074140852,0.926703599475166,79324.369659249,79326.6536176211,79327.2961514388,79327.9768506221,79330.0355881749
"Total Mortality","Adult Male",49896.4749141822,0.82169113247975,49893.5578188679,49895.9774535821,49896.4736611578,49897.0361645249,49898.9954117885
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",3759478755.67644,7986664.30755916,3734385704.74475,3754022567.08566,3759650512.51529,3764346324.77865,3787347851.99331
"Value of Total Mortality","Neonatal Female",324742350.964795,5446601.55452586,309482095.884496,320847846.885428,324703561.241458,328787158.304728,346610619.206117
"Value of Total Mortality","Neonatal Male",349836209.243969,5817613.0425597,331477225.522842,346077483.524219,349602832.644417,353520734.538925,368739647.260158
"Value of Total Mortality","Neonatal Combined",674578560.208764,8007797.36314003,649439175.759046,669103835.255869,674743378.438287,679430698.117471,702511541.036591
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",1486422028.00142,17364.4194993009,1486366980.8349,1486409777.2709,1486421816.96381,1486434571.79306,1486473148.07842
"Value of Total Mortality","Adult Male",1598478167.46625,26323.6097926453,1598384715.71079,1598462230.87133,1598478127.32449,1598496147.62258,1598558913.85969
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",274794741.639284,70623981.8034167,76572146.6746723,219100007.218559,276784582.293809,330681541.804216,445317068.088396
"Population Liveweight (kg)","Neonatal Female",12481066.6380311,6959004.37672568,243331.519026028,6344392.47664138,12684683.1983829,18282301.8298417,24414737.4701547
"Population Liveweight (kg)","Neonatal Male",11266091.776148,6387479.1616953,220549.525151892,5730861.32466346,11265183.4369606,16999023.9465371,22142107.5838138
"Population Liveweight (kg)","Juvenile Female",34189726.844371,19945852.5318959,378344.936576022,16661015.5279898,33687178.9221388,52026117.7606453,68263534.228679
"Population Liveweight (kg)","Juvenile Male",67201688.195851,11306654.4253429,37853295.0527023,59154635.0612084,67732438.310891,75577550.5663608,89891407.2580653
"Population Liveweight (kg)","Juvenile Combined",101391415.040222,23096496.9827113,45532119.0952747,83626839.7188753,101146045.666686,119201077.524433,157562829.269753
"Population Liveweight (kg)","Adult Female",105708835.576211,62434976.4574639,871091.936068904,50520094.7740946,105839848.750571,162022657.389006,209081285.448957
"Population Liveweight (kg)","Adult Male",43947332.6086712,24733368.6520172,355331.918663743,22387565.863862,44412328.8798281,65391190.403599,85295866.8880203
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",49431445.1943233,20620223.3996308,10207703.0716744,32230082.7024022,48742963.3356712,67258171.5481167,91289337.6989929
"Offtake Liveweight (kg)","Juvenile Female",1540159.85656686,867493.822388849,16931.5785459261,795725.485276665,1523547.48672693,2284911.70024549,3047263.93985828
"Offtake Liveweight (kg)","Juvenile Male",8361224.00351804,1415507.98537887,4373590.94312986,7407003.89610012,8436392.94297994,9447392.51624427,11353436.0751727
"Offtake Liveweight (kg)","Adult Female",5192854.25094262,3067427.03816277,44070.2602873423,2556102.26528255,5090149.38566929,7976745.37468097,10577137.6389286
"Offtake Liveweight (kg)","Adult Male",34337207.0832958,20091230.5337655,290302.901254595,17128038.3821223,33675216.6932708,52619313.0250375,69675212.0899839
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",159929497.051397,21780302.5981545,85464028.9683389,145293439.611403,160256956.598207,174774282.877906,224859864.861005
"Manure","Overall",1266661664.91781,42005832.2034352,1137408993.3347,1238866171.01902,1267031872.4909,1293129204.94688,1403703375.57203
"Manure","Neonatal Female",64506347.444729,1661245.13877494,58378970.9663026,63373818.8282269,64549085.9914516,65658092.5857397,68807378.7720321
"Manure","Neonatal Male",54670525.8212558,1388679.38214832,50284671.9068641,53753456.7250173,54664555.1016152,55616811.6561062,58542440.8667027
"Manure","Neonatal Combined",119176873.265985,2100181.22591042,112113820.076249,117767651.024607,119219120.018291,120626717.467544,124430762.231453
"Manure","Juvenile Female",143909073.515638,4834745.29117249,130829142.793418,140492706.498301,143893444.783239,147163281.277576,158737386.864589
"Manure","Juvenile Male",108715640.823614,3642482.93718919,96126537.7593068,106196298.978245,108809790.747135,111318058.377395,120066732.374879
"Manure","Juvenile Combined",252624714.339253,6020109.20127981,235648426.409031,248546164.013258,252675191.002366,256863227.857515,270632112.986706
"Manure","Adult Female",598121194.201062,36985639.1021993,495678391.10286,579860065.844704,601182089.104973,622518451.826494,727910725.34166
"Manure","Adult Male",296738883.111512,18568699.8836099,235408986.060945,285600314.989913,297326017.338331,308663130.885863,352162985.322348
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",64611.8911641337,0.628028551841669,64610.0549670474,64611.4656728023,64611.8650493893,64612.3066701357,64613.8185013746
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",39663.6537070426,0.463351799737583,39662.1848296245,39663.3268088105,39663.6480757194,39663.988425311,39665.0177940875
"Hides","Adult Male",24948.2374570911,0.410845566239875,24946.778909434,24947.988726791,24948.2368305789,24948.5180822624,24949.4977058942
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",88352130.7667406,14656152.3168334,43511987.9428577,78075062.0648056,88172295.5110447,98133459.5988185,142016312.716912
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2816544138.77142,188609874.658336,2210584337.4238,2685207336.1133,2818874739.55107,2949217948.31949,3531316813.07863
"Cml Dry Matter","Neonatal Female",148033805.583622,14326709.0327744,106441558.388604,139143196.975835,148219467.381153,157116092.614199,189725749.279332
"Cml Dry Matter","Neonatal Male",126851782.933793,12002750.5088282,90890636.3013004,119059518.447404,126399291.889312,133659134.663668,168386609.018859
"Cml Dry Matter","Neonatal Combined",274885588.517416,18568076.5605486,211846775.926903,263629189.066128,274662772.840693,288605683.23346,330433492.109689
"Cml Dry Matter","Juvenile Female",316005753.113602,39479477.1903459,194710581.705653,289424183.184485,314570499.636747,344652175.472705,426766571.570486
"Cml Dry Matter","Juvenile Male",568601121.015962,28379952.9674199,487484689.97684,549052569.434401,568464591.320265,587867088.086155,646992354.523454
"Cml Dry Matter","Juvenile Combined",884606874.129564,48023821.8662264,719099086.477081,854035672.585899,884805465.99862,917261840.630389,1016003425.66816
"Cml Dry Matter","Adult Female",1110052258.30618,158235059.464676,528061601.551304,1002661895.56826,1108479978.55873,1215174096.87046,1609725439.34076
"Cml Dry Matter","Adult Male",546999417.81826,76223968.5224318,328737695.145967,496565929.776181,546475108.908688,597147069.492712,783833638.385386
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",10033207239.3629,1405940875.21028,6243960863.566,9033600111.23769,10102191936.432,11060277183.2189,13179756385.8972
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",195391488.841084,33538034.8507194,102869189.502253,171816144.016323,196548893.253399,219864872.865225,261025757.900322
"Value of Offtake","Juvenile Male",627198298.393053,149023940.152277,214126148.639757,516200928.051561,637247594.885551,737958957.500969,945404611.133913
"Value of Offtake","Juvenile Combined",822589787.234137,152132486.050906,425831988.787643,713678059.569602,827206290.490354,931800902.391562,1171973455.41953
"Value of Offtake","Adult Female",697619246.428721,111592667.204601,425481090.481757,613353338.907975,699602993.194016,783976225.687667,949107613.265349
"Value of Offtake","Adult Male",8512998205.69999,1382717556.96928,4833364589.56772,7545386389.00818,8556981280.72091,9519458541.50123,11562086677.7766
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-5278479420.44215,1084165195.22189,-8161456953.20201,-6081527869.01041,-5290051008.15254,-4490722892.74502,-2562898820.60199
"Value of Herd Increase","Neonatal Female",-699023423.596684,93770887.2022025,-962713407.62011,-762717799.505587,-690235210.847286,-623840267.072538,-519475456.090056
"Value of Herd Increase","Neonatal Male",-341893412.871691,51245166.4437655,-467367849.218035,-379006777.985649,-341714227.209519,-303807575.472409,-223576659.778113
"Value of Herd Increase","Neonatal Combined",-1040916836.46838,108418728.109821,-1367197822.35448,-1115600483.74244,-1031922750.99962,-961016449.946131,-785750708.365565
"Value of Herd Increase","Juvenile Female",1110876847.35051,183106910.78255,596057619.642016,983133847.377245,1119195403.22104,1256049199.62994,1480916393.78555
"Value of Herd Increase","Juvenile Male",1278919437.67702,289506453.211881,535953374.698018,1081324037.98129,1289510324.56214,1487216965.41701,1905705021.7278
"Value of Herd Increase","Juvenile Combined",2389796285.02752,343734980.224596,1311424275.99964,2145523369.4135,2407943903.13501,2644912537.36477,3241657647.90204
"Value of Herd Increase","Adult Female",-432990090.03315,66224434.2615766,-596844654.78505,-478977759.561708,-433722654.297762,-387024999.28066,-272124926.01801
"Value of Herd Increase","Adult Male",-6194368778.96815,1011380705.16817,-8360442880.61867,-6984072737.95114,-6223009955.24245,-5436029287.92488,-3528392655.84756
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",4754727818.9207,1767900159.68475,-576537312.771668,3567466783.86204,4795509809.31338,6016757676.84948,9512721474.68342
"Value of Herd Increase plus Offtake","Neonatal Female",-699023423.596684,93770887.2022025,-962713407.62011,-762717799.505587,-690235210.847286,-623840267.072538,-519475456.090056
"Value of Herd Increase plus Offtake","Neonatal Male",-341893412.871691,51245166.4437655,-467367849.218035,-379006777.985649,-341714227.209519,-303807575.472409,-223576659.778113
"Value of Herd Increase plus Offtake","Neonatal Combined",-1040916836.46838,108418728.109821,-1367197822.35448,-1115600483.74244,-1031922750.99962,-961016449.946131,-785750708.365565
"Value of Herd Increase plus Offtake","Juvenile Female",1306268336.19159,187685735.122723,753602167.128016,1179703048.5138,1314655010.91206,1454759497.34016,1693128339.40347
"Value of Herd Increase plus Offtake","Juvenile Male",1906117736.07007,319994040.203261,944797664.289615,1674254274.9144,1927480183.02103,2139832616.63983,2654464588.69704
"Value of Herd Increase plus Offtake","Juvenile Combined",3212386072.26166,368776589.689363,2058376084.71312,2967940858.32067,3218105460.93438,3497240470.82933,4184898828.66873
"Value of Herd Increase plus Offtake","Adult Female",264629156.395572,129054851.188424,-88259508.4301315,175354611.598897,260033912.49532,359782974.600799,604784832.432895
"Value of Herd Increase plus Offtake","Adult Male",2318629426.73184,1714124796.31163,-2774815489.88171,1181559055.76902,2369889725.74082,3507932973.02698,6970681861.00025
