"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",385161.321617166,14.4168788802125,385124.251216896,385151.570098701,385161.226111257,385171.144772514,385215.44247229
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16463.2802487819,3.65659375508061,16450.0460917486,16460.749682244,16463.1855341218,16465.7226606446,16473.9019022515
"Num Offtake","Juvenile Male",34981.8517566826,8.2243777615109,34958.3359736159,34976.1611406787,34982.0235226388,34987.4246075595,35007.3510463693
"Num Offtake","Juvenile Combined",51445.1320054645,9.19894839847028,51420.3075684927,51438.8164624867,51445.1873282337,51451.4683004751,51480.5433945555
"Num Offtake","Adult Female",44001.1230208268,0.590038553176418,43999.326954434,44000.7190776122,44001.1022987539,44001.5303748372,44002.9908187667
"Num Offtake","Adult Male",289715.066590875,5.46363668371363,289700.080181561,289711.429534067,289715.094039229,289718.793452605,289732.71173832
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-181874.974799479,292.854858877942,-182726.45576304,-182072.872686686,-181864.52619921,-181683.597229957,-180973.310079717
"Cml Pop Growth","Neonatal Female",-62529.1128668173,71.1655900661041,-62743.9188845906,-62578.679161075,-62530.4015310296,-62483.8034410755,-62300.4614654616
"Cml Pop Growth","Neonatal Male",-14382.3880282676,71.1655900661028,-14597.1940460409,-14431.9543225254,-14383.67669248,-14337.0786025258,-14153.7366269121
"Cml Pop Growth","Neonatal Combined",-76911.5008950849,142.331180132207,-77341.1129306314,-77010.6334836004,-76914.0782235095,-76820.8820436014,-76454.1980923737
"Cml Pop Growth","Juvenile Female",80074.6947347416,141.089543745137,79664.0737681708,79983.9239212242,80074.7725259009,80172.1359270221,80525.6462068933
"Cml Pop Growth","Juvenile Male",61442.0371819573,110.487294621138,61139.0714498124,61371.7210211424,61443.4232146872,61515.9285453042,61771.855171557
"Cml Pop Growth","Juvenile Combined",141516.731916699,187.057969193669,140959.833832335,141383.077448197,141517.593073116,141651.937410588,142176.557451
"Cml Pop Growth","Adult Female",-31905.547005207,34.0899831595121,-32029.9565905659,-31929.9628971512,-31906.4820180939,-31882.7352342496,-31807.6733013093
"Cml Pop Growth","Adult Male",-214574.658815886,23.3396770431166,-214641.905101346,-214591.00854021,-214574.202297983,-214558.421674759,-214504.031822821
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",203286.346817687,301.141377040732,202405.83552487,203082.217576148,203292.602860264,203483.857675279,204242.132392573
"Total Number Increase","Neonatal Female",-62529.1128668173,71.1655900661041,-62743.9188845906,-62578.679161075,-62530.4015310296,-62483.8034410755,-62300.4614654616
"Total Number Increase","Neonatal Male",-14382.3880282676,71.1655900661028,-14597.1940460409,-14431.9543225254,-14383.67669248,-14337.0786025258,-14153.7366269121
"Total Number Increase","Neonatal Combined",-76911.5008950849,142.331180132207,-77341.1129306314,-77010.6334836004,-76914.0782235095,-76820.8820436014,-76454.1980923737
"Total Number Increase","Juvenile Female",96537.9749835235,143.787944736167,96118.4786133636,96445.7890730602,96538.0299176723,96637.1019252979,96996.1271349703
"Total Number Increase","Juvenile Male",96423.8889386399,116.726433644176,96105.926912501,96349.2613688852,96425.3272812768,96501.3097985301,96769.9494697597
"Total Number Increase","Juvenile Combined",192961.863922163,193.543959399484,192385.259838458,192822.881941426,192964.054586198,193099.26764564,193657.100845555
"Total Number Increase","Adult Female",12095.5760156198,34.6422560827086,11969.3906127295,12071.056830937,12094.763031247,12118.7043962428,12195.3175174574
