"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",385159.889988159,14.0365043377607,385120.635127794,385150.138054054,385159.702759592,385168.895063838,385204.728815211
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16462.8410648988,3.94093465622671,16450.7708410966,16460.2668139689,16462.7710170133,16465.5227359559,16475.6142738337
"Num Offtake","Juvenile Male",34981.2215187756,8.09204800738145,34955.2707350443,34976.1259423778,34980.9001464771,34986.6148620821,35006.4146924281
"Num Offtake","Juvenile Combined",51444.0625836744,8.99317699113368,51416.4282584875,51437.759295323,51444.0004862207,51449.9400680663,51471.7214436342
"Num Offtake","Adult Female",44001.062908927,0.637674166903684,43999.2578844106,44000.6149992136,44001.0522972732,44001.5017359092,44002.9144931549
"Num Offtake","Adult Male",289714.764495558,5.38511712978746,289698.75289211,289711.31807732,289714.618826426,289718.259845231,289731.286532602
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-181911.603749089,295.014255865631,-182822.330562441,-182114.826819701,-181901.382868777,-181713.751079775,-181027.459406167
"Cml Pop Growth","Neonatal Female",-62528.2423375214,69.6231468396602,-62737.0443116262,-62574.9587544324,-62528.6421624002,-62480.2721567406,-62282.5547031874
"Cml Pop Growth","Neonatal Male",-14381.5174989717,69.6231468396623,-14590.3194730767,-14428.2339158827,-14381.9173238506,-14333.547318191,-14135.8298646378
"Cml Pop Growth","Neonatal Combined",-76909.7598364931,139.246293679322,-77327.3637847028,-77003.1926703152,-76910.5594862508,-76813.8194749316,-76418.3845678252
"Cml Pop Growth","Juvenile Female",80055.537958766,146.168439285504,79604.5699226531,79958.1719975105,80052.6439929079,80154.687175694,80548.7784558358
"Cml Pop Growth","Juvenile Male",61428.844120462,109.676624709581,61045.2556434235,61355.6786669215,61431.5393211258,61503.9249207753,61755.4315092194
"Cml Pop Growth","Juvenile Combined",141484.382079228,188.18755968488,140752.463657591,141356.804552703,141477.747461672,141606.641612835,142116.272065756
"Cml Pop Growth","Adult Female",-31909.6703442195,36.7325602084617,-32022.7615766962,-31933.4102478425,-31909.8371219544,-31884.2009722363,-31790.1331122232
"Cml Pop Growth","Adult Male",-214576.555647605,22.9784787274775,-214653.061794275,-214591.596022175,-214576.719778312,-214561.203556827,-214505.941789578
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",203248.28623907,302.863531028284,202325.859381344,203035.944074283,203257.929516845,203451.729402519,204156.304558178
"Total Number Increase","Neonatal Female",-62528.2423375214,69.6231468396602,-62737.0443116262,-62574.9587544324,-62528.6421624002,-62480.2721567406,-62282.5547031874
"Total Number Increase","Neonatal Male",-14381.5174989717,69.6231468396623,-14590.3194730767,-14428.2339158827,-14381.9173238506,-14333.547318191,-14135.8298646378
"Total Number Increase","Neonatal Combined",-76909.7598364931,139.246293679322,-77327.3637847028,-77003.1926703152,-76910.5594862508,-76813.8194749316,-76418.3845678252
"Total Number Increase","Juvenile Female",96518.3790236648,149.112255297721,96055.3407637496,96419.9315222611,96516.2346061543,96617.7207707182,97024.3927296695
"Total Number Increase","Juvenile Male",96410.0656392376,115.620169692126,96005.6809368748,96334.2884341711,96410.5599458489,96489.8767385722,96761.8462016475
"Total Number Increase","Juvenile Combined",192928.444662902,194.127982991963,192168.891916079,192796.121147829,192924.686086836,193055.283781946,193584.763231048
"Total Number Increase","Adult Female",12091.3925647075,37.3296356338976,11976.5973757655,12067.1003798504,12091.0308906573,12116.9594663554,12212.7644662604
"Total Number Increase","Adult Male",75138.2088479532,28.0210321183248,75047.8998436413,75120.781832069,75137.256708667,75156.8404845404,75225.344743024
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",189828.758360563,213.703033580792,189088.361482597,189681.52419108,189826.125582136,189975.693238756,190668.02431894
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",34587.5273887912,175.12897747856,33993.962185268,34464.8348280806,34587.8444080306,34714.304639835,35125.0899597936
