"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",384367.804105185,19.3642708322435,384302.225574692,384354.218689874,384367.037527075,384381.093373578,384421.990039519
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16277.4441668362,5.6606571127829,16259.6190910985,16273.695333818,16277.1703691684,16281.4002032631,16296.381966882
"Num Offtake","Juvenile Male",34569.530945627,11.7621480608635,34528.7190951794,34561.3441901104,34569.22680262,34577.3520115432,34604.7965496686
"Num Offtake","Juvenile Combined",50846.9751124632,12.9680711085313,50800.7138897327,50838.1861636081,50846.8171815333,50855.9023389133,50884.2392026248
"Num Offtake","Adult Female",43982.2819221922,0.794041403250602,43979.9831630376,43981.7319736964,43982.2934523958,43982.8589538568,43984.8851258717
"Num Offtake","Adult Male",289538.547070529,6.81317813817723,289519.700291245,289534.013517271,289538.223635619,289543.313669786,289557.272763117
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-247887.20504806,800.635061854083,-250815.943668957,-248413.720235303,-247898.990761202,-247333.906137886,-245433.620167751
"Cml Pop Growth","Neonatal Female",-85754.0682978747,402.52645186884,-87074.979378839,-86018.9481984657,-85751.2254675502,-85489.1226942078,-84584.6378321878
"Cml Pop Growth","Neonatal Male",-34149.9691033797,332.051781373939,-35123.7909429398,-34370.2422914266,-34140.4585669663,-33931.4555833827,-32948.4110139709
"Cml Pop Growth","Neonatal Combined",-119904.037401254,531.351989142622,-121571.978258576,-120272.465527687,-119894.164482997,-119536.269073529,-118306.667534717
"Cml Pop Growth","Juvenile Female",68979.9400721899,250.385133086953,68243.4121880876,68813.5790280088,68973.416235417,69142.5674722026,69801.8298182407
"Cml Pop Growth","Juvenile Male",52557.0175266138,185.821206674652,51829.723890493,52430.1991763799,52555.3716095331,52686.7932993601,53167.9184196846
"Cml Pop Growth","Juvenile Combined",121536.957598804,308.795113670564,120452.22240346,121323.453858574,121531.284624216,121745.281775718,122468.655022646
"Cml Pop Growth","Adult Female",-33679.7509174295,53.2563601229692,-33847.871992862,-33714.5064864542,-33682.2128910557,-33641.9339485134,-33502.0005600728
"Cml Pop Growth","Adult Male",-215840.37432818,34.511406674803,-215964.044867448,-215864.571290853,-215840.931190492,-215817.247106219,-215736.369913319
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",136480.599057124,810.920823958685,133486.281905736,135943.984722695,136473.266173399,137048.281508291,138959.883870651
