"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",386219.766648878,20.1886727075754,386156.836871609,386206.054171513,386219.733757633,386233.12043205,386286.680937487
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16296.6663527361,5.61276231423819,16280.0517650337,16292.9846036838,16296.6422320342,16300.6688469114,16317.4859447144
"Num Offtake","Juvenile Male",34623.713170198,12.173815068985,34583.3840014736,34615.2797548348,34623.9145481895,34632.1365180149,34657.6751951282
"Num Offtake","Juvenile Combined",50920.3795229342,13.5513069461064,50880.822342764,50911.1647100592,50920.7473454119,50929.261442414,50967.1448731547
"Num Offtake","Adult Female",45744.3484761333,0.806643037016127,45741.8042110181,45743.830637881,45744.3888734572,45744.891678041,45746.9908468207
"Num Offtake","Adult Male",289555.038649811,7.0161960697877,289532.093995723,289550.079852249,289555.179166921,289559.917032355,289575.008760913
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-155549.425636838,800.120805847448,-158318.134684068,-156085.83045351,-155580.681654505,-155016.856793288,-152901.650414872
"Cml Pop Growth","Neonatal Female",-78874.8243747883,381.072691933345,-80138.2325336628,-79128.7031311631,-78873.4599240184,-78622.4693057226,-77686.4825096753
"Cml Pop Growth","Neonatal Male",-27240.9860416488,339.805897220917,-28650.3008474181,-27468.054495134,-27238.2593553017,-27014.1060210911,-26174.0644497318
"Cml Pop Growth","Neonatal Combined",-106115.810416437,528.59155894587,-107906.901273279,-106453.681563448,-106134.649009121,-105766.66457175,-104454.441006142
"Cml Pop Growth","Juvenile Female",70849.2485463536,243.04503497826,69913.5926259896,70686.5860673856,70849.6074178421,71016.0987972279,71714.2718946119
"Cml Pop Growth","Juvenile Male",54401.5944283267,193.490752969372,53673.609626843,54276.0135841147,54399.227167036,54535.1970808561,54974.3890641711
"Cml Pop Growth","Juvenile Combined",125250.84297468,314.608324847522,124125.579988877,125048.537280456,125238.59894395,125473.947175783,126434.420379855
"Cml Pop Growth","Adult Female",40981.7342576728,54.0968695930903,40821.6159186955,40945.7453149698,40981.5406516147,41019.9866882444,41182.8838556224
"Cml Pop Growth","Adult Male",-215666.192452754,35.7149771556898,-215788.238319287,-215691.265310905,-215665.355276905,-215641.867349767,-215565.477037049
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",230670.34101204,810.818160614324,227872.765498922,230130.024694078,230642.711897106,231202.084532998,233374.65251672
"Total Number Increase","Neonatal Female",-78874.8243747883,381.072691933345,-80138.2325336628,-79128.7031311631,-78873.4599240184,-78622.4693057226,-77686.4825096753
"Total Number Increase","Neonatal Male",-27240.9860416488,339.805897220917,-28650.3008474181,-27468.054495134,-27238.2593553017,-27014.1060210911,-26174.0644497318
"Total Number Increase","Neonatal Combined",-106115.810416437,528.59155894587,-107906.901273279,-106453.681563448,-106134.649009121,-105766.66457175,-104454.441006142
"Total Number Increase","Juvenile Female",87145.9148990898,247.787651077523,86194.1138680865,86979.1998855441,87145.4688719676,87315.0340365981,88031.7578393263
"Total Number Increase","Juvenile Male",89025.3075985248,203.894186976794,88256.9936283166,88890.6431489526,89020.5875963104,89167.3497789496,89627.1876027762
"Total Number Increase","Juvenile Combined",176171.222497615,325.017784285622,175012.082853372,175961.418249824,176158.694756901,176395.814964046,177397.273521758
"Total Number Increase","Adult Female",86726.0827338061,54.8573275618723,86563.7040680611,86689.7830856704,86725.9562844842,86764.9335492225,86929.874702443
"Total Number Increase","Adult Male",73888.8461970568,42.3284975858885,73748.0381938527,73859.5544405805,73889.6467074341,73918.1006971251,74007.1211054332
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",177986.959703087,773.972443037436,175279.868757489,177433.296906257,178012.096939715,178532.208654944,180484.618145847
"Total Mortality","Neonatal Female",36989.6701267211,573.319925856899,34960.580207488,36602.8426558896,36988.676815665,37392.0437172223,38878.2304818869
"Total Mortality","Neonatal Male",31040.7780771905,497.553825419642,29405.4784273362,30720.5227650099,31032.6492932938,31371.2797647027,33019.8729678351
"Total Mortality","Neonatal Combined",68030.4482039116,761.416195041381,65764.294473076,67495.7551575912,68052.3414479838,68517.0099519315,70463.7117506788
"Total Mortality","Juvenile Female",34221.5165759571,174.458608238502,33608.8113717419,34102.7238173297,34225.6974050409,34345.3651354702,34799.3287123498
"Total Mortality","Juvenile Male",25967.7226552817,132.674548300901,25462.739730819,25881.1390105016,25968.5681666278,26057.7701718657,26428.2469662597
"Total Mortality","Juvenile Combined",60189.2392312387,218.77938097634,59436.7554443056,60035.4283014647,60200.6290563233,60336.2256712367,60867.8043143701
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",49767.2722679362,1.2059086994955,49763.3286555148,49766.4199746054,49767.2964193146,49768.110739936,49770.704630782
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",3108667542.94916,6172215.89554815,3086665322.13649,3104561801.49354,3108938015.10244,3112808395.86781,3129035462.40223
"Value of Total Mortality","Neonatal Female",280659783.543861,4350075.18967142,265264027.49705,277724723.191594,280652246.77846,283712800.357122,294989269.01033
"Value of Total Mortality","Neonatal Male",210977791.509041,3381771.13289076,199862995.748322,208801081.946063,210922541.834889,213224143.580111,224429292.891407
"Value of Total Mortality","Neonatal Combined",491637575.052902,5526298.96717184,475310418.706698,487789076.292052,491866587.847281,495235108.011295,508535089.23514
"Value of Total Mortality","Juvenile Female",408387648.371407,2081928.21023969,401075838.068115,406970017.003969,408437540.928155,409865613.904041,415283056.96787
"Value of Total Mortality","Juvenile Male",495167549.82023,2529914.99785218,485538243.441436,493516522.819926,495183672.519442,496884627.930861,503949093.651654
"Value of Total Mortality","Juvenile Combined",903555198.191636,3270369.57596952,892423273.220595,901184601.10339,903687097.927469,905735747.653264,914529211.835814
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",1713474769.70462,41519.135708875,1713338992.11269,1713445425.45785,1713475601.23056,1713503638.08642,1713592945.1012
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",236471703.570369,75583688.3034002,56459840.139182,176394236.578576,234762126.554551,294271313.369949,419945749.229422
"Population Liveweight (kg)","Neonatal Female",12629603.0691661,7182921.86667972,249742.530124818,6498883.41320732,12627780.3622509,18791605.4339888,25065920.9145577
"Population Liveweight (kg)","Neonatal Male",11351431.2698613,6468244.80827738,226833.417476372,5907002.40952313,11157251.3215033,16839577.4391561,22799784.3596721
"Population Liveweight (kg)","Juvenile Female",32949108.5748703,18572174.5933578,353401.270111093,16859187.7598535,33785869.3235815,49191028.9399953,63726258.8093436
"Population Liveweight (kg)","Juvenile Male",24524165.2992183,14011625.8088102,270800.710397028,12477349.1908443,24687407.9659367,36599597.9638481,48837043.4253795
"Population Liveweight (kg)","Juvenile Combined",57473273.8740887,23606203.1622006,2228743.56873588,40215472.5968635,57104465.327251,75455979.9576212,110926868.60478
"Population Liveweight (kg)","Adult Female",111908453.054661,65330915.6646069,939592.524470511,54499608.8033317,110879820.41374,168206262.198479,225527565.709976
"Population Liveweight (kg)","Adult Male",43108942.3025918,24351310.0027453,351559.585496219,21799988.3209793,43074763.7097186,63994345.2546677,84409121.6121388
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",44729078.3473967,20533482.9361574,1676572.72120891,27494739.4688726,44614378.9004284,61751924.6903751,83374114.0657987
"Offtake Liveweight (kg)","Juvenile Female",1410217.8921664,848534.7055949,16282.3292736769,635793.987133924,1351979.09523583,2150912.14397922,2934147.57040142
"Offtake Liveweight (kg)","Juvenile Male",3158587.68400187,1754958.19730466,34598.2361261704,1662062.8462435,3116355.72146002,4572529.05176029,6235781.74858961
"Offtake Liveweight (kg)","Adult Female",5412515.86095899,3194094.5344696,45744.3690893277,2561723.22643537,5352160.43737461,8279568.22770126,10978991.7292268
"Offtake Liveweight (kg)","Adult Male",34747756.9102695,20135743.2893052,289546.080942155,17662441.4678567,35035376.1324628,52119974.1343387,69493954.9092016
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",145620413.485441,21037384.011679,82902499.8840509,130643081.200519,144717374.522717,160146190.535792,212112250.810166
"Manure","Overall",1288001441.29776,41626930.796765,1155022290.13091,1259488523.85071,1287665187.33563,1316667437.89166,1424113926.10347
"Manure","Neonatal Female",64963653.8480935,1698966.61725345,59892465.5793931,63800778.1949293,64972367.4291229,66091094.1838673,69781935.1224079
"Manure","Neonatal Male",55282429.6017236,1364733.48883822,50696318.4659829,54378122.9714398,55323042.6430667,56165598.1043029,60151584.9953872
"Manure","Neonatal Combined",120246083.449817,2204052.35255209,112956378.485782,118740455.414597,120243713.186572,121785170.518715,126243348.504471
"Manure","Juvenile Female",137391329.654719,4576230.99197785,120667482.711998,134419548.446565,137451344.879524,140507685.143911,151686096.182359
"Manure","Juvenile Male",104396052.511188,3348566.21970326,94919953.3540218,102060496.726727,104337575.071911,106647705.023866,114017068.241138
"Manure","Juvenile Combined",241787382.165907,5659780.09091359,223505900.861347,237970645.559238,241859089.814671,245556895.47786,261827658.448464
"Manure","Adult Female",629226468.798439,38101037.9180415,517487568.874944,605879116.934528,628177201.481704,650610291.687582,738677376.374835
"Manure","Adult Male",296741506.883595,18017963.2841936,243050669.616343,285383154.954659,296449000.261758,308441098.87341,350399675.103768
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",54978.2557495875,109.195537444547,54601.9929974038,54901.6130901333,54984.0874002986,55051.8356975283,55317.0668343041
"Hides","Juvenile Female",17110.7582879785,87.2293041192509,16804.4056858709,17051.3619086649,17112.8487025204,17172.6825677351,17399.6643561749
"Hides","Juvenile Male",12983.8613276408,66.3372741504505,12731.3698654095,12940.5695052508,12984.2840833139,13028.8850859329,13214.1234831298
"Hides","Juvenile Combined",30094.6196156194,109.38969048817,29718.3777221528,30017.7141507323,30100.3145281616,30168.1128356183,30433.902157185
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",24883.6361339681,0.602954349747751,24881.6643277574,24883.2099873027,24883.6482096573,24884.055369968,24885.352315391
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",92935030.3258569,15712940.0616485,48744600.2821918,83143323.4377427,92372435.790033,104068531.776601,140854043.197239
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2505917462.55397,191087462.50668,1936346245.06903,2376823577.32888,2506492088.42695,2641085090.46708,3058629607.46704
"Cml Dry Matter","Neonatal Female",150465133.783481,14959784.5422453,107530902.650444,141092690.631524,150184704.116596,159322800.772928,191890221.344502
"Cml Dry Matter","Neonatal Male",127459141.555894,11853627.4317871,85111840.9177259,120384615.25012,127603996.696471,134895547.135515,170191941.630187
"Cml Dry Matter","Neonatal Combined",277924275.339375,19129241.024545,214077786.715498,264943803.571773,277928804.702934,291321999.176929,334189498.772862
"Cml Dry Matter","Juvenile Female",297572456.219946,39193941.1028327,177171302.4648,270175155.287246,297559261.6985,325718605.871496,408623414.000869
"Cml Dry Matter","Juvenile Male",227605668.031377,29367154.1740567,135846186.318899,208339601.257813,227565556.040822,248376408.713134,309636602.789689
"Cml Dry Matter","Juvenile Combined",525178124.251323,47653341.5477486,337143385.293497,492239303.244596,525329807.037633,558887423.88995,688374835.009728
"Cml Dry Matter","Adult Female",1152785075.10535,165275614.733319,605626765.291506,1044662821.63337,1155253757.86155,1267784761.81387,1626854820.40301
"Cml Dry Matter","Adult Male",550029987.857926,77108917.6000893,273891813.940733,496104888.622043,549691008.784093,603359019.211034,780305336.316118
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",9956169967.77656,1319009569.88315,6041313858.64317,8982505323.14333,9997817943.29424,10935012582.9069,13189293592.9565
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",187791626.676654,31651019.1645592,92281148.7342966,167229731.459271,189887125.025998,211112078.980801,251574306.418112
"Value of Offtake","Juvenile Male",604981894.828385,149202603.926627,232234377.107019,491794983.345943,610611397.270922,719532901.917349,905528795.683318
"Value of Offtake","Juvenile Combined",792773521.505039,152298666.977136,377469566.19855,681141005.822873,803224524.780198,909258614.12629,1133196124.12466
"Value of Offtake","Adult Female",719277463.245713,114013941.713458,447800297.294861,637225598.824632,719396063.543868,803990422.348969,990099543.37712
"Value of Offtake","Adult Male",8444118983.02581,1306008185.14641,4837155631.47911,7455686061.1766,8473481028.17969,9394789598.41743,11439890581.6417
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of draught","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-4771042569.81889,1035160249.21612,-7532525917.24659,-5484986924.8155,-4790283459.11812,-4065513154.83134,-1981363475.0567
"Value of Herd Increase","Neonatal Female",-643073432.44505,83522966.981698,-901521829.537215,-700185212.008998,-636176106.562133,-576109415.658339,-479375612.357963
"Value of Herd Increase","Neonatal Male",-273662277.935029,41217001.4768542,-381405446.693901,-303433448.66902,-272206102.85061,-243240035.459322,-176380212.249872
"Value of Herd Increase","Neonatal Combined",-916735710.380079,93078093.2157709,-1207467363.79675,-979794596.932347,-910033958.086084,-845686635.725389,-687204198.52972
"Value of Herd Increase","Juvenile Female",827510966.228241,131810533.2841,410809492.022952,741996357.11457,838979991.917478,931172506.833827,1078340716.17913
"Value of Herd Increase","Juvenile Male",956339222.880421,224790685.30964,329970055.71804,802600574.131884,976040619.636401,1129775736.75901,1403890798.00217
"Value of Herd Increase","Juvenile Combined",1783850189.10866,265575954.04602,1004964835.41523,1597605282.14225,1789540796.61593,1968842960.04843,2389793820.20064
"Value of Herd Increase","Adult Female",641471086.354608,104480095.977802,394797719.255032,560669007.122051,643356050.047616,718721404.71526,879613195.395184
"Value of Herd Increase","Adult Male",-6279628134.90208,986532550.678118,-8587569730.17168,-7003254473.38438,-6276765739.2329,-5559362276.93675,-3800238793.73064
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",5185127397.95767,1675207587.98201,248977465.903076,4026746891.19542,5203090824.59943,6450347336.097,9871391059.66799
"Value of Herd Increase plus Offtake","Neonatal Female",-643073432.44505,83522966.981698,-901521829.537215,-700185212.008998,-636176106.562133,-576109415.658339,-479375612.357963
"Value of Herd Increase plus Offtake","Neonatal Male",-273662277.935029,41217001.4768542,-381405446.693901,-303433448.66902,-272206102.85061,-243240035.459322,-176380212.249872
"Value of Herd Increase plus Offtake","Neonatal Combined",-916735710.380079,93078093.2157709,-1207467363.79675,-979794596.932347,-910033958.086084,-845686635.725389,-687204198.52972
"Value of Herd Increase plus Offtake","Juvenile Female",1015302592.9049,137074057.107092,561810338.459921,928855877.074512,1029031931.19823,1119011500.70648,1310137813.57761
"Value of Herd Increase plus Offtake","Juvenile Male",1561321117.70881,266051289.986058,729826190.602125,1375982568.10725,1568661501.71211,1751504401.21738,2227607166.74154
"Value of Herd Increase plus Offtake","Juvenile Combined",2576623710.6137,299388779.924015,1655318040.08425,2373468110.59366,2590719307.55729,2780305360.32337,3349155366.67625
"Value of Herd Increase plus Offtake","Adult Female",1360748549.60032,157493638.409707,945895754.957567,1250263106.70453,1360010384.03761,1475570047.24568,1762500855.17483
"Value of Herd Increase plus Offtake","Adult Male",2164490848.12373,1632529126.80616,-2736860042.66395,1059659748.11781,2176036613.00153,3330445309.60008,6881385818.07642
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",644000720.648879,20813465.3983825,577511145.065453,629744261.925353,643832593.667815,658333718.945831,712056963.051737
"Value of Manure","Neonatal Female",32481826.9240468,849483.308626726,29946232.7896965,31900389.0974647,32486183.7145614,33045547.0919337,34890967.5612039
"Value of Manure","Neonatal Male",27641214.8008618,682366.744419112,25348159.2329914,27189061.4857199,27661521.3215334,28082799.0521514,30075792.4976936
"Value of Manure","Neonatal Combined",60123041.7249086,1102026.17627604,56478189.2428908,59370227.7072987,60121856.5932858,60892585.2593574,63121674.2522355
"Value of Manure","Juvenile Female",68695664.8273593,2288115.49598893,60333741.355999,67209774.2232826,68725672.4397622,70253842.5719553,75843048.0911793
"Value of Manure","Juvenile Male",52198026.255594,1674283.10985163,47459976.6770109,51030248.3633634,52168787.5359553,53323852.5119331,57008534.1205688
"Value of Manure","Juvenile Combined",120893691.082953,2829890.0454568,111752950.430674,118985322.779619,120929544.907336,122778447.73893,130913829.224232
"Value of Manure","Adult Female",314613234.39922,19050518.9590207,258743784.437472,302939558.467264,314088600.740852,325305145.843791,369338688.187418
"Value of Manure","Adult Male",148370753.441798,9008981.64209682,121525334.808172,142691577.47733,148224500.130879,154220549.436705,175199837.551884
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",5567081.00856091,6655.06891537087,5544302.22684363,5562348.97830313,5567433.93512045,5571536.31102401,5588407.23880945
"Value of Hides","Juvenile Female",1104606.42641301,5631.19695106408,1084829.45058639,1100772.0187736,1104741.37574126,1108604.02583081,1123257.11939741
"Value of Hides","Juvenile Male",707918.134312094,3616.90241191676,694151.56053546,705557.737403658,707941.184189152,710372.961436746,720472.701201178
"Value of Hides","Juvenile Combined",1812524.5607251,6681.26617680252,1789748.92626614,1807751.5309454,1812923.35579206,1817041.13897076,1833921.92653209
"Value of Hides","Adult Female",0,0,0,0,0,0,0
"Value of Hides","Adult Male",1442021.31963796,34.9415584773715,1441907.05231069,1441996.62418857,1442022.01943124,1442045.61461023,1442120.77335875
"Value of Hides","Oxen",2312535.12819784,56.0349422803154,2312351.8804159,2312495.52469584,2312536.2504396,2312574.08946425,2312694.61975307
"Value of Milk","Overall",2880985940.10156,487101141.911103,1511082608.74795,2577443026.57002,2863545509.49102,3226124485.07463,4366475339.11442
"Value of Milk","Adult Female",2880985940.10156,487101141.911103,1511082608.74795,2577443026.57002,2863545509.49102,3226124485.07463,4366475339.11442
"Total Production Value","Overall",8715681139.71668,1750878064.73112,3177414172.84451,7501165479.24501,8771444319.386,9944824862.2191,13870783795.8151
"Total Production Value","Neonatal Female",-610591605.521003,83583243.0109669,-869307974.973489,-667348706.811442,-603755250.086207,-543891384.029417,-447234630.767516
"Total Production Value","Neonatal Male",-246021063.134167,41240132.9913225,-354144680.934606,-275975072.647855,-244484286.148223,-215299082.426018,-148861822.708059
"Total Production Value","Neonatal Combined",-856612668.65517,93161776.9846996,-1148257229.72976,-919780481.826774,-850197344.912151,-785080278.520008,-625728292.816524
"Total Production Value","Juvenile Female",1085102864.15867,137088266.420629,636435724.728798,998604618.127289,1098867767.13481,1189026867.83929,1375113988.27233
"Total Production Value","Juvenile Male",1614227062.09871,266030196.447375,782091064.59975,1428412040.96166,1620831691.44969,1803178171.72272,2277955146.16735
"Total Production Value","Juvenile Combined",2699329926.25738,299377918.276788,1776443920.89049,2497689484.67079,2712707205.39039,2902617753.63533,3469716263.6694
"Total Production Value","Adult Female",4556347724.1011,516331024.894653,3136582129.52553,4212109314.32064,4552737546.56927,4913215082.91332,6112075666.71654
"Total Production Value","Adult Male",2314303622.88516,1632953169.75916,-2587024789.60314,1210739894.80952,2325989420.92866,3478618177.84707,7041128774.81084
"Total Production Value","Oxen",2312535.12819784,56.0349422803154,2312351.8804159,2312495.52469584,2312536.2504396,2312574.08946425,2312694.61975307
"Feed Cost","Overall",0,0,0,0,0,0,0
"Feed Cost","Neonatal Female",0,0,0,0,0,0,0
"Feed Cost","Neonatal Male",0,0,0,0,0,0,0
"Feed Cost","Neonatal Combined",0,0,0,0,0,0,0
"Feed Cost","Juvenile Female",0,0,0,0,0,0,0
"Feed Cost","Juvenile Male",0,0,0,0,0,0,0
