"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",387225.794901926,15.1017123522304,387182.551998695,387215.457635141,387225.757170543,387236.575868874,387269.156809831
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16928.3548626891,4.35922441144845,16914.038132211,16925.3431666863,16928.2645714555,16931.3747530304,16941.9258850107
"Num Offtake","Juvenile Male",35920.3779054363,9.34777509677319,35891.3616472547,35913.932691016,35920.2745270814,35927.2974135751,35950.287095159
"Num Offtake","Juvenile Combined",52848.7327681254,10.5977204146301,52817.7775095715,52841.4515201327,52848.6967725183,52856.0837502476,52878.8355632296
"Num Offtake","Adult Female",44070.6967532625,0.517685951717287,44068.9733332019,44070.347928551,44070.6991010671,44071.0676944645,44072.2666361892
"Num Offtake","Adult Male",290306.365380538,4.66004414267666,290292.87225875,290303.093671448,290306.322414293,290309.719855453,290320.86027358
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-190223.282342377,770.609386760323,-192830.591981898,-190768.285922331,-190225.59328004,-189688.174828007,-187456.91488337
"Cml Pop Growth","Neonatal Female",-85389.1966108658,390.367748456751,-86575.2308728652,-85667.8337555052,-85384.8240786555,-85115.1407095206,-84194.1912197288
"Cml Pop Growth","Neonatal Male",-33768.3620565322,324.763492507477,-34801.0500124286,-33988.4851717273,-33789.9711611792,-33535.6494736105,-32856.9775962588
"Cml Pop Growth","Neonatal Combined",-119157.558667398,510.87727143377,-120783.12204467,-119502.741394941,-119167.955108051,-118799.477735254,-117350.795838005
"Cml Pop Growth","Juvenile Female",96055.4752707779,210.634449691167,95373.9875167597,95914.9024815003,96055.3626554979,96205.4244907363,96682.9576020044
"Cml Pop Growth","Juvenile Male",72360.0725742567,163.916788161053,71844.2592586092,72253.1389931434,72364.0804474259,72473.7068812578,72835.4558490823
"Cml Pop Growth","Juvenile Combined",168415.547845035,274.512769415775,167570.167205208,168232.73039124,168409.558297185,168605.387153669,169229.850610372
"Cml Pop Growth","Adult Female",-27565.5635376817,41.3391063899385,-27701.0328995262,-27594.2566038531,-27566.5199786463,-27537.0039375879,-27436.8654582046
"Cml Pop Growth","Adult Male",-211915.707982332,28.0742705026407,-212004.953378619,-211935.079627112,-211916.043522,-211894.834953778,-211825.875650391
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",197002.51255955,780.222877441447,194370.895564453,196452.683010633,196998.607004964,197544.110909196,199803.341074505
"Total Number Increase","Neonatal Female",-85389.1966108658,390.367748456751,-86575.2308728652,-85667.8337555052,-85384.8240786555,-85115.1407095206,-84194.1912197288
"Total Number Increase","Neonatal Male",-33768.3620565322,324.763492507477,-34801.0500124286,-33988.4851717273,-33789.9711611792,-33535.6494736105,-32856.9775962588
"Total Number Increase","Neonatal Combined",-119157.558667398,510.87727143377,-120783.12204467,-119502.741394941,-119167.955108051,-118799.477735254,-117350.795838005
"Total Number Increase","Juvenile Female",112983.830133467,214.694083076215,112290.331929398,112841.169492709,112983.933352634,113137.076827452,113624.649516298
"Total Number Increase","Juvenile Male",108280.450479693,172.553170039045,107735.620905864,108166.501802577,108284.123111043,108400.864665259,108785.742944241
"Total Number Increase","Juvenile Combined",221264.28061316,283.503623272953,220398.438866314,221075.915239654,221263.646674294,221463.469376539,222104.543501004
"Total Number Increase","Adult Female",16505.1332155808,41.8429791038557,16367.9404336757,16476.1930708601,16504.1887586375,16534.0222445952,16635.4011779846
"Total Number Increase","Adult Male",78390.6573982068,32.6029088031063,78289.1375722929,78368.0582252217,78390.2685313635,78414.9085284111,78494.984623189
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",196696.059085322,745.493798314789,194063.61748128,196188.964212586,196702.008774551,197206.531674775,199511.930096382
"Total Mortality","Neonatal Female",36696.6843006625,583.566089820528,34976.3619341006,36309.9715111669,36668.4182428573,37084.304317715,38787.4424897811
"Total Mortality","Neonatal Male",30775.7140790071,475.374369846536,29393.5949738509,30459.5406413176,30776.2121848955,31102.4649806191,32161.3809440025
"Total Mortality","Neonatal Combined",67472.3983796696,746.278094523804,64836.5718707746,66966.4227706237,67478.0716410473,67982.550084071,70291.0924875907
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",79327.2541558726,0.931834713090539,79324.1519997634,79326.6262713918,79327.2583819208,79327.9218500361,79330.0799451406
"Total Mortality","Adult Male",49896.40654978,0.800945087022593,49894.0874194727,49895.8442247801,49896.3991649565,49896.983100156,49898.8978595216
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",3574150030.91595,7307740.60712625,3548958846.09092,3569089082.81041,3574100707.85316,3579333599.88487,3600424490.12827
"Value of Total Mortality","Neonatal Female",316998427.977321,5041042.1709582,302137698.834975,313657871.502396,316754256.165613,320346821.392144,335059107.623502
"Value of Total Mortality","Neonatal Male",349818610.448108,5403442.50259962,334108463.687636,346224758.739284,349824272.273186,353532693.119631,365569083.56507
"Value of Total Mortality","Neonatal Combined",666817038.42543,7325759.92743455,641550039.387662,661737543.955343,666748807.061498,672010256.657188,693151954.404747
