"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",385160.75441179,14.0871938764983,385116.763436634,385151.678422675,385159.977652497,385170.507315909,385205.287284248
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16463.5054614573,3.84297799171728,16452.7613726179,16460.9623857071,16463.4172241255,16466.1225431905,16474.9293637598
"Num Offtake","Juvenile Male",34981.3993716396,7.97622452886418,34956.8575543389,34976.2421339889,34981.3854897721,34986.7894327073,35007.2659381184
"Num Offtake","Juvenile Combined",51444.9048330969,9.07812080892337,51416.7576872522,51439.0398154926,51444.4847400886,51451.1464283786,51473.0098496044
"Num Offtake","Adult Female",44001.1523782039,0.616160768325198,43999.3397479961,44000.7454361164,44001.1365416377,44001.5678583597,44002.9095574251
"Num Offtake","Adult Male",289714.697200489,5.28936252663818,289698.883217898,289711.374255187,289714.474914924,289718.420277499,289730.817491409
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-181871.807668216,287.894304861103,-182782.024849536,-182067.250015336,-181865.255515028,-181675.142146519,-181017.238261767
"Cml Pop Growth","Neonatal Female",-62530.0269775316,66.2407585028771,-62719.3524269075,-62574.0332353172,-62530.0124335818,-62483.6742332834,-62315.7262218098
"Cml Pop Growth","Neonatal Male",-14383.302138982,66.2407585028766,-14572.6275883577,-14427.3083967675,-14383.2875950323,-14336.9493947338,-14169.0013832601
"Cml Pop Growth","Neonatal Combined",-76913.3291165136,132.481517005754,-77291.9800152652,-77001.3416320847,-76913.3000286141,-76820.6236280172,-76484.7276050699
"Cml Pop Growth","Juvenile Female",80078.1078850983,148.87631129336,79518.6355874591,79982.8703204763,80087.1320600725,80175.0742686236,80578.7040361462
"Cml Pop Growth","Juvenile Male",61442.6811686664,108.072701475355,61144.7468953814,61373.7490830169,61444.9323103731,61515.1392329383,61809.731519151
"Cml Pop Growth","Juvenile Combined",141520.789053765,190.212413923327,140873.897573226,141405.361485152,141528.412080309,141649.550417447,142079.417998128
"Cml Pop Growth","Adult Female",-31903.4260080707,35.8390635480795,-32002.7704815366,-31927.4493245438,-31903.7147325101,-31878.9916727202,-31795.7857856188
"Cml Pop Growth","Adult Male",-214575.841597396,22.6858635012943,-214644.95893405,-214589.991509021,-214575.748996565,-214560.966835751,-214502.35196875
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",203288.946743574,296.155550202207,202347.044267866,203088.462855407,203295.318224647,203486.081131021,204164.051769722
"Total Number Increase","Neonatal Female",-62530.0269775316,66.2407585028771,-62719.3524269075,-62574.0332353172,-62530.0124335818,-62483.6742332834,-62315.7262218098
"Total Number Increase","Neonatal Male",-14383.302138982,66.2407585028766,-14572.6275883577,-14427.3083967675,-14383.2875950323,-14336.9493947338,-14169.0013832601
"Total Number Increase","Neonatal Combined",-76913.3291165136,132.481517005754,-77291.9800152652,-77001.3416320847,-76913.3000286141,-76820.6236280172,-76484.7276050699
"Total Number Increase","Juvenile Female",96541.6133465556,151.819688894638,95971.905869126,96444.3844858486,96550.4333477655,96641.5816816862,97053.4788724856
"Total Number Increase","Juvenile Male",96424.080540306,114.103718470494,96104.8453941502,96349.4120220117,96425.9461150592,96500.9327742439,96812.5728090385
"Total Number Increase","Juvenile Combined",192965.693886862,196.471700387106,192298.115424613,192843.11017138,192971.842368857,193097.882089543,193548.707028979
"Total Number Increase","Adult Female",12097.7263701332,36.4170165917807,11996.5692664595,12073.2988747142,12097.3292005821,12122.4756295592,12206.8439359968
"Total Number Increase","Adult Male",75138.855603093,27.6249427070549,75053.9242838481,75121.1150559709,75138.7488758534,75157.3462040151,75228.4655226584
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",189783.803113744,224.488186251184,189051.44267424,189640.899028548,189778.763166111,189926.893870987,190578.046184499
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",34557.3609268982,178.737464484987,33983.2053462958,34432.5117214369,34551.0462450225,34678.5317410468,35224.5717513229
"Total Mortality","Juvenile Male",26229.6543247443,133.184652327862,25780.1655906543,26140.6726240031,26226.5756841014,26320.9355481781,26651.4314423473
"Total Mortality","Juvenile Combined",60787.0152516426,225.493408236982,60050.9830093466,60643.273905355,60782.1370931034,60930.9297688923,61584.5764739777
"Total Mortality","Adult Female",79202.074280767,1.10908938298589,79198.811546393,79201.3417850095,79202.0457749479,79202.8221450474,79205.2372033653
"Total Mortality","Adult Male",49794.7135813341,0.909109184266041,49791.9955530762,49794.1424501103,49794.6753760025,49795.3534851952,49797.4842563358
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",3530317061.86277,3137117.7825596,3520169449.05671,3528310722.02772,3530235712.1765,3532337554.63195,3541535226.9549
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",493299422.453079,2551441.59265189,485103466.259881,491517224.990776,493209281.631016,495029111.614357,502823723.658816
"Value of Total Mortality","Juvenile Male",354359311.166209,1799307.80148672,348286775.241141,353157179.647787,354317719.120653,355592508.945254,360057466.658805
"Value of Total Mortality","Juvenile Combined",847658733.619287,3157762.47994662,837431088.301608,845653755.304086,847583133.904925,849704985.948818,858944052.207942
"Value of Total Mortality","Adult Female",1432900070.66255,20065.3110374104,1432841042.25505,1432886818.56994,1432899554.94386,1432913600.79784,1432957293.30546
"Value of Total Mortality","Adult Male",1249758257.58093,22817.0146660899,1249690039.93261,1249743923.20863,1249757298.69544,1249774318.02344,1249827796.56838
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",230940971.817858,69597235.6645803,64841635.4591235,176039878.130081,231034447.900359,286708365.673864,417353890.625251
"Population Liveweight (kg)","Neonatal Female",13464701.9949225,7926657.33507574,266357.189969664,6394902.92736762,13723045.3621191,20513690.4190226,26660379.3485602
"Population Liveweight (kg)","Neonatal Male",11989055.6954777,7024037.83124619,240110.566087828,6007597.6393366,12010792.1010549,17789062.7768016,24043377.1593256
"Population Liveweight (kg)","Juvenile Female",32660367.048713,18859693.4445561,362521.851247122,15607251.9333009,32306771.9178795,48269535.5502676,65365704.4504335
"Population Liveweight (kg)","Juvenile Male",24755440.9752593,14527621.9535282,277913.55948439,12232605.5288648,24479545.2642099,37523242.7848294,50042581.5472266
"Population Liveweight (kg)","Juvenile Combined",57415808.0239723,23962924.2855244,2455645.28750745,40029022.6911374,57136575.3145413,75642043.1296036,112719412.235254
"Population Liveweight (kg)","Adult Female",104948788.617623,60442629.8962934,866804.456003461,53737962.2827164,104876739.576186,157748242.483253,208027707.639355
"Population Liveweight (kg)","Adult Male",43122617.4858618,24574201.4675912,352686.296699439,22130433.8608341,42678653.3604794,64900839.6060072,84653749.5310886
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",45325210.599226,20228961.4924605,5963402.46881493,28519614.6890092,44745059.5052926,62671177.6329357,87262419.664212
"Offtake Liveweight (kg)","Juvenile Female",1520865.19917308,846885.618683825,16459.3563340523,802481.732852845,1531312.45641221,2239238.11112983,2964415.04678834
"Offtake Liveweight (kg)","Juvenile Male",3133289.75815371,1807042.82405808,34965.0814722051,1574189.09899249,3114564.59921322,4654637.4687706,6298166.72040447
"Offtake Liveweight (kg)","Adult Female",5366118.10366444,3009115.33675318,44000.2619156139,2937070.90916725,5236213.90859991,7876335.2424358,10560554.0261696
"Offtake Liveweight (kg)","Adult Male",35304937.5382348,20099439.1801827,289708.567877914,18542057.6325313,34476418.3758104,53090394.515873,69532589.4565428
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",145889927.049112,21424324.4900407,80864218.3498895,131353671.186391,145764576.982514,159749656.100573,211413355.423512
"Manure","Overall",1266683427.24378,41154951.7314873,1128046077.48777,1239135162.37785,1267666597.07564,1294196160.11559,1412893809.74799
"Manure","Neonatal Female",67778270.5920625,1730755.66314274,62437283.4411947,66658531.4665436,67784730.7875929,68982543.3048915,73921255.7919721
"Manure","Neonatal Male",57506050.6336403,1440313.06166781,53440598.3397946,56486667.4673419,57508001.1325593,58496323.2357237,61567861.348089
"Manure","Neonatal Combined",125284321.225703,2261758.00945373,118060518.79552,123769770.026292,125315563.5574,126887031.187997,132500941.997757
"Manure","Juvenile Female",139670762.039962,4759347.57646866,125915157.191651,136373507.78537,139693687.614473,142834756.799352,155651545.25665
"Manure","Juvenile Male",105890316.117604,3523969.16963609,95175831.5499601,103547068.037967,105935671.693929,108241543.091005,116811440.875463
"Manure","Juvenile Combined",245561078.157566,5848001.65716594,224500467.46613,241440224.267642,245518059.516789,249713757.724055,263893730.832466
"Manure","Adult Female",599590510.814782,36497053.3388025,473777552.94584,578823201.030769,600107389.273208,621316911.066208,705290567.073689
"Manure","Adult Male",296247517.045729,18271979.8157356,244838516.883332,284951065.355682,296685899.040508,308559423.509842,360024520.268501
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",94891.9015568718,112.244093125592,94525.7213371202,94820.4495142739,94889.3815830555,94963.4469354935,95289.0230922494
"Hides","Juvenile Female",17278.6804634491,89.3687322424933,16991.6026731479,17216.2558607184,17275.5231225112,17339.2658705234,17612.2858756615
"Hides","Juvenile Male",13114.8271623722,66.5923261639312,12890.0827953272,13070.3363120015,13113.2878420507,13160.467774089,13325.7157211736
"Hides","Juvenile Combined",30393.5076258213,112.746704118491,30025.4915046733,30321.6369526775,30391.0685465517,30465.4648844461,30792.2882369889
"Hides","Adult Female",39601.0371403835,0.554544691492946,39599.4057731965,39600.6708925047,39601.022887474,39601.4110725237,39602.6186016826
"Hides","Adult Male",24897.356790667,0.454554592133021,24895.9977765381,24897.0712250551,24897.3376880013,24897.6767425976,24898.7421281679
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",88352152.4483513,14847163.8022184,46464516.9431505,77833380.6812583,88515418.0772425,98042782.4508968,130035764.47633
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2469900255.35325,187305510.689373,1810732292.22996,2343014147.63362,2470473032.00796,2598029299.30671,2989726085.34219
"Cml Dry Matter","Neonatal Female",156692361.220503,14571239.146702,113285226.893,147622886.405831,156952924.138314,165931881.366642,201155271.40281
"Cml Dry Matter","Neonatal Male",133210656.133246,12544526.4342724,88715909.8464051,125556246.921062,133100826.195346,140591372.258498,169978691.283771
"Cml Dry Matter","Neonatal Combined",289903017.353749,19061688.590736,226613994.98483,275967111.462464,290286452.159054,304449665.566922,348228988.68691
"Cml Dry Matter","Juvenile Female",302337371.131108,38184247.9796229,198408119.667535,276328451.80813,301337173.613454,326252183.271458,406034260.89327
"Cml Dry Matter","Juvenile Male",228835774.523676,29814609.1058062,123962149.666945,207928955.672288,229781925.820908,247790745.293194,336500773.83097
"Cml Dry Matter","Juvenile Combined",531173145.654783,48241520.6634374,356337429.5419,500900699.676869,532242792.338211,564658088.742976,683509902.499885
"Cml Dry Matter","Adult Female",1101154692.66556,159903292.111819,604706791.972991,999214784.635995,1105315742.03372,1210253865.96626,1577507442.55189
"Cml Dry Matter","Adult Male",547669399.679154,79502207.2944461,297187354.667633,493785883.976532,547653909.330012,601789032.124467,822221872.910118
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",9975232893.34392,1368699693.31095,6458189596.48591,8970786042.76233,10036892023.7145,10971677086.6357,13135366305.4367
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",190638221.396085,32263242.4591133,101786168.124531,167291791.759134,192253411.178244,216049537.157412,254703254.792665
"Value of Offtake","Juvenile Male",616345893.803111,140256924.346297,218661726.190384,513024945.59486,618470369.522045,722523253.054477,916862636.858876
"Value of Offtake","Juvenile Combined",806984115.199196,142935595.872045,383698681.426909,707159980.536005,806062375.53586,909586999.027048,1136989936.63839
"Value of Offtake","Adult Female",693558613.987128,107543897.76127,422626316.051192,610406945.366687,692101852.765101,773462930.605782,940276638.243563
"Value of Offtake","Adult Male",8474690164.15759,1351118046.43384,5020811275.28509,7487659237.55704,8507054867.87198,9474549096.33119,11456022122.6725
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-5419682955.04266,994652743.138264,-7775939588.03533,-6144933784.15001,-5446975943.43093,-4743673868.04601,-2240825330.23723
"Value of Herd Increase","Neonatal Female",-509300905.156538,67584352.0057057,-696125606.254202,-556073910.603918,-502438492.959512,-459140136.443591,-379089670.296398
"Value of Herd Increase","Neonatal Male",-145566255.964499,21301521.8363688,-202130780.263887,-161016394.712119,-144993817.26257,-129568803.60934,-93455840.529826
"Value of Herd Increase","Neonatal Combined",-654867161.121038,69968805.1512324,-855429355.838228,-702796200.537715,-649657462.872951,-602545845.398975,-494247856.230256
"Value of Herd Increase","Juvenile Female",921496047.056878,156919546.907192,519060370.010517,808379377.441788,934821611.710273,1035337129.22275,1240285786.0652
"Value of Herd Increase","Juvenile Male",1084574578.08654,251170781.326258,355662655.344849,913554438.623665,1104668171.24457,1265523706.85647,1617998272.51023
"Value of Herd Increase","Juvenile Combined",2006070625.14342,292554761.219657,964285190.186503,1798492095.78664,2027872630.1804,2218481715.6974,2754933698.40234
