"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",384366.645356744,20.0981104047296,384302.719601261,384353.352847131,384366.142448749,384380.05138368,384430.490414532
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16277.1995498315,5.56989508899291,16258.2291612212,16273.4289107114,16277.4418577204,16281.2529584204,16293.8790064309
"Num Offtake","Juvenile Male",34569.00818968,12.0686237664536,34534.4954918732,34561.1522483953,34568.7593832271,34577.5212897299,34605.9441583617
"Num Offtake","Juvenile Combined",50846.2077395115,13.4570249142879,50803.8342007302,50837.5250236146,50846.0830244326,50855.2829603388,50885.6241252359
"Num Offtake","Adult Female",43982.2650726083,0.772732636723342,43979.8089218016,43981.7342866523,43982.2672109304,43982.8077812487,43984.9607431563
"Num Offtake","Adult Male",289538.172544624,6.98839581688807,289515.935533229,289533.414104631,289537.996756786,289543.002240101,289562.411636056
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-247912.608671168,755.055956908066,-250578.332099844,-248438.58959622,-247912.270601908,-247390.160411005,-245673.465415589
"Cml Pop Growth","Neonatal Female",-85754.0362909412,377.632467152394,-86775.4910260113,-86014.5548132703,-85747.1894579965,-85495.162213437,-84539.6653633705
"Cml Pop Growth","Neonatal Male",-34147.4377517583,325.031021646317,-35006.5848342784,-34372.0318645311,-34137.3738097511,-33929.8909597371,-32895.1944141016
"Cml Pop Growth","Neonatal Combined",-119901.474042699,483.755838432911,-121275.005610343,-120242.961849087,-119916.640224515,-119565.023697577,-118359.455497176
"Cml Pop Growth","Juvenile Female",68966.422013092,246.552817918864,68054.6143696763,68797.2833905226,68973.6154048035,69141.4281080927,69705.75224668
"Cml Pop Growth","Juvenile Male",52546.3676006023,188.794403563034,51902.0912271145,52428.4044011107,52549.5909722709,52673.93560752,53154.6985211303
"Cml Pop Growth","Juvenile Combined",121512.789613694,308.403012746961,120426.890552585,121305.535773587,121516.969763273,121729.749286803,122374.714967353
"Cml Pop Growth","Adult Female",-33682.1218260019,52.4364622021376,-33860.8549051679,-33717.4153814796,-33679.6023264302,-33643.860421925,-33527.3679217894
"Cml Pop Growth","Adult Male",-215841.802416161,35.356473559195,-215942.137440332,-215864.681582323,-215842.008559699,-215817.426672947,-215738.293427569
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",136454.036685577,766.374520894048,133736.798638805,135913.866316969,136454.336214627,136991.081289729,138719.537449461
"Total Number Increase","Neonatal Female",-85754.0362909412,377.632467152394,-86775.4910260113,-86014.5548132703,-85747.1894579965,-85495.162213437,-84539.6653633705
"Total Number Increase","Neonatal Male",-34147.4377517583,325.031021646317,-35006.5848342784,-34372.0318645311,-34137.3738097511,-33929.8909597371,-32895.1944141016
"Total Number Increase","Neonatal Combined",-119901.474042699,483.755838432911,-121275.005610343,-120242.961849087,-119916.640224515,-119565.023697577,-118359.455497176
"Total Number Increase","Juvenile Female",85243.6215629235,251.362370947521,84315.550935841,85069.1849963657,85250.4348887955,85422.0214430035,85995.4025935878
"Total Number Increase","Juvenile Male",87115.3757902822,199.168434767852,86438.713484359,86989.0019867659,87118.8417582372,87252.6214314079,87748.021165945
"Total Number Increase","Juvenile Combined",172358.997353206,318.767561844522,171236.257661702,172138.872171728,172363.104533635,172582.994699987,173253.924184456
"Total Number Increase","Adult Female",10300.1432466064,53.1647959529607,10118.9540166336,10264.2338947712,10302.7694452832,10339.1304203842,10457.5928213669
"Total Number Increase","Adult Male",73696.3701284639,41.9556376153834,73576.9324797732,73669.1796776831,73695.6788928297,73726.3500736998,73824.1182084872
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",256452.731535277,747.368998962207,254227.609511371,255927.667421162,256426.9365731,256971.038967655,258824.282244864
"Total Mortality","Neonatal Female",36660.685328932,578.845491473732,34918.5997550214,36256.7006459325,36640.9434765987,37063.1842351498,38293.8552785845
"Total Mortality","Neonatal Male",30746.1966046993,485.296465540577,28991.8882576407,30410.7028542407,30748.7462398525,31086.4827934333,32076.8612485117
"Total Mortality","Neonatal Combined",67406.8819336313,724.772808307599,65157.5712062964,66922.5611926055,67382.0142425941,67911.1518649465,69536.2031601312
"Total Mortality","Juvenile Female",34183.0055717043,174.467643618435,33702.2341309537,34059.7294423449,34177.598972961,34301.3623917545,34742.8332573127
"Total Mortality","Juvenile Male",25930.3934931393,131.162407492841,25442.085145781,25844.4446581348,25936.3214425035,26019.4832737379,26332.0316125964
"Total Mortality","Juvenile Combined",60113.3990648436,218.697300507243,59282.3467002944,59960.4857892032,60116.7279993462,60262.7945603568,60783.5205342847
"Total Mortality","Adult Female",79168.0771306949,1.39091874610259,79163.6560592428,79167.1217159741,79168.0809796747,79169.0540062477,79172.9293376813
"Total Mortality","Adult Male",49764.3734061073,1.20113053102724,49760.5514197738,49763.5555492335,49764.3431925726,49765.2035100173,49768.5394999472
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",4588593680.77392,7120034.44701692,4565924019.99572,4583584388.1319,4588606567.08842,4593454309.73761,4611406338.11638
"Value of Total Mortality","Neonatal Female",290807893.791904,4591644.61046149,276988942.181788,287603318.270928,290651293.15978,294000683.509841,303762881.103279
"Value of Total Mortality","Neonatal Male",324213845.519383,5117375.50282324,305714937.744244,320676116.271685,324240731.024225,327802110.280876,338245496.549714
"Value of Total Mortality","Neonatal Combined",615021739.311287,6594187.46036229,594570936.201252,610677395.494724,614849047.058613,619506571.507142,634747385.485271
"Value of Total Mortality","Juvenile Female",354479905.457395,1809240.37488473,349494275.551142,353201524.286705,354423838.690318,355707273.082914,360285353.566708
"Value of Total Mortality","Juvenile Male",477157459.386526,2413581.61968746,468171866.071703,475575874.141443,477266542.392102,478796842.660019,484548192.763698
"Value of Total Mortality","Juvenile Combined",831637364.843921,3022286.42680904,819097494.636883,829507016.149221,831708057.141655,833570892.997006,840057707.560976
"Value of Total Mortality","Adult Female",1568347818.83245,27554.596002401,1568260235.83157,1568328891.72637,1568347895.08211,1568367171.08525,1568443942.78189
"Value of Total Mortality","Adult Male",1573586757.78627,37980.6469695328,1573465903.71595,1573560896.53939,1573585802.41167,1573613006.2936,1573718492.79365
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",228184979.031274,68002834.5857701,54040685.5272293,175353338.691419,229088020.801998,282359768.936453,389485162.906912
"Population Liveweight (kg)","Neonatal Female",12233513.3848311,7055297.28687655,242930.405251271,6073121.62449198,12186193.3826138,18494535.875187,24375431.4106949
"Population Liveweight (kg)","Neonatal Male",11217088.7467284,6319796.46026464,220047.318512135,5728217.00253491,11460412.8148625,16750661.3142963,22083068.3373387
"Population Liveweight (kg)","Juvenile Female",31500388.1676621,18339239.6896969,351331.462582878,15475247.372225,32032200.0617377,47571322.3139448,63335177.9994336
"Population Liveweight (kg)","Juvenile Male",24202081.8722301,13743131.891819,268787.829457962,12381648.5511763,24532358.065644,35777041.4509799,48450955.6358171
"Population Liveweight (kg)","Juvenile Combined",55702470.0398922,22347886.0505471,3723319.86777037,40138780.1847109,56177632.8697301,72400707.1109919,108798349.125516
"Population Liveweight (kg)","Adult Female",106415789.817551,60464595.0753129,864954.14661286,52761969.7016355,108123574.180358,161751191.405323,207620857.037248
"Population Liveweight (kg)","Adult Male",42616117.0422709,24393774.6710135,351436.103914958,21788507.7205722,42526595.9892721,64665629.1884483,84349428.8241505
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",44782108.3482294,19723066.6471157,5569591.05924912,28242065.2676953,43287375.2726302,62057055.0682331,86568261.8329322
"Offtake Liveweight (kg)","Juvenile Female",1461959.69822045,848844.626627306,16268.8272732134,683629.791212702,1480857.89287404,2199083.07501518,2930631.55305685
"Offtake Liveweight (kg)","Juvenile Male",3163144.34930886,1819702.79805948,34567.2467866396,1555583.90830624,3163896.67333034,4771117.25888102,6224063.31659328
"Offtake Liveweight (kg)","Adult Female",5416194.93077323,3063928.76765428,43980.9661248036,2770919.79907302,5497740.89694673,8092557.38526251,10555938.4177032
