"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",183177.255299378,17.6099175841555,183128.570681962,183165.331339642,183176.412404886,183188.917848753,183231.560345276
"Num Offtake","Neonatal Female",12729.5537820707,2.38057404500825,12722.9609005542,12727.9470982165,12729.4441090424,12731.1306487341,12736.8741781065
"Num Offtake","Neonatal Male",39030.2531884802,13.091674182033,38993.5947664098,39021.3524079195,39029.6049051573,39038.9429006174,39070.3706692269
"Num Offtake","Neonatal Combined",51759.8069705508,15.4700019126852,51716.5556669641,51749.3606694006,51759.0621412793,51770.0303652259,51807.2448473333
"Num Offtake","Juvenile Female",43840.9730155788,1.91264751934056,43835.6344380527,43839.6188643912,43840.8926169858,43842.2183834501,43847.5831272754
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",43840.9730155788,1.91264751934056,43835.6344380527,43839.6188643912,43840.8926169858,43842.2183834501,43847.5831272754
"Num Offtake","Adult Female",83899.9718682234,0.220347523414116,83899.341110579,83899.8263675104,83899.961876337,83900.1167337258,83900.748696582
"Num Offtake","Adult Male",3676.50344502532,0.153372185953196,3676.06419333629,3676.40221578989,3676.49669803551,3676.60384184451,3677.04392952772
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-28672.8171026668,90.4349438141625,-28908.7326605932,-28735.3563080706,-28675.8742369288,-28612.1805622804,-28390.3152641386
"Cml Pop Growth","Neonatal Female",-14192.9337455025,33.4927970179443,-14289.3927370099,-14215.9875686617,-14193.5324993948,-14170.5685343529,-14089.4212986321
"Cml Pop Growth","Neonatal Male",28701.7884362836,28.1952866277519,28616.2917069058,28682.1509545014,28701.3588064347,28720.4979024616,28784.892147072
"Cml Pop Growth","Neonatal Combined",14508.8546907812,61.4942055791584,14326.8989698958,14465.9322058811,14508.2164458818,14548.9104187244,14695.4708484399
"Cml Pop Growth","Juvenile Female",-16112.8526533478,16.2422997223802,-16158.8035591542,-16124.0333776699,-16113.5691014562,-16102.089087229,-16063.636193416
"Cml Pop Growth","Juvenile Male",36126.1633161301,15.0634222088179,36083.4155463903,36115.7300553043,36125.5869106463,36136.1542362162,36171.7171504613
"Cml Pop Growth","Juvenile Combined",20013.3106627823,31.3036983584297,19924.6119872361,19991.6276022027,20011.9310994203,20033.9567484005,20108.0809570453
"Cml Pop Growth","Adult Female",-76285.4045212392,3.02122667430577,-76293.7930109171,-76287.5446820393,-76285.5258273565,-76283.4133568582,-76275.0319377012
"Cml Pop Growth","Adult Male",13090.422065009,3.08411158826138,13081.8465219817,13088.2498586636,13090.2843696552,13092.4388738834,13101.0280778216
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",154504.438196711,105.698180793046,154226.431961095,154431.720183784,154502.650289771,154575.414172118,154830.840290857
"Total Number Increase","Neonatal Female",-1463.37996343177,35.1839325536982,-1562.68672251541,-1488.03832135206,-1464.70512471972,-1439.90485803911,-1353.90744119578
"Total Number Increase","Neonatal Male",67732.0416247638,37.519886937697,67629.9190805415,67705.371916212,67731.4280529065,67757.2909611751,67848.9683235136
"Total Number Increase","Neonatal Combined",66268.661661332,72.6418700519541,66067.2323580261,66217.8823102587,66267.5325479664,66317.4971846179,66495.0608823178
"Total Number Increase","Juvenile Female",27728.120362231,18.013597745822,27677.519068541,27715.8582479276,27727.2022506878,27740.0121076701,27783.100630456
"Total Number Increase","Juvenile Male",36126.1633161301,15.0634222088179,36083.4155463903,36115.7300553043,36125.5869106463,36136.1542362162,36171.7171504613
"Total Number Increase","Juvenile Combined",63854.283678361,33.0599704892479,63760.9346149313,63831.6498518121,63852.6669375506,63876.0628785986,63954.8177809173
"Total Number Increase","Adult Female",7614.56734698412,3.23484084449292,7605.55753867637,7612.28572332341,7614.42168003333,7616.67163875679,7625.71675888085
"Total Number Increase","Adult Male",16766.9255100343,3.23290081392134,16757.9176761803,16764.6545791748,16766.78492037,16769.0251884018,16778.0720073493
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",63380.1802854566,6.42207688009001,63362.5092818555,63375.8350195892,63379.8682591685,63384.4916466014,63399.9849371644
"Total Mortality","Neonatal Female",16085.5270518893,3.00817992960139,16077.196047064,16083.4967877464,16085.3884650627,16087.5196379458,16094.7773705164
"Total Mortality","Neonatal Male",7641.13407492781,2.56301790324305,7633.95728525489,7639.39152774761,7641.00715748854,7642.83530026172,7648.98806059512
"Total Mortality","Neonatal Combined",23726.6611268171,5.56965441834009,23711.1533323189,23722.9142069778,23726.4109575049,23730.3540972932,23743.7654311115
"Total Mortality","Juvenile Female",9707.64402487816,0.423514807853973,9706.4619112831,9707.34417711518,9707.62622233258,9707.9197849068,9709.10769246811
"Total Mortality","Juvenile Male",2079.09876324426,0.400879700926258,2077.98179184636,2078.81716781768,2079.08133012588,2079.35912336182,2080.48092891132
"Total Mortality","Juvenile Combined",11786.7427881224,0.824384256316363,11784.4437031295,11786.1631003438,11786.7074465157,11787.2775426562,11789.5886213794
"Total Mortality","Adult Female",27866.776370517,0.0731868559912226,27866.5668688709,27866.7280434945,27866.7730517834,27866.8244865589,27867.0343885076
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",1066681840.77213,66012.9600981718,1066502336.70292,1066637514.58249,1066678710.29316,1066726176.61549,1066885847.57977
"Value of Total Mortality","Neonatal Female",134152045.873832,25087.9868972167,134082565.940852,134135113.628617,134150890.070464,134168663.886732,134229192.812493
"Value of Total Mortality","Neonatal Male",73209705.5718833,24556.2745309716,73140944.7500271,73193010.2273499,73208489.5758977,73226005.0118076,73284954.6085618
"Value of Total Mortality","Neonatal Combined",207361751.445715,49630.4214524592,207223510.690879,207328310.831895,207359518.785786,207394710.490472,207514147.421054
"Value of Total Mortality","Juvenile Female",164428074.493386,7173.49381543093,164408051.853313,164422995.671977,164427772.953869,164432745.316751,164452866.095025
"Value of Total Mortality","Juvenile Male",42920914.8684144,8275.76054592184,42897856.1108762,42915101.6124281,42920554.9791186,42926289.7426814,42949448.2964453
"Value of Total Mortality","Juvenile Combined",207348989.361801,15449.0630627572,207305907.964189,207338134.801236,207348325.392276,207359008.668917,207402314.39147
"Value of Total Mortality","Adult Female",651971099.964617,1712.2796827715,651966198.464103,651969969.305598,651971022.319523,651972225.687532,651977136.553524
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",131409995.657388,44885891.5734554,22269812.3221032,95790950.0873365,133426931.113889,165781034.25264,231892683.744036
"Population Liveweight (kg)","Neonatal Female",7931207.50124239,4532053.16580759,106688.945940545,3950711.9805508,8003773.7093334,11741081.9042691,15692191.6164982
"Population Liveweight (kg)","Neonatal Male",4670675.2883703,2712862.72054416,63195.1534092261,2403068.86711653,4552938.7788011,7018188.03015376,9303211.63775294
"Population Liveweight (kg)","Juvenile Female",27678172.6889821,16123403.1136548,147764.703964509,13002870.3850517,27413752.8410008,41859726.3150268,55419250.3578378
"Population Liveweight (kg)","Juvenile Male",10104550.9498094,5840808.27441069,53776.7040586072,5096003.88058036,10166098.60565,15273860.625853,20073663.8362389
