"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",200355.159087398,2034.57969136637,195511.955206269,198840.602989828,200243.009752084,201641.720101835,208945.912351477
"Num Offtake","Neonatal Female",14605.3697298858,275.025151844661,13949.9666948665,14401.2158082097,14590.0733502441,14781.1664098788,15759.9358824271
"Num Offtake","Neonatal Male",49554.1013738392,1514.97174057891,45904.5086320315,48436.4117421677,49468.8276610905,50524.0808716877,55790.1041747632
"Num Offtake","Neonatal Combined",64159.471103725,1789.73755928876,59854.475326898,62835.8763924595,64058.3839135505,65305.1798041439,71550.0400571902
"Num Offtake","Juvenile Female",45085.7495657746,218.887353837992,44626.3806765629,44925.0857312304,45065.3713832702,45223.2408806753,46081.2876386806
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",45085.7495657746,218.887353837992,44626.3806765629,44925.0857312304,45065.3713832702,45223.2408806753,46081.2876386806
"Num Offtake","Adult Female",87349.5268667869,25.4980663943645,87300.3633392648,87330.6305057182,87346.4556417352,87364.8786008432,87470.9132542218
"Num Offtake","Adult Male",3760.41155111111,17.4878090724444,3726.7031739134,3747.4451796162,3758.30288406437,3770.93583388189,3843.67140138417
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",79004.6533132763,10492.901990008,49500.0670891049,71671.9489077323,78305.7893339323,85692.2908934719,115556.908179353
"Cml Pop Growth","Neonatal Female",16366.7217974337,3911.87152659749,5501.69930698648,13631.9711993958,16085.6921193515,18852.3651755266,29450.4358373939
"Cml Pop Growth","Neonatal Male",53154.0091769507,3310.35674276677,44317.6190883922,50838.1921413835,52903.5480963324,55288.5086577418,65307.0726059798
"Cml Pop Growth","Neonatal Combined",69520.7309743844,7198.49807671094,49819.3183953787,64381.1319646582,68995.4153825376,74141.1837751143,94635.0355049923
"Cml Pop Growth","Juvenile Female",-2803.20131214345,1882.85993425571,-7380.02284742313,-4181.66517024052,-2918.66737158693,-1604.04477716543,4699.12941509683
"Cml Pop Growth","Juvenile Male",48568.7764625879,1747.75563999486,44305.3663169432,47288.6167967485,48438.339773952,49693.6743805953,55466.0293969813
"Cml Pop Growth","Juvenile Combined",45765.5751504444,3630.38206055311,36925.34346952,43108.1178067226,45522.497032561,48085.7952945987,60165.1588120781
"Cml Pop Growth","Adult Female",-51405.3449211623,353.46932706046,-52155.0158751513,-51661.4111247976,-51437.7440780471,-51187.2232853841,-49810.9165801606
"Cml Pop Growth","Adult Male",15123.6921096099,353.067361769879,14375.6366604078,14867.6118442807,15090.8698901576,15342.9384272538,16718.2343964536
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",279359.812400674,12239.2303514974,245318.439009651,270959.412557365,278679.007760833,287259.70947587,324477.839162393
"Total Number Increase","Neonatal Female",30972.0915273195,4102.83492684709,19492.4652606063,28176.8684462391,30703.0963416553,33568.3332397243,44879.4599157786
"Total Number Increase","Neonatal Male",102708.11055079,4362.64140849777,90413.0417005301,99748.3860161531,102406.128444335,105392.978752327,117764.038356402
"Total Number Increase","Neonatal Combined",133680.202078109,8458.25879540723,109905.506961136,127983.656203294,133117.379882367,138835.986548689,162643.49827218
"Total Number Increase","Juvenile Female",42282.5482536311,2085.38902454486,37246.3578291397,40749.9138025495,42165.0928801532,43626.4998130567,50780.4170537774
"Total Number Increase","Juvenile Male",48568.7764625879,1747.75563999486,44305.3663169432,47288.6167967485,48438.339773952,49693.6743805953,55466.0293969813
"Total Number Increase","Juvenile Combined",90851.324716219,3831.18877721958,81551.7241460829,88038.4395461541,90639.3905808941,93291.8528816026,106246.446450759
"Total Number Increase","Adult Female",35944.1819456246,378.209984007474,35147.7420583849,35669.3876832022,35909.8235599439,36179.1634718661,37659.9966740613
"Total Number Increase","Adult Male",18884.103660721,370.035518230414,18103.9779296801,18614.5270057191,18850.6657055341,19113.9271235568,20561.9057978377
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",40482.2150149388,734.040082950804,38741.0731855453,39938.4411472804,40446.0207048991,40941.2009792592,43590.5060803778
"Total Mortality","Neonatal Female",18455.8762950375,347.531782785527,17627.6851871495,18197.8999758287,18436.5472334902,18678.0193724832,19914.8280696124
"Total Mortality","Neonatal Male",9701.43674783612,296.593059071082,8986.93901387659,9482.62145374832,9684.7423167487,9891.33414248534,10922.2880004114
"Total Mortality","Neonatal Combined",28157.3130428736,643.946543452707,26614.6242010261,27677.8537861141,28116.5861799833,28572.5035225249,30837.1160700238
"Total Mortality","Juvenile Female",9983.27311813579,48.467914064127,9881.55572123892,9947.69755477246,9978.76080629554,10013.7176235781,10203.7136914221
"Total Mortality","Juvenile Male",2341.6288539294,45.8844042605713,2244.89326328032,2308.20134870917,2337.48254748623,2370.12696332104,2549.67631893188
"Total Mortality","Juvenile Combined",12324.9019720652,94.3511449051805,12126.4489845192,12256.2294487005,12316.2809580582,12383.5367813762,12753.390010354
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",515542252.512157,8399642.05654872,495770578.565809,509376412.678563,515174231.643768,520850498.533707,551485690.58709
"Value of Total Mortality","Neonatal Female",205155520.895637,3863163.29744391,195949348.540354,202287856.131312,204940659.047478,207624863.344523,221373228.821811
"Value of Total Mortality","Neonatal Male",92949465.4810178,2841658.09896004,86103862.6919516,90852996.1483627,92789516.1367693,94768872.4191521,104646441.331941
"Value of Total Mortality","Neonatal Combined",298104986.376655,6702997.12839178,282053211.232305,293116748.569411,297672869.755931,302419503.902366,326019670.153753
"Value of Total Mortality","Juvenile Female",169096680.074984,820949.528418182,167373790.806345,168494101.182736,169020250.537034,169612349.108166,172830502.505308
"Value of Total Mortality","Juvenile Male",48340586.0605186,947237.641555234,46343576.527159,47650508.6427521,48254989.7103057,48928901.0307995,52635517.9280297
"Value of Total Mortality","Juvenile Combined",217437266.135503,1768165.27554481,213717367.333504,216151795.246132,217275569.612667,218536036.529017,225466020.433338
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",214314432.54922,25782760.3949367,128965208.661293,197401106.505256,215334731.598531,232504587.033861,280441864.517454
"Population Liveweight (kg)","Neonatal Female",10502136.690079,5941455.09610095,130886.32360338,5422889.52063846,10948796.9465282,15689348.1875904,20894673.1792449
"Population Liveweight (kg)","Neonatal Male",6451975.07900303,3755074.72281703,82357.9033457812,3009570.16935766,6494982.6563977,9745806.08480974,13656224.9659812
"Population Liveweight (kg)","Juvenile Female",31426287.8163574,16911301.4952545,158598.2802906,17114313.5473853,32556876.9986954,45939134.7810623,60809709.5101903
"Population Liveweight (kg)","Juvenile Male",12643729.8401577,7258755.23911583,65788.8632695332,6526500.94511152,12851777.1595041,18922767.1466272,26275643.2858428
"Population Liveweight (kg)","Juvenile Combined",44070017.6565151,18025929.4258979,360609.362414396,29910768.848858,44715456.8162992,58418448.0891538,83063049.5509585
"Population Liveweight (kg)","Adult Female",145098773.071554,16301150.684917,86726012.6915049,134935728.017653,147261746.464032,157569312.547552,171269770.664171
"Population Liveweight (kg)","Adult Male",8191530.05206856,4669018.73600558,29295.1250990414,4308958.50091895,8270639.13918748,12338693.4753355,16417632.1481509
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",53779599.0958184,7207618.64851535,29385866.7908171,48618231.2405104,53987384.6616709,59010450.2146525,70427949.5459969
"Offtake Liveweight (kg)","Juvenile Female",8377278.15335326,4927299.32218392,44629.4073712031,3868144.98392226,8367350.77213066,12509082.0518597,16941246.1950681
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",44394266.6874978,5159608.88066511,27535273.7187018,41105148.2547585,45194955.4534109,48516537.8921283,52324269.0606738
"Offtake Liveweight (kg)","Adult Male",1008054.25496731,601719.776439488,3755.57219687639,495462.011724366,986808.398019558,1512462.51676757,2073899.65917673
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",178440458.054999,7661980.88665946,148584079.435679,173365697.568135,178723168.667665,183463123.219199,203334628.640128
"Manure","Overall",356302063.472012,13090664.5420274,312647574.25392,347552601.749875,356456846.741677,365501371.290744,403373169.177145
"Manure","Neonatal Female",31365244.6857139,1017981.11305436,28443418.0810502,30655146.6970312,31316002.5898559,32044775.1569889,34751179.0885841
"Manure","Neonatal Male",17372003.7307059,702309.868049242,15324341.0731582,16859330.0840117,17362043.1326841,17836544.1220176,19644763.2686795
"Manure","Neonatal Combined",48737248.4164198,1489499.39411279,44436067.9180966,47665041.0267712,48615774.9593064,49722679.6668972,53993958.2874714
"Manure","Juvenile Female",66626819.1797101,2230974.38199209,60285915.7249869,65043889.6846239,66553073.1963182,68102242.3530357,73303275.0612402
"Manure","Juvenile Male",17346968.0068831,705572.629382508,15410309.3725872,16857321.8185757,17323918.1575459,17821375.4010071,19343357.7735312
"Manure","Juvenile Combined",83973787.1865932,2419072.71674207,77063027.9069869,82247662.680863,83938869.8353227,85599745.1667188,91829709.413245
"Manure","Adult Female",209411087.160715,12751301.1789201,173266608.551182,202453157.308633,210248360.48196,218044759.321883,254732976.727264
"Manure","Adult Male",14179940.7082841,884158.640924314,11541193.737006,13547887.0856578,14154416.7092217,14830183.9521583,16750148.0101058
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",6162.4509860326,47.1755724525902,6063.22449225962,6128.11472435027,6158.14047902912,6191.76839068809,6376.695005177
"Hides","Juvenile Female",4991.6365590679,24.2339570320635,4940.77786061946,4973.84877738623,4989.38040314777,5006.85881178905,5101.85684571107
"Hides","Juvenile Male",1170.8144269647,22.9422021302856,1122.44663164016,1154.10067435459,1168.74127374312,1185.06348166052,1274.83815946594
"Hides","Juvenile Combined",6162.4509860326,47.1755724525902,6063.22449225962,6128.11472435027,6158.14047902912,6191.76839068809,6376.695005177
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",1183526109.17304,200872731.404473,717166535.02007,1045399621.29889,1166804144.32618,1311578291.45598,1833876114.23941
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2034992631.551,66310819.4736952,1804331672.69612,1990592188.66291,2031434700.91539,2079814540.56724,2273690574.9529
"Cml Dry Matter","Neonatal Female",96312599.5630863,11770207.8020691,50754526.1541936,88000348.6537181,96147771.5826666,103742450.448811,128001599.910789
"Cml Dry Matter","Neonatal Male",53606057.7991062,6574380.06549869,31255214.0029057,49195566.4598324,53325128.8194053,58121350.3237638,72982422.2334587
"Cml Dry Matter","Neonatal Combined",149918657.362193,13506156.3335746,104050284.377181,140558950.640515,149255375.744215,159345640.81625,192914397.033654
"Cml Dry Matter","Juvenile Female",291307724.630872,43391666.6589137,157817354.857258,260830828.999376,292986870.681554,319238151.773756,457066784.056697
"Cml Dry Matter","Juvenile Male",75337470.8954905,11944637.5717915,39329605.2530019,66932705.5683038,75546545.6045579,83658538.5129556,111152130.272564
"Cml Dry Matter","Juvenile Combined",366645195.526363,45369202.9122928,221623820.316092,336024398.640517,368095566.211782,395817423.406113,550070893.891869
"Cml Dry Matter","Adult Female",1462525044.59946,46822373.3742281,1316349741.44817,1429468386.74457,1464415469.97759,1495423113.44674,1589207650.65037
"Cml Dry Matter","Adult Male",55903734.0629819,9047794.24711386,26858403.4057659,50028809.4710872,55963331.2105902,62055377.7066232,87369339.9649101
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",2951405969.00522,4949668.96734554,2941295205.62682,2947822885.11882,2950873421.47627,2954557245.42348,2974299199.30639
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",763662426.145089,3707513.99930791,755881635.899622,760941102.115581,763317260.48983,765991254.036878,780524850.023972
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",763662426.145089,3707513.99930791,755881635.899622,760941102.115581,763317260.48983,765991254.036878,780524850.023972
"Value of Offtake","Adult Female",2043629530.57535,596552.761362552,2042479300.68544,2043187431.31178,2043557676.19404,2043988699.74533,2046469486.49577
"Value of Offtake","Adult Male",144114012.284782,670202.79489236,142822172.437057,143617089.063611,144033199.728883,144517344.89769,147304862.786647
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of draught","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",1023295165.52639,147867671.47928,618429213.90226,921161700.76753,1015439994.61982,1118942299.5028,1589558921.50054
"Value of Herd Increase","Neonatal Female",181932479.500273,43484363.8896577,61156889.4964618,151532991.852483,178808553.598711,209562891.291154,327371044.768471
"Value of Herd Increase","Neonatal Male",509268561.924365,31716527.9524484,424607108.485886,487080718.906596,506868894.31096,529719201.449824,625707062.637893
"Value of Herd Increase","Neonatal Combined",691201041.424637,74958177.0688711,485763997.982347,637619342.394016,685752835.401741,739192666.553293,951716698.223315
"Value of Herd Increase","Juvenile Female",-47480623.8250858,31891881.5664232,-125002826.989653,-70829044.653534,-49436387.9399393,-27169310.435628,79593854.0329101
"Value of Herd Increase","Juvenile Male",1002653821.29366,36080667.4320538,914639982.246975,976226205.152076,999961086.293464,1025876213.91301,1145040710.87128
"Value of Herd Increase","Juvenile Combined",955173197.468578,67968187.7079757,789637155.257322,905398426.449272,950566828.88222,998667841.091833,1224634564.90419
"Value of Herd Increase","Adult Female",-1202679449.77551,8269768.37590653,-1220218751.41504,-1208670374.67576,-1203437460.44999,-1197576275.98485,-1165376204.30944
"Value of Herd Increase","Adult Male",579600376.408689,13530953.5724688,550931899.373468,569786356.320214,578342497.670401,588002772.286076,640709615.009686
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",3974701134.53161,151719171.506892,3561168715.35356,3871087380.18766,3965761634.77676,4071331090.17056,4563858120.80693
"Value of Herd Increase plus Offtake","Neonatal Female",181932479.500273,43484363.8896577,61156889.4964618,151532991.852483,178808553.598711,209562891.291154,327371044.768471
"Value of Herd Increase plus Offtake","Neonatal Male",509268561.924365,31716527.9524484,424607108.485886,487080718.906596,506868894.31096,529719201.449824,625707062.637893
"Value of Herd Increase plus Offtake","Neonatal Combined",691201041.424637,74958177.0688711,485763997.982347,637619342.394016,685752835.401741,739192666.553293,951716698.223315
"Value of Herd Increase plus Offtake","Juvenile Female",716181802.320004,35322319.2977408,630878808.909969,690222039.987584,714192343.204035,738945653.833554,860118704.056882
"Value of Herd Increase plus Offtake","Juvenile Male",1002653821.29366,36080667.4320538,914639982.246975,976226205.152076,999961086.293464,1025876213.91301,1145040710.87128
"Value of Herd Increase plus Offtake","Juvenile Combined",1718835623.61367,71366272.0710379,1545518791.15694,1666392191.35378,1714714145.68786,1764387658.9335,2005159414.92816
"Value of Herd Increase plus Offtake","Adult Female",840950080.799832,8848600.78583887,822316573.197973,834520994.236199,840146232.008447,846447708.587779,881093282.186337
"Value of Herd Increase plus Offtake","Adult Male",723714388.693471,14181241.2006624,693816850.177058,713383132.96718,722432912.49889,732522143.083189,788014477.796333
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",178151031.736006,6545332.27101368,156323787.12696,173776300.874937,178228423.370838,182750685.645372,201686584.588573
"Value of Manure","Neonatal Female",15682622.342857,508990.556527182,14221709.0405251,15327573.3485156,15658001.2949279,16022387.5784944,17375589.5442921
"Value of Manure","Neonatal Male",8686001.86535294,351154.934024621,7662170.53657912,8429665.04200586,8681021.56634206,8918272.06100882,9822381.63433973
"Value of Manure","Neonatal Combined",24368624.2082099,744749.697056397,22218033.9590483,23832520.5133856,24307887.4796532,24861339.8334486,26996979.1437357
"Value of Manure","Juvenile Female",33313409.5898551,1115487.19099605,30142957.8624935,32521944.8423119,33276536.5981591,34051121.1765179,36651637.5306201
"Value of Manure","Juvenile Male",8673484.00344156,352786.314691254,7705154.68629359,8428660.90928783,8661959.07877294,8910687.70050355,9671678.88676562
"Value of Manure","Juvenile Combined",41986893.5932966,1209536.35837103,38531513.9534935,41123831.3404315,41969434.9176613,42799872.5833594,45914854.7066225
"Value of Manure","Adult Female",104705543.580357,6375650.58946006,86633304.2755908,101226578.654316,105124180.24098,109022379.660941,127366488.363632
"Value of Manure","Adult Male",7089970.35414207,442079.320462157,5770596.86850302,6773943.54282892,7077208.35461086,7415091.97607913,8375074.00505289
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",444237.427275223,3445.64555243522,436989.683879021,441730.099307627,443922.534077486,446378.707783385,459885.016087367
"Value of Hides","Juvenile Female",356792.373778345,1732.19563427649,353157.093939365,355520.938092803,356631.108186022,357880.430494487,364670.703309068
"Value of Hides","Juvenile Male",87445.0534968788,1713.49280160478,83832.5899396563,86196.7472260772,87290.2151295051,88509.2779559043,95214.3127782987
"Value of Hides","Juvenile Combined",444237.427275223,3445.64555243522,436989.683879021,441730.099307627,443922.534077486,446378.707783385,459885.016087367
"Value of Hides","Adult Female",0,0,0,0,0,0,0
"Value of Hides","Adult Male",0,0,0,0,0,0,0
"Value of Hides","Oxen",0,0,0,0,0,0,0
