"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",184390.304333113,17.6182882595607,184329.403170692,184377.529572663,184390.252950899,184402.479308038,184449.660180051
"Num Offtake","Neonatal Female",12733.5654391913,2.37813236634208,12725.3628860422,12731.827179182,12733.5590612128,12735.2007522966,12741.5902096687
"Num Offtake","Neonatal Male",39054.3064521484,13.0622080556857,39009.5434886043,39044.6617145729,39053.8632517689,39063.2117623403,39099.2988593687
"Num Offtake","Neonatal Combined",51787.8718913397,15.4381083886858,51734.9063746465,51776.4423553955,51787.4396136669,51798.4299348673,51840.8890690374
"Num Offtake","Juvenile Female",44870.3531915065,1.94791184261615,44863.6728592914,44868.9595058359,44870.3618426196,44871.690004809,44876.3566446122
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",44870.3531915065,1.94791184261615,44863.6728592914,44868.9595058359,44870.3618426196,44871.690004809,44876.3566446122
"Num Offtake","Adult Female",84039.6277904296,0.222728185982287,84038.854066811,84039.4718900192,84039.6320697233,84039.7735228505,84040.2948541878
"Num Offtake","Adult Male",3692.45145983713,0.15504846815429,3691.91288517739,3692.3423162138,3692.45468372796,3692.55254956108,3692.91539526123
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-17792.0409278192,88.6781140732508,-18098.4362112426,-17855.2275903446,-17792.6515474069,-17730.0271378759,-17447.0059626342
"Cml Pop Growth","Neonatal Female",-14021.2345616002,32.6953487889882,-14123.7661854374,-14045.9765055128,-14020.9602989072,-13998.2135423231,-13900.4560545037
"Cml Pop Growth","Neonatal Male",28856.3980442644,27.6996388619556,28768.4154872216,28836.4390831253,28855.9764130664,28875.1411242539,28951.1238049725
"Cml Pop Growth","Neonatal Combined",14835.1634826642,60.1770134358561,14644.6493017842,14790.667284732,14834.9454151009,14878.5402268053,15050.6677504688
"Cml Pop Growth","Juvenile Female",-9236.29807979489,16.5157263437383,-9292.25724790266,-9248.34524931742,-9236.78509416136,-9225.05349677619,-9178.46521537425
